,IP
2001-01-23,16484205000
2001-01-24,16339395000
2001-01-25,16962078000
2001-01-26,16566264000
2001-01-29,16826922000
2001-01-30,17357892000
2001-01-31,17425470000
2001-02-01,17512356000
2001-02-02,17362719000
2001-02-05,17579934000
2001-02-06,17237217000
2001-02-07,17082753000
2001-02-08,16638669000
2001-02-09,16498686000
2001-02-12,16768998000
2001-02-13,16730381999
2001-02-14,16271817000
2001-02-15,17082753000
2001-02-16,16571091000
2001-02-20,16662804000
2001-02-21,16136661000
2001-02-22,16286298000
2001-02-23,16151142000
2001-02-26,16768998000
2001-02-27,16894500000
2001-02-28,16976559000
2001-03-01,16928289000
2001-03-02,17579934000
2001-03-05,18106077000
2001-03-06,17845419000
2001-03-07,18289503000
2001-03-08,18443967000
2001-03-09,18024018000
2001-03-12,17082753000
2001-03-13,16831748999
2001-03-14,15982197000
2001-03-15,15740847000
2001-03-16,16146315000
2001-03-19,16344222000
2001-03-20,16841403000
2001-03-21,16015986000
2001-03-22,15398130000
2001-03-23,15354687000
2001-03-26,16069083000
2001-03-27,16445589000
2001-03-28,16329741000
2001-03-29,16295951999
2001-03-30,16262162999
2001-04-02,15734567000
2001-04-03,15333594000
2001-04-04,15541327000
2001-04-05,16038920000
2001-04-06,15565482000
2001-04-09,15792538999
2001-04-10,16695936000
2001-04-11,16507527000
2001-04-12,16459217000
2001-04-16,16715260000
2001-04-17,16739415000
2001-04-18,17507544000
2001-04-19,17367445000
2001-04-20,17000288999
2001-04-23,17164543000
2001-04-24,16865020999
2001-04-25,17029275000
2001-04-26,17323966000
2001-04-27,17478558000
2001-04-30,17676629000
2001-05-01,17821559000
2001-05-02,17580009000
2001-05-03,17145219000
2001-05-04,17391600000
2001-05-07,17096909000
2001-05-08,16990627000
2001-05-09,17145219000
2001-05-10,17338459000
2001-05-11,16850528000
2001-05-14,16874683000
2001-05-15,17009951000
2001-05-16,17980982000
2001-05-17,18430265000
2001-05-18,18183884000
2001-05-21,18261180000
2001-05-22,17691122000
2001-05-23,17729770000
2001-05-24,17343290000
2001-05-25,17116233000
2001-05-29,17594502000
2001-05-30,17121063999
2001-05-31,17256332000
2001-06-01,17710446000
2001-06-04,17753925000
2001-06-05,17985813000
2001-06-06,17889193000
2001-06-07,17961658000
2001-06-08,17720108000
2001-06-11,17377107000
2001-06-12,17314304000
2001-06-13,17357783000
2001-06-14,16691104999
2001-06-15,16691104999
2001-06-18,16493034000
2001-06-19,16333611000
2001-06-20,16444724000
2001-06-21,16352935000
2001-06-22,16241821999
2001-06-25,15971286000
2001-06-26,16014765000
2001-06-27,16130709000
2001-06-28,16000271999
2001-06-29,16106554000
2001-07-02,16370310000
2001-07-03,16317191000
2001-07-05,16235097999
2001-07-06,16066083000
2001-07-09,16389625999
2001-07-10,16326849000
2001-07-11,16679366000
2001-07-12,17138121000
2001-07-13,17432690000
2001-07-16,17239530000
2001-07-17,17587218000
2001-07-18,18041144000
2001-07-19,18031486000
2001-07-20,17925248000
2001-07-23,17823839000
2001-07-24,17167094999
2001-07-25,17683798000
2001-07-26,17939735000
2001-07-27,17611363000
2001-07-30,17790036000
2001-07-31,18379174000
2001-08-01,18243962000
2001-08-02,18393661000
2001-08-03,18359858000
2001-08-06,18292252000
2001-08-07,18031486000
2001-08-08,17905932000
2001-08-09,17717601000
2001-08-10,17959051000
2001-08-13,17973538000
2001-08-14,18311568000
2001-08-15,18369516000
2001-08-16,18717204000
2001-08-17,18577163000
2001-08-20,18490241000
2001-08-21,18509557000
2001-08-22,18258449000
2001-08-23,18441951000
2001-08-24,18610966000
2001-08-27,18775152000
2001-08-28,18533702000
2001-08-29,18379174000
2001-08-30,18084605000
2001-08-31,18103921000
2001-09-04,18533702000
2001-09-05,18480583000
2001-09-06,18369516000
2001-09-07,17418203000
2001-09-10,17065686000
2001-09-17,15288614000
2001-09-18,15467287000
2001-09-19,15394852000
2001-09-20,14656015000
2001-09-21,14593238000
2001-09-24,15124428000
2001-09-25,15051993000
2001-09-26,15085796000
2001-09-27,15264469000
2001-09-28,15713566000
2001-10-01,15404766000
2001-10-02,15530008000
2001-10-03,15626347999
2001-10-04,15525190999
2001-10-05,16238107000
2001-10-08,15746772999
2001-10-09,15886465999
2001-10-10,16560846000
2001-10-11,17182239000
2001-10-12,17047363000
2001-10-15,16960657000
2001-10-16,16912487000
2001-10-17,16339264000
2001-10-18,16310362000
2001-10-19,16146584000
2001-10-22,16522309999
2001-10-23,16681271000
2001-10-24,16647552000
2001-10-25,16816146999
2001-10-26,16979925000
2001-10-29,16662003000
2001-10-30,16440421000
2001-10-31,16103231000
2001-11-01,16286277000
2001-11-02,16560846000
2001-11-05,16666820000
2001-11-06,16796878999
2001-11-07,16849865999
2001-11-08,16912487000
2001-11-09,16893219000
2001-11-12,16700539000
2001-11-13,17047363000
2001-11-14,17562782000
2001-11-15,17842168000
2001-11-16,18030031000
2001-11-19,18256430000
2001-11-20,17986678000
2001-11-21,17678390000
2001-11-23,17972227000
2001-11-26,18044482000
2001-11-27,18073384000
2001-11-28,17851802000
2001-11-29,17712109000
2001-11-30,17972227000
2001-12-03,17803632000
2001-12-04,18039665000
2001-12-05,18603254000
2001-12-06,18506914000
2001-12-07,18213077000
2001-12-10,17875887000
2001-12-11,17909606000
2001-12-12,17962593000
2001-12-13,17649488000
2001-12-14,17726560000
2001-12-17,17996312000
2001-12-18,18343136000
2001-12-19,18083018000
2001-12-20,18044482000
2001-12-21,17678390000
2001-12-24,17895155000
2001-12-26,17904789000
2001-12-27,18107103000
2001-12-28,18294966000
2001-12-31,18173064000
2002-01-02,18086250000
2002-01-03,18332223000
2002-01-04,18891691000
2002-01-07,18901337000
2002-01-08,18611957000
2002-01-09,18809700000
2002-01-10,18684302000
2002-01-11,18486559000
2002-01-14,17907799000
2002-01-15,17565366000
2002-01-16,17377269000
2002-01-17,17333862000
2002-01-18,17213287000
2002-01-22,17526782000
2002-01-23,17738994000
2002-01-24,18071781000
2002-01-25,18505851000
2002-01-28,18848284000
2002-01-29,18467267000
2002-01-30,18626426000
2002-01-31,18819346000
2002-02-01,18814523000
2002-02-04,18486559000
2002-02-05,18428683000
2002-02-06,18274347000
2002-02-07,18322577000
2002-02-08,18910983000
2002-02-11,19730893000
2002-02-12,19581380000
2002-02-13,20044388000
2002-02-14,19885229000
2002-02-15,19605495000
2002-02-19,19369168000
2002-02-20,19301646000
2002-02-21,18964036000
2002-02-22,19364345000
2002-02-25,19803238000
2002-02-26,19923813000
2002-02-27,19894875000
2002-02-28,19706778000
2002-03-01,19890052000
2002-03-04,20743723000
2002-03-05,20136025000
2002-03-06,20401290000
2002-03-07,20256600000
2002-03-08,19981689000
2002-03-11,20300007000
2002-03-12,20102264000
2002-03-13,19513858000
2002-03-14,19938282000
2002-03-15,20092618000
2002-03-18,19923813000
2002-03-19,20136025000
2002-03-20,19976866000
2002-03-21,19446336000
2002-03-22,19041204000
2002-03-25,18766293000
2002-03-26,19094257000
2002-03-27,19306469000
2002-03-28,19373991000
2002-04-01,19119747000
2002-04-02,19013553000
2002-04-03,18743241000
2002-04-04,18690144000
2002-04-05,18719106000
2002-04-08,18661182000
2002-04-09,18434313000
2002-04-10,18772203000
2002-04-11,18540507000
2002-04-12,18434313000
2002-04-15,18212271000
2002-04-16,18786684000
2002-04-17,18849435000
2002-04-18,18632220000
2002-04-19,19008726000
2002-04-22,18439140000
2002-04-23,18241233000
2002-04-24,17985402000
2002-04-25,18255714000
2002-04-26,18188136000
2002-04-29,17647512000
2002-04-30,18675663000
2002-05-01,18752895000
2002-05-02,19090785000
2002-05-03,19158363000
2002-05-06,19158363000
2002-05-07,19380405000
2002-05-08,19607274000
