,PCG
2000-01-03,7129750000
2000-01-04,7469090000
2000-01-05,7963660000
2000-01-06,8032250000
2000-01-07,8032250000
2000-01-10,7873410000
2000-01-11,7761500000
2000-01-12,7942000000
2000-01-13,7942000000
2000-01-14,7873410000
2000-01-18,7898680000
2000-01-19,8079180000
2000-01-20,7942000000
2000-01-21,8100840000
2000-01-24,8079180000
2000-01-25,7808430000
2000-01-26,7942000000
2000-01-27,7783160000
2000-01-28,7627930000
2000-01-31,7920340000
2000-02-01,8010590000
2000-02-02,7963660000
2000-02-03,8212750000
2000-02-04,8032250000
2000-02-07,8032250000
2000-02-08,7963660000
2000-02-09,7963660000
2000-02-10,7718180000
2000-02-11,7830090000
2000-02-14,7898680000
2000-02-15,7873410000
2000-02-16,7873410000
2000-02-17,8349930000
2000-02-18,8122500000
2000-02-22,8100840000
2000-02-23,7898680000
2000-02-24,7512410000
2000-02-25,7241660000
2000-02-28,7490750000
2000-02-29,7447430000
2000-03-01,7198340000
2000-03-02,7581000000
2000-03-03,7851750000
2000-03-06,7602660000
2000-03-07,7310250000
2000-03-08,7331910000
2000-03-09,7447430000
2000-03-10,7671250000
2000-03-13,7537680000
2000-03-14,7512410000
2000-03-15,7920340000
2000-03-16,8169430000
2000-03-17,8032250000
2000-03-20,7718180000
2000-03-21,7671250000
2000-03-22,7627930000
2000-03-23,7602660000
2000-03-24,7692910000
2000-03-27,7649590000
2000-03-28,7559340000
2000-03-29,7602660000
2000-03-30,7671250000
2000-03-31,7581000000
2000-04-03,7692910000
2000-04-04,7920340000
2000-04-05,7808430000
2000-04-06,7649590000
2000-04-07,7627930000
2000-04-10,7988930000
2000-04-11,8122500000
2000-04-12,8483500000
2000-04-13,8685660000
2000-04-14,8505160000
2000-04-17,8754250000
2000-04-18,8573750000
2000-04-19,8642340000
2000-04-20,8866160000
2000-04-24,9432930000
2000-04-25,9768660000
2000-04-26,9974430000
2000-04-27,9793930000
2000-04-28,9364340000
2000-05-01,9407660000
2000-05-02,9342680000
2000-05-03,9183840000
2000-05-04,9407660000
2000-05-05,9227160000
2000-05-08,9386000000
2000-05-09,9317410000
2000-05-10,9454590000
2000-05-11,9588160000
2000-05-12,9432930000
2000-05-15,9407660000
2000-05-16,9342680000
2000-05-17,9115250000
2000-05-18,9205500000
2000-05-19,9205500000
2000-05-22,9566500000
2000-05-23,9407660000
2000-05-24,9523180000
2000-05-25,9295750000
2000-05-26,9432930000
2000-05-30,9295750000
2000-05-31,9364340000
2000-06-01,9407660000
2000-06-02,9317410000
2000-06-05,8956410000
2000-06-06,9342680000
2000-06-07,9227160000
2000-06-08,9205500000
2000-06-09,9364340000
2000-06-12,9497910000
2000-06-13,9454590000
2000-06-14,9136910000
2000-06-15,9497910000
2000-06-16,9364340000
2000-06-19,9274090000
2000-06-20,9227160000
2000-06-21,9274090000
2000-06-22,9364340000
2000-06-23,9407660000
2000-06-26,9476250000
2000-06-27,9136910000
2000-06-28,9454590000
2000-06-29,9205500000
2000-06-30,8916060000
2000-07-03,9162220000
2000-07-05,9097060000
2000-07-06,9231000000
2000-07-07,9433720000
2000-07-10,9433720000
2000-07-11,9524220000
2000-07-12,9321500000
2000-07-13,9321500000
2000-07-14,9252720000
2000-07-17,9390280000
2000-07-18,9412000000
2000-07-19,9705220000
2000-07-20,9571280000
2000-07-21,9524220000
2000-07-24,9412000000
2000-07-25,9549560000
2000-07-26,9343220000
2000-07-27,9412000000
2000-07-28,9571280000
2000-07-31,9368560000
2000-08-01,9683500000
2000-08-02,10002060000
2000-08-03,10454560000
2000-08-04,10295280000
2000-08-07,10454560000
2000-08-08,10429220000
2000-08-09,10317000000
2000-08-10,10226500000
2000-08-11,10338720000
2000-08-14,10407500000
2000-08-15,10566780000
2000-08-16,10476280000
2000-08-17,10454560000
2000-08-18,10454560000
2000-08-21,10407500000
2000-08-22,10364060000
2000-08-23,10407500000
2000-08-24,10248220000
2000-08-25,10114280000
2000-08-28,10338720000
2000-08-29,10248220000
2000-08-30,10295280000
2000-08-31,10476280000
2000-09-01,10454560000
2000-09-05,10657280000
2000-09-06,10838280000
2000-09-07,10881720000
2000-09-08,11041000000
2000-09-11,11450060000
2000-09-12,11200280000
2000-09-13,10972220000
2000-09-14,10635560000
2000-09-15,10248220000
2000-09-18,10023780000
2000-09-19,9368560000
2000-09-20,8257220000
2000-09-21,8416500000
2000-09-22,9412000000
2000-09-25,9549560000
2000-09-26,9886220000
2000-09-27,9187560000
2000-09-28,9050000000
2000-09-29,8756780000
2000-10-02,8984250000
2000-10-03,8802750000
2000-10-04,8643030000
2000-10-05,8577690000
2000-10-06,8984250000
2000-10-09,9096780000
2000-10-10,9278280000
2000-10-11,9757440000
2000-10-12,9757440000
2000-10-13,10185780000
2000-10-16,10301940000
2000-10-17,10392690000
2000-10-18,10232970000
2000-10-19,10232970000
2000-10-20,10095030000
2000-10-23,10548780000
2000-10-24,10595970000
2000-10-25,10004280000
2000-10-26,9848190000
2000-10-27,9848190000
2000-10-30,9848190000
2000-10-31,9779220000
2000-11-01,10185780000
2000-11-02,10051470000
2000-11-03,9848190000
2000-11-06,9891750000
2000-11-07,9641280000
2000-11-08,9688470000
2000-11-09,9732030000
2000-11-10,9848190000
2000-11-13,10051470000
2000-11-14,9801000000
2000-11-15,10164000000
2000-11-16,10164000000
2000-11-17,10392690000
2000-11-20,10392690000
2000-11-21,10120440000
2000-11-22,10164000000
2000-11-24,10142220000
2000-11-27,9869970000
2000-11-28,10029690000
2000-11-29,10029690000
2000-11-30,9960720000
2000-12-01,9779220000
2000-12-04,9732030000
2000-12-05,9550530000
2000-12-06,9256500000
2000-12-07,9053220000
2000-12-08,8552280000
2000-12-11,7964220000
2000-12-12,7851690000
2000-12-13,7691970000
2000-12-14,8305440000
2000-12-15,8733780000
2000-12-18,8577690000
2000-12-19,8123940000
2000-12-20,7601220000
2000-12-21,6624750000
2000-12-22,7281780000
2000-12-26,7191030000
2000-12-27,7216440000
2000-12-28,7056720000
2000-12-29,7260000000
2001-01-02,7100280000
2001-01-03,6171000000
2001-01-04,4356000000
2001-01-05,4584690000
2001-01-08,5082000000
2001-01-09,4900500000
2001-01-10,4922280000
2001-01-11,4468530000
2001-01-12,4196280000
2001-01-16,3971220000
2001-01-17,3495690000
2001-01-18,3539250000
2001-01-19,3698970000
2001-01-22,3539250000
2001-01-23,3470280000
2001-01-24,3608220000
2001-01-25,4719000000
2001-01-26,4537500000
2001-01-29,5089260000
2001-01-30,5528490000
2001-01-31,5172750000
2001-02-01,5194530000
2001-02-02,4987620000
2001-02-05,4936800000
2001-02-06,4689960000
2001-02-07,4682700000
2001-02-08,4689960000
2001-02-09,4737150000
2001-02-12,4555650000
2001-02-13,4464900000
2001-02-14,4537500000
2001-02-15,4660920000
2001-02-16,4719000000
2001-02-20,4715370000
2001-02-21,4740780000
2001-02-22,5281650000
2001-02-23,4973100000
2001-02-26,5071110000
2001-02-27,5100150000
2001-02-28,5067480000
2001-03-01,5078370000
2001-03-02,5263500000
2001-03-05,5354250000
2001-03-06,5227200000
2001-03-07,5281650000
2001-03-08,5238090000
2001-03-09,5216310000
2001-03-12,5270760000
2001-03-13,5169120000
2001-03-14,4755300000
2001-03-15,4689960000
2001-03-16,4145460000
2001-03-19,4301550000
2001-03-20,4138200000
2001-03-21,4265250000
2001-03-22,4061970000
2001-03-23,3865950000
2001-03-26,4991250000
2001-03-27,4791600000
2001-03-28,4791600000
2001-03-29,4581060000
2001-03-30,4301550000
2001-04-02,4265250000
2001-04-03,4185390000
2001-04-04,4228950000
2001-04-05,4130940000
2001-04-06,2613600000
