,ITW
2000-01-03,19211654480
2000-01-04,18345506000
2000-01-05,18574072960
2000-01-06,18441744720
2000-01-07,19626683960
2000-01-10,19999609000
2000-01-11,19795101719
2000-01-12,19548490000
2000-01-13,20546966719
2000-01-14,20300355000
2000-01-18,19416161760
2000-01-19,19362027480
2000-01-20,18928953240
2000-01-21,18778580240
2000-01-24,18441744720
2000-01-25,17930476520
2000-01-26,18140998720
2000-01-27,17972580960
2000-01-28,17292895000
2000-01-31,17593641000
2000-02-01,17840252720
2000-02-02,17840252720
2000-02-03,18159043480
2000-02-04,18140998720
2000-02-07,18213177760
2000-02-08,17948521280
2000-02-09,17822207960
2000-02-10,17142522000
2000-02-11,16745537280
2000-02-14,16444791280
2000-02-15,17593641000
2000-02-16,17389133720
2000-02-17,17310939760
2000-02-18,16938014720
2000-02-22,17407178480
2000-02-23,17822207960
2000-02-24,17010193760
2000-02-25,15867358960
2000-02-28,15716985960
2000-02-29,15542553280
2000-03-01,15939538000
2000-03-02,15939538000
2000-03-03,16577119520
2000-03-06,16222239240
2000-03-07,15789165000
2000-03-08,16258328760
2000-03-09,16504940480
2000-03-10,16354567480
2000-03-13,16294418280
2000-03-14,16240284000
2000-03-15,17593641000
2000-03-16,19362027480
2000-03-17,19494355719
2000-03-20,18724445960
2000-03-21,18664296760
2000-03-22,18399640280
2000-03-23,18122953960
2000-03-24,17912431760
2000-03-27,17461312760
2000-03-28,17142522000
2000-03-29,17256805480
2000-03-30,17461312760
2000-03-31,16661774160
2000-04-03,17843716880
2000-04-04,18090960000
2000-04-05,17807534960
2000-04-06,17717080160
2000-04-07,17566322160
2000-04-10,17885929120
2000-04-11,18090960000
2000-04-12,19297024000
2000-04-13,18712082960
2000-04-14,17825625920
2000-04-17,18410566960
2000-04-18,17825625920
2000-04-19,18241718000
2000-04-20,18223627040
2000-04-24,18675901040
2000-04-25,19200538880
2000-04-26,18826659040
2000-04-27,18923144160
2000-04-28,19315114960
2000-05-01,19224660160
2000-05-02,19411600080
2000-05-03,18959326080
2000-05-04,18844750000
2000-05-05,19164356960
2000-05-08,19073902160
2000-05-09,18899022880
2000-05-10,18941235120
2000-05-11,19242751120
2000-05-12,18959326080
2000-05-15,18941235120
2000-05-16,19526176160
2000-05-17,19483963920
2000-05-18,19073902160
2000-05-19,18959326080
2000-05-22,18488961120
2000-05-23,18525143040
2000-05-24,19297024000
2000-05-25,18392476000
2000-05-26,17976383920
2000-05-30,17771353040
2000-05-31,17506018960
2000-06-01,17735171120
2000-06-02,17771353040
2000-06-05,17771353040
2000-06-06,17656776960
2000-06-07,17186412000
2000-06-08,17355260960
2000-06-09,17638686000
2000-06-12,17222593920
2000-06-13,17132139120
2000-06-14,17524109920
2000-06-15,17566322160
2000-06-16,17638686000
2000-06-19,17904020080
2000-06-20,16619561920
2000-06-21,16661774160
2000-06-22,16963290160
2000-06-23,16734138000
2000-06-26,16529107120
2000-06-27,17089926880
2000-06-28,17451746080
2000-06-29,16866805040
2000-06-30,17205849000
2000-07-03,17658634500
2000-07-05,17393000340
2000-07-06,17489594580
2000-07-07,17338666080
2000-07-10,16867769160
2000-07-11,17640523080
2000-07-12,17640523080
2000-07-13,17676745920
2000-07-14,18038974320
2000-07-17,17302443240
2000-07-18,16807397760
2000-07-19,16903992000
2000-07-20,16771174920
2000-07-21,16656469260
2000-07-24,16771174920
2000-07-25,16982474820
2000-07-26,17036809080
2000-07-27,17302443240
2000-07-28,17054920500
2000-07-31,17284331820
2000-08-01,17320554660
2000-08-02,17091143340
2000-08-03,16831546320
2000-08-04,16807397760
2000-08-07,16940214840
2000-08-08,17622411660
2000-08-09,17809563000
2000-08-10,17658634500
2000-08-11,17888045820
2000-08-14,17809563000
2000-08-15,17845785840
2000-08-16,17827674420
2000-08-17,17525817420
2000-08-18,17622411660
2000-08-21,17411111760
2000-08-22,17302443240
2000-08-23,17000586240
2000-08-24,16958326260
2000-08-25,17338666080
2000-08-28,17018697660
2000-08-29,17187737580
2000-08-30,17018697660
2000-08-31,16922103420
2000-09-01,16849657740
2000-09-05,16905196244
2000-09-06,17019542534
2000-09-07,16983433179
2000-09-08,16604284954
2000-09-11,16586230277
2000-09-12,17188052856
2000-09-13,17206107533
2000-09-14,17302399146
2000-09-15,16736685921
2000-09-18,15647387054
2000-09-19,15761733344
2000-09-20,16026535278
2000-09-21,15948298343
2000-09-22,16176990923
2000-09-25,16080699310
2000-09-26,16134863342
2000-09-27,16116808665
2000-09-28,16851032212
2000-09-29,16814922857
2000-10-02,16586230277
2000-10-03,17266289791
2000-10-04,17753766080
2000-10-05,17850057693
2000-10-06,18090786724
2000-10-09,18241242369
2000-10-10,18205133014
2000-10-11,17958385757
2000-10-12,17452854791
2000-10-13,17585255758
2000-10-16,17699602048
2000-10-17,17338508500
2000-10-18,17356563178
2000-10-19,16682521889
2000-10-20,16249209633
2000-10-23,15912188988
2000-10-24,16062644633
2000-10-25,15575168344
2000-10-26,15551095441
2000-10-27,15364530441
2000-10-30,16176990923
2000-10-31,16718631244
2000-11-01,16965378502
2000-11-02,16628357857
2000-11-03,16532066245
2000-11-06,17037597211
2000-11-07,17302399146
2000-11-08,17531091726
2000-11-09,17585255758
2000-11-10,17621365113
