,EQT
2000-01-03,149256200
2000-01-04,154155200
2000-01-05,158727600
2000-01-06,160687200
2000-01-07,162973400
2000-01-10,158401000
2000-01-11,156441400
2000-01-12,156114800
2000-01-13,158074400
2000-01-14,157421200
2000-01-18,158401000
2000-01-19,159054200
2000-01-20,157747800
2000-01-21,161013800
2000-01-24,159054200
2000-01-25,153828600
2000-01-26,156441400
2000-01-27,155461600
2000-01-28,156114800
2000-01-31,153502000
2000-02-01,153502000
2000-02-02,155135000
2000-02-03,155135000
2000-02-04,152848800
2000-02-07,150562600
2000-02-08,149256200
2000-02-09,146316800
2000-02-10,151542400
2000-02-11,146316800
2000-02-14,149256200
2000-02-15,153502000
2000-02-16,153502000
2000-02-17,158727600
2000-02-18,155461600
2000-02-22,153502000
2000-02-23,151542400
2000-02-24,153828600
2000-02-25,149909400
2000-02-28,153502000
2000-02-29,167872400
2000-03-01,161340400
2000-03-02,165259600
2000-03-03,166566000
2000-03-06,165912800
2000-03-07,169505400
2000-03-08,172118200
2000-03-09,176037400
2000-03-10,179630000
2000-03-13,178323600
2000-03-14,176364000
2000-03-15,173751200
2000-03-16,178650200
2000-03-17,174731000
2000-03-20,184202400
2000-03-21,181589600
2000-03-22,179956600
2000-03-23,182569400
2000-03-24,186162000
2000-03-27,184202400
2000-03-28,185508800
2000-03-29,194327000
2000-03-30,201838800
2000-03-31,398171400
2000-04-03,392296740
2000-04-04,392296740
2000-04-05,390338520
2000-04-06,396213180
2000-04-07,399476880
2000-04-10,396213180
2000-04-11,387074820
2000-04-12,393602220
2000-04-13,396213180
2000-04-14,394254960
2000-04-17,394254960
2000-04-18,406004280
2000-04-19,406657020
2000-04-20,404046060
2000-04-24,402740580
2000-04-25,406657020
2000-04-26,415142640
2000-04-27,415142640
2000-04-28,411878940
2000-05-01,415795380
2000-05-02,410573460
2000-05-03,412531680
2000-05-04,419711820
2000-05-05,426891960
2000-05-08,424933740
2000-05-09,414489900
2000-05-10,414489900
2000-05-11,428850180
2000-05-12,422322780
2000-05-15,424933740
2000-05-16,433419360
2000-05-17,434072100
2000-05-18,425586480
2000-05-19,425586480
2000-05-22,422975520
2000-05-23,428850180
2000-05-24,432113880
2000-05-25,431461140
2000-05-26,442557720
2000-05-30,444515940
2000-05-31,441904980
2000-06-01,451043340
2000-06-02,451696080
2000-06-05,429502920
2000-06-06,443863200
2000-06-07,451043340
2000-06-08,445821420
2000-06-09,443210460
2000-06-12,433419360
2000-06-13,439946760
2000-06-14,431461140
2000-06-15,435377580
2000-06-16,431461140
2000-06-19,438641280
2000-06-20,439294020
2000-06-21,435377580
2000-06-22,434072100
2000-06-23,424281000
2000-06-26,417753600
2000-06-27,407309760
2000-06-28,429502920
2000-06-29,424933740
2000-06-30,426642660
2000-07-03,425343900
2000-07-05,415603200
2000-07-06,420798240
2000-07-07,418850100
2000-07-10,415603200
2000-07-11,420148860
2000-07-12,415603200
2000-07-13,424045140
2000-07-14,416901960
2000-07-17,424045140
2000-07-18,424694520
2000-07-19,427292040
2000-07-20,435084600
2000-07-21,435084600
2000-07-24,432487080
2000-07-25,448072200
2000-07-26,468202980
2000-07-27,479891820
2000-07-28,470800500
2000-07-31,460410420
2000-08-01,475346160
2000-08-02,483788100
2000-08-03,492230040
2000-08-04,494178180
2000-08-07,497425080
2000-08-08,488983140
2000-08-09,486385620
2000-08-10,497425080
2000-08-11,500671980
2000-08-14,507165780
2000-08-15,512360820
2000-08-16,513659580
2000-08-17,512360820
2000-08-18,514958340
2000-08-21,503918880
2000-08-22,502620120
2000-08-23,501970740
2000-08-24,507815160
2000-08-25,505867020
2000-08-28,507165780
2000-08-29,507165780
2000-08-30,495476940
2000-08-31,497425080
2000-09-01,518854620
2000-09-05,503269500
2000-09-06,505217640
2000-09-07,515607720
2000-09-08,520153380
2000-09-11,528595320
2000-09-12,531192840
2000-09-13,531192840
2000-09-14,539634780
2000-09-15,546128580
2000-09-18,544180440
2000-09-19,542232300
2000-09-20,538336020
2000-09-21,543531060
2000-09-22,534439740
2000-09-25,509763300
2000-09-26,542232300
2000-09-27,548076720
2000-09-28,553921140
2000-09-29,560414940
2000-10-02,1123427400
2000-10-03,1122128640
2000-10-04,1118232360
2000-10-05,1111738560
2000-10-06,1111738560
2000-10-09,1127323680
2000-10-10,1127323680
2000-10-11,1122128640
2000-10-12,1105244760
2000-10-13,1124726160
2000-10-16,1127323680
2000-10-17,1103946000
2000-10-18,1094854680
2000-10-19,1094854680
2000-10-20,1088360880
2000-10-23,1120829880
2000-10-24,1063684439
2000-10-25,1036410480
2000-10-26,1016929080
2000-10-27,1029916680
2000-10-30,1011734040
2000-10-31,1024721640
2000-11-01,1040306760
2000-11-02,1033812960
2000-11-03,1024721640
2000-11-06,1028617920
2000-11-07,1023422880
2000-11-08,1039008000
2000-11-09,1032514200
2000-11-10,1040306760
2000-11-13,1010435280
2000-11-14,1013032800
2000-11-15,1020825360
2000-11-16,1022124120
2000-11-17,1024721640
2000-11-20,1027319160
2000-11-21,1036410480
2000-11-22,1024721640
2000-11-24,1029916680
2000-11-27,1041605520
2000-11-28,1044203039
2000-11-29,1039008000
2000-11-30,985758840
2000-12-01,1009136520
2000-12-04,1024721640
2000-12-05,1026020400
2000-12-06,1027319160
2000-12-07,1046800560
2000-12-08,1048099320
2000-12-11,1064983199
2000-12-12,1074074520
2000-12-13,1071477000
2000-12-14,1042904279
2000-12-15,1050696840
2000-12-18,1057190640
2000-12-19,1068879480
2000-12-20,1051995600
2000-12-21,1059788160
2000-12-22,1070178240
2000-12-26,1103946000
2000-12-27,1102647240
2000-12-28,1166286480
2000-12-29,1180572840
2001-01-02,569207400
2001-01-03,539385600
2001-01-04,501135900
2001-01-05,511508700
2001-01-08,523178100
2001-01-09,523826400
2001-01-10,516695100
2001-01-11,511508700
2001-01-12,511508700
2001-01-16,514750200
2001-01-17,514750200
2001-01-18,510212100
2001-01-19,501135900
2001-01-22,506970600
2001-01-23,510860400
2001-01-24,522529800
2001-01-25,520584899
2001-01-26,519288300
2001-01-29,516046800
2001-01-30,519288300
2001-01-31,517991700
2001-02-01,519288300
2001-02-02,522529800
2001-02-05,529661100
2001-02-06,529012800
2001-02-07,547165200
2001-02-08,548461800
2001-02-09,550406700
2001-02-12,550406700
2001-02-13,543923700
2001-02-14,539385600
2001-02-15,526419599
2001-02-16,529661100
2001-02-20,527716200
2001-02-21,521881500
2001-02-22,516695100
2001-02-23,512805300
2001-02-26,513453600
2001-02-27,506322300
2001-02-28,506322300
2001-03-01,511508700
2001-03-02,524474700
2001-03-05,534847500
2001-03-06,540033900
2001-03-07,558834600
2001-03-08,576338700
2001-03-09,579580200
2001-03-12,577635300
2001-03-13,568559100
2001-03-14,556241400
2001-03-15,563372700
2001-03-16,560131200
2001-03-19,563372700
2001-03-20,578931900
2001-03-21,577635300
2001-03-22,563372700
2001-03-23,574393800
2001-03-26,581525100
2001-03-27,593194500
2001-03-28,607457100
2001-03-29,593194500
2001-03-30,608753700
2001-04-02,609517480
2001-04-03,621151960
2001-04-04,630847360
2001-04-05,647652720
2001-04-06,637310960
2001-04-09,643128200
