,HSY
2001-01-23,7838510000
2001-01-24,7991670000
2001-01-25,7983465000
2001-01-26,7999875000
2001-01-29,8112010000
2001-01-30,8068250000
2001-01-31,8136625000
2001-02-01,8177650000
2001-02-02,8180385000
2001-02-05,8300725000
2001-02-06,8349955000
2001-02-07,8478500000
2001-02-08,8702770000
2001-02-09,8757470000
2001-02-12,8844990000
2001-02-13,8877810000
2001-02-14,8686360000
2001-02-15,8648070000
2001-02-16,8806700000
2001-02-20,8888750000
2001-02-21,8746530000
2001-02-22,8615250000
2001-02-23,8590635000
2001-02-26,8741060000
2001-02-27,8738325000
2001-02-28,8765675000
2001-03-01,8875075000
2001-03-02,8683625000
2001-03-05,8752000000
2001-03-06,8689095000
2001-03-07,8713710000
2001-03-08,8820375000
2001-03-09,8839520000
2001-03-12,8918835000
2001-03-13,8855930000
2001-03-14,8823110000
2001-03-15,8916100000
2001-03-16,9039175000
2001-03-19,9082935000
2001-03-20,9088405000
2001-03-21,9000885000
2001-03-22,8883280000
2001-03-23,8850460000
2001-03-26,8839520000
2001-03-27,9102080000
2001-03-28,9285325000
2001-03-29,9433015000
2001-03-30,9479510000
2001-04-02,9382279800
2001-04-03,9204946800
2001-04-04,9185849400
2001-04-05,9112188000
2001-04-06,9049439400
2001-04-09,9147654600
2001-04-10,9139470000
2001-04-11,9065808600
2001-04-12,8989419000
2001-04-16,8934855000
2001-04-17,8853009000
2001-04-18,8588373600
2001-04-19,8667491400
2001-04-20,8457420000
2001-04-23,8290999800
2001-04-24,8299184400
2001-04-25,8506527600
2001-04-26,8487430200
2001-04-27,8544722400
2001-04-30,8241892200
2001-05-01,8154589800
2001-05-02,8211882000
2001-05-03,8170959000
2001-05-04,8220066600
2001-05-07,8361933000
2001-05-08,8394671400
2001-05-09,8304640800
2001-05-10,8184600000
2001-05-11,8160046200
2001-05-14,8184600000
2001-05-15,8116395000
2001-05-16,8184600000
2001-05-17,8143677000
2001-05-18,8053646400
2001-05-21,8078200200
2001-05-22,8020908000
2001-05-23,8121851400
2001-05-24,8220066600
2001-05-25,8151861600
2001-05-29,8250076800
2001-05-30,8310097200
2001-05-31,8271902400
2001-06-01,8307369000
2001-06-04,8353748400
2001-06-05,8323738200
2001-06-06,8299184400
2001-06-07,8318281800
