,CI
2000-01-03,13204937885
2000-01-04,13149391301
2000-01-05,13098894407
2000-01-06,13730105587
2000-01-07,14325968941
2000-01-10,14245173910
2000-01-11,13876546581
2000-01-12,13896745338
2000-01-13,14159329189
2000-01-14,13568515525
2000-01-18,13295832295
2000-01-19,13033248444
2000-01-20,12780763972
2000-01-21,12548478258
2000-01-24,12109155277
2000-01-25,12033409935
2000-01-26,12245496892
2000-01-27,12194999997
2000-01-28,12215198755
2000-01-31,12078857140
2000-02-01,12099055898
2000-02-02,12412136643
2000-02-03,12593925463
2000-02-04,12770664593
2000-02-07,12836310556
2000-02-08,12583826084
2000-02-09,12962552792
2000-02-10,13275633537
2000-02-11,13442273289
2000-02-14,13457422357
2000-02-15,13351378879
2000-02-16,13265534158
2000-02-17,13381677016
2000-02-18,12962552792
2000-02-22,12760565214
2000-02-23,12624223600
2000-02-24,12285894407
2000-02-25,12119254656
2000-02-28,12432335401
2000-02-29,12422236022
2000-03-01,12179850929
2000-03-02,11791024842
2000-03-03,11993012420
2000-03-06,11563788817
2000-03-07,11033571426
2000-03-08,10887130432
2000-03-09,10770987575
2000-03-10,10730590060
2000-03-13,10301366457
2000-03-14,10331664594
2000-03-15,10952776395
2000-03-16,11109316768
2000-03-17,10614447202
2000-03-20,10942677016
2000-03-21,11816273289
2000-03-22,12023310556
2000-03-23,12306093165
2000-03-24,12836310556
2000-03-27,12664621115
2000-03-28,12255596270
2000-03-29,12477782606
2000-03-30,13119093165
2000-03-31,12750465836
2000-04-03,12881610000
2000-04-04,12558000000
2000-04-05,12751200000
2000-04-06,12847800000
2000-04-07,12427590000
2000-04-10,13012020000
2000-04-11,13606110000
2000-04-12,13644750000
2000-04-13,13654410000
2000-04-14,12992700000
2000-04-17,13031340000
2000-04-18,13089300000
2000-04-19,12799500000
2000-04-20,13263180000
2000-04-24,13485360000
2000-04-25,13190730000
2000-04-26,13113450000
2000-04-27,12799500000
2000-04-28,12838140000
2000-05-01,12707730000
2000-05-02,12075000000
2000-05-03,11934930000
2000-05-04,12355140000
2000-05-05,12224730000
2000-05-08,12688410000
2000-05-09,12519360000
2000-05-10,12234390000
2000-05-11,12316500000
2000-05-12,12712560000
2000-05-15,13219710000
2000-05-16,13543320000
2000-05-17,13504680000
2000-05-18,13924890000
2000-05-19,13944210000
2000-05-22,14320950000
2000-05-23,14480340000
2000-05-24,14427210000
2000-05-25,14369250000
2000-05-26,14127750000
2000-05-30,14277480000
2000-05-31,14296800000
2000-06-01,14079450000
2000-06-02,14388570000
2000-06-05,14147070000
2000-06-06,13606110000
2000-06-07,13886250000
2000-06-08,13968360000
2000-06-09,14248500000
2000-06-12,14581770000
2000-06-13,15142050000
2000-06-14,15103410000
2000-06-15,15175860000
2000-06-16,14813610000
2000-06-19,15373890000
2000-06-20,15436680000
2000-06-21,15064770000
2000-06-22,15045450000
2000-06-23,15055110000
2000-06-26,15084090000
2000-06-27,15142050000
2000-06-28,15475320000
2000-06-29,15716820000
2000-06-30,15055110000
2000-07-03,14815213488
2000-07-05,14838640454
2000-07-06,15166617982
2000-07-07,15569561802
2000-07-10,15607044949
2000-07-11,15588303376
2000-07-12,16066213488
2000-07-13,15785089892
2000-07-14,15578932589
2000-07-17,15850685398
2000-07-18,15316550566
2000-07-19,15138505623
2000-07-20,15354033713
2000-07-21,15157247196
2000-07-24,15012000005
2000-07-25,15138505623
2000-07-26,15307179780
2000-07-27,15616415735
2000-07-28,15344662926
2000-07-31,15597674162
2000-08-01,15813202252
2000-08-02,15072910117
2000-08-03,15190044948
2000-08-04,15667955061
2000-08-07,15958449443
2000-08-08,16127123600
2000-08-09,15869426971
2000-08-10,15902224724
2000-08-11,16426988769
2000-08-14,16244258432
2000-08-15,16263000005
2000-08-16,16056842702
2000-08-17,15930337084
2000-08-18,15803831465
2000-08-21,15733550567
2000-08-22,15822573039
2000-08-23,15400887645
2000-08-24,15199415735
2000-08-25,15208786521
2000-08-28,15443056184
2000-08-29,15363404499
2000-08-30,15316550566
2000-08-31,15190044948
2000-09-01,14698078656
2000-09-05,14876123600
2000-09-06,14857382027
2000-09-07,14445067420
2000-09-08,14046808993
2000-09-11,14360730341
2000-09-12,14229539330
2000-09-13,14243595510
2000-09-14,14562202252
2000-09-15,14210797757
2000-09-18,13686033712
2000-09-19,13920303375
2000-09-20,13742258431
2000-09-21,13859393263
2000-09-22,14496606746
2000-09-25,14702764049
2000-09-26,14937033712
2000-09-27,15986561803
2000-09-28,16061528095
2000-09-29,16305168544
2000-10-02,16984550567
2000-10-03,16712797758
2000-10-04,16834617983
2000-10-05,17560853938
2000-10-06,17171966297
2000-10-09,17064202252
2000-10-10,17256303376
2000-10-11,17499943826
2000-10-12,17298471915
