,JKHY
2001-01-23,1824651250
2001-01-24,1915224300
2001-01-25,1885326400
2001-01-26,1959191800
2001-01-29,2085818200
2001-01-30,2105163900
2001-01-31,2005797350
2001-02-01,2022505000
2001-02-02,2000521250
2001-02-05,2149131400
2001-02-06,2157045550
2001-02-07,2149131400
2001-02-08,2154407500
2001-02-09,2140337900
2001-02-12,2129785700
2001-02-13,2115716100
2001-02-14,2143855300
2001-02-15,2154407500
2001-02-16,2137699850
2001-02-20,2058558350
2001-02-21,2033936550
2001-02-22,1948639600
2001-02-23,1948639600
2001-02-26,1956553750
2001-02-27,2014590850
2001-02-28,2008435400
2001-03-01,2041850700
2001-03-02,2071748600
2001-03-05,2066472500
2001-03-06,2099887800
2001-03-07,2154407500
2001-03-08,2176391250
2001-03-09,2149131400
2001-03-12,2132423750
2001-03-13,2187822800
2001-03-14,2209806550
2001-03-15,2193978250
2001-03-16,2137699850
2001-03-19,2055920300
2001-03-20,2033936550
2001-03-21,2033936550
2001-03-22,2154407500
2001-03-23,2105163900
2001-03-26,2132423750
2001-03-27,2176391250
2001-03-28,2088456250
2001-03-29,2022505000
2001-03-30,2083180150
2001-04-02,1843224940
2001-04-03,1710363940
2001-04-04,1672277120
2001-04-05,1915855620
2001-04-06,1821081440
2001-04-09,1823738660
2001-04-10,1960142620
2001-04-11,2069974380
2001-04-12,2100089540
2001-04-16,2136404880
2001-04-17,2242693680
2001-04-18,2324181760
2001-04-19,2418070200
2001-04-20,2435785000
2001-04-23,2426927600
2001-04-24,2352525440
2001-04-25,2488929400
2001-04-26,2485386440
2001-04-27,2511958640
2001-04-30,2496901060
2001-05-01,2501329760
2001-05-02,2535873620
2001-05-03,2568646000
2001-05-04,2589018020
2001-05-07,2562445820
2001-05-08,2482729220
2001-05-09,2387069300
2001-05-10,2391498000
2001-05-11,2311781400
2001-05-14,2251551080
2001-05-15,2364925800
2001-05-16,2397698180
2001-05-17,2431356300
2001-05-18,2342782300
2001-05-21,2550045460
2001-05-22,2562445820
2001-05-23,2521701780
2001-05-24,2537645100
2001-05-25,2569531740
2001-05-29,2573960440
2001-05-30,2526130480
2001-05-31,2581932100
2001-06-01,2586360800
2001-06-04,2652791300
2001-06-05,2657220000
2001-06-06,2625333360
2001-06-07,2612933000
2001-06-08,2610275780
2001-06-11,2588132280
2001-06-12,2549159720
2001-06-13,2490700880
2001-06-14,2471214600
2001-06-15,2431356300
2001-06-18,2404784100
2001-06-19,2447299620
2001-06-20,2596989680
2001-06-21,2568646000
2001-06-22,2596103940
2001-06-25,2556245640
2001-06-26,2565988780
2001-06-27,2626219100
2001-06-28,2643048160
2001-06-29,2745794000
2001-07-02,2769965280
2001-07-03,2790424240
2001-07-05,2734384480
2001-07-06,2704140800
2001-07-09,2694356080
2001-07-10,2664112400
2001-07-11,2668560000
2001-07-12,2746837760
2001-07-13,2802877520
2001-07-16,2785976640
2001-07-17,2792203280
2001-07-18,2783308080
2001-07-19,2758401520
2001-07-20,2730826400
2001-07-23,2327873840
2001-07-24,2425721040
2001-07-25,2477313200
2001-07-26,2549364320
2001-07-27,2508446400
2001-07-30,2538690080
2001-07-31,2514673040
2001-08-01,2551143360
2001-08-02,2543137680
2001-08-03,2527126320
2001-08-06,2482650320
2001-08-07,2422162960
2001-08-08,2406151600
2001-08-09,2361675600
2001-08-10,2294961600
2001-08-13,2223800000
2001-08-14,2241590400
2001-08-15,2237142800
2001-08-16,2268276000
2001-08-17,2232695200
2001-08-20,2242479920
2001-08-21,2254933200
2001-08-22,2287845440
2001-08-23,2270055040
2001-08-24,2262049360
2001-08-27,2197114400
2001-08-28,2183771600
2001-08-29,2188219200
2001-08-30,2198003920
2001-08-31,2277171200
2001-09-04,2339437600
2001-09-05,2198003920
2001-09-06,2105493840
2001-09-07,2103714799
2001-09-10,2014762799
2001-09-17,1996972400
2001-09-18,1982740080
2001-09-19,1970286799
2001-09-20,1917805120
2001-09-21,1850201600
2001-09-24,1868881520
2001-09-25,1902683280
2001-09-26,1889340479
2001-09-27,1957833520
2001-09-28,2018320880
2001-10-01,1957604000
2001-10-02,1881969299
2001-10-03,2059933299
2001-10-04,2051924920
2001-10-05,2002095000
2001-10-08,2037687799
2001-10-09,2131118900
2001-10-10,2166711700
2001-10-11,2046586000
2001-10-12,2126669799
2001-10-15,2082178799
2001-10-16,1957604000
2001-10-17,2041247080
2001-10-18,2076839880
2001-10-19,2100865020
2001-10-22,2135568000
2001-10-23,2206753600
2001-10-24,2245905680
2001-10-25,2240566760
2001-10-26,2258363160
2001-10-29,2189847020
2001-10-30,2136457820
2001-10-31,2194296120
2001-11-01,2213872160
2001-11-02,2237007480
2001-11-05,2282388300
2001-11-06,2392725980
2001-11-07,2304633800
2001-11-08,2321540380
2001-11-09,2283278120
2001-11-12,2246795500
2001-11-13,2268151180
2001-11-14,2281498480
2001-11-15,2221880540
2001-11-16,2178279360
2001-11-19,2188957200
2001-11-20,2180059000
2001-11-21,2220100900
2001-11-23,2224550000
2001-11-26,2224550000
2001-11-27,2236117660
2001-11-28,2220100900
2001-11-29,2206753600
2001-11-30,2125779980
2001-12-03,2142686559
2001-12-04,2148915300
2001-12-05,2143576380
2001-12-06,2100865020
2001-12-07,2124000340
2001-12-10,2064382400
2001-12-11,2050145280
2001-12-12,2048365640
2001-12-13,1775190900
2001-12-14,1784089100
2001-12-17,1767182520
2001-12-18,1789428020
2001-12-19,1801885500
2001-12-20,1792987299
2001-12-21,1753835220
2001-12-24,1796546580
2001-12-26,1833029200
2001-12-27,1877520200
2001-12-28,1941587240
2001-12-31,2019828720
2002-01-02,2038325320
2002-01-03,2057746750
2002-01-04,2085491650
2002-01-07,2111386889
2002-01-08,2108612400
2002-01-09,2140981449
2002-01-10,2163177370
2002-01-11,2177974650
2002-01-14,2090115800
2002-01-15,2113236550
2002-01-16,2023528040
2002-01-17,2029077020
2002-01-18,2002256949
2002-01-22,2002256949
2002-01-23,2032776340
2002-01-24,2038325320
2002-01-25,2036475660
2002-01-28,2032776340
2002-01-29,1943067830
2002-01-30,1986534840
2002-01-31,2014279740
2002-02-01,2048498449
2002-02-04,1991158990
2002-02-05,2009655590
2002-02-06,2017054230
2002-02-07,1935669190
2002-02-08,1996707970
2002-02-11,2034626000
2002-02-12,2000407290
2002-02-13,2023528040
2002-02-14,2054047430
2002-02-15,2025377699
2002-02-19,1985610010
2002-02-20,2007805930
2002-02-21,1926420889
2002-02-22,2029077020
2002-02-25,1991158990
2002-02-26,2025377699
2002-02-27,1975436880
2002-02-28,2006881100
2002-03-01,1965263750
2002-03-04,2137282130
2002-03-05,2157628390
2002-03-06,2159478050
2002-03-07,2108612400
2002-03-08,2130808320
2002-03-11,2152079410
2002-03-12,2150229750
2002-03-13,2180749140
2002-03-14,2212193360
2002-03-15,2222366490
2002-03-18,2191847100
2002-03-19,2242712750
2002-03-20,2196471250
2002-03-21,2240863090
2002-03-22,2050348110
2002-03-25,2115086210
2002-03-26,2058671580
2002-03-27,2076243350
2002-03-28,2051272940
