,CPRI
2012-06-28,7844643573
2012-06-29,8066352595
2012-07-02,8334553572
2012-07-03,8291802306
2012-07-05,8635755671
2012-07-06,8460864129
2012-07-09,8282086109
2012-07-10,8282086109
2012-07-11,7907040915
2012-07-12,7588349661
2012-07-13,7656363039
2012-07-16,7561144310
2012-07-17,7563087550
2012-07-18,7895381479
2012-07-19,8097478371
2012-07-20,7769070921
2012-07-23,7706887262
2012-07-24,7753525006
2012-07-25,7681625150
2012-07-26,8052783866
2012-07-27,8031408233
2012-07-30,8060556823
2012-07-31,8023635276
2012-08-01,7852630213
2012-08-02,7693284586
2012-08-03,8004202882
2012-08-06,8326780614
2012-08-07,8406453428
2012-08-08,8324837375
2012-08-09,8355929205
2012-08-10,8223788929
2012-08-13,8229618647
2012-08-14,9585999713
2012-08-15,9597659149
2012-08-16,9624864500
2012-08-17,10122333774
2012-08-20,10097071662
2012-08-21,10007682652
2012-08-22,10071809551
2012-08-23,10040717721
2012-08-24,10477946575
2012-08-27,10433252070
2012-08-28,10462400660
2012-08-29,10394387283
2012-08-30,10211722784
2012-08-31,10483776293
2012-09-04,10394387283
2012-09-05,10295282076
2012-09-06,10784978392
2012-09-07,10887970078
2012-09-10,10396330522
2012-09-11,10361352214
2012-09-12,10297225315
2012-09-13,10520697840
2012-09-14,10413819676
2012-09-17,10483776293
2012-09-18,10221438981
2012-09-19,10205893066
2012-09-20,10200063348
2012-09-21,11144477672
2012-09-24,10590654457
2012-09-25,10163141800
2012-09-26,10260303768
2012-09-27,10349692778
2012-09-28,10334146863
2012-10-01,10542519292
2012-10-02,10564441354
2012-10-03,10556469695
2012-10-04,10648143776
2012-10-05,10654122520
2012-10-08,10628214628
2012-10-09,10373121534
2012-10-10,10408994000
2012-10-11,10580384673
2012-10-12,10558462610
2012-10-15,10739817857
2012-10-16,11319756064
2012-10-17,11174273283
2012-10-18,11253989875
2012-10-19,10970995974
2012-10-22,10921173104
2012-10-23,10961031400
2012-10-24,11010854270
2012-10-25,10773697408
2012-10-26,10859392745
2012-10-31,10899251041
2012-11-01,11353635615
2012-11-02,11200181176
2012-11-05,11257975705
2012-11-06,11124450413
2012-11-07,10883307722
2012-11-08,10104078036
2012-11-09,10050269336
2012-11-12,10080163058
2012-11-13,10165858394
2012-11-14,9587913102
2012-11-15,9663643865
2012-11-16,10028347273
2012-11-19,10086141802
2012-11-20,10241589157
2012-11-21,10211695435
2012-11-23,10257532475
2012-11-26,10259525390
2012-11-27,10243582072
2012-11-28,10652129606
2012-11-29,10570420099
2012-11-30,10592342162
2012-12-03,10662094180
2012-12-04,10454831040
2012-12-05,10044290592
2012-12-06,10251553731
2012-12-07,10283440368
2012-12-10,9914751130
2012-12-11,10147922161
2012-12-12,9922722789
2012-12-13,9827062878
2012-12-14,9940659022
2012-12-17,10199737946
2012-12-18,10644157946
2012-12-19,10650136691
2012-12-20,10982953462
2012-12-21,10660101265
2012-12-24,10676044583
2012-12-26,9970552744
2012-12-27,9846992026
2012-12-28,9801154986
2012-12-31,10169844224
2013-01-02,10265504134
2013-01-03,10373121534
2013-01-04,10408994000
2013-01-07,10468781444
2013-01-08,10562448440
2013-01-09,10624228798
2013-01-10,10365149874
2013-01-11,10550490951
2013-01-14,10853414000
2013-01-15,10825513193
2013-01-16,10783661982
2013-01-17,10574405928
2013-01-18,10857399830
2013-01-22,10951066826
2013-01-23,11086585032
2013-01-24,11305805660
2013-01-25,11574849158
2013-01-28,11509082970
2013-01-29,11453281355
2013-01-30,11224096153
2013-01-31,11186230772
2013-02-01,11104521265
2013-02-04,10943095166
2013-02-05,11036762162
2013-02-06,11134414987
2013-02-07,11291855256
2013-02-08,11379543508
2013-02-11,11359614360
2013-02-12,12356071760
2013-02-13,12226532298
2013-02-14,12290305571
2013-02-15,12609171939
2013-02-19,12922059563
2013-02-20,12256426020
2013-02-21,11758197320
2013-02-22,11780119382
2013-02-25,11531005032
2013-02-26,11806027275
2013-02-27,11849871400
2013-02-28,11813998934
2013-03-01,11804034360
2013-03-04,11812006019
2013-03-05,12061120369
2013-03-06,12194645661
2013-03-07,11600757050
2013-03-08,11596771221
2013-03-11,10961031400
2013-03-12,11216124494
2013-03-13,11660544494
2013-03-14,11568870414
2013-03-15,11435345122
2013-03-18,11578834988
2013-03-19,11190216602
2013-03-20,11236053642
2013-03-21,10970995974
2013-03-22,11082599202
2013-03-25,11044733821
2013-03-26,11004875525
2013-03-27,11242032386
2013-03-28,11317763149
2013-04-01,11167054489
2013-04-02,10897435516
2013-04-03,11058402067
2013-04-04,10998039610
2013-04-05,11062426231
2013-04-08,11328021040
2013-04-09,11205284045
2013-04-10,11086571213
2013-04-11,11531241311
2013-04-12,11267658584
2013-04-15,10865242206
2013-04-16,10657997771
2013-04-17,10849145550
2013-04-18,10786771012
2013-04-19,10680130672
2013-04-22,10535260776
2013-04-23,10883350943
2013-04-24,10768662275
2013-04-25,11396431824
2013-04-26,11291803566
2013-04-29,11277718993
2013-04-30,11456794281
2013-05-01,11368262678
2013-05-02,11478927182
2013-05-03,11678123289
2013-05-06,11486975510
2013-05-07,11752570319
2013-05-08,11666050798
2013-05-09,11953778508
2013-05-10,12144926288
2013-05-13,12269675365
2013-05-14,12342110313
2013-05-15,12173095434
2013-05-16,11925609362
2013-05-17,12195228335
2013-05-20,12189192089
2013-05-21,12319977412
2013-05-22,12165047106
2013-05-23,12034261784
2013-05-24,12090600077
2013-05-28,12470883554
2013-05-29,12867263686
2013-05-30,13215353853
2013-05-31,12639898432
2013-06-03,12523197683
2013-06-04,12388388196
2013-06-05,12321989494
2013-06-06,12460823144
2013-06-07,12613741368
2013-06-10,12509113110
2013-06-11,12328025740
2013-06-12,12179131680
2013-06-13,11971887245
2013-06-14,12233457891
2013-06-17,12386376114
2013-06-18,12400460688
2013-06-19,12414545261
2013-06-20,11992008064
2013-06-21,11907500625
2013-06-24,11488987591
2013-06-25,11879331478
2013-06-26,12012128883
2013-06-27,12330037821
2013-06-28,12478931881
2013-07-01,12595234896
2013-07-02,12631695853
2013-07-03,12651951940
2013-07-05,12755257983
2013-07-08,12915281071
2013-07-09,13020612723
2013-07-10,12998331027
2013-07-11,13002382245
2013-07-12,12927434723
2013-07-15,12690438505
2013-07-16,12682336070
2013-07-17,12749181157
2013-07-18,12495980070
2013-07-19,12583081244
2013-07-22,12704617766
2013-07-23,12842359158
2013-07-24,12941613984
2013-07-25,13079355375
2013-07-26,13132021202
2013-07-29,12963895680
2013-07-30,13279890637
2013-07-31,13640448985
2013-08-01,13905803725
2013-08-02,13936187856
2013-08-05,13749831855
2013-08-06,14258259639
2013-08-07,14084057291
2013-08-08,14438538813
2013-08-09,14594510683
2013-08-12,14584382640
2013-08-13,14665406988
2013-08-14,14584382640
2013-08-15,14428410770
2013-08-16,14219773074
2013-08-19,14130646291
2013-08-20,14434487596
2013-08-21,14513486335
2013-08-22,14622869205
2013-08-23,14699842335
2013-08-26,14699842335
2013-08-27,14428410770
2013-08-28,14533742422
2013-08-29,14817327640
2013-08-30,15007734858
2013-09-03,15076605554
2013-09-04,15273089598
2013-09-05,15362216380
2013-09-06,15333857859
2013-09-09,15317652989
2013-09-10,14829481292
2013-09-11,15106989684
2013-09-12,14851762988
2013-09-13,14995581206
2013-09-16,15050272641
2013-09-17,15196116467
2013-09-18,15337909076
2013-09-19,15696441816
2013-09-20,15390574902
2013-09-23,15194090858
2013-09-24,15021914119
2013-09-25,14823404466
2013-09-26,14987478771
2013-09-27,15080656771
2013-09-30,15140629317
2013-10-01,15410852572
2013-10-02,15418979588
2013-10-03,15203613685
2013-10-04,15512440262
2013-10-07,15102025995
2013-10-08,14409197949
2013-10-09,14728183296
2013-10-10,15081708457
2013-10-11,14807421694
2013-10-14,15041073381
2013-10-15,14841961509
2013-10-16,15099994241
2013-10-17,14984184275
2013-10-18,15286915591
2013-10-21,15681075828
2013-10-22,15989902406
2013-10-23,15766409487
2013-10-24,15632313737
2013-10-25,15490090971
2013-10-28,15522599032
2013-10-29,15721710904
2013-10-30,15843616132
2013-10-31,15634345491
2013-11-01,15325518913
2013-11-04,15193454916
2013-11-05,16077267819
2013-11-06,16150410956
2013-11-07,15829393855
2013-11-08,16132125172
2013-11-11,16477523317
2013-11-12,16688825713
2013-11-13,16698984482
2013-11-14,16631936606
2013-11-15,16808699187
2013-11-18,16447047011
2013-11-19,16239808123
2013-11-20,16069140804
2013-11-21,16343427567
2013-11-22,16384062643
2013-11-25,16284506707
2013-11-26,16375935627
2013-11-27,16627873099
2013-11-29,16568952239
2013-12-02,16611619068
2013-12-03,16333268798
2013-12-04,16408443688
2013-12-05,16408443688
2013-12-06,16189014278
2013-12-09,16377967381
2013-12-10,16621777837
2013-12-11,16371872120
2013-12-12,16792445157
2013-12-13,16715238512
2013-12-16,16701016236
2013-12-17,16845270755
2013-12-18,17105335242
2013-12-19,17050477889
2013-12-20,17042350874
2013-12-23,16416570704
2013-12-24,16538475932
2013-12-26,16461269287
2013-12-27,16371872120
2013-12-30,16390985972
