,CCU
2001-01-23,1644554474
2001-01-24,1644554474
2001-01-25,1633377891
2001-01-26,1601444794
2001-01-29,1599848139
2001-01-30,1644554474
2001-01-31,1670100952
2001-02-01,1647747784
2001-02-02,1642957820
2001-02-05,1654134403
2001-02-06,1628587926
2001-02-07,1619007997
2001-02-08,1615814687
2001-02-09,1606234758
2001-02-12,1619007997
2001-02-13,1638167855
2001-02-14,1625394616
2001-02-15,1634974545
2001-02-16,1590268210
2001-02-20,1615814687
2001-02-21,1644554474
2001-02-22,1622201307
2001-02-23,1628587926
2001-02-26,1625394616
2001-02-27,1622201307
2001-02-28,1612621378
2001-03-01,1606234758
2001-03-02,1596654830
2001-03-05,1599848139
2001-03-06,1596654830
2001-03-07,1593461520
2001-03-08,1603041449
2001-03-09,1604638104
2001-03-12,1606234758
2001-03-13,1614218033
2001-03-14,1599848139
2001-03-15,1603041449
2001-03-16,1596654830
2001-03-19,1603041449
2001-03-20,1612621378
2001-03-21,1599848139
2001-03-22,1596654830
2001-03-23,1588671555
2001-03-26,1606234758
2001-03-27,1628587926
2001-03-28,1654134403
2001-03-29,1644554474
2001-03-30,1666907642
2001-04-02,1652537749
2001-04-03,1596654830
2001-04-04,1596654830
2001-04-05,1583881591
2001-04-06,1555141804
2001-04-09,1520015398
2001-04-10,1532788636
2001-04-11,1526402017
2001-04-12,1526402017
2001-04-16,1526402017
2001-04-17,1516822088
2001-04-18,1529595327
2001-04-19,1571108352
2001-04-20,1539175256
2001-04-23,1532788636
2001-04-24,1539175256
2001-04-25,1531191981
2001-04-26,1521612052
2001-04-27,1555141804
2001-04-30,1551948494
2001-05-01,1555141804
2001-05-02,1551948494
2001-05-03,1520015398
2001-05-04,1488082301
2001-05-07,1510435469
2001-05-08,1484888991
2001-05-09,1488082301
2001-05-10,1532788636
2001-05-11,1567915043
2001-05-14,1558335114
2001-05-15,1551948494
2001-05-16,1545561875
2001-05-17,1532788636
2001-05-18,1532788636
2001-05-21,1523208707
2001-05-22,1510435469
2001-05-23,1488082301
2001-05-24,1481695682
2001-05-25,1481695682
2001-05-29,1478502372
2001-05-30,1468922443
2001-05-31,1468922443
2001-06-01,1472115753
2001-06-04,1449762585
2001-06-05,1440182656
2001-06-06,1448165930
2001-06-07,1435392692
2001-06-08,1438586001
2001-06-11,1433796037
2001-06-12,1433796037
2001-06-13,1425812763
2001-06-14,1433796037
2001-06-15,1436989347
2001-06-18,1417829489
2001-06-19,1382703082
2001-06-20,1395476321
2001-06-21,1403459595
2001-06-22,1421022798
2001-06-25,1433796037
2001-06-26,1427409418
2001-06-27,1417829489
2001-06-28,1392283011
2001-06-29,1408249560
2001-07-02,1390686356
2001-07-03,1392283011
2001-07-05,1363543224
2001-07-06,1344383366
2001-07-09,1353963295
2001-07-10,1353963295
2001-07-11,1314046925
2001-07-12,1306063650
2001-07-13,1309256960
2001-07-16,1309256960
2001-07-17,1296483721
2001-07-18,1309256960
2001-07-19,1309256960
2001-07-20,1315643579
2001-07-23,1334803437
2001-07-24,1318836889
2001-07-25,1309256960
2001-07-26,1312450270
2001-07-27,1318836889
2001-07-30,1366736534
2001-07-31,1405056250
2001-08-01,1405056250
2001-08-02,1411442869
2001-08-03,1417829489
2001-08-06,1405056250
2001-08-07,1385896392
2001-08-08,1385896392
2001-08-09,1389089702
2001-08-10,1385896392
2001-08-13,1385896392
2001-08-14,1385896392
