,CMG
2006-01-26,1350052000
2006-01-27,1294822600
2006-01-30,1374598400
2006-01-31,1458056160
2006-02-01,1428600480
2006-02-02,1373064250
2006-02-03,1428293650
2006-02-06,1463885930
2006-02-07,1420009240
2006-02-08,1403440420
2006-02-09,1351586150
2006-02-10,1298197730
2006-02-13,1272730840
2006-02-14,1319369000
2006-02-15,1310164100
2006-02-16,1363859350
2006-02-17,1345449550
2006-02-21,1322437300
2006-02-22,1346063210
2006-02-23,1405281400
2006-02-24,1431975610
2006-02-27,1427679990
2006-02-28,1399144800
2006-03-01,1396076500
2006-03-02,1403747250
2006-03-03,1395462840
2006-03-06,1404974570
2006-03-07,1380735000
2006-03-08,1304027500
2006-03-09,1272117180
2006-03-10,1292061130
2006-03-13,1331949030
2006-03-14,1494262100
2006-03-15,1595516000
2006-03-16,1687565000
2006-03-17,1656882000
2006-03-20,1534150000
2006-03-21,1595516000
2006-03-22,1687565000
2006-03-23,1656882000
2006-03-24,1672223500
2006-03-27,1656882000
2006-03-28,1626199000
2006-03-29,1656882000
2006-03-30,1702906500
2006-03-31,1801641000
2006-04-03,1850333999
2006-04-04,1850333999
2006-04-05,1850333999
2006-04-06,1801641000
2006-04-07,1769179000
2006-04-10,1736717000
2006-04-11,1769179000
2006-04-12,1752948000
2006-04-13,1720486000
2006-04-17,1752948000
2006-04-18,1752948000
2006-04-19,1752948000
2006-04-20,1720486000
2006-04-21,1736717000
2006-04-24,1736717000
2006-04-25,1688024000
2006-04-26,1655562000
2006-04-27,1655562000
2006-04-28,1688024000
2006-05-01,1671793000
2006-05-02,1769179000
2006-05-03,1785410000
2006-05-04,1801641000
2006-05-05,1850333999
2006-05-08,1931489000
2006-05-09,2174954000
2006-05-10,2110030000
2006-05-11,2077568000
2006-05-12,2061337000
2006-05-15,2012644000
2006-05-16,2077568000
2006-05-17,2077568000
2006-05-18,2028875000
2006-05-19,2012644000
2006-05-22,1980182000
2006-05-23,1980182000
2006-05-24,1947720000
2006-05-25,1996413000
2006-05-26,1980182000
2006-05-30,1882795999
2006-05-31,1882795999
2006-06-01,1947720000
2006-06-02,1963951000
2006-06-05,1915258000
2006-06-06,1882795999
2006-06-07,1899027000
2006-06-08,1866564999
2006-06-09,1834102999
2006-06-12,1850333999
2006-06-13,1817872000
2006-06-14,1882795999
2006-06-15,2012644000
2006-06-16,2012644000
2006-06-19,1980182000
2006-06-20,1963951000
2006-06-21,2045106000
2006-06-22,2045106000
2006-06-23,2012644000
2006-06-26,2028875000
2006-06-27,2012644000
2006-06-28,1947720000
2006-06-29,1980182000
2006-06-30,1982439000
2006-07-03,1966189500
2006-07-05,1933690500
2006-07-06,1917441000
2006-07-07,1819944000
2006-07-10,1738696500
2006-07-11,1787445000
2006-07-12,1771195500
2006-07-13,1787445000
2006-07-14,1754946000
2006-07-17,1803694500
2006-07-18,1754946000
2006-07-19,1754946000
2006-07-20,1657449000
2006-07-21,1604475630
2006-07-24,1641199500
2006-07-25,1722447000
2006-07-26,1706197500
2006-07-27,1657449000
2006-07-28,1624950000
2006-07-31,1706197500
2006-08-01,1689948000
2006-08-02,1706197500
2006-08-03,1754946000
2006-08-04,1787445000
2006-08-07,1771195500
2006-08-08,1738696500
2006-08-09,1641199500
2006-08-10,1581726330
2006-08-11,1601875710
2006-08-14,1621050120
2006-08-15,1641199500
2006-08-16,1738696500
2006-08-17,1722447000
2006-08-18,1689948000
2006-08-21,1657449000
2006-08-22,1641199500
2006-08-23,1624950000
2006-08-24,1597975830
2006-08-25,1589201100
2006-08-28,1589201100
2006-08-29,1618450200
2006-08-30,1641199500
2006-08-31,1603500660
2006-09-01,1641199500
2006-09-05,1641199500
2006-09-06,1624950000
2006-09-07,1620075150
2006-09-08,1557352080
2006-09-11,1595700900
2006-09-12,1673698500
2006-09-13,1689948000
2006-09-14,1657449000
2006-09-15,1657449000
2006-09-18,1657449000
2006-09-19,1641199500
2006-09-20,1657449000
2006-09-21,1722447000
2006-09-22,1689948000
2006-09-25,1722447000
2006-09-26,1706197500
2006-09-27,1618450200
2006-09-28,1611950400
2006-09-29,1614225330
2006-10-02,1594460000
2006-10-03,1610730000
2006-10-04,1659540000
2006-10-05,1627000000
2006-10-06,1675810000
2006-10-09,1805970000
2006-10-10,1838509999
2006-10-11,1805970000
2006-10-12,1854779999
2006-10-13,1854779999
2006-10-16,1822240000
2006-10-17,1805970000
2006-10-18,1789700000
2006-10-19,1757160000
2006-10-20,1789700000
2006-10-23,1838509999
2006-10-24,1871049999
2006-10-25,1854779999
2006-10-26,1903590000
2006-10-27,1903590000
2006-10-30,1919860000
2006-10-31,1952400000
2006-11-01,1887319999
2006-11-02,1854779999
2006-11-03,1854779999
2006-11-06,1903590000
2006-11-07,1887319999
2006-11-08,1871049999
2006-11-09,1838509999
2006-11-10,1871049999
2006-11-13,1838509999
2006-11-14,1887319999
2006-11-15,1919860000
2006-11-16,1919860000
2006-11-17,1952400000
2006-11-20,2017480000
2006-11-21,1984940000
2006-11-22,2001210000
2006-11-24,1984940000
2006-11-27,1887319999
2006-11-28,1871049999
2006-11-29,1887319999
2006-11-30,1887319999
2006-12-01,1871049999
2006-12-04,1887319999
2006-12-05,1854779999
2006-12-06,1854779999
2006-12-07,1789700000
2006-12-08,1805970000
2006-12-11,1789700000
2006-12-12,1773430000
2006-12-13,1757160000
2006-12-14,1757160000
2006-12-15,1724620000
2006-12-18,1757160000
2006-12-19,1773430000
2006-12-20,1789700000
2006-12-21,1773430000
2006-12-22,1805970000
2006-12-26,1838509999
2006-12-27,1822240000
2006-12-28,1838509999
2006-12-29,1854779999
2007-01-03,1839526999
2007-01-04,1806969000
2007-01-05,1790690000
2007-01-08,1823248000
2007-01-09,1839526999
2007-01-10,1823248000
2007-01-11,1872084999
2007-01-12,1904643000
2007-01-16,1969759000
2007-01-17,1969759000
2007-01-18,1937201000
2007-01-19,1920922000
2007-01-22,1904643000
2007-01-23,1904643000
2007-01-24,1888363999
2007-01-25,1872084999
2007-01-26,1872084999
2007-01-29,1904643000
2007-01-30,1937201000
2007-01-31,1937201000
