,BUD
2010-07-27,87027700000
2010-07-28,85500340000
2010-07-29,84927580000
2010-07-30,84418460000
2010-08-02,86804960000
2010-08-03,87250440000
2010-08-04,87823200000
2010-08-05,85691260000
2010-08-06,83622960000
2010-08-09,83750240000
2010-08-10,83097930000
2010-08-11,80902350000
2010-08-12,84402550000
2010-08-13,84704840000
2010-08-16,85134410000
2010-08-17,85373060000
2010-08-18,85229870000
2010-08-19,83161570000
2010-08-20,82254700000
2010-08-23,82016050000
2010-08-24,81347830000
2010-08-25,81156910000
2010-08-26,81331920000
2010-08-27,82541080000
2010-08-30,81443290000
2010-08-31,82684270000
2010-09-01,86264020000
2010-09-02,87425450000
2010-09-03,87743650000
2010-09-07,86439030000
2010-09-08,88539150000
2010-09-09,87584550000
2010-09-10,87186800000
2010-09-13,88268680000
2010-09-14,88857350000
2010-09-15,89557390000
2010-09-16,89589210000
2010-09-17,88077760000
2010-09-20,89350560000
2010-09-21,89318740000
2010-09-22,89175550000
2010-09-23,89764220000
2010-09-24,93184870000
2010-09-27,91832520000
2010-09-28,93789450000
2010-09-29,94632680000
2010-09-30,93471250000
2010-10-01,93328060000
2010-10-04,91625690000
2010-10-05,94346300000
2010-10-06,95284990000
2010-10-07,94680410000
2010-10-08,98005600000
2010-10-11,98546540000
2010-10-12,99103390000
2010-10-13,101346700000
2010-10-14,100837580000
2010-10-15,99787520000
2010-10-18,99294310000
2010-10-19,97655580000
2010-10-20,98976110000
2010-10-21,101410340000
2010-10-22,101426250000
2010-10-25,101633080000
2010-10-26,99787520000
2010-10-27,97432840000
2010-10-28,99135210000
2010-10-29,100073900000
2010-11-01,100010260000
2010-11-02,101044410000
2010-11-03,98037420000
2010-11-04,99628420000
2010-11-05,97941960000
2010-11-08,96716890000
2010-11-09,96175950000
2010-11-10,96335050000
2010-11-11,93996280000
2010-11-12,93391700000
2010-11-15,93264420000
2010-11-16,91387040000
2010-11-17,93518980000
2010-11-18,96653250000
2010-11-19,96828260000
2010-11-22,96891900000
2010-11-23,94219020000
2010-11-24,93391700000
2010-11-26,91593870000
2010-11-29,89127820000
2010-11-30,87409540000
2010-12-01,90114240000
2010-12-02,91959800000
2010-12-03,92309820000
2010-12-06,91418860000
2010-12-07,91784790000
2010-12-08,91546140000
2010-12-09,91005200000
2010-12-10,91689330000
2010-12-13,92055260000
2010-12-14,92102990000
2010-12-15,90877920000
2010-12-16,91418860000
2010-12-17,91307490000
2010-12-20,90750640000
2010-12-21,91689330000
2010-12-22,91450680000
2010-12-23,91164300000
2010-12-27,91434770000
2010-12-28,90687000000
2010-12-29,90655180000
2010-12-30,91212030000
2010-12-31,90830190000
2011-01-03,91689330000
2011-01-04,91227940000
2011-01-05,90400620000
2011-01-06,90798370000
2011-01-07,90050600000
2011-01-10,90066510000
2011-01-11,90750640000
2011-01-12,92453010000
2011-01-13,93359880000
2011-01-14,92134810000
2011-01-18,91291580000
2011-01-19,90448350000
2011-01-20,88841440000
2011-01-21,88618700000
2011-01-24,90082420000
2011-01-25,91546140000
2011-01-26,91418860000
2011-01-27,89843770000
2011-01-28,87616370000
2011-01-31,87998210000
2011-02-01,88570970000
2011-02-02,89493750000
2011-02-03,89096000000
2011-02-04,88443690000
2011-02-07,89557390000
2011-02-08,89843770000
2011-02-09,89334650000
2011-02-10,88714160000
2011-02-11,89080090000
2011-02-14,87473180000
2011-02-15,87457270000
2011-02-16,87473180000
2011-02-17,87345900000
2011-02-18,87345900000
2011-02-22,86725410000
2011-02-23,87982300000
2011-02-24,87775470000
2011-02-25,87823200000
2011-02-28,89143730000
2011-03-01,89461930000
2011-03-02,89255100000
2011-03-03,91991620000
2011-03-04,92341640000
2011-03-07,90782460000
2011-03-08,91164300000
2011-03-09,91689330000
2011-03-10,90687000000
2011-03-11,90766550000
2011-03-14,90130150000
2011-03-15,87743650000
2011-03-16,85754900000
2011-03-17,87298170000
2011-03-18,87568640000
2011-03-21,89859680000
2011-03-22,89096000000
2011-03-23,90034690000
2011-03-24,91371130000
2011-03-25,91434770000
2011-03-28,90384710000
2011-03-29,90527900000
2011-03-30,91593870000
2011-03-31,90957470000
2011-04-01,93822840000
2011-04-04,94922700000
2011-04-05,95384960000
2011-04-06,95432780000
2011-04-07,94444500000
2011-04-08,94093820000
2011-04-11,94715480000
2011-04-12,94731420000
2011-04-13,95926920000
2011-04-14,96612340000
2011-04-15,98094760000
2011-04-18,96421060000
2011-04-19,99354020000
2011-04-20,98477320000
2011-04-21,97935360000
2011-04-25,97823780000
2011-04-26,99736580000
2011-04-27,101139300000
2011-04-28,101633440000
2011-04-29,101968180000
2011-05-02,101904420000
2011-05-03,101043660000
2011-05-04,97202120000
2011-05-05,95113980000
2011-05-06,94603900000
2011-05-09,94364800000
2011-05-10,94444500000
2011-05-11,92850500000
2011-05-12,94316980000
2011-05-13,94922700000
2011-05-16,94858940000
2011-05-17,95640000000
2011-05-18,95624060000
2011-05-19,96293540000
2011-05-20,96341360000
2011-05-23,93153360000
2011-05-24,93424340000
2011-05-25,93217120000
2011-05-26,92946140000
2011-05-27,93551860000
2011-05-31,96405120000
2011-06-01,94938640000
2011-06-02,94237280000
2011-06-03,94795180000
2011-06-06,93663440000
2011-06-07,93775020000
2011-06-08,93408400000
2011-06-09,93519980000
2011-06-10,90985520000
2011-06-13,91224620000
2011-06-14,92324480000
2011-06-15,89997240000
2011-06-16,89295880000
2011-06-17,90873940000
2011-06-20,91224620000
2011-06-21,92053500000
2011-06-22,90571080000
2011-06-23,90316040000
2011-06-24,88706100000
2011-06-27,89550920000
2011-06-28,91224620000
2011-06-29,91941920000
2011-06-30,92467940000
2011-07-01,92563580000
2011-07-05,92579520000
2011-07-06,92388240000
2011-07-07,93886600000
2011-07-08,91830340000
2011-07-11,88897380000
2011-07-12,87239620000
2011-07-13,87143980000
2011-07-14,87893160000
2011-07-15,89487160000
2011-07-18,88307600000
2011-07-19,90092880000
2011-07-20,90858000000
2011-07-21,92754860000
2011-07-22,94444500000
2011-07-25,94205400000
2011-07-26,94572020000
2011-07-27,92483880000
2011-07-28,93249000000
2011-07-29,91782520000
2011-08-01,91463720000
2011-08-02,89279940000
2011-08-03,89168360000
2011-08-04,84752980000
2011-08-05,86586080000
2011-08-08,81835960000
2011-08-09,84211020000
2011-08-10,79253680000
2011-08-11,82106940000
2011-08-12,87000520000
2011-08-15,88419180000
2011-08-16,89008960000
2011-08-17,89614680000
2011-08-18,87175860000
2011-08-19,85868780000
2011-08-22,86697660000
2011-08-23,88546700000
2011-08-24,86315100000
2011-08-25,84976140000
