,INTU
2000-01-03,11807043100
2000-01-04,11928522800
2000-01-05,15369141400
2000-01-06,13715450000
2000-01-07,14412978600
2000-01-10,16677987200
2000-01-11,16141125300
2000-01-12,13934897200
2000-01-13,15674800000
2000-01-14,15945190300
2000-01-18,15039970600
2000-01-19,14597157500
2000-01-20,14965515300
2000-01-21,14816604700
2000-01-24,13237368600
2000-01-25,13778149199
2000-01-26,12884685600
2000-01-27,12539840000
2000-01-28,11317205600
2000-01-31,12205269440
2000-02-01,13115808439
2000-02-02,13734974960
2000-02-03,14087050040
2000-02-04,14014206920
2000-02-07,13670225520
2000-02-08,13961598000
2000-02-09,13204838920
2000-02-10,12901325920
2000-02-11,12342862000
2000-02-14,12091957920
2000-02-15,11622524480
2000-02-16,12355002520
2000-02-17,13014637439
2000-02-18,12379283560
2000-02-22,12569485040
2000-02-23,13670225520
2000-02-24,14633373439
2000-02-25,11849147520
2000-02-28,10861718560
2000-02-29,10622955000
2000-03-01,9765024920
2000-03-02,9421043520
2000-03-03,10699844960
2000-03-06,11140950520
2000-03-07,10457034560
2000-03-08,10396331960
2000-03-09,11383760920
2000-03-10,11824866480
2000-03-13,10825297000
2000-03-14,10331582520
2000-03-15,10129240520
2000-03-16,10509643480
2000-03-17,11027639000
2000-03-20,10319442000
2000-03-21,10711985480
2000-03-22,10610814480
2000-03-23,11319011480
2000-03-24,12091957920
2000-03-27,11926037480
2000-03-28,11343292520
2000-03-29,10509643480
2000-03-30,10307301480
2000-03-31,11003357960
2000-04-03,9979507440
2000-04-04,10457034560
2000-04-05,10040210040
2000-04-06,9866195920
2000-04-07,10181849440
2000-04-10,8296022000
2000-04-11,7992509000
2000-04-12,7575684480
2000-04-13,7207422039
2000-04-14,6474944000
2000-04-17,6855346960
2000-04-18,7438091920
2000-04-19,7069829480
2000-04-20,7081970000
2000-04-24,6426381920
2000-04-25,7195281520
2000-04-26,7510935039
2000-04-27,8093680000
2000-04-28,7272171480
2000-05-01,7358330279
2000-05-02,7028305500
2000-05-03,6531231140
2000-05-04,6824586500
2000-05-05,7052751779
2000-05-08,6519008000
2000-05-09,6429371640
2000-05-10,6148239420
2000-05-11,6123793140
2000-05-12,5818214640
2000-05-15,5757098940
2000-05-16,5781545220
2000-05-17,5704132000
2000-05-18,5321140280
2000-05-19,5932297280
2000-05-22,5769322080
2000-05-23,5512636140
2000-05-24,7142388140
2000-05-25,6506784860
2000-05-26,6787917080
2000-05-30,7794288940
2000-05-31,7386850940
2000-06-01,7818735220
2000-06-02,8340255860
2000-06-05,8682503780
2000-06-06,7920594720
2000-06-07,7676131920
2000-06-08,7590569940
2000-06-09,7855404640
2000-06-12,7423520360
2000-06-13,7435743500
2000-06-14,7525379860
2000-06-15,7806512080
2000-06-16,7782065800
2000-06-19,7908371580
2000-06-20,7704652580
2000-06-21,7729098860
2000-06-22,7692429440
2000-06-23,7537603000
2000-06-26,7908371580
2000-06-27,7818735220
2000-06-28,7908371580
2000-06-29,8478784779
2000-06-30,8429892220
2000-07-03,8213950080
2000-07-05,8975859140
2000-07-06,9118462440
2000-07-07,9053272360
2000-07-10,9118462440
2000-07-11,8914743440
2000-07-12,8645834360
2000-07-13,8694726920
2000-07-14,8609164940
2000-07-17,8364702140
2000-07-18,8059123640
2000-07-19,7957264140
2000-07-20,7920594720
2000-07-21,7716875720
2000-07-24,7562049279
2000-07-25,7602793080
2000-07-26,7219801360
2000-07-27,7064974920
2000-07-28,6747173279
2000-07-31,6994718000
2000-08-01,7200445000
2000-08-02,8060383860
2000-08-03,8023353000
2000-08-04,8023353000
2000-08-07,8537670500
2000-08-08,8677564860
2000-08-09,8344287120
2000-08-10,8179705520
2000-08-11,8410119760
2000-08-14,8755741120
2000-08-15,8796886520
2000-08-16,9796719740
2000-08-17,9759688880
2000-08-18,9656825380
2000-08-21,9516931020
2000-08-22,9475785620
2000-08-23,11236808740
2000-08-24,11405504880
2000-08-25,11302641380
2000-08-28,11084570760
2000-08-29,11352015860
2000-08-30,11907478760
2000-08-31,12318932760
2000-09-01,12125549380
2000-09-05,11714095380
2000-09-06,11829302500
2000-09-07,12216069260
2000-09-08,12294245520
2000-09-11,12047373120
2000-09-12,12331276380
2000-09-13,12088518520
2000-09-14,11677064520
2000-09-15,11586544640
2000-09-18,10660773140
2000-09-19,11944509620
2000-09-20,11853989740
2000-09-21,11417848500
2000-09-22,10800667500
2000-09-25,10619627740
2000-09-26,11533055620
2000-09-27,11471337520
2000-09-28,12022685880
2000-09-29,11726439000
2000-10-02,11121601620
2000-10-03,10660773140
2000-10-04,11031081740
2000-10-05,11352015860
2000-10-06,11084570760
2000-10-09,11162747020
2000-10-10,10957020020
2000-10-11,9735001640
2000-10-12,9385265740
2000-10-13,9603336360
2000-10-16,9385265740
2000-10-17,9130164260
2000-10-18,9603336360
2000-10-19,10800667500
2000-10-20,10928218240
2000-10-23,11175090640
2000-10-24,11224465120
2000-10-25,10751293020
2000-10-26,11199777880
2000-10-27,11417848500
2000-10-30,11520712000
2000-10-31,12754575360
2000-11-01,14012595000
2000-11-02,14323986000
2000-11-03,13132396440
2000-11-06,13261104720
2000-11-07,14012595000
2000-11-08,13182219000
2000-11-09,13456243079
2000-11-10,12638322720
2000-11-13,11533922640
2000-11-14,12235590360
2000-11-15,12650778360
2000-11-16,12156704640
2000-11-17,12742119720
2000-11-20,11081367720
2000-11-21,10001878920
2000-11-22,9109224720
2000-11-24,9499501440
2000-11-27,9898081920
2000-11-28,10089068400
2000-11-29,9860715000
2000-11-30,9457982640
2000-12-01,9561779640
2000-12-04,9445527000
2000-12-05,10562382720
2000-12-06,10105675920
