,EW
2000-03-27,958468500
2000-03-28,933054794
2000-03-29,929423767
2000-03-30,893118375
2000-03-31,789337267
2000-04-03,800249767
2000-04-04,814800232
2000-04-05,811162267
2000-04-06,832987267
2000-04-07,840262500
2000-04-10,847537732
2000-04-11,832987267
2000-04-12,832987267
2000-04-13,841171816
2000-04-14,840262500
2000-04-17,829350000
2000-04-18,818437500
2000-04-19,836625232
2000-04-20,851175000
2000-04-24,829350000
2000-04-25,876637267
2000-04-26,891187732
2000-04-27,862087500
2000-04-28,873000000
2000-05-01,858450232
2000-05-02,847537732
2000-05-03,829350000
2000-05-04,858450232
2000-05-05,880275232
2000-05-08,887549767
2000-05-09,873000000
2000-05-10,883912500
2000-05-11,869362732
2000-05-12,913012732
2000-05-15,953024767
2000-05-16,960300000
2000-05-17,931199767
2000-05-18,905737500
2000-05-19,891187732
2000-05-22,905737500
2000-05-23,909374767
2000-05-24,956662732
2000-05-25,1007587267
2000-05-26,1047600000
2000-05-30,1149449767
2000-05-31,1182187267
2000-06-01,1156725000
2000-06-02,1116712267
2000-06-05,1054875232
2000-06-06,996674767
2000-06-07,1076700232
2000-06-08,1076700232
2000-06-09,1076700232
2000-06-12,1083974767
2000-06-13,1069425000
2000-06-14,1073062267
2000-06-15,1065787732
2000-06-16,1047600000
2000-06-19,1054875232
2000-06-20,1036687500
2000-06-21,1105799767
2000-06-22,1131262732
2000-06-23,1156725000
2000-06-26,1156725000
2000-06-27,1113075000
2000-06-28,1189462500
2000-06-29,1178550000
2000-06-30,1081312675
2000-07-03,1200850233
2000-07-05,1149750000
2000-07-06,1182600000
2000-07-07,1197199766
2000-07-10,1240999766
2000-07-11,1284799766
2000-07-12,1292100000
2000-07-13,1357800000
2000-07-14,1339549766
2000-07-17,1332250233
2000-07-18,1394299766
2000-07-19,1412550000
2000-07-20,1405249766
2000-07-21,1452700233
2000-07-24,1445400000
2000-07-25,1430800233
2000-07-26,1397950233
2000-07-27,1372399766
2000-07-28,1346850000
2000-07-31,1273849766
2000-08-01,1321300233
2000-08-02,1332250233
2000-08-03,1350499766
2000-08-04,1343200233
2000-08-07,1321300233
2000-08-08,1314000000
2000-08-09,1292100000
2000-08-10,1266550233
2000-08-11,1310350233
2000-08-14,1317649766
2000-08-15,1332250233
2000-08-16,1335900000
