,HAL
2000-01-03,16937440000
2000-01-04,17017000000
2000-01-05,16274440000
2000-01-06,16937440000
2000-01-07,17980560000
2000-01-10,17264520000
2000-01-11,17901000000
2000-01-12,16689920000
2000-01-13,16910920000
2000-01-14,17043520000
2000-01-18,18422560000
2000-01-19,18643560000
2000-01-20,18042440000
2000-01-21,18731960000
2000-01-24,17626960000
2000-01-25,17680000000
2000-01-26,17096560000
2000-01-27,16575000000
2000-01-28,15832440000
2000-01-31,15965039999
2000-02-01,16079960000
2000-02-02,16407039999
2000-02-03,16521960000
2000-02-04,16274440000
2000-02-07,16521960000
2000-02-08,16300960000
2000-02-09,15691000000
2000-02-10,15664479999
2000-02-11,15142920000
2000-02-14,15885479999
2000-02-15,17017000000
2000-02-16,17291040000
2000-02-17,17017000000
2000-02-18,16212560000
2000-02-22,15691000000
2000-02-23,15169440000
2000-02-24,15664479999
2000-02-25,14886560000
2000-02-28,15470000000
2000-02-29,16875560000
2000-03-01,18095480000
2000-03-02,18643560000
2000-03-03,18068960000
2000-03-06,18236920000
2000-03-07,19669000000
2000-03-08,17626960000
2000-03-09,17733040000
2000-03-10,17485520000
2000-03-13,17184960000
2000-03-14,16990479999
2000-03-15,16742960000
2000-03-16,17405960000
2000-03-17,16963960000
2000-03-20,15991560000
2000-03-21,16575000000
2000-03-22,17096560000
2000-03-23,16742960000
2000-03-24,17238000000
2000-03-27,16849039999
2000-03-28,16654560000
2000-03-29,17794920000
2000-03-30,17927520000
2000-03-31,18257280000
2000-04-03,18870000000
2000-04-04,17760000000
2000-04-05,16872000000
2000-04-06,17395920000
2000-04-07,17591280000
2000-04-10,17014080000
2000-04-11,17839920000
2000-04-12,18124080000
2000-04-13,17458080000
2000-04-14,17262720000
2000-04-17,17067359999
2000-04-18,18505920000
2000-04-19,18399360000
2000-04-20,18763440000
2000-04-24,18479280000
2000-04-25,18541440000
2000-04-26,19367280000
2000-04-27,20202000000
2000-04-28,19615920000
2000-05-01,19651440000
2000-05-02,21036720000
2000-05-03,20095440000
2000-05-04,20868000000
2000-05-05,20814720000
2000-05-08,21480720000
2000-05-09,21729360000
2000-05-10,21835920000
2000-05-11,22368720000
2000-05-12,22235520000
2000-05-15,22892640000
2000-05-16,22866000000
2000-05-17,22644000000
2000-05-18,22031280000
2000-05-19,22590720000
2000-05-22,21036720000
2000-05-23,21649440000
2000-05-24,21534000000
2000-05-25,21454080000
2000-05-26,20814720000
2000-05-30,21756000000
2000-05-31,22617360000
2000-06-01,22537440000
2000-06-02,21427440000
2000-06-05,20228640000
2000-06-06,21534000000
2000-06-07,21090000000
2000-06-08,20699280000
2000-06-09,20281920000
2000-06-12,21454080000
2000-06-13,21507360000
2000-06-14,21169920000
2000-06-15,20646000000
2000-06-16,21729360000
2000-06-19,21312000000
2000-06-20,21169920000
2000-06-21,22093440000
2000-06-22,21116640000
2000-06-23,21116640000
2000-06-26,20894640000
2000-06-27,21169920000
2000-06-28,20503920000
2000-06-29,21507360000
2000-06-30,20995100000
2000-07-03,20888300000
2000-07-05,19829200000
2000-07-06,19775800000
2000-07-07,19437600000
2000-07-10,18690000000
2000-07-11,20808200000
2000-07-12,20443300000
