,BLK
2000-01-03,1066329968
2000-01-04,1018239320
2000-01-05,1009903608
2000-01-06,1025933824
2000-01-07,1018239320
2000-01-10,1025933824
2000-01-11,1054147004
2000-01-12,1098390400
2000-01-13,1086207436
2000-01-14,1122115120
2000-01-18,1154175552
2000-01-19,1170205768
2000-01-20,1122115120
2000-01-21,1114420616
2000-01-24,1098390400
2000-01-25,1106084904
2000-01-26,1118267868
2000-01-27,1122115120
2000-01-28,1114420616
2000-01-31,1122115120
2000-02-01,1138145336
2000-02-02,1150328300
2000-02-03,1154175552
2000-02-04,1182388732
2000-02-07,1186235984
2000-02-08,1190083235
2000-02-09,1178541480
2000-02-10,1146481048
2000-02-11,1150328300
2000-02-14,1154175552
2000-02-15,1146481048
2000-02-16,1186235984
2000-02-17,1178541480
2000-02-18,1186235984
2000-02-22,1190083235
2000-02-23,1206113451
2000-02-24,1218296416
2000-02-25,1234326632
2000-02-28,1290752992
2000-02-29,1402964504
2000-03-01,1394628792
2000-03-02,1414506259
2000-03-03,1418994720
2000-03-06,1414506259
2000-03-07,1410659008
2000-03-08,1410659008
2000-03-09,1410659008
2000-03-10,1418994720
2000-03-13,1467085368
2000-03-14,1467085368
2000-03-15,1547236448
2000-03-16,1563266664
2000-03-17,1586991384
2000-03-20,1538900736
2000-03-21,1538900736
2000-03-22,1451055152
2000-03-23,1442719440
2000-03-24,1438872188
2000-03-27,1414506259
2000-03-28,1282417280
2000-03-29,1266387064
2000-03-30,1310630460
2000-03-31,1298447496
2000-04-03,1322842182
2000-04-04,1330536853
2000-04-05,1374781211
2000-04-06,1435056134
2000-04-07,1554964756
2000-04-10,1538934192
2000-04-11,1542781527
2000-04-12,1531239521
2000-04-13,1499178392
2000-04-14,1474811934
2000-04-17,1438903469
2000-04-18,1406842340
2000-04-19,1346567418
2000-04-20,1354903311
2000-04-24,1386964440
2000-04-25,1538934192
2000-04-26,1547270085
2000-04-27,1558812091
2000-04-28,1667178708
2000-05-01,1538934192
2000-05-02,1526750962
2000-05-03,1554964756
2000-05-04,1515208956
2000-05-05,1519056292
2000-05-08,1538934192
2000-05-09,1563300650
2000-05-10,1606903785
2000-05-11,1619087014
2000-05-12,1651148143
2000-05-15,1651148143
2000-05-16,1683209272
2000-05-17,1691545166
