,PNR
2021-04-27,10554280000
2021-04-30,10692060000
2021-05-04,10964300000
2021-05-05,11190060000
2021-05-07,11269740000
2021-05-20,11165160000
2021-05-26,11351080000
2021-06-01,11631619999
2021-06-04,11122000000
2021-06-07,11495500000
2021-06-08,11530359999
2021-06-10,11228240000
2021-06-14,11039000000
2021-06-17,10869680000
2021-06-18,10541000000
2021-06-24,10851420000
2021-06-25,11110380000
2021-06-30,11161840000
2021-07-01,11299083000
2021-07-06,11164866000
2021-07-08,11294112000
2021-07-12,11582430000
2021-07-14,11652023999
2021-07-15,11695106000
2021-07-19,11138354000
2021-07-22,11421701000
2021-07-26,11352107000
2021-07-27,11716646999
2021-07-28,11870748000
2021-07-30,12137525000
2021-08-02,12286655000
2021-08-03,12588229000
2021-08-04,12727417000
2021-08-10,12926257000
2021-08-16,13257657000
2021-08-17,13072073000
2021-08-20,13068759000
2021-08-23,13032305000
2021-08-25,13090300000
2021-08-26,12760557000
2021-08-27,12697591000
2021-09-07,12808610000
2021-09-13,12458983000
2021-09-15,12888146000
2021-09-16,12803639000
2021-09-17,12697591000
2021-09-20,12432471000
2021-09-22,12606456000
2021-09-27,12913001000
2021-09-28,12367848000
2021-09-30,12135868000
2021-10-01,11962761000
2021-10-04,11921436000
2021-10-05,11823909000
2021-10-06,11785890000
2021-10-08,11797461000
2021-10-12,11635467000
2021-10-15,12065247000
2021-10-18,11949537000
2021-10-19,12104919000
2021-10-20,12182610000
2021-10-25,12437172000
2021-10-26,12371052000
2021-10-29,12336339000
2021-11-01,12243770999
2021-11-03,11974332000
2021-11-04,12404112000
2021-11-05,12452049000
2021-11-10,12265260000
2021-11-11,12214017000
2021-11-15,12585942000
2021-11-16,12852075000
2021-11-17,12784302000
2021-11-18,12838851000
2021-11-22,13242183000
2021-11-24,12794220000
2021-11-26,12538005000
2021-11-29,12799179000
2021-11-30,12491720999
2021-12-01,12493374000
2021-12-07,12232200000
2021-12-10,12266912999
2021-12-15,11918130000
2021-12-17,11787543000
2021-12-20,11294949000
2021-12-29,12066900000
2021-12-30,12018962999
2021-12-31,11914824000
2022-01-04,11888376000
2022-01-10,11276766000
2022-01-14,10944512999
2022-01-18,10830456000
2022-01-20,10957737000
2022-01-21,10536222000
2022-01-25,10413900000
2022-01-27,10223805000
2022-02-01,10354392000
2022-02-02,10301496000
2022-02-09,10246947000
2022-02-10,10194051000
2022-02-15,9855186000
2022-02-17,9582441000
2022-02-22,9405570000
2022-02-23,9346062000
2022-03-03,9706416000
2022-03-07,9160926000
2022-03-08,9101418000
2022-03-09,9146049000
2022-03-15,9076623000
2022-03-16,9337797000
2022-03-17,9420447000
2022-03-21,9445242000
2022-03-23,9448548000
2022-03-25,9152661000
2022-03-28,9116295000
2022-03-29,9384081000
2022-04-08,8841520000
2022-04-11,8745936000
2022-04-12,8744288000
2022-04-19,8722864000
2022-04-22,8785488000
2022-04-28,8658592000
2022-04-29,8801968000
2022-05-03,8579488000
2022-05-05,8744288000
2022-05-06,8353712000
2022-05-10,8073552000
2022-05-12,7979616000
2022-05-13,8268016000
2022-05-17,8174080000
2022-05-20,8174080000
2022-05-25,8005984000
2022-05-27,8355360000
2022-05-31,8094976000
2022-06-01,8155952000
2022-06-06,8446000000
2022-06-09,8218576000
2022-06-13,7587392000
2022-06-14,7587392000
2022-06-17,7587392000
2022-06-22,7340192000
2022-06-24,7768672000
2022-06-27,7671440000
2022-06-28,7699456000
2022-06-30,7363264000
2022-07-05,7545615000
2022-07-06,7680505000
2022-07-12,7769334999
2022-07-19,7790720000
2022-07-20,7876260000
2022-07-21,7777560000
2022-07-25,7770980000
2022-07-26,7843360000
2022-07-29,7933834999
2022-08-01,8022665000
