,ROK
2000-01-03,9357510000
2000-01-04,9012620000
2000-01-05,9059995000
2000-01-06,8883760000
2000-01-07,9154745000
2000-01-10,9154745000
2000-01-11,8978510000
2000-01-12,9048625000
2000-01-13,9274130000
2000-01-14,9132005000
2000-01-18,9617125000
2000-01-19,9842630000
2000-01-20,9285500000
2000-01-21,9404885000
2000-01-24,8883760000
2000-01-25,9096000000
2000-01-26,9143375000
2000-01-27,9238125000
2000-01-28,9190750000
2000-01-31,9368880000
2000-02-01,9368880000
2000-02-02,9190750000
2000-02-03,9190750000
2000-02-04,9037255000
2000-02-07,8775745000
2000-02-08,8717000000
2000-02-09,8349370000
2000-02-10,8563505000
2000-02-11,8410010000
2000-02-14,8290625000
2000-02-15,8680995000
2000-02-16,8823120000
2000-02-17,8917870000
2000-02-18,9202120000
2000-02-22,9689135000
2000-02-23,9332875000
2000-02-24,9025885000
2000-02-25,8789010000
2000-02-28,8527500000
2000-02-29,8574875000
2000-03-01,8527500000
2000-03-02,8646885000
2000-03-03,8870495000
2000-03-06,8633620000
2000-03-07,7580000000
2000-03-08,7401870000
2000-03-09,7473880000
2000-03-10,7437875000
2000-03-13,7295750000
2000-03-14,7273010000
2000-03-15,7652010000
2000-03-16,8101125000
2000-03-17,7686120000
2000-03-20,7875620000
2000-03-21,7970370000
2000-03-22,7568630000
2000-03-23,7816875000
2000-03-24,7852880000
2000-03-27,7852880000
2000-03-28,7733495000
2000-03-29,7437875000
2000-03-30,7543995000
2000-03-31,7826832000
2000-04-03,7757568000
2000-04-04,7839936000
2000-04-05,7956000000
2000-04-06,8107632000
2000-04-07,8190000000
2000-04-10,8143200000
2000-04-11,8354736000
2000-04-12,8190000000
2000-04-13,8154432000
2000-04-14,7686432000
2000-04-17,7336368000
2000-04-18,7218432000
2000-04-19,7160400000
2000-04-20,7394400000
2000-04-24,7325136000
2000-04-25,7405632000
2000-04-26,7289568000
2000-04-27,7405632000
2000-04-28,7371936000
2000-05-01,7254000000
2000-05-02,7336368000
2000-05-03,7265232000
2000-05-04,7312032000
2000-05-05,7534800000
2000-05-08,7523568000
2000-05-09,7325136000
2000-05-10,7091136000
2000-05-11,7160400000
