,CSX
2001-01-23,5933275920
2001-01-24,5895242100
2001-01-25,5933275920
2001-01-26,5629005360
2001-01-29,5743106820
2001-01-30,6047377380
2001-01-31,6427715580
2001-02-01,6617884680
2001-02-02,6427715580
2001-02-05,6465749400
2001-02-06,6503783220
2001-02-07,6313614120
2001-02-08,6465749400
2001-02-09,6503783220
2001-02-12,6693952320
2001-02-13,6808053780
2001-02-14,6617884680
2001-02-15,6655918500
2001-02-16,6731986140
2001-02-20,6922155240
2001-02-21,6922155240
2001-02-22,6884121420
2001-02-23,7036256700
2001-02-26,7074290520
2001-02-27,7112324340
2001-02-28,7074290520
2001-03-01,7036256700
2001-03-02,6960189060
2001-03-05,6998222880
2001-03-06,6960189060
2001-03-07,6960189060
2001-03-08,7074290520
2001-03-09,7036256700
2001-03-12,6998222880
2001-03-13,6503783220
2001-03-14,6237546480
2001-03-15,6351647940
2001-03-16,5895242100
2001-03-19,6237546480
2001-03-20,6123445020
2001-03-21,6199512660
2001-03-22,6085411200
2001-03-23,6161478840
2001-03-26,6313614120
2001-03-27,6884121420
2001-03-28,7036256700
2001-03-29,7036256700
2001-03-30,7125384420
2001-04-02,7163488080
2001-04-03,7049177100
2001-04-04,7011073440
2001-04-05,7087280760
2001-04-06,6972969780
2001-04-09,6934866120
2001-04-10,7315902720
2001-04-11,7239695400
2001-04-12,7239695400
2001-04-16,7201591740
2001-04-17,7315902720
2001-04-18,7735042979
2001-04-19,7582628340
2001-04-20,7468317360
2001-04-23,7011073440
2001-04-24,7049177100
2001-04-25,7125384420
2001-04-26,7544524680
2001-04-27,7582628340
2001-04-30,7430213700
2001-05-01,7239695400
2001-05-02,7277799060
2001-05-03,7315902720
2001-05-04,7354006380
2001-05-07,7392110040
2001-05-08,7506421020
2001-05-09,7582628340
2001-05-10,8039872260
2001-05-11,8039872260
2001-05-14,8001768600
2001-05-15,8001768600
2001-05-16,8344701540
2001-05-17,8459012520
2001-05-18,8459012520
2001-05-21,8382805200
2001-05-22,8116079580
2001-05-23,7925561280
2001-05-24,7849353960
2001-05-25,7773146640
2001-05-29,7735042979
2001-05-30,7620732000
2001-05-31,7887457619
2001-06-01,7849353960
2001-06-04,7849353960
2001-06-05,7925561280
2001-06-06,7887457619
2001-06-07,8077975920
2001-06-08,7963664939
2001-06-11,7811250299
2001-06-12,7696939320
2001-06-13,7620732000
2001-06-14,7201591740
2001-06-15,7087280760
2001-06-18,7125384420
2001-06-19,7087280760
2001-06-20,7011073440
2001-06-21,7125384420
2001-06-22,7049177100
2001-06-25,7011073440
2001-06-26,6896762460
2001-06-27,7239695400
2001-06-28,7392110040
2001-06-29,7665492779
2001-07-02,7474808880
2001-07-03,7398535320
2001-07-05,7436672100
2001-07-06,7245988200
2001-07-09,7360398540
2001-07-10,7551082440
2001-07-11,7932450240
2001-07-12,7894313459
2001-07-13,8084997360
2001-07-16,8237544480
2001-07-17,8313818040
2001-07-18,8313818040
2001-07-19,8161270920
2001-07-20,7856176680
2001-07-23,7932450240
2001-07-24,7474808880
2001-07-25,7818039899
2001-07-26,8428228380
2001-07-27,8428228380
2001-07-30,8428228380
2001-07-31,8275681260
2001-08-01,8351954820
2001-08-02,8542638720
2001-08-03,8618912280
2001-08-06,8466365160
2001-08-07,8466365160
2001-08-08,8351954820
2001-08-09,8275681260
2001-08-10,8351954820
2001-08-13,8046860580
2001-08-14,8046860580
2001-08-15,7970587019
2001-08-16,7970587019
2001-08-17,7779903120
2001-08-20,7665492779
2001-08-21,7436672100
2001-08-22,7665492779
2001-08-23,7589219220
2001-08-24,7627356000
2001-08-27,7398535320
2001-08-28,7474808880
2001-08-29,7360398540
2001-08-30,7284124980
2001-08-31,7474808880
2001-09-04,7741766339
2001-09-05,7703629560
2001-09-06,7627356000
2001-09-07,7360398540
2001-09-10,7245988200
2001-09-17,6826483620
2001-09-18,6559526160
2001-09-19,6216295140
2001-09-20,5682380220
2001-09-21,5949337680
2001-09-24,6406979040
2001-09-25,6101884800
2001-09-26,6140021580
2001-09-27,6178158360
2001-09-28,6700050000
2001-10-01,6355476000
2001-10-02,6470334000
2001-10-03,6814908000
2001-10-04,6738336000
2001-10-05,6814908000
2001-10-08,6814908000
2001-10-09,6738336000
2001-10-10,7236054000
2001-10-11,7389198000
2001-10-12,7197768000
2001-10-15,7312626000
2001-10-16,7350912000
2001-10-17,7044624000
2001-10-18,7082910000
2001-10-19,6891480000
2001-10-22,6968052000
2001-10-23,7465770000
2001-10-24,7121196000
2001-10-25,7082910000
2001-10-26,7236054000
2001-10-29,7044624000
2001-10-30,7159482000
2001-10-31,7159482000
2001-11-01,7082910000
2001-11-02,7312626000
2001-11-05,7312626000
2001-11-06,7427484000
2001-11-07,7504056000
2001-11-08,7542342000
2001-11-09,7542342000
2001-11-12,7542342000
2001-11-13,7618914000
2001-11-14,7657200000
2001-11-15,7925201999
2001-11-16,8001773999
2001-11-19,8001773999
2001-11-20,8001773999
2001-11-21,7848629999
2001-11-23,8001773999
2001-11-26,8001773999
2001-11-27,8001773999
2001-11-28,7963488000
2001-11-29,7886916000
2001-11-30,7963488000
2001-12-03,7810344000
2001-12-04,7657200000
2001-12-05,7810344000
2001-12-06,7886916000
2001-12-07,7886916000
2001-12-10,7733772000
2001-12-11,7657200000
2001-12-12,7427484000
2001-12-13,7236054000
2001-12-14,7197768000
2001-12-17,7350912000
2001-12-18,7427484000
2001-12-19,7312626000
2001-12-20,7274340000
2001-12-21,7274340000
2001-12-24,7427484000
2001-12-26,7389198000
2001-12-27,7465770000
2001-12-28,7443060300
2001-12-31,7443060300
2002-01-02,7519399380
2002-01-03,7939264320
2002-01-04,8168281560
2002-01-07,8206451100
2002-01-08,8015603400
2002-01-09,7901094779
2002-01-10,7824755699
2002-01-11,7672077539
2002-01-14,7519399380
2002-01-15,7481229840
2002-01-16,7443060300
2002-01-17,7786586160
2002-01-18,7748416619
2002-01-22,7939264320
2002-01-23,8320959720
2002-01-24,8206451100
2002-01-25,8320959720
2002-01-28,8397298800
2002-01-29,8168281560
2002-01-30,8282790180
2002-01-31,8473637880
2002-02-01,8397298800
2002-02-04,8320959720
2002-02-05,8244620640
2002-02-06,8053772940
2002-02-07,7901094779
2002-02-08,7977433859
2002-02-11,8244620640
2002-02-12,8168281560
2002-02-13,8015603400
2002-02-14,7824755699
2002-02-15,7786586160
2002-02-19,7710247080
2002-02-20,7672077539
2002-02-21,7748416619
2002-02-22,7633908000
