,CDW
2013-06-27,2667324000
2013-06-28,2703624000
2013-07-01,3059112000
2013-07-02,3205896000
2013-07-03,3182543999
2013-07-05,3205896000
2013-07-08,3207564000
2013-07-09,3252600000
2013-07-10,3185880000
2013-07-11,3265943999
2013-07-12,3254268000
2013-07-15,3262608000
2013-07-16,3352680000
2013-07-17,3397716000
2013-07-18,3474443999
2013-07-19,3476112000
2013-07-22,3392712000
2013-07-23,3372696000
2013-07-24,3431076000
2013-07-25,3666264000
2013-07-26,3601212000
2013-07-29,3619560000
2013-07-30,3602880000
2013-07-31,3586200000
2013-08-01,3612888000
2013-08-02,3741324000
2013-08-05,3801372000
2013-08-06,3804708000
2013-08-07,3828060000
2013-08-08,3848076000
2013-08-09,3844740000
2013-08-12,3863088000
2013-08-13,3903120000
2013-08-14,3896448000
2013-08-15,3836400000
2013-08-16,3844740000
2013-08-19,3851412000
2013-08-20,3854748000
2013-08-21,3841404000
2013-08-22,3838068000
2013-08-23,3881436000
2013-08-26,3833064000
2013-08-27,3706296000
2013-08-28,3666264000
2013-08-29,3682943999
2013-08-30,3657924000
2013-09-03,3758004000
2013-09-04,3838068000
2013-09-05,3889776000
2013-09-06,3876431999
2013-09-09,3829728000
2013-09-10,3841404000
2013-09-11,3906456000
2013-09-12,3851412000
2013-09-13,3919800000
2013-09-16,3981516000
2013-09-17,3874764000
2013-09-18,3968172000
2013-09-19,3913128000
2013-09-20,3818052000
2013-09-23,3979848000
2013-09-24,4053240000
2013-09-25,4024884000
2013-09-26,4001531999
2013-09-27,3999864000
2013-09-30,3858269999
2013-10-01,3920800000
2013-10-02,3849820000
2013-10-03,3941080000
2013-10-04,3946150000
2013-10-07,3895450000
2013-10-08,3907280000
2013-10-09,3832920000
2013-10-10,3895450000
2013-10-11,3885309999
2013-10-14,3849820000
2013-10-15,3827849999
2013-10-16,3831230000
2013-10-17,3849820000
2013-10-18,3885309999
2013-10-21,3812640000
2013-10-22,3853200000
2013-10-23,3839680000
2013-10-24,3719690000
2013-10-25,3743349999
2013-10-28,3726450000
2013-10-29,3709550000
2013-10-30,3734900000
2013-10-31,3716309999
2013-11-01,3726450000
2013-11-04,3876860000
2013-11-05,3887000000
2013-11-06,3885309999
2013-11-07,3883620000
2013-11-08,3878550000
2013-11-11,3670680000
2013-11-12,3564210000
2013-11-13,3513510000
2013-11-14,3491540000
2013-11-15,3647019999
2013-11-18,3603080000
2013-11-19,3592940000
2013-11-20,3672370000
2013-11-21,3716309999
2013-11-22,3746730000
2013-11-25,3768700000
2013-11-26,3753490000
2013-11-27,3751800000
2013-11-29,3768700000
2013-12-02,3795740000
2013-12-03,3795740000
2013-12-04,3870099999
2013-12-05,3804190000
2013-12-06,3817710000
2013-12-09,3822780000
2013-12-10,3800809999
2013-12-11,3777150000
2013-12-12,3810950000
2013-12-13,3760250000
2013-12-16,3794050000
2013-12-17,3743349999
2013-12-18,3783910000
2013-12-19,3728140000
2013-12-20,3780530000
2013-12-23,3767010000
2013-12-24,3822780000
2013-12-26,3870099999
2013-12-27,3887000000
2013-12-30,3924180000
2013-12-31,3961856000
2014-01-02,3965248000
2014-01-03,3963552000
2014-01-06,4028000000
2014-01-07,4067008000
2014-01-08,4067008000
2014-01-09,4155200000
2014-01-10,4219648000
2014-01-13,4187424000
2014-01-14,4151808000
2014-01-15,4148416000
2014-01-16,4150112000
2014-01-17,4145024000
2014-01-21,4206080000
2014-01-22,4155200000
2014-01-23,4129760000
2014-01-24,4005952000
2014-01-27,3951680000
2014-01-28,4019520000
2014-01-29,3897408000
2014-01-30,3997472000
2014-01-31,4014432000
2014-02-03,3914367999
2014-02-04,3963552000
2014-02-05,3951680000
2014-02-06,3968639999
2014-02-07,3994080000
2014-02-10,3924544000
2014-02-11,3914367999
2014-02-12,4014432000
2014-02-13,4212864000
2014-02-14,4122976000
2014-02-18,4182336000
2014-02-19,4189120000
2014-02-20,4199296000
2014-02-21,4180639999
2014-02-24,4178944000
2014-02-25,4119584000
2014-02-26,4194208000
2014-02-27,4331584000
2014-02-28,4438432000
2014-03-03,4397728000
2014-03-04,4433344000
2014-03-05,4528320000
2014-03-06,4545280000
2014-03-07,4367200000
2014-03-10,4355328000
2014-03-11,4340064000
2014-03-12,4306144000
2014-03-13,4214560000
2014-03-14,4204384000
2014-03-17,4319712000
2014-03-18,4314624000
2014-03-19,4324800000
2014-03-20,4306144000
2014-03-21,4294272000
2014-03-24,4289184000
2014-03-25,4452000000
2014-03-26,4463872000
2014-03-27,4470656000
2014-03-28,4530016000
2014-03-31,4670288000
2014-04-01,4838786000
2014-04-02,4867720000
2014-04-03,4775812000
2014-04-04,4760494000
2014-04-07,4690712000
2014-04-08,4658374000
2014-04-09,4809852000
2014-04-10,4753686000
2014-04-11,4661778000
2014-04-14,4689010000
2014-04-15,4734964000
2014-04-16,4825170000
2014-04-17,4840488000
2014-04-21,4835382000
2014-04-22,4877932000
2014-04-23,4860912000
2014-04-24,4833680000
2014-04-25,4738368000
2014-04-28,4758792000
2014-04-29,4746878000
2014-04-30,4797938000
2014-05-01,4801342000
2014-05-02,4823468000
2014-05-05,4857508000
2014-05-06,4789428000
2014-05-07,4723050000
2014-05-08,4881336000
2014-05-09,4986860000
2014-05-12,5109404000
2014-05-13,5087278000
2014-05-14,5046430000
2014-05-15,5056642000
2014-05-16,5078768000
2014-05-19,5007284000
2014-05-20,4976648000
2014-05-21,5044728000
2014-05-22,4784322000
2014-05-23,4842190000
2014-05-27,4905164000
2014-05-28,4934098000
2014-05-29,4956224000
2014-05-30,5005582000
