,VNO
2001-01-23,2352758673
2001-01-24,2348331201
2001-01-25,2344789224
2001-01-26,2344789224
2001-01-29,2351873179
2001-01-30,2357186146
2001-01-31,2358071640
2001-02-01,2348331201
2001-02-02,2378438012
2001-02-05,2364270101
2001-02-06,2352758673
2001-02-07,2355415157
2001-02-08,2349216696
2001-02-09,2338590763
2001-02-12,2337705268
2001-02-13,2335048785
2001-02-14,2340361752
2001-02-15,2332392302
2001-02-16,2332392302
2001-02-20,2328850324
2001-02-21,2301399997
2001-02-22,2239415388
2001-02-23,2277491648
2001-02-26,2361613618
2001-02-27,2400575372
2001-02-28,2449277565
2001-03-01,2458132509
2001-03-02,2497094264
2001-03-05,2511262175
2001-03-06,2497094264
2001-03-07,2461674487
2001-03-08,2461674487
2001-03-09,2439537127
2001-03-12,2423598227
2001-03-13,2442193610
2001-03-14,2397033394
2001-03-15,2367812079
2001-03-16,2357186146
2001-03-19,2400575372
2001-03-20,2395262406
2001-03-21,2336819774
2001-03-22,2299629008
2001-03-23,2287232086
2001-03-26,2351873179
2001-03-27,2348331201
2001-03-28,2294316042
2001-03-29,2322651863
2001-03-30,2320880874
2001-04-02,2379578833
2001-04-03,2314882649
2001-04-04,2322858891
2001-04-05,2359195104
2001-04-06,2318427645
2001-04-09,2308678905
2001-04-10,2296271418
2001-04-11,2267911446
2001-04-12,2255503959
2001-04-16,2240437724
2001-04-17,2269683945
2001-04-18,2283863930
2001-04-19,2285636428
2001-04-20,2277660187
2001-04-23,2274115190
2001-04-24,2275887688
2001-04-25,2279432685
2001-04-26,2308678905
2001-04-27,2369830093
2001-04-30,2380465082
2001-05-01,2394645068
2001-05-02,2399076313
2001-05-03,2383123829
2001-05-04,2368943844
2001-05-07,2360081353
2001-05-08,2349446364
2001-05-09,2336152627
2001-05-10,2337925125
2001-05-11,2331721382
2001-05-14,2334380129
2001-05-15,2340583873
2001-05-16,2370716342
2001-05-17,2375147588
2001-05-18,2361853851
2001-05-21,2349446364
2001-05-22,2379578833
2001-05-23,2410597552
2001-05-24,2433640028
2001-05-25,2415028797
2001-05-29,2441616270
2001-05-30,2424777537
2001-05-31,2431867530
2001-06-01,2431867530
2001-06-04,2463772498
2001-06-05,2493904967
2001-06-06,2500994960
2001-06-07,2502767458
2001-06-08,2483269978
2001-06-11,2485042476
2001-06-12,2503653707
2001-06-13,2493904967
2001-06-14,2485928725
2001-06-15,2482383729
2001-06-18,2549738660
2001-06-19,2556828653
2001-06-20,2571008639
2001-06-21,2577212382
2001-06-22,2560373649
2001-06-25,2549738660
2001-06-26,2559487400
2001-06-27,2545307415
2001-06-28,2555056155
2001-06-29,2531127429
2001-07-02,2620350421
2001-07-03,2631215730
2001-07-05,2624877633
2001-07-06,2615823209
2001-07-09,2591376263
2001-07-10,2590470820
2001-07-11,2583227281
2001-07-12,2582321838
2001-07-13,2575078299
2001-07-16,2557874893
2001-07-17,2553347680
2001-07-18,2557874893
2001-07-19,2574172856
2001-07-20,2570551087
2001-07-23,2556969450
2001-07-24,2530711619
2001-07-25,2533427947
2001-07-26,2551536795
2001-07-27,2576889184
2001-07-30,2550631353
2001-07-31,2559685777
2001-08-01,2567834759
2001-08-02,2570551087
2001-08-03,2568740202
2001-08-06,2588659935
2001-08-07,2603147015
2001-08-08,2617634094
2001-08-09,2626688518
2001-08-10,2649324579
2001-08-13,2649324579
2001-08-14,2681920507
2001-08-15,2686447719
2001-08-16,2662906216
2001-08-17,2694596701
2001-08-20,2696407586
2001-08-21,2711800107
2001-08-22,2716327320
2001-08-23,2755261344
2001-08-24,2713610992
2001-08-27,2738963381
2001-08-28,2736247053
2001-08-29,2722665417
2001-08-30,2674676967
2001-08-31,2656568118
2001-09-04,2649324579
2001-09-05,2636648385
2001-09-06,2614917766
2001-09-07,2541576929
2001-09-10,2517129983
2001-09-17,2594998033
2001-09-18,2610390554
2001-09-19,2587754493
2001-09-20,2566929317
2001-09-21,2513508213
2001-09-24,2523468080
2001-09-25,2553347680
2001-09-26,2576889184
2001-09-27,2608579669
2001-09-28,2629404845
2001-10-01,3006834525
2001-10-02,2970050461
2001-10-03,2891227465
2001-10-04,2941674182
2001-10-05,2937470289
2001-10-08,2910144984
2001-10-09,2955336835
2001-10-10,2956387808
2001-10-11,3017344258
2001-10-12,2977407273
2001-10-15,3019446204
2001-10-16,3002630632
2001-10-17,2967948514
2001-10-18,2932215423
2001-10-19,3021548151
2001-10-22,2979509220
2001-10-23,3018395231
2001-10-24,2983713113
2001-10-25,3003681605
2001-10-26,3009987445
2001-10-29,3013140365
2001-10-30,2998426739
2001-10-31,3014191338
2001-11-01,3037312750
2001-11-02,3037312750
2001-11-05,3027853990
2001-11-06,3090912387
2001-11-07,3106676986
2001-11-08,3118237692
2001-11-09,3096167253
2001-11-12,3081453627
2001-11-13,3101422119
2001-11-14,3076198761
2001-11-15,3120339638
2001-11-16,3038363723
2001-11-19,3056230269
2001-11-20,3063587082
2001-11-21,3069892921
2001-11-23,3067790975
2001-11-26,3035210803
2001-11-27,3025752044
2001-11-28,3037312750
2001-11-29,3014191338
2001-11-30,3021548151
2001-12-03,2998426739
2001-12-04,3021548151
2001-12-05,3066740001
2001-12-06,3114033799
2001-12-07,3108778932
2001-12-10,3075147788
2001-12-11,3095116280
2001-12-12,3084606547
2001-12-13,3075147788
2001-12-14,3109829905
2001-12-17,3103524066
2001-12-18,3138206184
2001-12-19,3152919810
2001-12-20,3151868836
2001-12-21,3156072729
2001-12-24,3158174676
2001-12-26,3155021756
2001-12-27,3162378569
2001-12-28,3202315553
2001-12-31,3198111660
2002-01-02,3225436965
2002-01-03,3229640858
2002-01-04,3225436965
2002-01-07,3252762270
2002-01-08,3227538912
2002-01-09,3223335019
2002-01-10,3229640858
2002-01-11,3229640858
2002-01-14,3260119083
2002-01-15,3260119083
2002-01-16,3242252537
2002-01-17,3250660324
2002-01-18,3234895725
2002-01-22,3243303511
2002-01-23,3241201564
2002-01-24,3259068110
2002-01-25,3241201564
2002-01-28,3242252537
2002-01-29,3236997671
2002-01-30,3255915190
