,LYB
2010-04-28,12540000000
2010-04-29,13110000000
2010-04-30,12711000000
2010-05-03,12996000000
2010-05-04,12255000000
2010-05-05,11736300000
2010-05-06,11086500000
2010-05-07,10602000000
2010-05-10,10835700000
2010-05-11,10773000000
2010-05-12,11286000000
2010-05-13,11200500000
2010-05-14,10687500000
2010-05-17,10744500000
2010-05-18,10710300000
2010-05-19,10089000000
2010-05-20,9633000000
2010-05-21,9433500000
2010-05-24,9633000000
2010-05-25,9444900000
2010-05-26,9775500000
2010-05-27,10203000000
2010-05-28,10128900000
2010-06-01,9975000000
2010-06-02,9878099999
2010-06-03,9878099999
2010-06-04,9718500000
2010-06-07,9627300000
2010-06-08,9547500000
2010-06-09,9570300000
2010-06-10,9672900000
2010-06-11,9769800000
2010-06-14,9969300000
2010-06-15,10242900000
2010-06-16,10054800000
2010-06-17,9861000000
2010-06-18,9809700000
2010-06-21,9747000000
2010-06-22,9598800000
2010-06-23,9490500000
2010-06-24,9576000000
2010-06-25,9587400000
2010-06-28,9615900000
2010-06-29,9262500000
2010-06-30,9108600000
2010-07-01,8770200000
2010-07-02,8730720000
2010-07-06,8493840000
2010-07-07,8460000000
2010-07-08,8488200000
2010-07-09,8911200000
2010-07-12,8922480000
2010-07-13,9249600000
2010-07-14,9249600000
2010-07-15,9232680000
2010-07-16,9136800000
2010-07-19,9277800000
2010-07-20,9131160000
2010-07-21,9159360000
2010-07-22,9334200000
2010-07-23,9463920000
2010-07-26,9954600000
2010-07-27,10281720000
2010-07-28,10112520000
2010-07-29,10118160000
2010-07-30,10152000000
2010-08-02,10185840000
2010-08-03,10095600000
2010-08-04,10321200000
2010-08-05,10287360000
2010-08-06,10152000000
2010-08-09,10180200000
2010-08-10,10146360000
2010-08-11,9932040000
2010-08-12,9870000000
2010-08-13,10163280000
2010-08-16,10546800000
2010-08-17,10755480000
2010-08-18,11167200000
2010-08-19,11167200000
2010-08-20,11217960000
2010-08-23,11313840000
2010-08-24,11274360000
2010-08-25,11240520000
2010-08-26,11280000000
2010-08-27,11528160000
2010-08-30,11404080000
2010-08-31,11562000000
