,AEP
2000-01-03,6099360000
2000-01-04,6171140000
2000-01-05,6402000000
2000-01-06,6438860000
2000-01-07,6524220000
2000-01-10,6499000000
2000-01-11,6524220000
2000-01-12,6572720000
2000-01-13,6559140000
2000-01-14,6559140000
2000-01-18,6402000000
2000-01-19,6487360000
2000-01-20,6413640000
2000-01-21,6596000000
2000-01-24,6572720000
2000-01-25,6378720000
2000-01-26,6535860000
2000-01-27,6510640000
2000-01-28,6402000000
2000-01-31,6499000000
2000-02-01,6535860000
2000-02-02,6524220000
2000-02-03,6741500000
2000-02-04,6607640000
2000-02-07,6535860000
2000-02-08,6462140000
2000-02-09,6316640000
2000-02-10,6136220000
2000-02-11,6171140000
2000-02-14,6159500000
2000-02-15,6074140000
2000-02-16,5953860000
2000-02-17,5905360000
2000-02-18,5808360000
2000-02-22,5905360000
2000-02-23,5820000000
2000-02-24,5614360000
2000-02-25,5468860000
2000-02-28,5577500000
2000-02-29,5457220000
2000-03-01,5346640000
2000-03-02,5346640000
2000-03-03,5298140000
2000-03-06,5080860000
2000-03-07,5238000000
2000-03-08,5189500000
2000-03-09,5166220000
2000-03-10,5055640000
2000-03-13,5141000000
2000-03-14,5214720000
2000-03-15,5577500000
2000-03-16,6002360000
2000-03-17,5893720000
2000-03-20,5831640000
2000-03-21,5783140000
2000-03-22,5662860000
2000-03-23,5723000000
2000-03-24,5808360000
2000-03-27,5820000000
2000-03-28,5686140000
2000-03-29,5796720000
2000-03-30,5808360000
2000-03-31,5786210430
2000-04-03,5786210430
2000-04-04,5980313430
2000-04-05,6139477890
2000-04-06,5931787680
2000-04-07,5920141500
2000-04-10,6017193000
2000-04-11,6139477890
2000-04-12,6345227070
2000-04-13,6576209640
2000-04-14,6453924750
2000-04-17,6562622430
2000-04-18,6576209640
2000-04-19,6539330070
2000-04-20,6562622430
2000-04-24,6793605000
2000-04-25,7012941390
2000-04-26,7327388250
2000-04-27,7401147390
2000-04-28,7109992890
2000-05-01,7084759500
2000-05-02,6902302680
2000-05-03,6721786890
2000-05-04,6867364140
2000-05-05,6721786890
2000-05-08,6830484570
2000-05-09,6818838390
2000-05-10,7024587570
2000-05-11,7047879930
2000-05-12,6999354180
2000-05-15,7096405680
2000-05-16,7036233750
2000-05-17,6805251180
2000-05-18,6976061820
2000-05-19,6999354180
2000-05-22,7096405680
2000-05-23,6890656500
2000-05-24,6939182250
2000-05-25,6867364140
2000-05-26,6915889890
2000-05-30,6842130750
2000-05-31,6902302680
2000-06-01,6902302680
2000-06-02,6721786890
2000-06-05,6502450500
2000-06-06,6636381570
2000-06-07,6673261140
2000-06-08,6611148180
2000-06-09,6721786890
2000-06-12,6867364140
2000-06-13,6867364140
2000-06-14,6648027750
2000-06-15,6793605000
2000-06-16,6770312640
2000-06-19,6587855820
2000-06-20,6502450500
2000-06-21,6465570930
2000-06-22,6345227070
2000-06-23,6248175570
2000-06-26,6296701320
2000-06-27,6017193000
2000-06-28,6156947160
2000-06-29,5968667250
2000-06-30,9540860000
2000-07-03,9901500000
2000-07-05,9862860000
2000-07-06,9901500000
2000-07-07,10023860000
2000-07-10,10345860000
2000-07-11,10564820000
2000-07-12,10545500000
2000-07-13,10606680000
2000-07-14,10403820000
2000-07-17,10645320000
2000-07-18,10706500000
2000-07-19,10787000000
2000-07-20,10886820000
2000-07-21,10687180000
2000-07-24,10867500000
2000-07-25,10848180000
2000-07-26,10510080000
2000-07-27,10667860000
2000-07-28,10645320000
2000-07-31,10564820000
2000-08-01,10989860000
2000-08-02,11109000000
2000-08-03,11115440000
2000-08-04,11231360000
2000-08-07,11289320000
2000-08-08,11392360000
2000-08-09,11286100000
2000-08-10,11295760000
2000-08-11,11376260000
2000-08-14,11270000000
2000-08-15,11369820000
2000-08-16,11395580000
2000-08-17,11572680000
2000-08-18,11572680000
2000-08-21,11492180000
2000-08-22,11530820000
2000-08-23,11553360000
2000-08-24,11331180000
2000-08-25,11311860000
2000-08-28,11311860000
2000-08-29,11109000000
2000-08-30,11150860000
2000-08-31,11315080000
2000-09-01,11334400000
2000-09-05,11672500000
2000-09-06,12075000000
2000-09-07,12136180000
2000-09-08,12529019999
2000-09-11,12664260000
2000-09-12,12458180000
2000-09-13,12155500000
2000-09-14,11994500000
2000-09-15,12326160000
2000-09-18,12129740000
2000-09-19,11714360000
2000-09-20,11472860000
2000-09-21,11331180000
2000-09-22,11431000000
2000-09-25,11431000000
2000-09-26,11733680000
2000-09-27,11878580000
2000-09-28,12699680000
2000-09-29,12603080000
2000-10-02,12577320000
2000-10-03,12416320000
2000-10-04,12236000000
2000-10-05,11753000000
2000-10-06,11814180000
2000-10-09,11753000000
2000-10-10,11994500000
2000-10-11,12216680000
2000-10-12,12277860000
2000-10-13,12496820000
2000-10-16,12657820000
2000-10-17,12619180000
2000-10-18,12316500000
2000-10-19,12216680000
2000-10-20,12136180000
2000-10-23,12297180000
2000-10-24,12297180000
2000-10-25,12377680000
2000-10-26,12358360000
2000-10-27,12860680000
2000-10-30,13462820000
2000-10-31,13363000000
2000-11-01,13623820000
2000-11-02,13462820000
2000-11-03,13324360000
2000-11-06,13324360000
2000-11-07,13182680000
2000-11-08,13082860000
2000-11-09,13282500000
2000-11-10,13524000000
2000-11-13,13504680000
2000-11-14,13140820000
2000-11-15,13343680000
2000-11-16,13604500000
2000-11-17,13846000000
2000-11-20,13907180000
2000-11-21,14106820000
2000-11-22,14048860000
2000-11-24,13807360000
2000-11-27,13887860000
2000-11-28,14148680000
2000-11-29,14670320000
2000-11-30,14812000000
2000-12-01,14651000000
2000-12-04,14934360000
2000-12-05,14934360000
2000-12-06,14670320000
2000-12-07,14509320000
2000-12-08,14551180000
2000-12-11,14409500000
2000-12-12,14570500000
2000-12-13,14589820000
2000-12-14,14148680000
2000-12-15,14087500000
2000-12-18,14148680000
2000-12-19,14390180000
2000-12-20,15053500000
2000-12-21,14934360000
2000-12-22,15014860000
2000-12-26,15456000000
2000-12-27,15436680000
2000-12-28,15153320000
2000-12-29,14973000000
2001-01-02,14670320000
2001-01-03,14087500000
2001-01-04,13382320000
2001-01-05,13140820000
2001-01-08,13363000000
2001-01-09,13604500000
2001-01-10,13404860000
2001-01-11,12818820000
2001-01-12,13041000000
2001-01-16,13102180000
2001-01-17,13102180000
2001-01-18,13263180000
2001-01-19,13282500000
2001-01-22,13404860000
2001-01-23,13565860000
2001-01-24,13887860000
2001-01-25,14026320000
2001-01-26,13968360000
2001-01-29,14122920000
2001-01-30,14145460000
2001-01-31,13926500000
2001-02-01,13852440000
2001-02-02,13942600000
2001-02-05,14168000000
2001-02-06,14332220000
2001-02-07,14287140000
2001-02-08,14554400000
2001-02-09,14850640000
2001-02-12,14657440000
2001-02-13,14647780000
2001-02-14,14593040000
2001-02-15,14605920000
2001-02-16,14902160000
2001-02-20,15124340000
2001-02-21,15117900000
2001-02-22,15291780000
2001-02-23,15198400000
2001-02-26,15224160000
2001-02-27,15288559999
2001-02-28,15307880000
2001-03-01,15311100000
2001-03-02,15188740000
2001-03-05,15156540000
2001-03-06,15191960000
2001-03-07,15211280000
2001-03-08,15066380000
2001-03-09,15018080000
2001-03-12,14960120000
2001-03-13,14721840000
2001-03-14,14354760000
2001-03-15,14531860000
2001-03-16,14393400000
2001-03-19,14222740000
2001-03-20,14377300000
2001-03-21,14139019999
2001-03-22,13524000000
2001-03-23,13765500000
2001-03-26,14242059999
2001-03-27,14435260000
2001-03-28,14535080000
2001-03-29,14731500000
2001-03-30,15134000000
2001-04-02,15339994751
2001-04-03,15472097206
2001-04-04,15339994751
2001-04-05,15317440674
2001-04-06,15253000452
2001-04-09,15662195859
2001-04-10,15655751837
2001-04-11,15533315416
2001-04-12,15462431172
2001-04-16,15675083904
2001-04-17,16013395067
2001-04-18,16097167355
2001-04-19,15791076303
2001-04-20,15768522225
2001-04-23,16029505123
2001-04-24,15932844790
2001-04-25,15884514624
2001-04-26,15923178757
2001-04-27,16110055400
2001-04-30,15897402668
2001-05-01,15926400768
2001-05-02,15465653184
2001-05-03,15288442574
2001-05-04,15639641782
2001-05-07,15594533627
2001-05-08,15253000452
2001-05-09,15265888497
2001-05-10,15352882796
2001-05-11,15523649383
2001-05-14,15665417870
2001-05-15,15533315416
2001-05-16,15919956746
2001-05-17,15849072502
2001-05-18,16029505123
2001-05-21,16209937743
2001-05-22,16110055400
2001-05-23,16406480419
2001-05-24,16467698629
2001-05-25,16242157854
2001-05-29,16077835289
2001-05-30,16045615178
2001-05-31,16174495621
2001-06-01,15787854292
2001-06-04,15826518424
2001-06-05,15823296413
2001-06-06,15433433073
2001-06-07,15368992851
2001-06-08,15552647483
