,FISV
2001-01-23,6475200016
2001-01-24,6452871740
2001-01-25,6274245533
2001-01-26,6423100706
2001-01-29,6735696569
2001-01-30,6549627603
2001-01-31,6430543464
2001-02-01,6482642775
2001-02-02,6304016568
2001-02-05,6482642775
2001-02-06,6668711741
2001-02-07,6691040017
2001-02-08,6609169672
2001-02-09,6638940706
2001-02-12,6750582086
2001-02-13,6586841396
2001-02-14,6891994500
2001-02-15,6906880017
2001-02-16,6914322776
2001-02-20,7070620708
2001-02-21,6810124155
2001-02-22,6571955879
2001-02-23,6698482776
2001-02-26,6512413810
2001-02-27,6341230361
2001-02-28,6140275878
2001-03-01,6080733808
2001-03-02,5894664842
2001-03-05,6095619326
2001-03-06,6013748981
2001-03-07,6103062084
2001-03-08,6036077257
2001-03-09,5939321394
2001-03-12,5596954497
2001-03-13,5775580704
2001-03-14,5812794497
2001-03-15,5894664842
2001-03-16,5611840014
2001-03-19,5954206912
2001-03-20,5783023463
2001-03-21,5730924152
2001-03-22,5879779325
2001-03-23,5902107601
2001-03-26,5887222084
2001-03-27,6065848291
2001-03-28,6065848291
2001-03-29,6103062084
2001-03-30,5552297945
2001-04-02,5877369487
2001-04-03,5646153175
2001-04-04,5698363310
2001-04-05,6011624120
2001-04-06,5959413985
2001-04-09,6093668618
2001-04-10,6213006069
2001-04-11,5929579622
2001-04-12,5989248348
2001-04-16,5877369487
2001-04-17,6041458483
2001-04-18,6347260702
2001-04-19,6250299023
2001-04-20,6287591976
2001-04-23,6302509158
2001-04-24,6265216204
2001-04-25,6750024601
2001-04-26,6615769968
2001-04-27,6623228559
2001-04-30,6876820643
2001-05-01,6764941783
2001-05-02,6466598154
2001-05-03,6444222382
2001-05-04,6585935605
2001-05-07,6571018424
2001-05-08,6563559833
2001-05-09,6474056744
2001-05-10,6466598154
2001-05-11,6488973926
2001-05-14,6488973926
2001-05-15,6518808289
2001-05-16,6832069099
2001-05-17,6779858964
2001-05-18,6720190238
2001-05-21,7137871319
2001-05-22,7122954137
2001-05-23,6936489369
2001-05-24,6869362053
2001-05-25,6682897285
2001-05-29,6682897285
2001-05-30,6794776145
2001-05-31,6854444871
2001-06-01,6966323732
2001-06-04,7011075276
2001-06-05,7100578365
2001-06-06,6929030778
2001-06-07,6988699504
2001-06-08,6861903462
2001-06-11,6996158095
2001-06-12,7063285411
2001-06-13,7190081454
2001-06-14,6929030778
2001-06-15,7108036956
2001-06-18,7279584542
2001-06-19,7473507901
2001-06-20,7645055488
2001-06-21,7563010990
2001-06-22,7540635217
2001-06-25,7712182804
2001-06-26,7756934348
2001-06-27,7712182804
2001-06-28,7846437437
2001-06-29,7950857707
2001-07-02,7672181760
2001-07-03,7417937920
2001-07-05,7186127360
2001-07-06,7298293760
2001-07-09,7470282240
2001-07-10,7470282240
2001-07-11,7679659520
2001-07-12,7874081279
2001-07-13,7612359680
2001-07-16,7507671039
2001-07-17,7582448640
2001-07-18,7485237760
2001-07-19,7717048320
2001-07-20,7634792960
2001-07-23,7470282240
2001-07-24,7223516160
2001-07-25,7193605119
2001-07-26,7111349760
2001-07-27,7103872000
2001-07-30,7148738560
2001-07-31,7148738560
2001-08-01,6999183360
2001-08-02,6916928000
2001-08-03,6842150400
2001-08-06,6812239360
2001-08-07,6819717119
2001-08-08,6655206400
2001-08-09,6722506240
2001-08-10,6722506240
2001-08-13,6879539199
2001-08-14,6894494720
2001-08-15,6857105920
2001-08-16,6812239360
2001-08-17,6595384320
2001-08-20,6737461760
2001-08-21,6640250880
2001-08-22,6789806080
2001-08-23,6729984000
2001-08-24,6931883520
2001-08-27,7036572160
2001-08-28,6797283840
2001-08-29,6827194880
2001-08-30,6759895039
2001-08-31,6752417279
2001-09-04,6400962560
2001-09-05,6460784640
2001-09-06,6348618240
2001-09-07,6326184960
2001-09-10,6393484800
2001-09-17,6169152000
2001-09-18,6393484800
2001-09-19,6386007039
2001-09-20,6116807680
2001-09-21,6206540800
2001-09-24,6430873600
2001-09-25,6258885119
2001-09-26,6161674240
2001-09-27,6430873600
2001-09-28,6393484800
2001-10-01,6101329008
2001-10-02,6086075685
2001-10-03,6566555344
2001-10-04,6391142135
2001-10-05,6635195296
2001-10-08,6459782087
2001-10-09,6452155425
2001-10-10,6894501779
2001-10-11,6848741811
2001-10-12,6680955263
2001-10-15,6680955263
2001-10-16,6696208586
2001-10-17,6536048699
2001-10-18,6719088570
2001-10-19,6863995134
2001-10-22,6848741811
2001-10-23,7245328197
2001-10-24,7245328197
2001-10-25,7458874712
2001-10-26,7252954858
2001-10-29,7039408342
2001-10-30,6970768391
2001-10-31,7092794971
2001-11-01,7298714825
2001-11-02,7413114744
2001-11-05,7672421227
2001-11-06,7817327791
2001-11-07,7672421227
2001-11-08,7634287921
2001-11-09,7596154614
2001-11-12,7550394647
2001-11-13,7680047888
2001-11-14,7695301211
2001-11-15,7672421227
2001-11-16,7542767986
2001-11-19,7550394647
2001-11-20,7458874712
2001-11-21,7481754696
2001-11-23,7565647969
2001-11-26,7649541243
2001-11-27,7489381357
2001-11-28,7321594809
2001-11-29,7428368067
2001-11-30,7451248051
2001-12-03,7397861422
2001-12-04,7550394647
2001-12-05,7855461097
2001-12-06,7992741000
2001-12-07,7954607694
2001-12-10,7946981032
2001-12-11,8000367661
2001-12-12,8023247645
2001-12-13,7832581114
2001-12-14,7870714420
2001-12-17,8343567418
2001-12-18,8465593998
2001-12-19,8457967337
2001-12-20,8252047483
2001-12-21,8107140919
2001-12-24,8145274225
2001-12-26,8160527548
2001-12-27,8168154209
2001-12-28,8320687434
2001-12-31,8069007613
2002-01-02,8175886720
2002-01-03,8107245880
2002-01-04,7977590960
2002-01-07,8046231800
2002-01-08,8038605039
2002-01-09,7924203640
2002-01-10,7954710680
2002-01-11,8008098000
2002-01-14,7916576880
2002-01-15,8175886720
2002-01-16,7954710680
2002-01-17,8236900800
2002-01-18,8008098000
2002-01-22,7931830400
2002-01-23,8259781080
2002-01-24,8244527560
2002-01-25,8107245880
2002-01-28,8076738840
2002-01-29,7809802240
2002-01-30,7985217720
2002-01-31,8091992360
2002-02-01,7794548720
2002-02-04,7840309279
2002-02-05,7939457160
2002-02-06,8008098000
2002-02-07,7863189560
2002-02-08,8084365600
2002-02-11,7855562800
2002-02-12,7832682520
2002-02-13,7924203640
2002-02-14,7954710680
2002-02-15,7840309279
2002-02-19,7611506480
2002-02-20,7779295199
2002-02-21,7603879720
2002-02-22,7954710680
2002-02-25,8183513480
2002-02-26,8038605039
2002-02-27,7931830400
2002-02-28,8153006440
2002-03-01,8374182480
2002-03-04,8473330360
2002-03-05,8252154320
