,DISCA
2005-07-06,5256533240
2005-07-07,4830630760
2005-07-08,4466372060
2005-07-11,4483184000
2005-07-12,4712947180
2005-07-13,4640095440
2005-07-14,4640095440
2005-07-15,4584055640
2005-07-18,4348688480
2005-07-19,4359896440
2005-07-20,4337480520
2005-07-21,4404728280
2005-07-22,4376708380
2005-07-25,4102113360
2005-07-26,4085301420
2005-07-27,4085301420
2005-07-28,4158153160
2005-07-29,4163757140
2005-08-01,4096509380
2005-08-02,4079697440
2005-08-03,4152549180
2005-08-04,4135737240
2005-08-05,4118925300
2005-08-08,4102113360
2005-08-09,4079697440
2005-08-10,4118925300
2005-08-11,4259024800
2005-08-12,4287044700
2005-08-15,4421540220
2005-08-16,4438352160
2005-08-17,4410332260
2005-08-18,4382312360
2005-08-19,4438352160
2005-08-22,4522411860
2005-08-23,4578451660
2005-08-24,4623283500
2005-08-25,4600867580
2005-08-26,4550431760
2005-08-29,4488787980
2005-08-30,4471976040
2005-08-31,4421540220
2005-09-01,4427144200
2005-09-02,4421540220
2005-09-06,4438352160
2005-09-07,4443956140
2005-09-08,4410332260
2005-09-09,4376708380
2005-09-12,4371104400
2005-09-13,4331876540
2005-09-14,4354292460
2005-09-15,4376708380
2005-09-16,4376708380
2005-09-19,4393520320
2005-09-20,4393520320
2005-09-21,4315064600
2005-09-22,4292648680
2005-09-23,4270232760
2005-09-26,4259024800
2005-09-27,4253420820
2005-09-28,4208588980
2005-09-29,4158153160
2005-09-30,4214192959
2005-10-03,4242250861
2005-10-04,4090942046
2005-10-05,4057317864
2005-10-06,4029297713
2005-10-07,4079733985
2005-10-10,4079733985
2005-10-11,4102150106
2005-10-12,4090942046
2005-10-13,4158190408
2005-10-14,4231042801
2005-10-17,4152586378
2005-10-18,4135774287
2005-10-19,4090942046
2005-10-20,4051713834
2005-10-21,4113358166
2005-10-24,4158190408
2005-10-25,4096546076
2005-10-26,4079733985
2005-10-27,4012485623
2005-10-28,4141378317
2005-10-31,4113358166
2005-11-01,4152586378
2005-11-02,4197418619
2005-11-03,4146982348
2005-11-04,4118962197
2005-11-07,4130170257
2005-11-08,4191814589
2005-11-09,4186210559
2005-11-10,4315103254
2005-11-11,4455204009
2005-11-14,4472016099
2005-11-15,4472016099
2005-11-16,4376747586
2005-11-17,4348727435
2005-11-18,4449599978
2005-11-21,4556076552
2005-11-22,4600908794
2005-11-23,4617720884
2005-11-25,4623324915
2005-11-28,4600908794
2005-11-29,4600908794
2005-11-30,4556076552
2005-12-01,4567284613
2005-12-02,4556076552
2005-12-05,4522452371
2005-12-06,4410371767
2005-12-07,4466412069
2005-12-08,4522452371
2005-12-09,4516848341
2005-12-12,4612116854
2005-12-13,4662553126
2005-12-14,4673761186
2005-12-15,4539264462
2005-12-16,4684969247
2005-12-19,4561680582
2005-12-20,4522452371
2005-12-21,4477620129
2005-12-22,4460808039
2005-12-23,4500036250
2005-12-27,4472016099
2005-12-28,4438391918
2005-12-29,4449599978
2005-12-30,4421579827
2006-01-03,4410383391
2006-01-04,4466423841
2006-01-05,4466423841
2006-01-06,4483235976
2006-01-09,4466423841
2006-01-10,4477631931
2006-01-11,4460819796
2006-01-12,4455215751
2006-01-13,4444007661
2006-01-17,4511256200
2006-01-18,4511256200
2006-01-19,4528068335
2006-01-20,4472027886
2006-01-23,4500048110
2006-01-24,4500048110
2006-01-25,4477631931
2006-01-26,4494444065
2006-01-27,4528068335
2006-01-30,4483235976
2006-01-31,4427195526
2006-02-01,4376759121
2006-02-02,4259074177
2006-02-03,4253470132
2006-02-06,4247866087
2006-02-07,4214241817
2006-02-08,4365551031
2006-02-09,4320718671
2006-02-10,4231053952
2006-02-13,4225449907
2006-02-14,4219845862
2006-02-15,4225449907
2006-02-16,4281490357
2006-02-17,4236657997
2006-02-21,4225449907
2006-02-22,4242262042
2006-02-23,4236657997
2006-02-24,4208637772
2006-02-27,4331926761
2006-02-28,4264678222
2006-03-01,4303906536
2006-03-02,4236657997
2006-03-03,4225449907
2006-03-06,4219845862
2006-03-07,4197429682
2006-03-08,4152597322
2006-03-09,4158201367
2006-03-10,4191825637
2006-03-13,4236657997
2006-03-14,4309510581
2006-03-15,4365551031
2006-03-16,4287094402
2006-03-17,4259074177
2006-03-20,4231053952
2006-03-21,4225449907
2006-03-22,4197429682
2006-03-23,4281490357
2006-03-24,4225449907
2006-03-27,4247866087
2006-03-28,4247866087
2006-03-29,4348738896
2006-03-30,4365551031
2006-03-31,4376759121
2006-04-03,4365530987
2006-04-04,4415967161
2006-04-05,4387947064
2006-04-06,4387947064
2006-04-07,4376739026
2006-04-10,4331906872
2006-04-11,4298282757
2006-04-12,4309490795
2006-04-13,4259054622
2006-04-17,4214222468
2006-04-18,4253450603
2006-04-19,4264658641
2006-04-20,4287074718
2006-04-21,4292678737
2006-04-24,4270262660
2006-04-25,4259054622
2006-04-26,4242242564
2006-04-27,4337510891
2006-04-28,4348718930
2006-05-01,4382343045
2006-05-02,4298282757
2006-05-03,4214222468
2006-05-04,4225430506
2006-05-05,4208618449
2006-05-08,4208618449
2006-05-09,4203014430
2006-05-10,4163786295
2006-05-11,4163786295
2006-05-12,4085330025
2006-05-15,4174994333
2006-05-16,4203014430
2006-05-17,4102142083
2006-05-18,4034893852
2006-05-19,4034893852
2006-05-22,3990061698
2006-05-23,4012477775
2006-05-24,4040497872
2006-05-25,4040497872
2006-05-26,4051705910
2006-05-30,4046101891
2006-05-31,4051705910
2006-06-01,4146974237
2006-06-02,4197410410
2006-06-05,4085330025
2006-06-06,4085330025
2006-06-07,4034893852
2006-06-08,4029289833
2006-06-09,4018081795
2006-06-12,4023685814
2006-06-13,4057309929
2006-06-14,4051705910
2006-06-15,4253450603
2006-06-16,4163786295
2006-06-19,4191806391
2006-06-20,4214222468
2006-06-21,4264658641
2006-06-22,4169390314
2006-06-23,4163786295
2006-06-26,4197410410
2006-06-27,4152578256
2006-06-28,4197410410
2006-06-29,4337510891
2006-06-30,4270262660
2006-07-03,4303882713
2006-07-05,4242238560
2006-07-06,4208614476
2006-07-07,4163782364
2006-07-10,4130158281
2006-07-11,4118950253
2006-07-12,4096534197
2006-07-13,4096534197
2006-07-14,4051702085
2006-07-17,4012473988
2006-07-18,3995661946
2006-07-19,3995661946
2006-07-20,3962037862
2006-07-21,3945225820
2006-07-24,3945225820
2006-07-25,3978849904
2006-07-26,3950829834
2006-07-27,3939621806
2006-07-28,3934017792
2006-07-31,3889185681
2006-08-01,3872373639
2006-08-02,3945225820
2006-08-03,3956433848
2006-08-04,3978849904
2006-08-07,4046098071
2006-08-08,3967641876
2006-08-09,3866769625
2006-08-10,3945225820
2006-08-11,4096534197
2006-08-14,4034890044
2006-08-15,4141366309
2006-08-16,4135762295
2006-08-17,4208614476
2006-08-18,4158178350
2006-08-21,4169386378
2006-08-22,4152574336
2006-08-23,4118950253
2006-08-24,4085326169
2006-08-25,4090930183
2006-08-28,4090930183
2006-08-29,4074118141
2006-08-30,4034890044
2006-08-31,4090930183
2006-09-01,4090930183
2006-09-05,4012473988
2006-09-06,4012473988
