,HCP
2022-12-30,5161874020
2023-01-03,4893773760
2023-01-04,4893773760
2023-01-05,4516167760
2023-01-06,4593576990
2023-01-09,4997615410
2023-01-10,5203410680
2023-01-11,5437526400
2023-01-12,5569688500
2023-01-13,5524375780
2023-01-17,5560248350
2023-01-18,5435638370
2023-01-19,5173202200
2023-01-20,5367669290
2023-01-23,5554584260
2023-01-24,5479063060
2023-01-25,5471510940
2023-01-26,5675418180
2023-01-27,6009599490
2023-01-30,5903869810
2023-01-31,6140137080
2023-02-01,6363380100
2023-02-02,7113247680
2023-02-03,6435886379
2023-02-06,6262252920
2023-02-07,6390092940
2023-02-08,6214551420
2023-02-09,5972227800
2023-02-10,5771881500
2023-02-13,5907353760
2023-02-14,6392001000
2023-02-15,6659129400
2023-02-16,6187838580
2023-02-17,5855836140
2023-02-21,5806226580
2023-02-22,5867284500
2023-02-23,5726088060
2023-02-24,5413166220
2023-02-27,5483764440
2023-02-28,5571535200
2023-03-01,5512385340
2023-03-02,5603972220
2023-03-03,6039009900
2023-03-06,6193562760
2023-03-07,6090527520
2023-03-08,5997032580
2023-03-09,5672662380
2023-03-10,5329211580
2023-03-13,5581075500
2023-03-14,5548638480
2023-03-15,5665030140
2023-03-16,5939790780
2023-03-17,5674570440
2023-03-20,5605880280
2023-03-21,5787145980
2023-03-22,5371188900
2023-03-23,5651673720
2023-03-24,5363556660
2023-03-27,5323487400
2023-03-28,5199463500
2023-03-29,5298682620
2023-03-30,5317763220
2023-03-31,5588707740
2023-04-03,5541006240
2023-04-04,5468499960
2023-04-05,5020105860
2023-04-06,5084979900
2023-04-10,5300590680
2023-04-11,5224268280
2023-04-12,5193739320
2023-04-13,5243348880
2023-04-14,5098336320
2023-04-17,5308222920
2023-04-18,5416982340
2023-04-19,5502845040
2023-04-20,5294866500
2023-04-21,5483764440
2023-04-24,5222360220
2023-04-25,5073531540
2023-04-26,5245256940
2023-04-27,5470408020
2023-04-28,5115508860
2023-05-01,5225509300
2023-05-02,5127278200
2023-05-03,5204322200
2023-05-04,5514424300
2023-05-05,5604951000
2023-05-08,5718590900
2023-05-09,5899644300
2023-05-10,6103810900
2023-05-11,6202042000
2023-05-12,6005579800
2023-05-15,5997875400
2023-05-16,5949722900
2023-05-17,6153889500
2023-05-18,6288716500
2023-05-19,6304125299
2023-05-22,6344573400
2023-05-23,6307977500
2023-05-24,6315681900
2023-05-25,6306051400
2023-05-26,6352277799
2023-05-30,6490957000
2023-05-31,6614227400
2023-06-01,6712458500
2023-06-02,6679714800
2023-06-05,6646971100
2023-06-06,6835728900
2023-06-07,6697049700
2023-06-08,4965485800
2023-06-09,5127278200
2023-06-12,5150391400
2023-06-13,5693551600
2023-06-14,5574133400
2023-06-15,5759039000
2023-06-16,5500941600
2023-06-20,5321814300
2023-06-21,5092608400
2023-06-22,5185061200
2023-06-23,5059864700
2023-06-26,4824880500
2023-06-27,4948150900
2023-06-28,4967411900
2023-06-29,4921185500
2023-06-30,5042529800
2023-07-03,5038677600
2023-07-05,5079125700
2023-07-06,4878811300
2023-07-07,4905776700
2023-07-10,5075273500
2023-07-11,5317962100
2023-07-12,5493237200
2023-07-13,5510572100
2023-07-14,5350705800
2023-07-17,5552946300
2023-07-18,5647325200
2023-07-19,5645399100
2023-07-20,5350705800
2023-07-21,5346853600
2023-07-24,5369966800
2023-07-25,5502867700
2023-07-26,5585690000
2023-07-27,5491311100
2023-07-28,5635768600
2023-07-31,5762106000
2023-08-01,5678428000
2023-08-02,5444908000
2023-08-03,5544154000
2023-08-04,5690104000
2023-08-07,5828270000
2023-08-08,5614210000
2023-08-09,5511072000
2023-08-10,5444908000
2023-08-11,5676482000
2023-08-14,5725132000
2023-08-15,5528586000
2023-08-16,5526640000
2023-08-17,5333986000
2023-08-18,5400150000
2023-08-21,5470206000
2023-08-22,5460476000
2023-08-23,5608372000
2023-08-24,5511072000
2023-08-25,5629778000
2023-08-28,5472152000
2023-08-29,5583074000
2023-08-30,5670644000
2023-08-31,5674536000
2023-09-01,5380690000
2023-09-05,5413772000
2023-09-06,5228902000
2023-09-07,5081006000
2023-09-08,5042086000
2023-09-11,5090736000
2023-09-12,5014842000
2023-09-13,4958408000
2023-09-14,4898082000
2023-09-15,4882514000
2023-09-18,4849432000
2023-09-19,4804674000
2023-09-20,4650940000
2023-09-21,4526396000
2023-09-22,4475800000
2023-09-25,4456340000
2023-09-26,4376554000
2023-09-27,4407690000
2023-09-28,4429096000
2023-09-29,4442718000
2023-10-02,4538072000
2023-10-03,4427150000
2023-10-04,4444664000
2023-10-05,4349310000
2023-10-06,4329850000
2023-10-09,4242280000
2023-10-10,4324012000
2023-10-11,4376554000
2023-10-12,4176116000
2023-10-13,4144980000
2023-10-16,4277308000
2023-10-17,4240334000
2023-10-18,4102167999
2023-10-19,4065194000
2023-10-20,3936758000
2023-10-23,3965948000
2023-10-24,4166386000
2023-10-25,3938703999
2023-10-26,3856972000
2023-10-27,3812214000
2023-10-30,3823889999
2023-10-31,3882533270
2023-11-01,3866758630
2023-11-02,3785913600
2023-11-03,3880561440
2023-11-06,3813519220
2023-11-07,4022533199
2023-11-08,4000843070
2023-11-09,3864786800
2023-11-10,3977181110
2023-11-13,3929857190
2023-11-14,4034364180
2023-11-15,4117181040
2023-11-16,4056054310
2023-11-17,4091547250
2023-11-20,4146758490
2023-11-21,4174364110
2023-11-22,4119152870
2023-11-24,4199997900
2023-11-27,4138871169
2023-11-28,4198026070
2023-11-29,4276899270
2023-11-30,4223659860
2023-12-01,4736335660
2023-12-04,4761969450
2023-12-05,4907884870
2023-12-06,4911828530
2023-12-07,4909856700
2023-12-08,4103378229
2023-12-11,4198026070
2023-12-12,4119152870
2023-12-13,4286758419
2023-12-14,4547039980
2023-12-15,4515490700
2023-12-18,4361687960
2023-12-19,4495772400
2023-12-20,4476054100
2023-12-21,4623941350
2023-12-22,4619997690
2023-12-26,4783659580
2023-12-27,4830983500
2023-12-28,4813237030
2023-12-29,4661406120
2024-01-02,4505631550
2024-01-03,4343941490
2024-01-04,4292673910
2024-01-05,4308448550
2024-01-08,4420842860
2024-01-09,4373518940
2024-01-10,4560842790
2024-01-11,4501687890
2024-01-12,4430702010
2024-01-16,4282814760
2024-01-17,4257180970
2024-01-18,4330138680
2024-01-19,4272955610
2024-01-22,4270983780
2024-01-23,4387321750
2024-01-24,4450420310
2024-01-25,4416899200
2024-01-26,4464223120
2024-01-29,4625913180
2024-01-30,4452392140
2024-01-31,4310420380
2024-02-01,4432673840
2024-02-02,4580561090
2024-02-05,4515490700
2024-02-06,4533237170
2024-02-07,4507603380
2024-02-08,4783659580
2024-02-09,4876335590
2024-02-12,4878307420
2024-02-13,4641687820
2024-02-14,4775772260
2024-02-15,4819152520
2024-02-16,4665349780
2024-02-20,4474082270
2024-02-21,4446476650
2024-02-22,4261124630
2024-02-23,4361687960
2024-02-26,4972955260
2024-02-27,5132673490
2024-02-28,5241124140
2024-02-29,5140560810
2024-03-01,5101124210
2024-03-04,5014363690
2024-03-05,4724504680
2024-03-06,5237180480
2024-03-07,5189856560
2024-03-08,5241124140
2024-03-11,5144504470
2024-03-12,5282532570
2024-03-13,5197743880
2024-03-14,5075490420
2024-03-15,5225349500
2024-03-18,5647321120
2024-03-19,5536898640
2024-03-20,5458025440
2024-03-21,5345631130
2024-03-22,5345631130
2024-03-25,5310138190
2024-03-26,5327884660
2024-03-27,5323941000
2024-03-28,5314081850
2024-04-01,5089293230
2024-04-02,5083377740
2024-04-03,5032110160
2024-04-04,5059715780
2024-04-05,5089293230
2024-04-08,5185912900
2024-04-09,5318025510
2024-04-10,5195772050
2024-04-11,5146476300
2024-04-12,4840842650
2024-04-15,4619997690
2024-04-16,4665349780
2024-04-17,4639715990
2024-04-18,4659434290
2024-04-19,4726476510
2024-04-22,4840842650
2024-04-23,5747884450
2024-04-24,6193518030
2024-04-25,6471546060
2024-04-26,6426193970
2024-04-29,6426193970
2024-04-30,6400560180
2024-05-01,6432109459
2024-05-02,6471546060
2024-05-03,6477461550
2024-05-06,6465630570
2024-05-07,6467602399
2024-05-08,6469574230
2024-05-09,6459715080
2024-05-10,6467602399
2024-05-13,6489292529
2024-05-14,6469574230
2024-05-15,6489292529
2024-05-16,6493236190
2024-05-17,6514926320
2024-05-20,6534644620
2024-05-21,6566193899
2024-05-22,6576053050
2024-05-23,6560278410
2024-05-24,6583940370
2024-05-28,6696443310
2024-05-29,6696443310
2024-05-30,6712449149
2024-05-31,6718451340
2024-06-03,6740459370
2024-06-04,6742460100
2024-06-05,6760466670
2024-06-06,6752463750
2024-06-07,6758465940
2024-06-10,6744460830
2024-06-11,6726454259
2024-06-12,6800481270
2024-06-13,6732456450
2024-06-14,6728454990
2024-06-17,6722452800
2024-06-18,6714449880
2024-06-20,6658429440
2024-06-21,6684438929
2024-06-24,6698444039
2024-06-25,6690441120
2024-06-26,6700444770
2024-06-27,6702445500
2024-06-28,6740459370
2024-07-01,6734457179
2024-07-02,6726454259
2024-07-03,6752463750
2024-07-05,6744460830
2024-07-08,6742460100
2024-07-09,6676436009
2024-07-10,6674435280
2024-07-11,6724453530
2024-07-12,6748462289
2024-07-15,6698444039
2024-07-16,6694442580
2024-07-17,6692441850
2024-07-18,6700444770
2024-07-19,6698444039
2024-07-22,6706446960
2024-07-23,6720452070
2024-07-24,6712449149
2024-07-25,6712449149
2024-07-26,6720452070
2024-07-29,6718451340
2024-07-30,6734457179
2024-07-31,6752463750
2024-08-01,6754464480
2024-08-02,6736457910
2024-08-05,6708447690
2024-08-06,6704446230
2024-08-07,6702445500
2024-08-08,6722452800
2024-08-09,6736457910
