,LB
2024-06-28,335675000
2024-07-01,332920000
2024-07-02,353945000
2024-07-03,348000000
2024-07-05,413250000
2024-07-08,388165000
2024-07-09,396140000
2024-07-10,405275000
2024-07-11,433550000
2024-07-12,446310000
2024-07-15,451820000
2024-07-16,420645000
2024-07-17,393675000
2024-07-18,412525000
2024-07-19,418325000
2024-07-22,428475000
2024-07-23,409190000
2024-07-24,427605000
2024-07-25,428475000
2024-07-26,436885000
2024-07-29,464000000
2024-07-30,452110000
2024-07-31,478065000
2024-08-01,465305000
2024-08-02,461970000
2024-08-05,435145000
2024-08-06,458055000
2024-08-07,467915000
2024-08-08,559516750
2024-08-09,568055000
