,DLR
2004-10-29,257055600
2004-11-01,257055600
2004-11-02,257055600
2004-11-03,260268795
2004-11-04,258340878
2004-11-05,258769304
2004-11-08,257269813
2004-11-09,257269813
2004-11-10,257269813
2004-11-11,257484026
2004-11-12,263267776
2004-11-15,265409907
2004-11-16,267766250
2004-11-17,267980463
2004-11-18,272478936
2004-11-19,272264723
2004-11-22,270551019
2004-11-23,274192640
2004-11-24,273978427
2004-11-26,270979445
2004-11-29,271622084
2004-11-30,273335788
2004-12-01,281690095
2004-12-02,277405835
2004-12-03,281690095
2004-12-06,281047456
2004-12-07,278476900
2004-12-08,275477918
2004-12-09,275263705
2004-12-10,277834261
2004-12-13,276548983
2004-12-14,276334770
2004-12-15,279547965
2004-12-16,279547965
2004-12-17,287045420
2004-12-20,285760142
2004-12-21,288116485
2004-12-22,293471810
2004-12-23,298612922
2004-12-27,291329680
2004-12-28,289830189
2004-12-29,284474864
2004-12-30,284903290
2004-12-31,288544911
2005-01-03,291115467
2005-01-04,292400745
2005-01-05,282761160
2005-01-06,286831207
2005-01-07,284046438
2005-01-10,284903290
2005-01-11,284046438
2005-01-12,284903290
2005-01-13,286402781
2005-01-14,291115467
2005-01-18,293471810
2005-01-19,292400745
2005-01-20,290472828
2005-01-21,291329680
2005-01-24,289615976
2005-01-25,289187550
2005-01-26,293686023
2005-01-27,293471810
2005-01-28,295613940
2005-01-31,295613940
2005-02-01,295613940
2005-02-02,298827135
2005-02-03,299469774
2005-02-04,299041348
2005-02-07,300969265
2005-02-08,299898200
2005-02-09,296685005
2005-02-10,302254543
2005-02-11,311894128
2005-02-14,310608850
2005-02-15,309966211
2005-02-16,310608850
2005-02-17,299898200
2005-02-18,299898200
2005-02-22,297327644
2005-02-23,296685005
2005-02-24,299469774
2005-02-25,300969265
2005-02-28,306967229
2005-03-01,305253525
2005-03-02,310608850
2005-03-03,308680933
2005-03-04,310394637
2005-03-07,311037276
2005-03-08,305253525
2005-03-09,305467738
2005-03-10,306538803
2005-03-11,299469774
2005-03-14,313607832
2005-03-15,303539821
2005-03-16,299898200
2005-03-17,299255561
2005-03-18,302040330
2005-03-21,302897182
2005-03-22,297970283
2005-03-23,305253525
2005-03-24,310823063
2005-03-28,310823063
2005-03-29,310608850
2005-03-30,314464684
2005-03-31,307824081
2005-04-01,306538803
2005-04-04,306753016
2005-04-05,303325608
2005-04-06,312750980
2005-04-07,309109359
2005-04-08,300326626
2005-04-11,298827135
2005-04-12,308466720
2005-04-13,303111395
2005-04-14,297756070
2005-04-15,296256579
2005-04-18,296470792
2005-04-19,299898200
2005-04-20,299469774
2005-04-21,301397691
2005-04-22,299898200
2005-04-25,302468756
2005-04-26,300326626
2005-04-27,303325608
2005-04-28,302040330
2005-04-29,305681951
2005-05-02,308252507
2005-05-03,312322554
2005-05-04,318963157
2005-05-05,319177370
2005-05-06,314036258
2005-05-09,320891074
2005-05-10,318748944
2005-05-11,312750980
