,GHC
2000-01-03,3090656000
2000-01-04,3021555200
2000-01-05,3051857600
2000-01-06,3064318400
2000-01-07,3099624000
2000-01-10,3256800000
2000-01-11,3258216000
2000-01-12,3269638400
2000-01-13,3327788800
2000-01-14,3257555200
2000-01-18,3273886400
2000-01-19,3256800000
2000-01-20,3252552000
2000-01-21,3260387200
2000-01-24,3232539200
2000-01-25,3205446400
2000-01-26,3225459200
2000-01-27,3188360000
2000-01-28,3144180800
2000-01-31,3137006400
2000-02-01,3170518400
2000-02-02,3123507200
2000-02-03,3135590400
2000-02-04,3115955200
2000-02-07,3098491200
2000-02-08,3054312000
2000-02-09,3024009600
2000-02-10,2982284800
2000-02-11,2931025600
2000-02-14,2883259200
2000-02-15,2881748800
2000-02-16,2824070400
2000-02-17,2824070400
2000-02-18,2813025600
2000-02-22,2798393600
2000-02-23,2800848000
2000-02-24,2732030400
2000-02-25,2730614400
2000-02-28,2766297600
2000-02-29,2781968000
2000-03-01,2789142400
2000-03-02,2826902400
2000-03-03,2836153600
2000-03-06,2795184000
2000-03-07,2757707200
2000-03-08,2743452800
2000-03-09,2772339200
2000-03-10,2714944000
2000-03-13,2754875200
2000-03-14,2745624000
2000-03-15,2809060800
2000-03-16,2926022400
2000-03-17,2914600000
2000-03-20,2931686400
2000-03-21,2851824000
2000-03-22,2905632000
2000-03-23,2947356800
2000-03-24,2891755200
2000-03-27,2874668800
2000-03-28,2878916800
2000-03-29,2863246400
2000-03-30,2931025600
2000-03-31,3085652800
2000-04-03,3038190820
2000-04-04,2951126360
2000-04-05,2944044110
2000-04-06,2967179460
2000-04-07,2952637240
2000-04-10,2908727289
2000-04-11,2908349570
2000-04-12,2926196840
2000-04-13,2884175490
2000-04-14,2801360380
2000-04-17,2840643260
2000-04-18,2829972670
2000-04-19,2844514890
2000-04-20,2843476160
2000-04-24,2807120610
2000-04-25,2808537060
2000-04-26,2796450020
2000-04-27,2778602750
2000-04-28,2784268550
2000-05-01,2761416490
2000-05-02,2736109250
2000-05-03,2694465620
2000-05-04,2767176720
2000-05-05,2769631900
2000-05-08,2752917789
2000-05-09,2835638470
2000-05-10,2796733310
2000-05-11,2830255960
2000-05-12,2833183289
2000-05-15,2878415260
2000-05-16,2901267320
2000-05-17,2847725510
2000-05-18,2827800780
2000-05-19,2781057930
2000-05-22,2797111030
2000-05-23,2795694580
2000-05-24,2835638470
2000-05-25,2807120610
2000-05-26,2807781620
2000-05-30,2843853880
2000-05-31,2855563200
2000-06-01,2866989230
2000-06-02,2855279910
2000-06-05,2846309060
2000-06-06,2822795990
2000-06-07,2777186300
2000-06-08,2768970890
2000-06-09,2849141960
2000-06-12,2822040550
2000-06-13,2829972670
2000-06-14,2789651060
2000-06-15,2799282920
2000-06-16,2770009620
2000-06-19,2795316860
2000-06-20,2792483960
2000-06-21,2787856890
2000-06-22,2791445230
2000-06-23,2758205870
2000-06-26,2745080100
2000-06-27,2723644490
2000-06-28,2719395140
2000-06-29,2747157560
2000-06-30,2727232830
2000-07-03,2748612160
2000-07-05,2720079200
2000-07-06,2723008080
2000-07-07,2721874320
2000-07-10,2711859439
2000-07-11,2723008080
2000-07-12,2741148240
2000-07-13,2785742800
2000-07-14,2772893520
2000-07-17,2790750240
2000-07-18,2778656800
2000-07-19,2769019840
2000-07-20,2765051680
2000-07-21,2745777760
2000-07-24,2729054800
2000-07-25,2720457120
2000-07-26,2701561120
2000-07-27,2694380640
2000-07-28,2700143920
2000-07-31,2740108960
2000-08-01,2762217280
2000-08-02,2795757680
2000-08-03,2871341680
2000-08-04,2900252560
2000-08-07,2931336480
2000-08-08,2908472320
2000-08-09,2885324720
2000-08-10,2902803520
2000-08-11,2907055120
2000-08-14,2909606080
2000-08-15,2902803520
2000-08-16,2903181439
2000-08-17,2888537040
2000-08-18,2868885200
2000-08-21,2853862880
2000-08-22,2862460560
2000-08-23,2856791760
2000-08-24,2847438240
2000-08-25,2866428720
2000-08-28,2851406400
2000-08-29,2888159120
2000-08-30,2925573200
2000-08-31,2905637920
2000-09-01,2940217600
2000-09-05,2889954240
2000-09-06,2895623040
2000-09-07,2898457439
2000-09-08,2882112400
2000-09-11,2882773760
2000-09-12,2902047680
2000-09-13,2883907520
2000-09-14,2878522160
2000-09-15,2876349120
2000-09-18,2888537040
2000-09-19,2860287520
2000-09-20,2859626160
2000-09-21,2865672880
2000-09-22,2867845920
2000-09-25,2847438240
2000-09-26,2908472320
2000-09-27,2909889520
2000-09-28,2964121040
2000-09-29,3013345120
2000-10-02,3012462716
2000-10-03,2984580044
2000-10-04,2969268204
2000-10-05,2937888384
2000-10-06,2911045406
2000-10-09,2984958114
2000-10-10,3031366222
2000-10-11,2972481800
2000-10-12,2927113386
2000-10-13,2951782461
2000-10-16,2931461192
2000-10-17,2937888384
2000-10-18,2930326982
2000-10-19,2963880705
2000-10-20,2992424999
2000-10-23,2990345614
2000-10-24,2974939256
2000-10-25,2956413820
2000-10-26,2971064038
2000-10-27,2988927851
2000-10-30,3072764900
2000-10-31,3050269728
2000-11-01,3053105254
2000-11-02,3078152399
2000-11-03,3058870823
2000-11-06,3048851965
2000-11-07,3031744292
2000-11-08,3068511611
2000-11-09,3003861620
2000-11-10,2984580044
2000-11-13,2980988378
2000-11-14,3030326529
2000-11-15,3052065561
2000-11-16,3073142970
2000-11-17,3108492526
2000-11-20,3082783758
2000-11-21,3102348887
2000-11-22,3147339231
2000-11-24,3185524313
2000-11-27,3283349957
2000-11-28,3212272774
2000-11-29,3286941623
2000-11-30,3295826271
2000-12-01,3317943373
2000-12-04,3320778899
2000-12-05,3333633283
2000-12-06,3301213770
2000-12-07,3295164648
2000-12-08,3397905203
2000-12-11,3534955622
2000-12-12,3426827567
2000-12-13,3390060248
2000-12-14,3323992495
2000-12-15,3305088989
2000-12-18,3312933944
2000-12-19,3341478238
2000-12-20,3298000174
2000-12-21,3293652367
2000-12-22,3330797757
2000-12-26,3372952575
2000-12-27,3534955622
2000-12-28,3544974480
2000-12-29,3522857378
2001-01-02,3454621550
2001-01-03,3513675720
2001-01-04,3560881140
2001-01-05,3431018840
2001-01-08,3459266260
2001-01-09,3435284390
2001-01-10,3475001400
2001-01-11,3525808840
2001-01-12,3595953440
2001-01-16,3618229090
2001-01-17,3562302990
2001-01-18,3550169869
2001-01-19,3521922450
2001-01-22,3476044090
2001-01-23,3438886410
2001-01-24,3391586200
2001-01-25,3359357600
2001-01-26,3322199920
2001-01-29,3421445050
2001-01-30,3379642660
2001-01-31,3356134740
2001-02-01,3330351860
2001-02-02,3325327990
2001-02-05,3336134050
2001-02-06,3425426230
2001-02-07,3475380560
2001-02-08,3459361050
