,XYL
2012-11-02,4762054000
2012-11-05,4830800000
2012-11-06,4840090000
2012-11-07,4702598000
2012-11-08,4630136000
2012-11-09,4591118000
2012-11-12,4600408000
2012-11-13,4557674000
2012-11-14,4468490000
2012-11-15,4464774000
2012-11-16,4494502000
2012-11-19,4615272000
2012-11-20,4667296000
2012-11-21,4708172000
2012-11-23,4741616000
2012-11-26,4804788000
2012-11-27,4762054000
2012-11-28,4819652000
2012-11-29,4854954000
2012-11-30,4847522000
2012-12-03,4788066000
2012-12-04,4775060000
2012-12-05,4830800000
2012-12-06,4847522000
2012-12-07,4901404000
2012-12-10,4919984000
2012-12-11,4947854000
2012-12-12,4977582000
2012-12-13,4959002000
2012-12-14,4972008000
2012-12-17,4932990000
2012-12-18,5053760000
2012-12-19,5122506000
2012-12-20,4986872000
2012-12-21,4972008000
2012-12-24,4992446000
2012-12-26,4975724000
2012-12-27,4988730000
2012-12-28,4910694000
2012-12-31,5035180000
2013-01-02,5109500000
2013-01-03,5092778000
2013-01-04,5085346000
2013-01-07,5018458000
2013-01-08,4957144000
2013-01-09,5035180000
2013-01-10,5105784000
2013-01-11,5050044000
2013-01-14,5055618000
2013-01-15,5040754000
2013-01-16,5007310000
2013-01-17,5094636000
2013-01-18,5111358000
2013-01-22,5142944000
2013-01-23,5183820000
2013-01-24,5198684000
2013-01-25,5146660000
2013-01-28,5187536000
2013-01-29,5196826000
2013-01-30,5191252000
2013-01-31,5189394000
2013-02-01,5204258000
2013-02-04,5118790000
2013-02-05,5159666000
2013-02-06,5174530000
2013-02-07,4999878000
2013-02-08,5033322000
2013-02-11,5102068000
2013-02-12,5193110000
2013-02-13,5250708000
2013-02-14,5289726000
2013-02-15,5254424000
2013-02-19,5343608000
2013-02-20,5194968000
2013-02-21,5142944000
2013-02-22,5163382000
2013-02-25,5020316000
2013-02-26,5016600000
2013-02-27,5103926000
2013-02-28,5109500000
2013-03-01,5107642000
2013-03-04,5107642000
2013-03-05,5286010000
2013-03-06,5451372000
2013-03-07,5276720000
2013-03-08,5282294000
2013-03-11,5343608000
2013-03-12,5300874000
2013-03-13,5289726000
2013-03-14,5334318000
2013-03-15,5380768000
2013-03-18,5347324000
2013-03-19,5284152000
2013-03-20,5297158000
2013-03-21,5306448000
2013-03-22,5284152000
2013-03-25,5152234000
2013-03-26,5144802000
2013-03-27,5070482000
2013-03-28,5120648000
2013-04-01,5052150000
2013-04-02,5046588000
2013-04-03,5028048000
2013-04-04,5139288000
2013-04-05,5117040000
2013-04-08,5163390000
2013-04-09,5183784000
2013-04-10,5319126000
2013-04-11,5350644000
2013-04-12,5302440000
2013-04-15,5083668000
2013-04-16,5128164000
2013-04-17,5057712000
2013-04-18,5013216000
2013-04-19,5003946000
2013-04-22,4976136000
2013-04-23,5078106000
2013-04-24,5133726000
2013-04-25,5165244000
2013-04-26,5137434000
2013-04-29,5237550000
2013-04-30,5144850000
2013-05-01,5098500000
2013-05-02,5087376000
2013-05-03,5072544000
2013-05-06,5081814000
2013-05-07,5131872000
2013-05-08,5211594000
2013-05-09,5168952000
2013-05-10,5154120000
2013-05-13,5105916000
2013-05-14,5248674000
2013-05-15,5302440000
2013-05-16,5309856000
2013-05-17,5363622000
2013-05-20,5354352000
2013-05-21,5320980000
2013-05-22,5285754000
2013-05-23,5200470000
2013-05-24,5163390000
2013-05-28,5202324000
2013-05-29,5200470000
2013-05-30,5293170000
2013-05-31,5217156000
2013-06-03,5237550000
2013-06-04,5165244000
2013-06-05,5042880000
2013-06-06,5061420000
2013-06-07,5107770000
2013-06-10,5098500000
2013-06-11,5044734000
2013-06-12,5007654000
2013-06-13,5055858000
2013-06-14,5028048000
2013-06-17,5055858000
2013-06-18,5128164000
2013-06-19,5052150000
2013-06-20,4896414000
2013-06-21,4838940000
2013-06-24,4777758000
2013-06-25,4807422000
2013-06-26,4835232000
2013-06-27,4937202000
2013-06-28,4994676000
2013-07-01,5120780000
2013-07-02,5093000000
2013-07-03,5117076000
2013-07-05,5181896000
2013-07-08,5215232000
2013-07-09,5285608000
2013-07-10,5365244000
2013-07-11,5376356000
2013-07-12,5385616000
2013-07-15,5381912000
2013-07-16,5293016000
2013-07-17,5302276000
2013-07-18,5357836000
2013-07-19,5331908000
