,SWKS
2000-01-03,1340013420
2000-01-04,1261088720
2000-01-05,1293938460
2000-01-06,1168085560
2000-01-07,1287965780
2000-01-10,1218000100
2000-01-11,1217146860
2000-01-12,1380968940
2000-01-13,1471839000
2000-01-14,1621156000
2000-01-18,1687708720
2000-01-19,1881820820
2000-01-20,1930455500
2000-01-21,1961172140
2000-01-24,1893766180
2000-01-25,1941121000
2000-01-26,1847691220
2000-01-27,1855797000
2000-01-28,1866462500
2000-01-31,1786684560
2000-02-01,1877128000
2000-02-02,2075932919
2000-02-03,2211598080
2000-02-04,2281137140
2000-02-07,2381819460
2000-02-08,2141205780
2000-02-09,2136939580
2000-02-10,2511938560
2000-02-11,2470556420
2000-02-14,2941118280
2000-02-15,2889497260
2000-02-16,2962449280
2000-02-17,2996152260
2000-02-18,2767910560
2000-02-22,2903149100
2000-02-23,3076356820
2000-02-24,3130537560
2000-02-25,3188131260
2000-02-28,3174906040
2000-02-29,3096834580
2000-03-01,3113046140
2000-03-02,2813985519
2000-03-03,3058438780
2000-03-06,2839582720
2000-03-07,2903575720
2000-03-08,3029002000
2000-03-09,3069104280
2000-03-10,2901016000
2000-03-13,2805026500
2000-03-14,2709037000
2000-03-15,2677040500
2000-03-16,2529003360
2000-03-17,2477808960
2000-03-20,2082332220
2000-03-21,2556307040
2000-03-22,2773030000
2000-03-23,2523883920
2000-03-24,2629259060
2000-03-27,2592996360
2000-03-28,2462450640
2000-03-29,2377126640
2000-03-30,2218424000
2000-03-31,2026445000
2000-04-03,1970557780
2000-04-04,2049055860
2000-04-05,2154431000
2000-04-06,2282417000
2000-04-07,2377126640
2000-04-10,2214584420
2000-04-11,2027724860
2000-04-12,1877128000
2000-04-13,1731650580
2000-04-14,1493170000
2000-04-17,1877128000
2000-04-18,2151444660
2000-04-19,2261086000
2000-04-20,2111769000
2000-04-24,1874568280
2000-04-25,2154431000
2000-04-26,1906564780
2000-04-27,2215864280
2000-04-28,2218424000
2000-05-01,2242314720
2000-05-02,2186427500
2000-05-03,2143765500
2000-05-04,2191973560
2000-05-05,2450505280
2000-05-08,2306307720
2000-05-09,2037110500
2000-05-10,1930455500
2000-05-11,2173202280
2000-05-12,2117315060
2000-05-15,2207758500
2000-05-16,2226529780
2000-05-17,2135659720
2000-05-18,1898459000
2000-05-19,1840012060
2000-05-22,1762367220
2000-05-23,1709039720
2000-05-24,1770473000
2000-05-25,1685149000
2000-05-26,1746582280
2000-05-30,2130540280
2000-05-31,1965011720
2000-06-01,2373287060
2000-06-02,2581051000
2000-06-05,2570385500
2000-06-06,2422348360
2000-06-07,2335744500
2000-06-08,2479942060
2000-06-09,2597262560
2000-06-12,2557160280
2000-06-13,2501273060
2000-06-14,2162536780
2000-06-15,2293082500
2000-06-16,2346410000
2000-06-19,2471836280
2000-06-20,2725248560
2000-06-21,2613047500
2000-06-22,2503832780
2000-06-23,2567825780
2000-06-26,2506392500
2000-06-27,2098543780
2000-06-28,1997008220
2000-06-29,1786684560
2000-06-30,1879687720
2000-07-03,1870287210
2000-07-05,1677385710
2000-07-06,1527351210
2000-07-07,1661096250
2000-07-10,1615657230
2000-07-11,1511061750
2000-07-12,1645235460
2000-07-13,2014749000
2000-07-14,1920870270
2000-07-17,2033610480
2000-07-18,1765691730
