,PSA
2000-01-03,3020767750
2000-01-04,3020767750
2000-01-05,3045996140
2000-01-06,3161515610
2000-01-07,3204005530
2000-01-10,3270396030
2000-01-11,3237200780
2000-01-12,3245167640
2000-01-13,3211972390
2000-01-14,3204005530
2000-01-18,3153548750
2000-01-19,3128320360
2000-01-20,3104419780
2000-01-21,3038029280
2000-01-24,3053963000
2000-01-25,3038029280
2000-01-26,3071224530
2000-01-27,3038029280
2000-01-28,3004834030
2000-01-31,3012800890
2000-02-01,3061929860
2000-02-02,3045996140
2000-02-03,3038029280
2000-02-04,3038029280
2000-02-07,3004834030
2000-02-08,3012800890
2000-02-09,3012800890
2000-02-10,3004834030
2000-02-11,2987572500
2000-02-14,2987572500
2000-02-15,3004834030
2000-02-16,3004834030
2000-02-17,3045996140
2000-02-18,2987572500
2000-02-22,2962344110
2000-02-23,2946410390
2000-02-24,2946410390
2000-02-25,2921182000
2000-02-28,2913215140
2000-02-29,2929148860
2000-03-01,2905248280
2000-03-02,2880019890
2000-03-03,2905248280
2000-03-06,2887986750
2000-03-07,2862758360
2000-03-08,2821596250
2000-03-09,2813629390
2000-03-10,2788401000
2000-03-13,2805662530
2000-03-14,2805662530
2000-03-15,2813629390
2000-03-16,2838857780
2000-03-17,2862758360
2000-03-20,2854791500
2000-03-21,2872053030
2000-03-22,2887986750
2000-03-23,2862758360
2000-03-24,2887986750
2000-03-27,2854791500
2000-03-28,2880019890
2000-03-29,2887986750
2000-03-30,2895953610
2000-03-31,2788401000
2000-04-03,2854143720
2000-04-04,2862039000
2000-04-05,2894936000
2000-04-06,2927833000
2000-04-07,2927833000
2000-04-10,2935728280
2000-04-11,2960730000
2000-04-12,2968625280
2000-04-13,2977836440
2000-04-14,2960730000
2000-04-17,3001522280
2000-04-18,2977836440
2000-04-19,2968625280
2000-04-20,2944939440
2000-04-24,2927833000
2000-04-25,2902831280
2000-04-26,3010733440
2000-04-27,2960730000
2000-04-28,2944939440
2000-05-01,3018628720
2000-05-02,3018628720
2000-05-03,3018628720
2000-05-04,3010733440
2000-05-05,3001522280
2000-05-08,2952834720
2000-05-09,2944939440
2000-05-10,2919937720
2000-05-11,2935728280
2000-05-12,2919937720
2000-05-15,2944939440
2000-05-16,2952834720
2000-05-17,2935728280
2000-05-18,2944939440
2000-05-19,2952834720
2000-05-22,2935728280
2000-05-23,2952834720
2000-05-24,2944939440
2000-05-25,2919937720
2000-05-26,2944939440
2000-05-30,2944939440
2000-05-31,2935728280
2000-06-01,2944939440
2000-06-02,3026524000
2000-06-05,3010733440
2000-06-06,2968625280
2000-06-07,2927833000
2000-06-08,3001522280
2000-06-09,2968625280
2000-06-12,3018628720
2000-06-13,3026524000
2000-06-14,3109424440
2000-06-15,3125215000
2000-06-16,3117319720
2000-06-19,3076527440
2000-06-20,3150216720
2000-06-21,3142321440
2000-06-22,3175218440
2000-06-23,3158112000
2000-06-26,3183113720
2000-06-27,3248907720
2000-06-28,3191009000
2000-06-29,3166007280
2000-06-30,3084422720
2000-07-03,3153881040
2000-07-05,3195827920
2000-07-06,3211558000
2000-07-07,3219423040
2000-07-10,3261369920
2000-07-11,3269234960
2000-07-12,3261369920
2000-07-13,3236463960
2000-07-14,3261369920
2000-07-17,3277100000
2000-07-18,3284965040
2000-07-19,3261369920
2000-07-20,3277100000
2000-07-21,3302005960
2000-07-24,3326911920
2000-07-25,3309871000
2000-07-26,3440955000
2000-07-27,3416049040
2000-07-28,3416049040
2000-07-31,3359682920
2000-08-01,3523537920
2000-08-02,3498631960
2000-08-03,3448820040
2000-08-04,3367547960
2000-08-07,3309871000
2000-08-08,3317736040
2000-08-09,3309871000
2000-08-10,3269234960
2000-08-11,3302005960
2000-08-14,3294140920
2000-08-15,3269234960
2000-08-16,3284965040
2000-08-17,3302005960
2000-08-18,3284965040
2000-08-21,3269234960
2000-08-22,3277100000
2000-08-23,3219423040
2000-08-24,3178787000
2000-08-25,3146016000
2000-08-28,3113245000
2000-08-29,3097514920
2000-08-30,3146016000
2000-08-31,3195827920
2000-09-01,3146016000
2000-09-05,3163056920
2000-09-06,3163056920
2000-09-07,3203692960
2000-09-08,3277100000
2000-09-11,3309871000
2000-09-12,3326911920
2000-09-13,3228598920
2000-09-14,3130285920
2000-09-15,3219423040
2000-09-18,3088339040
2000-09-19,3080474000
2000-09-20,3080474000
2000-09-21,3072608960
2000-09-22,3088339040
2000-09-25,3072608960
2000-09-26,3105379960
2000-09-27,3203692960
2000-09-28,3153881040
2000-09-29,3138150960
2000-10-02,2978650500
2000-10-03,2970963660
2000-10-04,2906906660
2000-10-05,2938935160
2000-10-06,2970963660
2000-10-09,2963276820
2000-10-10,2954308840
2000-10-11,2938935160
2000-10-12,2922280340
2000-10-13,2986337340
2000-10-16,2970963660
2000-10-17,2931248320
2000-10-18,2842849660
2000-10-19,2874878160
2000-10-20,2914593500
2000-10-23,2882565000
2000-10-24,2842849660
2000-10-25,2786479500
2000-10-26,2818508000
2000-10-27,2826194840
2000-10-30,2826194840
2000-10-31,2882565000
2000-11-01,2882565000
2000-11-02,2858223340
2000-11-03,2771105820
2000-11-06,2778792660
2000-11-07,2771105820
2000-11-08,2786479500
2000-11-09,2818508000
2000-11-10,2794166340
2000-11-13,2771105820
2000-11-14,2771105820
2000-11-15,2722422500
2000-11-16,2778792660
2000-11-17,2730109340
2000-11-20,2739077320
2000-11-21,2762137840
2000-11-22,2771105820
2000-11-24,2754451000
2000-11-27,2754451000
2000-11-28,2762137840
2000-11-29,2771105820
2000-11-30,2810821160
2000-12-01,2818508000
2000-12-04,2858223340
2000-12-05,2931248320
2000-12-06,2922280340
2000-12-07,2963276820
2000-12-08,2946622000
2000-12-11,2954308840
2000-12-12,2946622000
2000-12-13,2954308840
2000-12-14,2963276820
2000-12-15,3035020660
2000-12-18,3091390820
2000-12-19,3123419320
2000-12-20,3091390820
2000-12-21,3106764500
2000-12-22,3074736000
2000-12-26,3074736000
2000-12-27,3106764500
2000-12-28,3170821500
2000-12-29,3114451340
2001-01-02,3099077660
2001-01-03,3163134660
2001-01-04,3227191660
2001-01-05,3195163160
2001-01-08,3195163160
2001-01-09,3202850000
2001-01-10,3219504820
2001-01-11,3227191660
2001-01-12,3227191660
2001-01-16,3266907000
2001-01-17,3283561820
2001-01-18,3298935500
2001-01-19,3338650840
2001-01-22,3338650840
2001-01-23,3347618820
2001-01-24,3330964000
2001-01-25,3347618820
2001-01-26,3362992500
2001-01-29,3336088560
2001-01-30,3350181100
2001-01-31,3330964000
2001-02-01,3328401720
2001-02-02,3319433740
2001-02-05,3306622340
2001-02-06,3314309180
2001-02-07,3318152600
2001-02-08,3296373220
2001-02-09,3273312700
2001-02-12,3305341200
2001-02-13,3275874980
2001-02-14,3283561820
2001-02-15,3318152600
2001-02-16,3301497780
2001-02-20,3274593840
2001-02-21,3241284200
2001-02-22,3202850000
2001-02-23,3218223680
2001-02-26,3241284200
2001-02-27,3254095600
2001-02-28,3296373220
2001-03-01,3306622340
2001-03-02,3342494260
2001-03-05,3330964000
2001-03-06,3333526280
2001-03-07,3343775400
2001-03-08,3343775400
2001-03-09,3330964000
2001-03-12,3333526280
2001-03-13,3338650840
2001-03-14,3311746900
2001-03-15,3297654360
2001-03-16,3270750420
2001-03-19,3288686380
2001-03-20,3291248660
2001-03-21,3296373220
2001-03-22,3291248660
2001-03-23,3266907000
2001-03-26,3336088560
2001-03-27,3364273640
2001-03-28,3323277160
2001-03-29,3324558300
2001-03-30,3362992500
2001-04-02,3199451000
2001-04-03,3181340900
2001-04-04,3213939080
2001-04-05,3217561100
2001-04-06,3211524400
2001-04-09,3213939080
2001-04-10,3230841840
2001-04-11,3175304200
2001-04-12,3165645480
2001-04-16,3155986760
2001-04-17,3201865680
2001-04-18,3265854700
2001-04-19,3253781300
2001-04-20,3217561100
2001-04-23,3227219820
2001-04-24,3207902380
2001-04-25,3229634500
2001-04-26,3235671200
2001-04-27,3312940960
2001-04-30,3287586820
2001-05-01,3292416180
2001-05-02,3297245540
2001-05-03,3308111600
2001-05-04,3310526280
2001-05-07,3296038200
2001-05-08,3261025340
2001-05-09,3290001500
2001-05-10,3236878540
2001-05-11,3241707900
2001-05-14,3259818000
2001-05-15,3253781300
2001-05-16,3270684060
2001-05-17,3288794160
2001-05-18,3283964800
2001-05-21,3259818000
2001-05-22,3298452880
2001-05-23,3317770320
2001-05-24,3343124460
2001-05-25,3333465740
2001-05-29,3327429040
2001-05-30,3335880420
2001-05-31,3334673080
2001-06-01,3335880420
2001-06-04,3344331800
2001-06-05,3385381360
2001-06-06,3393832740
2001-06-07,3404698800
2001-06-08,3405906140
2001-06-11,3416772200
2001-06-12,3492834620
2001-06-13,3477139200
2001-06-14,3484383240
2001-06-15,3486797920
2001-06-18,3512152060
2001-06-19,3556823640
2001-06-20,3573726400
2001-06-21,3590629160
2001-06-22,3585799800
2001-06-25,3570104380
2001-06-26,3579763100
2001-06-27,3609946600
2001-06-28,3625642020
2001-06-29,3579763100
2001-07-02,3602760000
2001-07-03,3620773800
2001-07-05,3623175640
2001-07-06,3649595880
2001-07-09,3585947120
2001-07-10,3565531480
