,MMM
2000-01-03,31378530000
2000-01-04,30129752000
2000-01-05,31004691999
2000-01-06,33502247999
2000-01-07,34226062000
2000-01-10,33995396000
2000-01-11,33414754000
2000-01-12,33502247999
2000-01-13,33502247999
2000-01-14,33025008000
2000-01-18,32293240000
2000-01-19,32857974000
2000-01-20,31633058000
2000-01-21,31569426000
2000-01-24,30837658000
2000-01-25,30384280000
2000-01-26,32022804000
2000-01-27,32006896000
2000-01-28,30670624000
2000-01-31,31131956000
2000-02-01,31298990000
2000-02-02,30758118000
2000-02-03,30487682000
2000-02-04,29612741999
2000-02-07,29135502000
2000-02-08,29159363999
2000-02-09,29135502000
2000-02-10,28594630000
2000-02-11,27576518000
2000-02-14,27552656000
2000-02-15,29636604000
2000-02-16,29366168000
2000-02-17,29803638000
2000-02-18,29111640000
2000-02-22,29970672000
2000-02-23,30694486000
2000-02-24,30257016000
2000-02-25,28515090000
2000-02-28,28737802000
2000-02-29,29326397999
2000-03-01,28634400000
2000-03-02,28618491999
2000-03-03,29755913999
2000-03-06,29008238000
2000-03-07,27512886000
2000-03-08,27449254000
2000-03-09,26908382000
2000-03-10,27099278000
2000-03-13,26264108000
2000-03-14,26311832000
2000-03-15,27433346000
2000-03-16,29278674000
2000-03-17,28554860000
2000-03-20,28928697999
2000-03-21,30074074000
2000-03-22,28594630000
2000-03-23,28928697999
2000-03-24,30217246000
2000-03-27,29469569999
2000-03-28,29549110000
2000-03-29,29135502000
2000-03-30,29596834000
2000-03-31,29290224000
2000-04-03,30389991999
2000-04-04,30738120000
2000-04-05,30136808000
2000-04-06,30880536000
2000-04-07,30302959999
2000-04-10,30674824000
2000-04-11,31568880000
2000-04-12,31299872000
2000-04-13,31339432000
2000-04-14,30033952000
2000-04-17,29725384000
2000-04-18,29725384000
2000-04-19,29915272000
2000-04-20,30508672000
2000-04-24,32249312000
2000-04-25,31030864000
2000-04-26,29416816000
2000-04-27,28918359999
2000-04-28,28649352000
2000-05-01,28752208000
2000-05-02,28752208000
2000-05-03,28380343999
2000-05-04,28261664000
2000-05-05,28673088000
2000-05-08,28878800000
2000-05-09,28443640000
2000-05-10,28427816000
2000-05-11,28427816000
2000-05-12,28071775999
2000-05-15,28427816000
2000-05-16,29788680000
2000-05-17,29108248000
2000-05-18,28799680000
2000-05-19,27945184000
2000-05-22,27842328000
2000-05-23,27826504000
2000-05-24,29171543999
2000-05-25,28095512000
2000-05-26,27786943999
2000-05-30,28158808000
2000-05-31,28364520000
2000-06-01,28071775999
2000-06-02,27889800000
2000-06-05,28135072000
2000-06-06,27225191999
2000-06-07,27035304000
2000-06-08,27035304000
2000-06-09,27098600000
2000-06-12,27122336000
2000-06-13,27082775999
2000-06-14,27842328000
2000-06-15,28586056000
2000-06-16,27929359999
2000-06-19,27620791999
2000-06-20,27248928000
2000-06-21,28467375999
2000-06-22,28467375999
2000-06-23,27905624000
2000-06-26,28214191999
2000-06-27,28649352000
2000-06-28,28443640000
2000-06-29,28301224000
2000-06-30,27253998000
2000-07-03,27767628000
2000-07-05,29213694000
2000-07-06,28597338000
2000-07-07,28494612000
2000-07-10,28802790000
2000-07-11,29292714000
