,MET
2001-03-09,21893715662
2001-03-12,20825544759
2001-03-13,21386145091
2001-03-14,19408892569
2001-03-15,19575557533
2001-03-16,19174046484
2001-03-19,18757384076
2001-03-20,18363448707
2001-03-21,18689202954
2001-03-22,17583153651
2001-03-23,18567992072
2001-03-26,18696778634
2001-03-27,18810413837
2001-03-28,18939200400
2001-03-29,19189197845
2001-03-30,20287671468
2001-04-02,20093023269
2001-04-03,19475348849
2001-04-04,19341395361
2001-04-05,19892093036
2001-04-06,19676279082
2001-04-09,19862325594
2001-04-10,19862325594
2001-04-11,19296744198
2001-04-12,19795348850
2001-04-16,20063255827
2001-04-17,19988837222
2001-04-18,19892093036
2001-04-19,19653953501
2001-04-20,19266976756
2001-04-23,19170232570
2001-04-24,18902325593
2001-04-25,18969302338
2001-04-26,19162790710
2001-04-27,19281860477
2001-04-30,19229767454
2001-05-01,19564651175
2001-05-02,19259534896
2001-05-03,19200000012
2001-05-04,19631627919
2001-05-07,19386046524
2001-05-08,18969302338
2001-05-09,19162790710
2001-05-10,19125581407
2001-05-11,19207441873
2001-05-14,19497674431
2001-05-15,19929302338
2001-05-16,20494883734
2001-05-17,20725581408
2001-05-18,20733023269
2001-05-21,20561860478
2001-05-22,20167441873
2001-05-23,20457674432
2001-05-24,20688372106
2001-05-25,20814883734
2001-05-29,20866976757
2001-05-30,20844651176
2001-05-31,21120000013
2001-06-01,21105116292
2001-06-04,21246511641
2001-06-05,21477209316
2001-06-06,21201860479
2001-06-07,20919069781
2001-06-08,20874418618
2001-06-11,20666046525
2001-06-12,20413023269
2001-06-13,20383255827
2001-06-14,19862325594
2001-06-15,19832558152
2001-06-18,19959069780
2001-06-19,20130232571
2001-06-20,20561860478
2001-06-21,20688372106
2001-06-22,20256744199
2001-06-25,20219534896
2001-06-26,20331162804
2001-06-27,20323720943
2001-06-28,20197209315
2001-06-29,20546976757
2001-07-02,20686821373
2001-07-03,20716247861
2001-07-05,20900163414
2001-07-06,20318990267
2001-07-09,20466122710
2001-07-10,20333703512
2001-07-11,19929089295
2001-07-12,20421982977
2001-07-13,20488192576
2001-07-16,20686821373
2001-07-17,20517619064
2001-07-18,20289563779
2001-07-19,20157144581
2001-07-20,19701034010
2001-07-23,19472978725
2001-07-24,19009511532
2001-07-25,19178713840
2001-07-26,18884448956
2001-07-27,18965371799
2001-07-30,18913875444
2001-07-31,19436195614
2001-08-01,19362629393
2001-08-02,19303776416
2001-08-03,19164000596
