,OMC
2000-01-03,16958489564
2000-01-04,16398341271
2000-01-05,15929217076
2000-01-06,16016740247
2000-01-07,16695920052
2000-01-10,17438116540
2000-01-11,17056515515
2000-01-12,17000500686
2000-01-13,16979495125
2000-01-14,16783443223
2000-01-18,16377335710
2000-01-19,17035509954
2000-01-20,16398341271
2000-01-21,16618899662
2000-01-24,16104263418
2000-01-25,15831191125
2000-01-26,16422847759
2000-01-27,16310818100
2000-01-28,16562884832
2000-01-31,16398341271
2000-02-01,16870966393
2000-02-02,16587391320
2000-02-03,16454356101
2000-02-04,16412344979
2000-02-07,16083257857
2000-02-08,16608396881
2000-02-09,16947986784
2000-02-10,16881469174
2000-02-11,16748433954
2000-02-14,16618899662
2000-02-15,16520873710
2000-02-16,15624636442
2000-02-17,14836927905
2000-02-18,15600129954
2000-02-22,15099497417
2000-02-23,16541879271
2000-02-24,16212792149
2000-02-25,15547616052
2000-02-28,16048248588
2000-02-29,16485864442
2000-03-01,16475361661
2000-03-02,16191786588
2000-03-03,15799682783
2000-03-06,14549851905
2000-03-07,14136742539
2000-03-08,13982701759
2000-03-09,14528846344
2000-03-10,14647877856
2000-03-13,14584861173
2000-03-14,14626872295
2000-03-15,14311788881
2000-03-16,14945456637
2000-03-17,15491601222
2000-03-20,15785679076
2000-03-21,16062252296
2000-03-22,16618899662
2000-03-23,16727428393
2000-03-24,17252567418
2000-03-27,17340090588
2000-03-28,17417110979
2000-03-29,17123033125
2000-03-30,16562884832
2000-03-31,16336946471
2000-04-03,16588230416
2000-04-04,15789007869
2000-04-05,16644071293
2000-04-06,16972136443
2000-04-07,16958176224
2000-04-10,16459098389
2000-04-11,16274125485
2000-04-12,15890219458
2000-04-13,15422552117
2000-04-14,14330164967
2000-04-17,14832732857
2000-04-18,14724541159
2000-04-19,14550038419
2000-04-20,14581448912
2000-04-24,14888573734
2000-04-25,15694776390
2000-04-26,16085662527
2000-04-27,16228754773
2000-04-28,15890219458
2000-05-01,15782027760
2000-05-02,15771557596
2000-05-03,15125897459
2000-05-04,15115427295
2000-05-05,15848338801
2000-05-08,15443492445
2000-05-09,15387651569
2000-05-10,15139857679
2000-05-11,15213148829
2000-05-12,15345770911
2000-05-15,15300400199
2000-05-16,15694776390
2000-05-17,15366711240
2000-05-18,14975825103
2000-05-19,14616349460
2000-05-22,14647759953
2000-05-23,14570978748
2000-05-24,14689640611
2000-05-25,14626819624
2000-05-26,14330164967
2000-05-30,14745481487
2000-05-31,14647759953
2000-06-01,14899043898
2000-06-02,15488863158
2000-06-05,15848338801
2000-06-06,15956530499
2000-06-07,15977470828
2000-06-08,15412081952
2000-06-09,15597054856
2000-06-12,15443492445
2000-06-13,15607525020
2000-06-14,15541213979
2000-06-15,15858808965
