,CBRE
2004-06-10,1174231963
2004-06-14,1164633389
2004-06-15,1199821762
2004-06-16,1215812986
2004-06-17,1219018910
2004-06-18,1217732701
2004-06-21,1221572131
2004-06-22,1219652416
2004-06-23,1208786830
2004-06-24,1215812986
2004-06-25,1215812986
2004-06-28,1215812986
2004-06-29,1222224834
2004-06-30,1364632601
2004-07-01,1364632601
2004-07-02,1368190630
2004-07-06,1363903848
2004-07-07,1361053138
2004-07-08,1361053138
2004-07-09,1357473676
2004-07-12,1351043504
2004-07-13,1361760457
2004-07-14,1364632601
2004-07-15,1361053138
2004-07-16,1350336185
2004-07-19,1357473676
2004-07-20,1357473676
2004-07-21,1358202429
2004-07-22,1373206164
2004-07-23,1350336185
2004-07-26,1341762622
2004-07-27,1341762622
2004-07-28,1347485475
2004-07-29,1350336185
2004-07-30,1353186894
2004-08-02,1358909748
2004-08-03,1369626702
2004-08-04,1361053138
2004-08-05,1408207735
2004-08-06,1387481147
2004-08-09,1363196529
2004-08-10,1378907584
2004-08-11,1378907584
2004-08-12,1375349555
2004-08-13,1371770092
2004-08-16,1368919383
2004-08-17,1346756722
2004-08-18,1351043504
2004-08-19,1366047239
2004-08-20,1386066509
2004-08-23,1370334020
2004-08-24,1378907584
2004-08-25,1381779727
2004-08-26,1388917218
2004-08-27,1381050974
2004-08-30,1387481147
2004-08-31,1392496681
2004-09-01,1410351126
2004-09-02,1426790933
2004-09-03,1471802140
2004-09-07,1481790341
2004-09-08,1451782870
2004-09-09,1528944937
2004-09-10,1597533442
2004-09-13,1611829859
2004-09-14,1626833594
2004-09-15,1606835758
2004-09-16,1585401850
2004-09-17,1571812753
2004-09-20,1600405586
2004-09-21,1597533442
2004-09-22,1603963614
2004-09-23,1638986620
2004-09-24,1614680568
2004-09-27,1615409321
2004-09-28,1648974821
2004-09-29,1688991926
2004-09-30,1688215706
2004-10-01,1718187016
2004-10-04,1784685175
2004-10-05,1772253768
2004-10-06,1776638744
2004-10-07,1806610054
2004-10-08,1819764981
2004-10-11,1851183333
2004-10-12,1827065966
2004-10-13,1812463997
2004-10-14,1819764981
2004-10-15,1762760295
2004-10-18,1784685175
2004-10-19,1786877662
2004-10-20,1833643430
2004-10-21,1849736291
2004-10-22,1828534933
2004-10-25,1838773852
2004-10-26,1855568309
2004-10-27,1911125953
2004-10-28,1914041962
2004-10-29,1892840604
2004-11-01,1877493189
2004-11-02,1892840604
2004-11-03,1927920411
2004-11-04,1947652802
2004-11-05,1958615242
2004-11-08,1964469185
2004-11-09,1873108213
2004-11-10,1907464499
2004-11-11,1905995532
2004-11-12,1929389378
2004-11-15,1864338261
2004-11-16,1889201074
2004-11-17,1889201074
