,IR
2017-05-11,15587119255
2017-05-12,3719192766
2017-05-15,3881356621
2017-05-16,3895457826
2017-05-17,3895457826
2017-05-18,3965963850
2017-05-19,4004742163
2017-05-22,4034707223
2017-05-23,4133415657
2017-05-24,4115789151
2017-05-25,3967726500
2017-05-26,4059384331
2017-05-30,4045283127
2017-05-31,4041757825
2017-06-01,4041757825
2017-06-02,3992403608
2017-06-05,3988878307
2017-06-06,3928948187
2017-06-07,3835527705
2017-06-08,3816138548
2017-06-09,3964201199
2017-06-12,4059384331
2017-06-13,4140466259
2017-06-14,4098162645
2017-06-15,4052333729
2017-06-16,4216260235
2017-06-19,4216260235
2017-06-20,3987115657
2017-06-21,3652212043
2017-06-22,3712142163
2017-06-23,3608145778
2017-06-26,3613433730
2017-06-27,3752683127
2017-06-28,3749157826
2017-06-29,3777360235
2017-06-30,4350093000
2017-07-03,4497042000
2017-07-05,4392366000
2017-07-06,4221261000
2017-07-07,4160871000
2017-07-10,4295742000
2017-07-11,4374249000
2017-07-12,4454769000
2017-07-13,4440678000
2017-07-14,4444704000
2017-07-17,4623861000
2017-07-18,4637952000
2017-07-19,4714446000
2017-07-20,4740615000
2017-07-21,4631913000
2017-07-24,4658082000
2017-07-25,4720485000
2017-07-26,4593666000
2017-07-27,4676199000
2017-07-28,4648017000
2017-07-31,4621848000
2017-08-01,4529250000
2017-08-02,4633926000
2017-08-03,4682238000
2017-08-04,4845291000
2017-08-07,4839252000
2017-08-08,4857369000
2017-08-09,4750680000
2017-08-10,4561458000
2017-08-11,4565484000
2017-08-14,4547367000
2017-08-15,4567497000
2017-08-16,4579575000
2017-08-17,4428600000
2017-08-18,4422561000
2017-08-21,4507107000
2017-08-22,4585614000
2017-08-23,4621848000
2017-08-24,4569510000
2017-08-25,4625874000
2017-08-28,4619835000
2017-08-29,4641978000
2017-08-30,4690290000
2017-08-31,4728537000
2017-09-01,4770810000
2017-09-05,4654056000
2017-09-06,4700355000
2017-09-07,4752693000
2017-09-08,4782888000
2017-09-11,4809057000
2017-09-12,4937889000
2017-09-13,4966071000
2017-09-14,5026461000
2017-09-15,5050617000
2017-09-18,5189514000
2017-09-19,5197566000
2017-09-20,5229774000
2017-09-21,5203605000
2017-09-22,5290164000
2017-09-25,5314320000
2017-09-26,5296203000
2017-09-27,5449191000
2017-09-28,5501529000
2017-09-29,5539776000
2017-10-02,5579845063
2017-10-03,5596047879
2017-10-04,5446171823
2017-10-05,5425918302
2017-10-06,5387436612
2017-10-09,5423892950
2017-10-10,5448197175
2017-10-11,5440095767
2017-10-12,5446171823
2017-10-13,5460349288
2017-10-16,5452247880
2017-10-17,5466425344
2017-10-18,5417816894
2017-10-19,5338828161
2017-10-20,5383385908
2017-10-23,5350980274
2017-10-24,5387436612
2017-10-25,5391487316
2017-10-26,5893774640
2017-10-27,6161121118
2017-10-30,5897825344
2017-10-31,5843140837
2017-11-01,5861369006
2017-11-02,5936307034
2017-11-03,5788456330
2017-11-06,5662884499
2017-11-07,5670985908
2017-11-08,5685163372
2017-11-09,5699340837
2017-11-10,5824912668
2017-11-13,5956560555
2017-11-14,5804659147
2017-11-15,5577819710
2017-11-16,5851242245
2017-11-17,6086183090
2017-11-20,6191501400
2017-11-21,6223907034
2017-11-22,6274540836
2017-11-24,6306946470
2017-11-27,6371757738
2017-11-28,6325174639
2017-11-29,6308971822
2017-11-30,6564166188
2017-12-01,6497329568
2017-12-04,6369732385
2017-12-05,6310997174
2017-12-06,6373783090
2017-12-07,6517583089
2017-12-08,6547963371
2017-12-11,6487202808
2017-12-12,6416315484
2017-12-13,6446695766
2017-12-14,6418340836
2017-12-15,6604673230
2017-12-18,6760625343
2017-12-19,6742397174
2017-12-20,6888222526
2017-12-21,6973287314
2017-12-22,6926704216
2017-12-26,6892273230
2017-12-27,6908476047
2017-12-28,6880121117
2017-12-29,6872019709
2018-01-02,6795936000
2018-01-03,6836255999
2018-01-04,6868512000
2018-01-05,6965279999
2018-01-08,7037855999
2018-01-09,7074144000
2018-01-10,6945120000
2018-01-11,7033824000
2018-01-12,6967296000
2018-01-16,7076160000
2018-01-17,7047936000
2018-01-18,7096320000
2018-01-19,7241472000
2018-01-22,7295904000
2018-01-23,7396704000
2018-01-24,7312032000
2018-01-25,7245504000
2018-01-26,7314048000
2018-01-29,7305984000
2018-01-30,7150752000
2018-01-31,6971328000
2018-02-01,7064064000
2018-02-02,6888672000
2018-02-05,6755616000
2018-02-06,6731424000
2018-02-07,6614496000
2018-02-08,6364512000
2018-02-09,6400800000
2018-02-12,6592320000
2018-02-13,6668928000
2018-02-14,6755616000
2018-02-15,6961248000
2018-02-16,6622560000
2018-02-20,6396768000
2018-02-21,6406848000
2018-02-22,6463296000
2018-02-23,6628608000
2018-02-26,6652800000
2018-02-27,6588288000
2018-02-28,6453216000
2018-03-01,6227424000
2018-03-02,6410880000
2018-03-05,6459264000
2018-03-06,6412896000
2018-03-07,6414912000
2018-03-08,6525791999
2018-03-09,6652800000
2018-03-12,6580224000
2018-03-13,6558048000
2018-03-14,6644736000
2018-03-15,6584255999
2018-03-16,6644736000
2018-03-19,6594336000
2018-03-20,6562079999
2018-03-21,6679008000
2018-03-22,6291936000
2018-03-23,6112512000
2018-03-26,6195168000
2018-03-27,6128640000
2018-03-28,6058080000
2018-03-29,6185088000
2018-04-02,5878434000
2018-04-03,5999514000
2018-04-04,6011622000
2018-04-05,6217458000
2018-04-06,6019694000
2018-04-09,5924848000
2018-04-10,6233602000
2018-04-11,6255800000
2018-04-12,6366790000
2018-04-13,6380916000
2018-04-16,6465672000
2018-04-17,6516122000
2018-04-18,6592806000
2018-04-19,6564554000
2018-04-20,6491906000
2018-04-23,6413204000
2018-04-24,6302214000
2018-04-25,6393024000
2018-04-26,6227548000
2018-04-27,6425312000
2018-04-30,6382934000
2018-05-01,6288088000
2018-05-02,6336520000
2018-05-03,6393024000
2018-05-04,6471726000
2018-05-07,6467689999
2018-05-08,6358718000
2018-05-09,6467689999
2018-05-10,6754246000
2018-05-11,6748192000
2018-05-14,6752228000
2018-05-15,6786534000
2018-05-16,6810750000
2018-05-17,6921739999
2018-05-18,6954028000
2018-05-21,6945956000
2018-05-22,6943937999
2018-05-23,6915686000
2018-05-24,6832948000
2018-05-25,6635184000
2018-05-29,6580698000
2018-05-30,6738102000
2018-05-31,6633165999
2018-06-01,6526212000
2018-06-04,6558500000
2018-06-05,6534284000
2018-06-06,6623076000
2018-06-07,6681598000
2018-06-08,6425312000
2018-06-11,6019694000
2018-06-12,5943010000
2018-06-13,5930902000
2018-06-14,6066108000
2018-06-15,5989424000
2018-06-18,6049964000
2018-06-19,5947046000
2018-06-20,5698832000
2018-06-21,5634256000
2018-06-22,5817894000
2018-06-25,5710940000
2018-06-26,5858254000
2018-06-27,5904668000
2018-06-28,5926866000
2018-06-29,5930902000
2018-07-02,5766264000
2018-07-03,5800587000
2018-07-05,5812701000
2018-07-06,5725884000
2018-07-09,5960088000
2018-07-10,5909613000
2018-07-11,5820777000
2018-07-12,5651181000
2018-07-13,5689542000
2018-07-16,5675409000
2018-07-17,5669352000
2018-07-18,5612820000
2018-07-19,5691561000
2018-07-20,5618877000
2018-07-23,5483604000
2018-07-24,5388711000
2018-07-25,5346312000
2018-07-26,5376597000
2018-07-27,5471490000
2018-07-30,5515908000
2018-07-31,5776359000
2018-08-01,5586573000
2018-08-02,5598687000
2018-08-03,5748093000
2018-08-06,5887404000
2018-08-07,5954031000
2018-08-08,5911632000
2018-08-09,5808663000
2018-08-10,5826834000
2018-08-13,5752131000
2018-08-14,5689542000
2018-08-15,5457357000
2018-08-16,5526003000
2018-08-17,5641086000
2018-08-20,5715789000
2018-08-21,5697618000
2018-08-22,5643105000
2018-08-23,5519946000
2018-08-24,5554269000
2018-08-27,5703675000
2018-08-28,5707713000
2018-08-29,5806644000
2018-08-30,5669352000
2018-08-31,5645124000
2018-09-04,5521965000
2018-09-05,5449281000
2018-09-06,5033367000
2018-09-07,5043462000
2018-09-10,5176716000
2018-09-11,5285742000
2018-09-12,5368521000
2018-09-13,5620896000
2018-09-14,5778378000
2018-09-17,5798568000
2018-09-18,5909613000
2018-09-19,5875290000
2018-09-20,5931822000
2018-09-21,5931822000
