,MS
2000-01-03,62913071403
2000-01-04,58253249977
2000-01-05,56126178549
2000-01-06,57200678549
2000-01-07,58976892834
2000-01-10,60873714261
2000-01-11,60873714261
2000-01-12,61334214261
2000-01-13,61717964261
2000-01-14,63987571403
2000-01-18,62320999975
2000-01-19,63231035689
2000-01-20,62825357118
2000-01-21,61739892833
2000-01-24,59645714262
2000-01-25,60314535690
2000-01-26,61915321404
2000-01-27,62967892832
2000-01-28,59009785691
2000-01-31,61739892833
2000-02-01,59645714262
2000-02-02,60698285690
2000-02-03,61739892833
2000-02-04,61213607118
2000-02-07,60698285690
2000-02-08,63198142832
2000-02-09,62617035689
2000-02-10,62266178547
2000-02-11,62211357118
2000-02-14,61509642833
2000-02-15,61103964261
2000-02-16,60457071404
2000-02-17,58943999976
2000-02-18,57080071406
2000-02-22,58077821405
2000-02-23,61279392833
2000-02-24,64360357117
2000-02-25,65116892831
2000-02-28,64480964260
2000-02-29,65751957486
2000-03-01,70243781540
2000-03-02,71473816489
2000-03-03,73922903931
2000-03-06,75493394982
2000-03-07,75614201986
2000-03-08,73747184653
2000-03-09,77832657876
2000-03-10,80863815428
2000-03-13,77019956213
2000-03-14,74625781045
2000-03-15,72813675987
2000-03-16,75383570433
2000-03-17,82961464314
2000-03-20,81852236369
2000-03-21,82785745036
2000-03-22,84147569443
2000-03-23,88452691764
2000-03-24,89441112705
2000-03-27,84015779985
2000-03-28,82148762652
2000-03-29,80984622432
2000-03-30,78546517444
2000-03-31,77360412315
2000-04-03,79699675209
2000-04-04,73395746096
2000-04-05,74450061767
2000-04-06,79644762934
2000-04-07,78941885821
2000-04-10,82851639765
2000-04-11,80336657593
2000-04-12,74450061767
2000-04-13,70485395548
2000-04-14,63247957769
2000-04-17,64357185714
2000-04-18,70716027101
2000-04-19,70013149987
2000-04-20,70013149987
2000-04-24,72462237430
2000-04-25,74559886316
2000-04-26,75262763429
2000-04-27,75152938880
2000-04-28,71649535767
2000-05-01,74450061767
2000-05-02,70716027101
2000-05-03,68146132654
2000-05-04,66861185431
2000-05-05,66399922325
2000-05-08,67036904709
2000-05-09,66399922325
2000-05-10,61732378992
2000-05-11,62545080655
2000-05-12,64785501455
2000-05-15,69134553595
2000-05-16,70243781540
2000-05-17,70946658654
2000-05-18,69716623705
2000-05-19,64818448819
2000-05-22,63017326216
2000-05-23,63709220874
2000-05-24,63709220874
2000-05-25,59744554656
2000-05-26,59448028373
2000-05-30,62545080655
2000-05-31,66751360882
2000-06-01,70243781540
2000-06-02,77074868488
2000-06-05,76668517656
2000-06-06,74450061767
2000-06-07,74625781045
2000-06-08,73516553100
2000-06-09,73977816206
2000-06-12,75438482708
2000-06-13,77832657876
2000-06-14,79699675209
2000-06-15,78359815711
2000-06-16,75735008990
2000-06-19,78821078817
2000-06-20,80808903154
2000-06-21,79930306762
2000-06-22,77656938597
2000-06-23,75735008990
2000-06-26,77019956213
2000-06-27,77711850872
2000-06-28,77942482425
2000-06-29,78766166542
2000-06-30,77711850872
2000-07-03,79348236652
2000-07-05,81094446981
2000-07-06,83554516879
2000-07-07,84597850094
2000-07-10,87167744541
2000-07-11,88628411043
2000-07-12,89155568878
2000-07-13,90089077544
2000-07-14,90550340650
2000-07-17,86816305984
2000-07-18,85179920204
2000-07-19,82445288934
2000-07-20,85179920204
2000-07-21,88386797035
2000-07-24,87870621654
2000-07-25,88222060211
2000-07-26,86816305984
2000-07-27,86355042878
2000-07-28,82379394204
2000-07-31,85179920204
2000-08-01,84894376377
2000-08-02,86058516596
2000-08-03,87629007647
2000-08-04,91132410760
2000-08-07,91956094877
2000-08-08,90319709097
2000-08-09,91835287873
2000-08-10,90198902093
2000-08-11,94987252430
2000-08-14,97139813590
2000-08-15,94756620877
2000-08-16,91956094877
2000-08-17,95393603261
2000-08-18,93757217481
2000-08-21,95097076979
2000-08-22,96030585645
2000-08-23,94866445426
2000-08-24,96272199653
2000-08-25,94515006869
2000-08-28,95975673371
2000-08-29,97557146876
2000-08-30,98831111645
2000-08-31,99591989380
2000-09-01,99700916416
2000-09-05,99014676087
2000-09-06,98317543054
2000-09-07,97446126763
2000-09-08,97794693279
2000-09-11,101443748999
2000-09-12,99940555897
2000-09-13,96988633210
2000-09-14,97162916468
2000-09-15,91204607577
2000-09-18,87032702083
2000-09-19,90278727768
2000-09-20,88829998184
2000-09-21,82926152811
2000-09-22,83852032620
2000-09-25,85583972499
2000-09-26,82000273001
2000-09-27,80377260159
2000-09-28,83383646364
2000-09-29,84658092690
2000-10-02,83906496138
2000-10-03,85061122724
2000-10-04,83677749362
2000-10-05,85180942464
2000-10-06,78002650766
2000-10-09,77076770956
2000-10-10,68983492152
2000-10-11,71989878356
2000-10-12,65508719690
2000-10-13,72392908391
2000-10-16,71924522134
2000-10-17,68460642377
2000-10-18,67589226086
2000-10-19,70889715289
2000-10-20,74941801043
2000-10-23,72218625133
2000-10-24,75225011337
2000-10-25,72338444873
2000-10-26,71521492100
2000-10-27,73547534977
2000-10-30,74876444821
2000-10-31,74364487750
2000-11-01,73198968460
2000-11-02,74473414786
2000-11-03,77370873954
2000-11-06,74299131528
2000-11-07,70944178807
2000-11-08,67643689604
2000-11-09,65563183209
2000-11-10,64005526588
2000-11-13,62959827039
2000-11-14,62840007299
2000-11-15,64811586658
2000-11-16,65737466467
2000-11-17,63591603850
2000-11-20,59724694058
2000-11-21,60705037385
2000-11-22,59604874318
2000-11-24,60476290609
2000-11-27,61576453676
2000-11-28,58907741285
2000-11-29,60182187611
2000-11-30,58678994508
2000-12-01,57753114699
2000-12-04,59201844283
2000-12-05,66663346276
2000-12-06,64288736883
2000-12-07,62840007299
2000-12-08,68689389153
2000-12-11,72044341874
2000-12-12,68166539379
2000-12-13,69669732481
2000-12-14,63134110297
2000-12-15,63765887108
2000-12-18,64114453625
2000-12-19,63885706848
2000-12-20,63482676813
2000-12-21,66663346276
2000-12-22,68743852672
2000-12-26,70889715289
2000-12-27,70889715289
2000-12-28,73493071459
2000-12-29,73373251719
