,KSS
2000-01-03,11148470060
2000-01-04,11014779720
2000-01-05,11168034500
2000-01-06,11523455160
2000-01-07,12319075720
2000-01-10,12351683120
2000-01-11,12247339440
2000-01-12,11911483220
2000-01-13,12002783940
2000-01-14,12553849000
2000-01-18,12501677160
2000-01-19,12615803060
2000-01-20,12482112720
2000-01-21,12442983839
2000-01-24,11973437280
2000-01-25,11709317339
2000-01-26,11953872839
2000-01-27,11575627000
2000-01-28,11220206339
2000-01-31,11492878360
2000-02-01,11984587360
2000-02-02,12089485280
2000-02-03,12702482500
2000-02-04,13131908360
2000-02-07,13102405820
2000-02-08,13236806280
2000-02-09,12876219680
2000-02-10,13049956860
2000-02-11,13030288500
2000-02-14,12764765640
2000-02-15,12518911140
2000-02-16,11791181820
2000-02-17,11351921780
2000-02-18,11656781360
2000-02-22,11646947180
2000-02-23,11863299140
2000-02-24,11319141180
2000-02-25,11401092680
2000-02-28,12138656180
2000-02-29,12427125459
2000-03-01,12895888040
2000-03-02,12620531000
2000-03-03,12456628000
2000-03-06,12591028459
2000-03-07,12364842320
2000-03-08,13112240000
2000-03-09,14259561000
2000-03-10,13623617360
2000-03-13,13879306040
2000-03-14,13666232140
2000-03-15,13961257540
2000-03-16,15508501860
2000-03-17,14721767459
2000-03-20,15242979000
2000-03-21,15570785000
2000-03-22,15203642280
2000-03-23,15426550360
2000-03-24,15826473680
2000-03-27,15796971140
2000-03-28,15590453360
2000-03-29,15715019640
2000-03-30,16318182680
2000-03-31,16800057500
2000-04-03,17065580360
2000-04-04,16328016860
2000-04-05,16534534640
2000-04-06,17036077820
2000-04-07,17403220540
2000-04-10,17826090280
2000-04-11,17373718000
2000-04-12,17547455180
2000-04-13,16564037180
2000-04-14,15016792860
2000-04-17,14843055680
2000-04-18,16072328180
2000-04-19,16216562820
2000-04-20,16727940180
2000-04-24,16390300000
2000-04-25,17209815000
2000-04-26,17065580360
2000-04-27,16698437640
2000-04-28,15777302780
2000-05-01,17152096000
2000-05-02,17089424880
2000-05-03,15832704000
2000-05-04,15667780000
2000-05-05,16409938000
2000-05-08,16080090000
2000-05-09,15832704000
2000-05-10,15852494880
2000-05-11,16142761120
2000-05-12,16479206080
2000-05-15,16884919120
2000-05-16,16947590240
2000-05-17,17442362240
2000-05-18,17811792000
2000-05-19,17254348880
2000-05-22,16904710000
2000-05-23,17359900240
2000-05-24,15915166000
2000-05-25,16162552000
2000-05-26,16080090000
2000-05-30,16347266880
2000-05-31,17069634000
2000-06-01,17976716000
2000-06-02,19543494000
2000-06-05,18471488000
2000-06-06,18431906240
2000-06-07,18408816880
2000-06-08,18019596240
2000-06-09,17666658880
2000-06-12,17069634000
2000-06-13,17277438240
2000-06-14,17317020000
2000-06-15,17976716000
2000-06-16,17914044880
2000-06-19,18059178000
2000-06-20,18141640000
2000-06-21,18224102000
2000-06-22,17854672240
2000-06-23,18286773120
2000-06-26,18161430880
2000-06-27,18039387120
2000-06-28,17874463120
2000-06-29,17729330000
2000-06-30,18349444240
2000-07-03,18102058240
2000-07-05,17894254000
2000-07-06,18616621120
2000-07-07,19810670880
2000-07-10,20780424000
2000-07-11,20988228240
2000-07-12,20800214880
2000-07-13,20285652000
2000-07-14,20697962000
2000-07-17,20717752880
2000-07-18,21275196000
2000-07-19,21275196000
2000-07-20,21047600880
2000-07-21,21337867120
2000-07-24,20450576000
2000-07-25,20717752880
2000-07-26,20882676880
2000-07-27,21130062880
2000-07-28,20018475120
2000-07-31,18795373000
2000-08-01,19086825480
2000-08-02,20017486240
2000-08-03,19209368000
2000-08-04,19437893240
2000-08-07,20057229760
2000-08-08,20660006480
2000-08-09,20037358000
2000-08-10,19189496240
2000-08-11,19540564000
2000-08-14,19706162000
2000-08-15,18878172000
2000-08-16,18732445760
2000-08-17,18361506240
2000-08-18,18795373000
2000-08-21,18941099240
2000-08-22,19209368000
2000-08-23,19209368000
2000-08-24,19374966000
2000-08-25,19540564000
2000-08-28,18878172000
2000-08-29,19335222480
2000-08-30,19063641760
2000-08-31,18546976000
2000-09-01,19086825480
2000-09-05,19209368000
2000-09-06,20348682240
2000-09-07,20037358000
2000-09-08,20616951000
2000-09-11,20802420760
2000-09-12,21259471240
2000-09-13,21050817760
2000-09-14,20660006480
2000-09-15,21299214760
2000-09-18,20120157000
2000-09-19,19749217480
2000-09-20,19457765000
2000-09-21,20305626760
2000-09-22,20057229760
2000-09-25,19603491240
2000-09-26,19043770000
2000-09-27,19169624480
2000-09-28,19520692240
2000-09-29,19106697240
2000-10-02,18755629480
2000-10-03,18424433480
2000-10-04,18775501240
2000-10-05,19189496240
2000-10-06,18838428480
2000-10-09,19418021480
2000-10-10,18941099240
2000-10-11,18424433480
2000-10-12,17573259760
2000-10-13,17533516240
2000-10-16,18050182000
2000-10-17,17324862760
2000-10-18,17367918240
2000-10-19,18692702240
2000-10-20,18507232480
2000-10-23,17762041480
2000-10-24,17738857760
2000-10-25,17139393000
2000-10-26,16520056480
2000-10-27,16705526240
2000-10-30,18059767372
2000-10-31,18619840067
2000-11-01,18918774572
2000-11-02,19069959840
2000-11-03,19090576012
2000-11-06,19499463440
2000-11-07,19221145107
2000-11-08,19736549427
2000-11-09,18661072412
2000-11-10,17695548320
2000-11-13,17094243280
2000-11-14,18104435747
2000-11-15,18403370252
