,ADT
2018-01-19,9027093810
2018-01-22,8342229549
2018-01-23,8677375890
2018-01-24,8677375890
2018-01-25,8670090100
2018-01-26,8670090100
2018-01-29,8801234320
2018-01-30,9034379600
2018-01-31,9092665920
2018-02-01,9289382250
2018-02-02,9369525940
2018-02-05,9209238560
2018-02-06,8961521700
2018-02-07,9114523290
2018-02-08,9012522230
2018-02-09,9209238560
2018-02-12,9238381720
2018-02-13,8852234850
2018-02-14,8699233260
2018-02-15,8517088510
2018-02-16,8436944820
2018-02-20,8444230610
2018-02-21,8487945350
2018-02-22,8677375890
2018-02-23,8728376420
2018-02-26,8852234850
2018-02-27,8451516400
2018-02-28,7693794240
2018-03-01,7781223720
2018-03-02,8065369530
2018-03-05,7810366880
2018-03-06,7540792650
2018-03-07,7577221600
2018-03-08,7664651080
2018-03-09,7671936870
2018-03-12,7803081090
2018-03-13,7679222659
2018-03-14,7438791590
2018-03-15,6506210470
2018-03-16,6360494670
2018-03-19,6659212060
2018-03-20,6528067840
2018-03-21,6535353630
2018-03-22,6316779930
2018-03-23,5901489900
2018-03-26,5792203050
2018-03-27,5508057240
2018-03-28,5537200400
2018-03-29,5777631470
2018-04-02,5872570470
2018-04-03,5662567950
2018-04-04,5887570650
2018-04-05,6607579290
2018-04-06,6562578750
2018-04-09,6840082079
2018-04-10,6787581450
2018-04-11,6765081180
2018-04-12,6825081900
2018-04-13,6742580910
2018-04-16,6742580910
2018-04-17,6937583250
2018-04-18,7170086040
2018-04-19,7035084420
2018-04-20,6975083700
2018-04-23,6712580549
2018-04-24,6742580910
2018-04-25,6840082079
2018-04-26,6810081720
2018-04-27,6832581990
2018-04-30,6682580190
2018-05-01,6510078120
2018-05-02,6525078299
2018-05-03,6210074519
2018-05-04,6060072720
2018-05-07,6330075960
2018-05-08,6427577130
2018-05-09,5865070380
2018-05-10,5940071280
2018-05-11,5550066600
2018-05-14,5475065700
2018-05-15,5347564170
2018-05-16,5250063000
2018-05-17,5377564530
2018-05-18,5452565430
2018-05-21,5812569750
2018-05-22,5730068760
2018-05-23,5752569030
2018-05-24,5775069300
2018-05-25,5602567230
2018-05-29,5595067140
2018-05-30,5752569030
2018-05-31,5640067680
2018-06-01,5730068760
2018-06-04,5850070200
2018-06-05,5970071640
2018-06-06,5970071640
2018-06-07,6000072000
2018-06-08,6165073980
2018-06-11,5977571730
2018-06-12,6217574609
2018-06-13,6037572450
2018-06-14,6067572810
2018-06-15,5985071820
2018-06-18,6217574609
2018-06-19,6195074340
2018-06-20,6525078299
2018-06-21,6502578030
2018-06-22,6547578570
2018-06-25,6517578210
2018-06-26,6577578930
2018-06-27,6652579829
2018-06-28,6315075780
2018-06-29,6487577850
2018-07-02,6155507550
2018-07-03,6079979850
2018-07-05,6102638160
2018-07-06,6178165860
2018-07-09,6450065579
2018-07-10,6510487739
2018-07-11,6480276660
