,K
2000-01-03,11366165000
2000-01-04,10964720000
2000-01-05,10867400000
2000-01-06,10964720000
2000-01-07,11130975000
2000-01-10,10774135000
2000-01-11,11009325000
2000-01-12,10725475000
2000-01-13,10441625000
2000-01-14,10105060000
2000-01-18,10510560000
2000-01-19,10202380000
2000-01-20,9821210000
2000-01-21,9513030000
2000-01-24,9180520000
2000-01-25,9107530000
2000-01-26,9440040000
2000-01-27,9322445000
2000-01-28,9107530000
2000-01-31,9225125000
2000-02-01,9346775000
2000-02-02,9107530000
2000-02-03,9131860000
2000-02-04,8892615000
2000-02-07,8681755000
2000-02-08,8916945000
2000-02-09,8681755000
2000-02-10,8324915000
2000-02-11,8012680000
2000-02-14,8085670000
2000-02-15,8775020000
2000-02-16,8608765000
2000-02-17,8726360000
2000-02-18,8442510000
2000-02-22,9131860000
2000-02-23,8989935000
2000-02-24,8491170000
2000-02-25,7988350000
2000-02-28,8823680000
2000-02-29,9630625000
2000-03-01,9038595000
2000-03-02,8681755000
2000-03-03,9058870000
2000-03-06,8726360000
2000-03-07,8633095000
2000-03-08,9058870000
2000-03-09,8941275000
2000-03-10,8726360000
2000-03-13,8916945000
2000-03-14,8989935000
2000-03-15,9963135000
2000-03-16,10319975000
2000-03-17,9727945000
2000-03-20,9869870000
2000-03-21,10105060000
2000-03-22,9654955000
2000-03-23,9537360000
2000-03-24,9322445000
2000-03-27,9180520000
2000-03-28,9083200000
2000-03-29,9630625000
2000-03-30,9894200000
2000-03-31,9799296000
2000-04-03,9584328000
2000-04-04,9989928000
2000-04-05,10087272000
2000-04-06,10038600000
2000-04-07,9515376000
2000-04-10,9633000000
2000-04-11,9681672000
2000-04-12,9823632000
2000-04-13,10204896000
2000-04-14,10229232000
2000-04-17,10586160000
2000-04-18,10488816000
2000-04-19,10444200000
2000-04-20,10062936000
2000-04-24,9941256000
2000-04-25,10561824000
2000-04-26,10014264000
2000-04-27,9085440000
2000-04-28,9227400000
2000-05-01,9564048000
2000-05-02,9442368000
2000-05-03,9681672000
2000-05-04,9681672000
2000-05-05,9608664000
2000-05-08,9608664000
2000-05-09,9515376000
2000-05-10,9515376000
2000-05-11,9324744000
2000-05-12,9584328000
2000-05-15,10204896000
2000-05-16,10444200000
2000-05-17,10346856000
2000-05-18,10298184000
2000-05-19,10655112000
2000-05-22,11154000000
2000-05-23,11583936000
2000-05-24,11916528000
2000-05-25,11202672000
2000-05-26,11202672000
2000-05-30,11750232000
2000-05-31,11559600000
2000-06-01,11417640000
2000-06-02,11490648000
2000-06-05,11202672000
2000-06-06,11133720000
2000-06-07,11227008000
2000-06-08,11583936000
2000-06-09,10845744000
2000-06-12,11275680000
2000-06-13,11344632000
2000-06-14,11275680000
2000-06-15,11466312000
2000-06-16,11012040000
2000-06-19,10776792000
2000-06-20,10371192000
2000-06-21,10107552000
2000-06-22,10204896000
2000-06-23,10870080000
2000-06-26,10870080000
2000-06-27,10610496000
2000-06-28,10610496000
2000-06-29,10586160000
2000-06-30,11324352000
2000-07-03,11701560000
2000-07-05,11490648000
2000-07-06,11344632000
2000-07-07,11344632000
2000-07-10,11227008000
2000-07-11,11275680000
2000-07-12,11060712000
2000-07-13,11012040000
2000-07-14,11085048000
2000-07-17,10655112000
2000-07-18,11036376000
2000-07-19,11012040000
2000-07-20,10845744000
2000-07-21,10537488000
2000-07-24,10464480000
2000-07-25,10630776000
2000-07-26,10322520000
2000-07-27,10131888000
2000-07-28,10038600000
2000-07-31,9872304000
2000-08-01,10273848000
2000-08-02,10131888000
2000-08-03,9941256000
2000-08-04,10038600000
2000-08-07,9896640000
2000-08-08,9799296000
2000-08-09,9872304000
2000-08-10,10156224000
2000-08-11,10156224000
2000-08-14,9965592000
2000-08-15,9989928000
2000-08-16,9896640000
2000-08-17,9920976000
2000-08-18,9730344000
2000-08-21,9823632000
2000-08-22,9750624000
2000-08-23,9750624000
2000-08-24,9491040000
2000-08-25,9349080000
2000-08-28,9349080000
2000-08-29,9040824000
2000-08-30,8801520000
2000-08-31,8825856000
2000-09-01,8801520000
2000-09-05,8728512000
2000-09-06,8635224000
2000-09-07,8752848000
2000-09-08,9418032000
2000-09-11,9207120000
2000-09-12,9393696000
2000-09-13,9251736000
2000-09-14,9182784000
2000-09-15,9324744000
2000-09-18,9085440000
2000-09-19,9182784000
2000-09-20,8894808000
2000-09-21,9016488000
2000-09-22,9207120000
2000-09-25,8992152000
2000-09-26,9134112000
2000-09-27,9182784000
2000-09-28,9158448000
2000-09-29,9207120000
2000-10-02,9059486889
2000-10-03,9225307854
2000-10-04,9108019855
2000-10-05,9605482751
2000-10-06,9439661785
2000-10-09,9536727716
2000-10-10,9722770751
2000-10-11,9488194751
2000-10-12,9415395303
2000-10-13,9366862337
2000-10-16,9463928268
2000-10-17,9035220406
2000-10-18,8800644407
2000-10-19,8869399441
2000-10-20,8513491027
2000-10-23,8659089924
2000-10-24,8634823441
2000-10-25,8634823441
2000-10-26,9225307854
2000-10-27,9488194751
2000-10-30,9629749233
2000-10-31,9629749233
2000-11-01,9747037233
2000-11-02,9961391164
2000-11-03,10078679164
2000-11-06,10244500130
2000-11-07,10175745095
2000-11-08,10009924130
2000-11-09,9844103164
2000-11-10,9892636130
2000-11-13,9629749233
2000-11-14,9180819303
2000-11-15,9581216268
2000-11-16,10127212130
2000-11-17,10244500130
2000-11-20,10434587578
2000-11-21,10790495991
2000-11-22,10673207991
2000-11-24,10293033095
2000-11-27,10151478612
2000-11-28,9629749233
2000-11-29,9512461234
2000-11-30,9346640268
2000-12-01,9415395303
2000-12-04,9654015716
2000-12-05,9059486889
2000-12-06,9083753372
2000-12-07,9249574337
2000-12-08,9059486889
2000-12-11,8893665924
2000-12-12,8869399441
2000-12-13,9415395303
2000-12-14,9132286337
2000-12-15,9249574337
2000-12-18,9488194751
2000-12-19,9985657647
2000-12-20,9819836682
2000-12-21,9868369647
2000-12-22,9795570199
2000-12-26,9819836682
2000-12-27,9868369647
2000-12-28,10009924130
2000-12-29,9961391164
2001-01-02,10016733000
2001-01-03,10016733000
2001-01-04,9517722000
2001-01-05,9684059000
2001-01-08,9777370000
2001-01-09,10065417000
2001-01-10,10089759000
2001-01-11,9801712000
2001-01-12,9753028000
2001-01-16,9968049000
2001-01-17,10065417000
2001-01-18,10041075000
2001-01-19,9708401000
2001-01-22,9611033000
2001-01-23,9732743000
2001-01-24,9943707000
2001-01-25,9874738000
2001-01-26,10183070000
2001-01-29,9984277000
2001-01-30,10085702000
2001-01-31,9972106000
2001-02-01,10272324000
2001-02-02,10296666000
2001-02-05,10499516000
2001-02-06,10385920000
2001-02-07,10507630000
2001-02-08,10556314000
2001-02-09,10625283000
2001-02-12,10678024000
2001-02-13,10698309000
2001-02-14,10276381000
2001-02-15,10325065000
2001-02-16,10515744000
2001-02-20,10410262000
2001-02-21,10316951000
2001-02-22,10292609000
2001-02-23,10296666000
2001-02-26,10276381000
2001-02-27,10032961000
2001-02-28,10122215000
2001-03-01,10629340000
2001-03-02,10308837000
2001-03-05,10365635000
2001-03-06,10389977000
2001-03-07,10296666000
2001-03-08,10398091000
2001-03-09,10430547000
2001-03-12,10276381000
2001-03-13,10507630000
2001-03-14,10308837000
2001-03-15,10475174000
2001-03-16,10418376000
2001-03-19,10288552000
2001-03-20,10041075000
2001-03-21,9899080000
2001-03-22,9927479000
2001-03-23,10004562000
2001-03-26,9988334000
2001-03-27,10049189000
2001-03-28,10191184000
2001-03-29,10243925000
2001-03-30,10288552000
2001-04-02,10192149000
2001-04-03,9912078000
2001-04-04,10281447000
2001-04-05,10090674000
2001-04-06,10110969000
2001-04-09,10184031000
2001-04-10,9985140000
2001-04-11,9920196000
2001-04-12,10220562000
2001-04-16,9916137000
2001-04-17,10082556000
2001-04-18,9729423000
2001-04-19,9972963000
2001-04-20,9607653000
2001-04-23,9826839000
2001-04-24,9591417000
2001-04-25,9701010000
2001-04-26,9705069000
2001-04-27,9713187000
2001-04-30,9713187000
2001-05-01,9745659000
2001-05-02,9741600000
2001-05-03,9636066000
2001-05-04,9802485000
2001-05-07,9822780000
2001-05-08,9790308000
2001-05-09,9749718000
2001-05-10,9810603000
2001-05-11,9786249000
2001-05-14,9713187000
2001-05-15,9664479000
2001-05-16,9981081000
2001-05-17,9713187000
2001-05-18,9648243000
2001-05-21,10017612000
2001-05-22,9908019000
2001-05-23,9810603000
2001-05-24,9940491000
2001-05-25,9920196000
2001-05-29,10041966000
2001-05-30,9964845000
2001-05-31,10175913000
2001-06-01,10139382000
2001-06-04,10123146000
2001-06-05,10179972000
2001-06-06,10163736000
2001-06-07,10135323000
2001-06-08,10058202000
2001-06-11,10184031000
2001-06-12,10301742000
2001-06-13,10281447000
2001-06-14,10281447000
2001-06-15,10593990000
2001-06-18,10399158000
2001-06-19,10541223000
2001-06-20,10837530000
2001-06-21,10987713000
2001-06-22,10894356000
2001-06-25,10796940000
2001-06-26,11016126000
2001-06-27,10861884000
2001-06-28,11008008000
2001-06-29,11044539000
2001-07-02,11324856000
2001-07-03,11402034000
2001-07-05,11397972000
2001-07-06,11467026000
2001-07-09,11462964000
2001-07-10,11243616000
2001-07-11,11267988000
2001-07-12,11328918000
2001-07-13,11182686000
2001-07-16,11198934000
2001-07-17,11430468000
2001-07-18,11475150000
2001-07-19,11670126000
2001-07-20,11678250000
2001-07-23,11434530000
2001-07-24,11125818000
2001-07-25,11438592000
2001-07-26,11223306000
2001-07-27,11093322000
2001-07-30,11146128000
2001-07-31,11462964000
2001-08-01,11629506000
2001-08-02,11670126000
2001-08-03,11556390000
2001-08-06,11402034000
2001-08-07,11434530000
2001-08-08,11357352000
2001-08-09,11572638000
2001-08-10,11442654000
2001-08-13,11467026000
2001-08-14,11430468000
2001-08-15,11678250000
2001-08-16,11645754000
2001-08-17,11966652000
2001-08-20,12108822000
2001-08-21,12616572000
2001-08-22,12791238000
2001-08-23,12389100000
2001-08-24,12348480000
2001-08-27,12515022000
2001-08-28,12389100000
2001-08-29,12202248000
2001-08-30,12425658000
2001-08-31,12194124000
2001-09-04,12291612000
2001-09-05,12271302000
2001-09-06,12279426000
2001-09-07,12271302000
2001-09-10,12246930000
2001-09-17,12315984000
2001-09-18,12295674000
2001-09-19,12080388000
2001-09-20,11718870000
2001-09-21,10975524000
2001-09-24,11052702000
2001-09-25,10906470000
2001-09-26,11036454000
2001-09-27,11357352000
2001-09-28,11434530000
2001-10-01,10975514474
2001-10-02,11152150406
2001-10-03,10923326585
2001-10-04,10919312132
2001-10-05,11019673457
2001-10-08,10919312132
2001-10-09,10947413303
2001-10-10,11188280483
2001-10-11,11144121500
2001-10-12,10923326585
2001-10-15,11047774628
2001-10-16,10887196508
2001-10-17,10931355491
2001-10-18,10919312132
2001-10-19,10975514474
2001-10-22,11256526183
2001-10-23,11248497277
2001-10-24,11304699619
2001-10-25,11208352748
2001-10-26,11393017585
2001-10-29,11220396107
2001-10-30,11453234380
2001-10-31,11489364457
2001-11-01,11770376166
2001-11-02,11862708585
2001-11-05,11922925380
2001-11-06,11942997645
2001-11-07,11926939833
2001-11-08,11762347260
2001-11-09,11493378910
2001-11-12,11457248833
2001-11-13,11481335551
2001-11-14,11525494534
2001-11-15,11601769141
2001-11-16,11312728525
2001-11-19,11112005876
2001-11-20,11148135953
2001-11-21,11176237124
2001-11-23,11172222671
2001-11-26,11196309389
2001-11-27,11112005876
2001-11-28,11148135953
2001-11-29,11051789081
2001-11-30,11107991423
2001-12-03,11039745722
2001-12-04,11469292192
2001-12-05,11384988679
2001-12-06,11112005876
2001-12-07,11128063688
2001-12-10,11180251577
2001-12-11,10999601192
2001-12-12,10999601192
2001-12-13,11324771884
2001-12-14,11136092594
2001-12-17,11132078141
2001-12-18,11340829696
2001-12-19,11417104303
2001-12-20,11421118756
2001-12-21,11453234380
2001-12-24,11421118756
2001-12-26,11453234380
2001-12-27,11481335551
2001-12-28,11421118756
2001-12-31,11496504000
2002-01-02,11447652000
2002-01-03,11455794000
2002-01-04,11211534000
2002-01-07,11248173000
2002-01-08,11386587000
2002-01-09,11362161000
2002-01-10,11406942000
2002-01-11,11366232000
2002-01-14,11496504000
2002-01-15,11614563000
2002-01-16,11455794000
2002-01-17,11602350000
2002-01-18,11793687000
2002-01-22,11968740000
2002-01-23,11989095000
2002-01-24,11936172000
2002-01-25,11785545000
2002-01-28,11842539000
2002-01-29,11614563000
2002-01-30,11765190000
2002-01-31,11789616000
2002-02-01,11736693000
2002-02-04,11789616000
2002-02-05,11785545000
2002-02-06,11459865000
2002-02-07,11866965000
2002-02-08,11830326000
2002-02-11,12025734000
2002-02-12,11944314000
2002-02-13,12229284000
2002-02-14,12656739000
2002-02-15,12868431000
2002-02-19,12742230000
2002-02-20,13177826999
2002-02-21,13181898000
2002-02-22,13279601999
2002-02-25,13348809000
2002-02-26,13108620000
2002-02-27,13043484000
2002-02-28,13198182000
2002-03-01,13177826999
2002-03-04,12986490000
2002-03-05,12827721000
2002-03-06,13059768000
2002-03-07,12640455000
2002-03-08,12648597000
2002-03-11,12713733000
2002-03-12,12913212000
2002-03-13,12506112000
2002-03-14,12734088000
2002-03-15,12721875000
2002-03-18,12493899000
2002-03-19,12709662000
2002-03-20,12542751000
2002-03-21,12701520000
2002-03-22,12514254000
2002-03-25,12559035000
2002-03-26,12913212000
2002-03-27,12762585000
2002-03-28,12823650000
2002-04-01,12783408000
2002-04-02,12918444000
2002-04-03,12574716000
2002-04-04,13384932000
2002-04-05,13082124000
2002-04-08,13307184000
2002-04-09,13311276000
2002-04-10,13605900000
2002-04-11,13773671999
2002-04-12,13970088000
2002-04-15,13826868000
2002-04-16,13687740000
2002-04-17,13618176000
2002-04-18,13618176000
2002-04-19,13667280000
2002-04-22,13691832000
2002-04-23,13769580000
2002-04-24,13830959999
2002-04-25,13806408000
2002-04-26,13630452000
2002-04-29,13642728000
2002-04-30,13790040000
2002-05-01,14101032000
2002-05-02,14162412000
2002-05-03,13757303999
2002-05-06,13810500000
2002-05-07,13618176000
2002-05-08,13626359999
2002-05-09,13642728000
2002-05-10,13671371999
2002-05-13,13540428000
2002-05-14,13818684000
2002-05-15,13667280000
2002-05-16,14039652000
2002-05-17,13830959999
2002-05-20,13851420000
2002-05-21,14011008000
2002-05-22,14105124000
2002-05-23,14129676000
2002-05-24,13880064000
2002-05-28,13990548000
2002-05-29,13978271999
2002-05-30,13986456000
2002-05-31,14092848000
2002-06-03,13937352000
2002-06-04,13871880000
2002-06-05,14141952000
2002-06-06,13609992000
2002-06-07,13593624000
2002-06-10,13479048000
2002-06-11,13405392000
2002-06-12,13307184000
2002-06-13,13303092000
2002-06-14,13356288000
2002-06-17,13716384000
2002-06-18,13794132000
2002-06-19,13765488000
2002-06-20,13912800000
2002-06-21,13880064000
2002-06-24,13667280000
2002-06-25,13687740000
2002-06-26,13650912000
2002-06-27,13970088000
2002-06-28,13769580000
2002-07-01,13686242000
2002-07-02,13624832000
2002-07-03,13215432000
2002-07-05,13518388000
2002-07-08,13297311999
2002-07-09,12871536000
2002-07-10,12675024000
2002-07-11,12863348000
2002-07-12,12589050000
2002-07-15,12814220000
2002-07-16,12343410000
2002-07-17,12572674000
2002-07-18,12236966000
2002-07-19,11864412000
2002-07-22,11524610000
2002-07-23,11553268000
2002-07-24,12044548000
2002-07-25,12937040000
2002-07-26,12806032000
2002-07-29,13444696000
2002-07-30,13055766000
2002-07-31,13231808000
2002-08-01,13117176000
2002-08-02,13047578000
2002-08-05,12887912000
2002-08-06,12789656000
2002-08-07,13133552000
2002-08-08,13346440000
2002-08-09,13338252000
2002-08-12,13330064000
2002-08-13,13297311999
2002-08-14,13395568000
2002-08-15,13260466000
2002-08-16,13104894000
2002-08-19,13174492000
2002-08-20,12842878000
2002-08-21,12699588000
2002-08-22,12707776000
2002-08-23,12715964000
2002-08-26,12699588000
2002-08-27,12675024000
2002-08-28,12670930000
2002-08-29,12433478000
2002-08-30,12355692000
2002-09-03,12142804000
2002-09-04,12318846000
2002-09-05,12380256000
2002-09-06,12347504000
2002-09-09,12662742000
2002-09-10,12724152000
2002-09-11,12736434000
2002-09-12,12396632000
2002-09-13,12519452000
2002-09-16,12736434000
2002-09-17,12490794000
2002-09-18,12699588000
2002-09-19,12339316000
2002-09-20,12552204000
2002-09-23,12359786000
2002-09-24,12277906000
2002-09-25,12552204000
2002-09-26,12793750000
2002-09-27,12752810000
2002-09-30,12584599310
2002-10-01,12818543784
2002-10-02,12778208530
2002-10-03,12907281344
2002-10-04,12919381920
2002-10-07,13197695174
2002-10-08,13451807275
2002-10-09,13197695174
2002-10-10,13193661648
2002-10-11,13040387682
2002-10-14,13314667411
2002-10-15,13290466258
2002-10-16,13246097479
2002-10-17,13153326394
2002-10-18,13334835038
2002-10-21,13649450021
2002-10-22,13451807275
2002-10-23,13246097479
2002-10-24,13439706699
2002-10-25,13302566835
2002-10-28,12487794700
2002-10-29,12487794700
2002-10-30,12423258293
2002-10-31,12060241005
2002-11-01,12435358869
2002-11-04,12088475683
2002-11-05,12084442158
2002-11-06,12040073378
2002-11-07,12068308056
2002-11-08,12084442158
2002-11-11,12415191242
2002-11-12,12120743887
2002-11-13,12374855988
2002-11-14,12423258293
2002-11-15,12875013140
2002-11-18,12782242055
2002-11-19,13092823513
2002-11-20,13044421208
2002-11-21,12895180767
2002-11-22,13189628123
2002-11-25,12979884801
2002-11-26,12758040903
2002-11-27,12681403920
2002-11-29,12628968090
2002-12-02,12516029378
2002-12-03,12604766937
2002-12-04,12733839750
2002-12-05,12520062903
2002-12-06,12717705649
2002-12-09,12487794700
2002-12-10,13044421208
2002-12-11,12721739174
2002-12-12,12624934564
2002-12-13,12794342632
2002-12-16,12649135717
2002-12-17,12850811988
2002-12-18,12967784225
2002-12-19,12891147242
2002-12-20,13064588835
2002-12-23,12996018903
2002-12-24,13024253581
2002-12-26,13040387682
2002-12-27,13028287106
2002-12-30,13112991140
2002-12-31,13111631999
2003-01-02,13339944000
2003-01-03,13123863000
2003-01-06,13372559999
2003-01-07,12948552000
2003-01-08,12985245000
2003-01-09,13103478000
2003-01-10,12814011000
2003-01-13,13201326000
2003-01-14,13062708000
2003-01-15,12756933000
2003-01-16,13352175000
2003-01-17,13246173000
2003-01-21,13062708000
2003-01-22,13107555000
2003-01-23,12850704000
2003-01-24,12756933000
2003-01-27,12585699000
2003-01-28,12675393000
2003-01-29,12512313000
2003-01-30,12133152000
2003-01-31,12777318000
2003-02-03,12365541000
2003-02-04,12443004000
2003-02-05,12369618000
2003-02-06,12332925000
2003-02-07,12279924000
2003-02-10,12288078000
2003-02-11,12051612000
2003-02-12,11974149000
2003-02-13,11941533000
2003-02-14,12108690000
2003-02-18,12141306000
2003-02-19,11941533000
2003-02-20,11521602000
2003-02-21,11578680000
2003-02-24,11423754000
2003-02-25,11513448000
2003-02-26,11387061000
2003-02-27,11399292000
2003-02-28,11313675000
2003-03-03,11480832000
2003-03-04,11093517000
2003-03-05,11093517000
2003-03-06,10873359000
2003-03-07,10991592000
2003-03-10,10718433000
2003-03-11,10726587000
2003-03-12,10787742000
