,SHW
2000-01-03,3295119960
2000-01-04,3172350960
2000-01-05,3182172480
2000-01-06,3231280080
2000-01-07,3191994000
2000-01-10,3118332600
2000-01-11,3162529440
2000-01-12,3162529440
2000-01-13,3133064880
2000-01-14,3088868040
2000-01-18,3039760440
2000-01-19,3010295880
2000-01-20,2887526880
2000-01-21,2926812960
2000-01-24,2936634480
2000-01-25,2946456000
2000-01-26,2916991440
2000-01-27,2936634480
2000-01-28,2853151560
2000-01-31,2887526880
2000-02-01,3020117400
2000-02-02,2862973080
2000-02-03,3211637040
2000-02-04,3295119960
2000-02-07,3304941480
2000-02-08,3172350960
2000-02-09,3142886400
2000-02-10,3172350960
2000-02-11,3059403480
2000-02-14,3098689560
2000-02-15,3275476920
2000-02-16,3201815520
2000-02-17,3314763000
2000-02-18,3241101600
2000-02-22,3255833880
2000-02-23,3275476920
2000-02-24,3142886400
2000-02-25,3118332600
2000-02-28,3133064880
2000-02-29,3133064880
2000-03-01,3172350960
2000-03-02,3118332600
2000-03-03,3265655400
2000-03-06,3118332600
2000-03-07,3079046520
2000-03-08,3069225000
2000-03-09,3088868040
2000-03-10,3098689560
2000-03-13,3133064880
2000-03-14,3079046520
2000-03-15,3378602880
2000-03-16,3746909880
2000-03-17,3560301000
2000-03-20,3579944040
2000-03-21,3643783920
2000-03-22,3501371880
2000-03-23,3589765560
2000-03-24,3653605440
2000-03-27,3589765560
2000-03-28,3653605440
2000-03-29,3633962400
2000-03-30,3589765560
2000-03-31,3612343691
2000-04-03,3631922790
2000-04-04,3597659367
2000-04-05,3842398100
2000-04-06,3906030170
2000-04-07,3813029452
2000-04-10,4018609987
2000-04-11,4111610706
2000-04-12,4385718086
2000-04-13,4282927818
2000-04-14,4131189804
2000-04-17,4273138269
2000-04-18,4121400255
2000-04-19,4077347283
2000-04-20,4224190522
2000-04-24,4263348720
2000-04-25,4405297185
2000-04-26,4233980072
2000-04-27,4121400255
2000-04-28,4057768184
2000-05-01,4150768903
2000-05-02,4243769621
2000-05-03,4077347283
2000-05-04,4038189086
2000-05-05,4111610706
2000-05-08,4087136832
2000-05-09,3989241339
2000-05-10,3964767466
2000-05-11,4077347283
2000-05-12,4028399536
2000-05-15,4243769621
2000-05-16,4405297185
2000-05-17,4331875565
2000-05-18,4292717368
2000-05-19,4140979353
2000-05-22,4302506917
2000-05-23,4282927818
2000-05-24,4077347283
2000-05-25,3915819720
2000-05-26,3803239903
2000-05-30,3832608550
2000-05-31,3793450353
2000-06-01,3915819720
2000-06-02,4067557734
2000-06-05,4121400255
2000-06-06,4077347283
2000-06-07,4038189086
2000-06-08,3964767466
2000-06-09,3935398818
2000-06-12,3857082424
2000-06-13,3832608550
2000-06-14,3876661522
2000-06-15,3773871255
2000-06-16,3744502607
2000-06-19,3764081705
2000-06-20,3680870536
2000-06-21,3661291438
2000-06-22,3641712339
2000-06-23,3568290719
2000-06-26,3578080269
2000-06-27,3631922790
2000-06-28,3592764593
2000-06-29,3548711621
2000-06-30,3424709729
2000-07-03,3628446002
2000-07-05,3516876139
2000-07-06,3545981320
2000-07-07,3618744275
2000-07-10,3589639093
2000-07-11,3701208957
2000-07-12,3720612411
2000-07-13,3676954639
2000-07-14,3647849457
2000-07-17,3579937366
2000-07-18,3424709729
2000-07-19,3526577866
2000-07-20,3516876139
2000-07-21,3458665775
2000-07-24,3526577866
2000-07-25,3555683048
2000-07-26,3385902820
2000-07-27,3429560593
2000-07-28,3385902820
2000-07-31,3366499366
2000-08-01,3405306275
2000-08-02,3434411457
2000-08-03,3434411457
2000-08-04,3376201093
2000-08-07,3424709729
2000-08-08,3633296866
2000-08-09,3628446002
2000-08-10,3628446002
2000-08-11,3720612411
2000-08-14,3793375366
2000-08-15,3870989184
2000-08-16,3793375366
2000-08-17,3870989184
2000-08-18,3841884002
2000-08-21,3778822775
2000-08-22,3740015866
2000-08-23,3667252911
2000-08-24,3667252911
2000-08-25,3701208957
2000-08-28,3667252911
2000-08-29,3701208957
2000-08-30,3667252911
2000-08-31,3720612411
2000-09-01,3730314139
2000-09-05,3832182275
2000-09-06,3929199548
2000-09-07,3929199548
2000-09-08,3943752139
2000-09-11,3943752139
2000-09-12,3861287457
2000-09-13,3599340820
2000-09-14,3579937366
2000-09-15,3478069229
2000-09-18,3395604548
2000-09-19,3322841593
2000-09-20,3313139866
2000-09-21,3385902820
2000-09-22,3385902820
2000-09-25,3293736411
2000-09-26,3216122593
2000-09-27,3284034684
2000-09-28,3385902820
2000-09-29,3458665775
2000-10-02,1107719997
2000-10-03,1151065562
2000-10-04,1157487127
2000-10-05,1144643996
2000-10-06,1096482257
2000-10-09,1123773910
2000-10-10,1090060692
2000-10-11,1070795997
2000-10-12,1037082779
2000-10-13,1064374431
2000-10-16,1070795997
2000-10-17,1043504345
2000-10-18,1033871997
2000-10-19,1053136692
2000-10-20,1049925910
2000-10-23,1070795997
