,ATI
2000-01-03,1949667543
2000-01-04,2010079777
2000-01-05,2075984032
2000-01-06,2064999990
2000-01-07,2064999990
2000-01-10,2048523926
2000-01-11,2004587756
2000-01-12,2004587756
2000-01-13,2004587756
2000-01-14,2059507968
2000-01-18,2054015947
2000-01-19,1999095735
2000-01-20,1977127650
2000-01-21,1938683501
2000-01-24,1889255310
2000-01-25,1900239352
2000-01-26,1900239352
2000-01-27,1883763288
2000-01-28,1856303182
2000-01-31,1834335097
2000-02-01,1823351055
2000-02-02,1713510630
2000-02-03,1658590417
2000-02-04,1636622332
2000-02-07,1631130311
2000-02-08,1598178183
2000-02-09,1609162226
2000-02-10,1570718077
2000-02-11,1521289886
2000-02-14,1521289886
2000-02-15,1548749992
2000-02-16,1537765950
2000-02-17,1543257971
2000-02-18,1526781907
2000-02-22,1554242013
2000-02-23,1565226056
2000-02-24,1477353716
2000-02-25,1466369673
2000-02-28,1504813822
2000-02-29,1488337758
2000-03-01,1499321801
2000-03-02,1548749992
2000-03-03,1603670205
2000-03-06,1581702120
2000-03-07,1554242013
2000-03-08,1488337758
2000-03-09,1460877652
2000-03-10,1554242013
2000-03-13,1499321801
2000-03-14,1526781907
2000-03-15,1576210098
2000-03-16,1642114353
2000-03-17,1592686162
2000-03-20,1636622332
2000-03-21,1614654247
2000-03-22,1581702120
2000-03-23,1636622332
2000-03-24,1625638290
2000-03-27,1587194141
2000-03-28,1592686162
2000-03-29,1609162226
2000-03-30,1713510630
2000-03-31,1654209901
2000-04-03,1669669807
2000-04-04,1643903298
2000-04-05,1674823109
2000-04-06,1659363203
2000-04-07,1643903298
2000-04-10,1649056600
2000-04-11,1649056600
2000-04-12,1726356128
2000-04-13,1757275939
2000-04-14,1628443392
2000-04-17,1674823109
2000-04-18,1695436316
2000-04-19,1721202826
2000-04-20,1716049524
2000-04-24,1649056600
2000-04-25,1710896222
2000-04-26,1901568391
2000-04-27,1932488203
2000-04-28,1994327825
2000-05-01,2051014146
2000-05-02,2056167448
2000-05-03,2081933957
2000-05-04,2097393863
2000-05-05,2087087259
2000-05-08,2076780655
2000-05-09,2035554240
2000-05-10,2035554240
2000-05-11,2112853768
2000-05-12,2097393863
2000-05-15,2102547165
2000-05-16,2087087259
2000-05-17,2020094335
2000-05-18,2056167448
2000-05-19,2164386787
2000-05-22,2174693391
2000-05-23,2020094335
2000-05-24,2051014146
2000-05-25,1958254712
2000-05-26,1922181599
2000-05-30,1947948108
2000-05-31,1865495278
2000-06-01,1860341976
2000-06-02,1870648580
2000-06-05,1850035373
2000-06-06,1829422165
2000-06-07,1736662731
