,CTLT
2015-08-20,4079430751
2015-08-21,3969647905
2015-08-24,3842399607
2015-08-25,3841152074
2015-08-26,3938459597
2015-08-27,3987113358
2015-08-28,4012064005
2015-08-31,3965905308
2015-09-01,3868597786
2015-09-02,3934717000
2015-09-03,3556714701
2015-09-04,3496833149
2015-09-08,3656517288
2015-09-09,3580417815
2015-09-10,3515546134
2015-09-11,3534259119
2015-09-14,3499328213
2015-09-15,3528021457
2015-09-16,3559209766
2015-09-17,3571685089
2015-09-18,3528021457
2015-09-21,3418238611
2015-09-22,3416991079
2015-09-23,3383307706
2015-09-24,3357109526
2015-09-25,3228613695
2015-09-28,3108850591
2015-09-29,3041483844
2015-09-30,3033083256
2015-10-01,3071776911
2015-10-02,3156653314
2015-10-05,3126696937
2015-10-06,2993141419
2015-10-07,3035579621
2015-10-08,3025594161
2015-10-09,3063039634
2015-10-12,3063039634
2015-10-13,3006871425
2015-10-14,3119207842
2015-10-15,3287712467
2015-10-16,3332647034
2015-10-19,3337639764
2015-10-20,3226551529
2015-10-21,3186609692
2015-10-22,3165390591
2015-10-23,3262748819
2015-10-26,3229047894
2015-10-27,3222806982
2015-10-28,3408786161
2015-10-29,3323909757
2015-10-30,3317668845
2015-11-02,3434997992
2015-11-03,3413778891
2015-11-04,3508640754
2015-11-05,3474939829
2015-11-06,3541093497
2015-11-09,3526115308
2015-11-10,3522370761
2015-11-11,3481180741
2015-11-12,3403793432
2015-11-13,3442487086
2015-11-16,3332647034
2015-11-17,3358858865
2015-11-18,3464954370
2015-11-19,3402545249
2015-11-20,3420019803
2015-11-23,3439990721
2015-11-24,3513633484
2015-11-25,3544838044
2015-11-27,3561064415
2015-11-30,3476188011
2015-12-01,3514881666
2015-12-02,3442487086
2015-12-03,3343880676
2015-12-04,3451224363
2015-12-07,3372588871
2015-12-08,3376333419
2015-12-09,3196595152
2015-12-10,3281471555
2015-12-11,3241529718
2015-12-14,3222806982
2015-12-15,3282719738
2015-12-16,3312676116
2015-12-17,3290208832
2015-12-18,3141675125
2015-12-21,3144171490
2015-12-22,3121704207
2015-12-23,3125448754
2015-12-24,3114215112
2015-12-28,3127945119
2015-12-29,3164142409
2015-12-30,3157901497
2015-12-31,3123991746
2016-01-04,3044113412
2016-01-05,3146457528
2016-01-06,3101525965
2016-01-07,3027888125
2016-01-08,3029136224
2016-01-11,3026640026
2016-01-12,3097781668
2016-01-13,2976716067
2016-01-14,3044113412
2016-01-15,3034128620
2016-01-19,2985452760
2016-01-20,2997933749
2016-01-21,2889349138
2016-01-22,2961738879
2016-01-25,2913063019
2016-01-26,2933032603
2016-01-27,2865635258
2016-01-28,2805726507
2016-01-29,2936776899
2016-02-01,2880612445
2016-02-02,2841921377
2016-02-03,2833184684
2016-02-04,2770779735
2016-02-05,2705878588
2016-02-08,2645969837
2016-02-09,2617263561
2016-02-10,2603534472
2016-02-11,2653458431
2016-02-12,2760794943
2016-02-16,2873123851
2016-02-17,2985452760
2016-02-18,2953002186
2016-02-19,2992941354
2016-02-22,3019151432
2016-02-23,3065331094
2016-02-24,3097781668
2016-02-25,3118999351
2016-02-26,3086548777
2016-02-29,3029136224
2016-03-01,3148953726
2016-03-02,3176411904
2016-03-03,3170171409
2016-03-04,3202621982
2016-03-07,3222591566
2016-03-08,3146457528
2016-03-09,3147705627
2016-03-10,3146457528
2016-03-11,3236320655
2016-03-14,3287492713
2016-03-15,3187644794
2016-03-16,3172667607
2016-03-17,3153946122
2016-03-18,3233824457
2016-03-21,3257538337
2016-03-22,3341160969
2016-03-23,3240064952
2016-03-24,3260034535
2016-03-28,3265026931
2016-03-29,3397325423
2016-03-30,3347401464
2016-03-31,3328416000
2016-04-01,3319680000
2016-04-04,3410784000
2016-04-05,3458208000
2016-04-06,3461952000
2016-04-07,3474432000
2016-04-08,3508128000
2016-04-11,3413280000
2016-04-12,3554304000
2016-04-13,3701568000
2016-04-14,3712800000
2016-04-15,3781440000
2016-04-18,3719040000
2016-04-19,3696576000
2016-04-20,3715296000
2016-04-21,3669120000
2016-04-22,3716544000
2016-04-25,3675360000
2016-04-26,3700320000
2016-04-27,3725280000
2016-04-28,3711552000
2016-04-29,3685344000
2016-05-02,3670368000
2016-05-03,3662880000
2016-05-04,3649152000
2016-05-05,3174912000
2016-05-06,3053856000
2016-05-09,3050112000
2016-05-10,3091296000
2016-05-11,3038880000
2016-05-12,2970240000
2016-05-13,2976480000
2016-05-16,3133728000
2016-05-17,3184896000
2016-05-18,3258528000
2016-05-19,3318432000
2016-05-20,3575520000
2016-05-23,3528096000
2016-05-24,3588000000
2016-05-25,3626688000
2016-05-26,3636672000
2016-05-27,3617952000
2016-05-31,3509376000
2016-06-01,3470688000
2016-06-02,3282240000
2016-06-03,3288480000
2016-06-06,3272256000
2016-06-07,2973984000
2016-06-08,3002688000
2016-06-09,2927808000
2016-06-10,2859168000
2016-06-13,2816736000
2016-06-14,2803008000
2016-06-15,2856672000
2016-06-16,2766816000
2016-06-17,2675712000
2016-06-20,2825472000
2016-06-21,2852928000
2016-06-22,2894112000
2016-06-23,2952768000
2016-06-24,2844192000
2016-06-27,2656992000
2016-06-28,2761824000
2016-06-29,2835456000
2016-06-30,2869599523
2016-07-01,2893315221
2016-07-05,2828409099
2016-07-06,2848380214
2016-07-07,2874592301
2016-07-08,2924520088
2016-07-11,2938250229
2016-07-12,2963214122
2016-07-13,2908293557
2016-07-14,2965710512
2016-07-15,2994418989
2016-07-18,3034361218
2016-07-19,3033113023
2016-07-20,3069310668
2016-07-21,3078048031
2016-07-22,3021879271
2016-07-25,3055580527
2016-07-26,3050587749
2016-07-27,3139209569
2016-07-28,3201619302
2016-07-29,3187889161
2016-08-01,3216597638
2016-08-02,3145450543
2016-08-03,3160428879
2016-08-04,3180399993
2016-08-05,3161677073
2016-08-08,3136713180
2016-08-09,3144202348
2016-08-10,3130472207
2016-08-11,3162925268
2016-08-12,3070558863
2016-08-15,3120486650
2016-08-16,3110501092
2016-08-17,3112997482
2016-08-18,3121734844
2016-08-19,3149195127
2016-08-22,3083040810
2016-08-23,3186640966
2016-08-24,3122983039
2016-08-25,3116742066
2016-08-26,3120486650
2016-08-29,3131720401
2016-08-30,3129224012
2016-08-31,3149195127
2016-09-01,3149195127
2016-09-02,3150443321
2016-09-06,3155436100
2016-09-07,2960717733
2016-09-08,2981937042
2016-09-09,2946987592
2016-09-12,3023127466
2016-09-13,2978192458
2016-09-14,3014390103
2016-09-15,3154187905
2016-09-16,3194130134
2016-09-19,3256539867
2016-09-20,3271518203
2016-09-21,3312708627
2016-09-22,3323942379
2016-09-23,3332679742
2016-09-26,3271518203
2016-09-27,3291489318
2016-09-28,3284000150
2016-09-29,3195378329
2016-09-30,3227149357
2016-10-03,3225900460
2016-10-04,3239638325
2016-10-05,3230896047
2016-10-06,3244633912
2016-10-07,3207167008
2016-10-10,3265865158
2016-10-11,3082277327
2016-10-12,3026076970
2016-10-13,2963632130
2016-10-14,2944898677
2016-10-17,2922418535
2016-10-18,2997352344
2016-10-19,3001099034
2016-10-20,3051054906
2016-10-21,3043561525
2016-10-24,3028574764
2016-10-25,2972374407
2016-10-26,2917422948
2016-10-27,2924916329
2016-10-28,2871213766
2016-10-31,2848733623
2016-11-01,2866218178
2016-11-02,2800026648
2016-11-03,2728839529
2016-11-04,2788786576
2016-11-07,2857475901
2016-11-08,2953640955
2016-11-09,3132233199
2016-11-10,3162206722
2016-11-11,3163455619
2016-11-14,3154713342
2016-11-15,3175944587
2016-11-16,3193429143
2016-11-17,3212162595
2016-11-18,3199673627
2016-11-21,3124739818
2016-11-22,3113499747
2016-11-23,3149717754
2016-11-25,3114748644
2016-11-28,3034819248
2016-11-29,3011090208
2016-11-30,2988610066
2016-12-01,2888698321
2016-12-02,2953640955
2016-12-05,2948645368
2016-12-06,2933658606
2016-12-07,2957387646
2016-12-08,3041063732
2016-12-09,3064792771
2016-12-12,3124739818
2016-12-13,3197175833
2016-12-14,3254625086
2016-12-15,3338301173
2016-12-16,3357034625
2016-12-19,3345794553
2016-12-20,3355785728
2016-12-21,3294589784
2016-12-22,3289594197
2016-12-23,3359532418
2016-12-27,3350790141
2016-12-28,3330807792
2016-12-29,3335803379
2016-12-30,3367025799
2017-01-03,3373702056
2017-01-04,3412437153
2017-01-05,3361206863
2017-01-06,3358707824
2017-01-09,3362456382
2017-01-10,3356208786
2017-01-11,3302479457
2017-01-12,3263744359
2017-01-13,3289984264
2017-01-17,3233755896
2017-01-18,3248750128
2017-01-19,3243752050
2017-01-20,3274990032
2017-01-23,3316224169
2017-01-24,3363705901
2017-01-25,3433678981
2017-01-26,3437427539
2017-01-27,3359957343
2017-01-30,3266243397
2017-01-31,3343713593
2017-02-01,3497404464
2017-02-02,3484909271
2017-02-03,3522394850
2017-02-06,3496154945
2017-02-07,3543636678
2017-02-08,3543636678
2017-02-09,3581122256
2017-02-10,3654843894
2017-02-13,3561129948
2017-02-14,3653594374
2017-02-15,3647346778
