,NUE
2000-01-03,4702568497
2000-01-04,4654088409
2000-01-05,4782214355
2000-01-06,4827231579
2000-01-07,4841083033
2000-01-10,4667939863
2000-01-11,4768362901
2000-01-12,4605608322
2000-01-13,4761437175
2000-01-14,4744122858
2000-01-18,4654088409
2000-01-19,4782214355
2000-01-20,4532888190
2000-01-21,4422076561
2000-01-24,4269710572
2000-01-25,4235081938
2000-01-26,4214304757
2000-01-27,4377059337
2000-01-28,4387447927
2000-01-31,4307802069
2000-02-01,4318190659
2000-02-02,4290487752
2000-02-03,4318190659
2000-02-04,4221230484
2000-02-07,4155436080
2000-02-08,4009995817
2000-02-09,4106955992
2000-02-10,3916498505
2000-02-11,4079253085
2000-02-14,4124270309
2000-02-15,4491333829
2000-02-16,4404762244
2000-02-17,4387447927
2000-02-18,4224693347
2000-02-22,4480945239
2000-02-23,4442853742
2000-02-24,4335504976
2000-02-25,4162361806
2000-02-28,4252396255
2000-02-29,4300876342
2000-03-01,4307802069
2000-03-02,4259321982
2000-03-03,4373596474
2000-03-06,4165824670
2000-03-07,4193527577
2000-03-08,4089641675
2000-03-09,4183138987
2000-03-10,4162361806
2000-03-13,4041161587
2000-03-14,4148510353
2000-03-15,4345893567
2000-03-16,4508648146
2000-03-17,4307802069
2000-03-20,4338967840
2000-03-21,4349356430
2000-03-22,4328579250
2000-03-23,4338967840
2000-03-24,4311264933
2000-03-27,4162361806
2000-03-28,4176213260
2000-03-29,4172750397
2000-03-30,4193527577
2000-03-31,4328579250
2000-04-03,4111064000
2000-04-04,4091107378
2000-04-05,4044541928
2000-04-06,4094433482
2000-04-07,3891541165
2000-04-10,4011280893
2000-04-11,4137672828
2000-04-12,4164281657
2000-04-13,4167607760
2000-04-14,3898193372
2000-04-17,3834997404
2000-04-18,3841649611
2000-04-19,3761823126
2000-04-20,3825019094
2000-04-24,3751844815
2000-04-25,3881562854
2000-04-26,3778453644
2000-04-27,3735214297
2000-04-28,3575561327
2000-05-01,3622126776
2000-05-02,3548952498
2000-05-03,3618800673
2000-05-04,3565583016
2000-05-05,3548952498
2000-05-08,3545626394
2000-05-09,3492408738
2000-05-10,3429212770
2000-05-11,3419234459
2000-05-12,3502387048
2000-05-15,3485756530
2000-05-16,3555604705
2000-05-17,3482430427
2000-05-18,3499060945
2000-05-19,3465799909
2000-05-22,3425886666
2000-05-23,3296168627
2000-05-24,3399277838
2000-05-25,3299494731
2000-05-26,3232972660
2000-05-30,3269559799
2000-05-31,3252929281
2000-06-01,3216342142
2000-06-02,3332755767
2000-06-05,3262907592
2000-06-06,3272885903
2000-06-07,3196385521
2000-06-08,3196385521
2000-06-09,3149820071
2000-06-12,3123211242
2000-06-13,3076645793
2000-06-14,3103254621
2000-06-15,3013449825
2000-06-16,3040058653
2000-06-19,2963558271
2000-06-20,2900362304
2000-06-21,2817209715
2000-06-22,2833840233
2000-06-23,2843818543
2000-06-26,2837166336
2000-06-27,2920318925
2000-06-28,2807231404
2000-06-29,2936949443
2000-06-30,2760665954
2000-07-03,2862321155
2000-07-05,2753948194
2000-07-06,2671074753
2000-07-07,2718886354
2000-07-10,2725261234
2000-07-11,2887820676
2000-07-12,2843196515
2000-07-13,2859133715
2000-07-14,2862321155
2000-07-17,2817696995
2000-07-18,2849571395
2000-07-19,2769885394
2000-07-20,2894195556
2000-07-21,2954756917
2000-07-24,2977068997
2000-07-25,3047192678
2000-07-26,2977068997
2000-07-27,2919695076
2000-07-28,2894195556
2000-07-31,3008943397
2000-08-01,3091816838
2000-08-02,3044005238
2000-08-03,2993006197
2000-08-04,3028068038
2000-08-07,3091816838
2000-08-08,3158753079
2000-08-09,3088629398
2000-08-10,3053567558
