,SMI
2004-03-17,6162076.32
2004-03-18,6046934.43
2004-03-19,5780916.96
2004-03-22,5395787.19
2004-03-23,5796798.6
2004-03-24,5872236.39
2004-03-25,5852384.34
2004-03-26,5677686.3
2004-03-29,5757094.5
2004-03-30,5868265.98
2004-03-31,5995319.1
2004-04-01,5951644.59
2004-04-02,5963555.82
2004-04-05,6166046.73
2004-04-06,6114431.4
2004-04-07,6074727.3
2004-04-08,6146194.68
2004-04-12,6193839.6
2004-04-13,5983407.87
2004-04-14,5709449.58
2004-04-15,5534751.54
2004-04-16,5610189.33
2004-04-19,5665775.07
2004-04-20,5308438.17
2004-04-21,5177414.64
2004-04-22,5399757.6
2004-04-23,5574455.64
2004-04-26,5340201.45
2004-04-27,5336231.04
2004-04-28,4943160.45
2004-04-29,4728758.31
2004-04-30,4641409.29
2004-05-03,4776403.23
2004-05-04,4831988.97
2004-05-05,4931249.22
2004-05-06,4768462.41
2004-05-07,4843900.2
2004-05-10,4510385.76
2004-05-11,4808166.51
2004-05-12,4764492.0
2004-05-13,4637438.88
2004-05-14,4363480.59
2004-05-17,4157019.27
2004-05-18,4288042.8
2004-05-19,4490533.71
2004-05-20,4565971.5
2004-05-21,4812136.92
2004-05-24,4883604.3
2004-05-25,4931249.22
2004-05-26,4943160.45
2004-05-27,5002716.6
2004-05-28,4923308.4
2004-06-01,4812136.92
2004-06-02,4831988.97
2004-06-03,4712876.67
2004-06-04,4780373.64
2004-06-07,4804196.1
2004-06-08,4665231.75
2004-06-09,4601705.19
2004-06-10,4581853.14
2004-06-14,4403184.69
2004-06-15,4411125.51
2004-06-16,4383332.64
2004-06-17,4248338.7
2004-06-18,4284072.39
2004-06-21,4276131.57
2004-06-22,4327746.9
2004-06-23,4407155.1
2004-06-24,4379362.23
2004-06-25,4323776.49
2004-06-28,4311865.26
2004-06-29,4284072.39
2004-06-30,4260249.93
2004-07-01,4204664.19
2004-07-02,4180841.73
2004-07-06,4129226.4
2004-07-07,4149078.45
2004-07-08,4049818.2
2004-07-09,3982321.23
2004-07-12,3871149.75
2004-07-13,3803652.78
2004-07-14,3740126.22
2004-07-15,3799682.37
2004-07-16,3771889.5
2004-07-19,3918794.67
2004-07-20,4053788.61
2004-07-21,3982321.23
2004-07-22,3986291.64
2004-07-23,3767919.09
2004-07-26,3843356.88
2004-07-27,4125255.99
2004-07-28,4244368.29
2004-07-29,4133196.81
2004-07-30,4303924.44
2004-08-02,4228486.65
2004-08-03,4113344.76
2004-08-04,4109374.35
2004-08-05,4129226.4
2004-08-06,4057759.02
2004-08-09,4049818.2
2004-08-10,4022025.33
2004-08-11,3839386.47
2004-08-12,3835416.06
2004-08-13,3807623.19
2004-08-16,3827475.24
2004-08-17,3863208.93
2004-08-18,3910853.85
2004-08-19,3978350.82
2004-08-20,3970410.0
2004-08-23,3891001.8
2004-08-24,3938646.72
2004-08-25,4137167.22
2004-08-26,4065699.84
2004-08-27,4061729.43
2004-08-30,3994232.46
2004-08-31,4033936.56
2004-09-01,4101433.53
2004-09-02,4109374.35
2004-09-03,3934676.31
2004-09-07,3970410.0
2004-09-08,3914824.26
2004-09-09,3978350.82
2004-09-10,4006143.69
2004-09-13,4010114.1
2004-09-14,4061729.43
2004-09-15,4010114.1
2004-09-16,4232457.06
2004-09-17,4180841.73
2004-09-20,4168930.5
2004-09-21,4180841.73
2004-09-22,4029966.15
2004-09-23,3990262.05
2004-09-24,3962469.18
2004-09-27,3954528.36
2004-09-28,3950557.95
2004-09-29,3946587.54
2004-09-30,3922765.08
2004-10-01,4025995.74
2004-10-04,4077611.07
2004-10-05,4053788.61
2004-10-06,4121285.58
2004-10-07,4482592.89
2004-10-08,4387303.05
2004-10-11,4415095.92
2004-10-12,4339658.13
2004-10-13,4335687.72
2004-10-14,4359510.18
2004-10-15,4355539.77
2004-10-18,4331717.31
2004-10-19,4490533.71
2004-10-20,4466711.25
2004-10-21,4450829.61
2004-10-22,4339658.13
2004-10-25,4284072.39
2004-10-26,4188782.55
2004-10-27,4153048.86
2004-10-28,4160989.68
2004-10-29,4284072.39
2004-11-01,4292013.21
2004-11-02,4323776.49
2004-11-03,4359510.18
2004-11-04,4351569.36
2004-11-05,4331717.31
2004-11-08,4280101.98
2004-11-09,4327746.9
2004-11-10,4295983.62
2004-11-11,4395243.87
2004-11-12,4510385.76
2004-11-15,4522296.99
2004-11-16,4454800.02
2004-11-17,4681113.39
2004-11-18,4621557.24
2004-11-19,4546119.45
2004-11-22,4597734.78
2004-11-23,4625527.65
2004-11-24,4673172.57
2004-11-26,4847870.61
2004-11-29,4784344.05
2004-11-30,4748610.36
2004-12-01,4883604.3
2004-12-02,4839929.79
2004-12-03,4907426.76
2004-12-06,4923308.4
2004-12-07,4808166.51
2004-12-08,4780373.64
2004-12-09,4728758.31
2004-12-10,4641409.29
2004-12-13,4589793.96
2004-12-14,4657290.93
2004-12-15,4613616.42
2004-12-16,4633468.47
2004-12-17,4573912.32
2004-12-20,4486563.3
2004-12-21,4331717.31
2004-12-22,4244368.29
2004-12-23,4228486.65
2004-12-27,4268190.75
2004-12-28,4248338.7
2004-12-29,4228486.65
2004-12-30,4196723.37
2004-12-31,4276131.57
2005-01-03,4204664.19
2005-01-04,4137167.22
2005-01-05,4053788.61
2005-01-06,4089522.3
2005-01-07,4045847.79
2005-01-10,3978350.82
2005-01-11,3950557.95
2005-01-12,4029966.15
2005-01-13,3946587.54
2005-01-14,3990262.05
2005-01-18,3954528.36
2005-01-19,3883060.98
2005-01-20,3863208.93
2005-01-21,3759978.27
2005-01-24,3712333.35
2005-01-25,3811593.6
2005-01-26,3811593.6
2005-01-27,3851297.7
2005-01-28,3779830.32
2005-01-31,4025995.74
2005-02-01,3958498.77
2005-02-02,4029966.15
2005-02-03,4113344.76
2005-02-04,4268190.75
2005-02-07,4220545.83
2005-02-08,4204664.19
2005-02-09,4133196.81
2005-02-10,4153048.86
2005-02-11,4295983.62
2005-02-14,4423036.74
2005-02-15,4383332.64
2005-02-16,4379362.23
2005-02-17,4299954.03
2005-02-18,4288042.8
2005-02-22,4212605.01
2005-02-23,4208634.6
2005-02-24,4240397.88
2005-02-25,4288042.8
2005-02-28,4137167.22
2005-03-01,4149078.45
2005-03-02,3990262.05
2005-03-03,3990262.05
2005-03-04,3990262.05
2005-03-07,3990262.05
2005-03-08,3946587.54
2005-03-09,3970410.0
2005-03-10,4033936.56
2005-03-11,4065699.84
2005-03-14,4041877.38
2005-03-15,3966439.59
2005-03-16,3954528.36
2005-03-17,3970410.0
2005-03-18,3934676.31
2005-03-21,3934676.31
