,ALTR
2017-11-01,1074320940
2017-11-02,1021514340
2017-11-03,1136515380
2017-11-06,1113045780
2017-11-07,1144729740
2017-11-08,1194602640
2017-11-09,1196949600
2017-11-10,1218072240
2017-11-13,1274399280
2017-11-14,1311950640
2017-11-15,1378252260
2017-11-16,1404655560
2017-11-17,1417563840
2017-11-20,1452768240
2017-11-21,1437513000
2017-11-22,1404655560
2017-11-24,1460982600
2017-11-27,1328966100
2017-11-28,1400548380
2017-11-29,1299042360
2017-11-30,1313710860
2017-12-01,1376492040
2017-12-04,1284960600
2017-12-05,1265011440
2017-12-06,1233327480
2017-12-07,1302562800
2017-12-08,1267358400
2017-12-11,1354195920
2017-12-12,1309603680
2017-12-13,1257970560
2017-12-14,1232154000
2017-12-15,1247409240
2017-12-18,1327792620
2017-12-19,1325445660
2017-12-20,1363583760
2017-12-21,1431058860
2017-12-22,1357129620
2017-12-26,1351262220
2017-12-27,1385293140
2017-12-28,1426364940
2017-12-29,1403482080
2018-01-02,1544494260
2018-01-03,1594131900
2018-01-04,1585858960
2018-01-05,1590950000
2018-01-08,1617041580
2018-01-09,1692770800
2018-01-10,1781227620
2018-01-11,1683225100
2018-01-12,1646951440
2018-01-16,1627860040
2018-01-17,1582040680
2018-01-18,1623405380
2018-01-19,1702316500
2018-01-22,1634223840
2018-01-23,1648860580
2018-01-24,1620859860
2018-01-25,1591586380
2018-01-26,1671770260
2018-01-29,1604950360
2018-01-30,1671133880
2018-01-31,1692770800
2018-02-01,1749408620
2018-02-02,1715044100
2018-02-05,1705498400
2018-02-06,1681315960
2018-02-07,1687679760
2018-02-08,1609405020
2018-02-09,1606223120
2018-02-12,1638042120
2018-02-13,1636769360
2018-02-14,1642496780
2018-02-15,1688952520
2018-02-16,1708043920
2018-02-20,1664133700
2018-02-21,1648224200
2018-02-22,1648224200
2018-02-23,1664770080
2018-02-26,1680679580
2018-02-27,1695316320
2018-02-28,1674952160
2018-03-01,1670497500
2018-03-02,1685134240
2018-03-05,1685770620
2018-03-06,1736681020
2018-03-07,1907867240
2018-03-08,1860775120
2018-03-09,1870957200
2018-03-12,1916140180
2018-03-13,1883684800
2018-03-14,1858865980
2018-03-15,1877321000
2018-03-16,1882412040
2018-03-19,1882412040
2018-03-20,2026870300
2018-03-21,2002051480
2018-03-22,1946686420
2018-03-23,1928867780
2018-03-26,2044052559
2018-03-27,1971505240
2018-03-28,1956868500
2018-03-29,1995687680
2018-04-02,1977237000
2018-04-03,1985762400
2018-04-04,1996255200
2018-04-05,2021831400
2018-04-06,1975925400
2018-04-09,1985106600
2018-04-10,2019208200
2018-04-11,1958874600
2018-04-12,1989697200
2018-04-13,1941168000
2018-04-16,1927396200
2018-04-17,1973302200
2018-04-18,1956251400
2018-04-19,1957563000
2018-04-20,1955595600
2018-04-23,1935921600
2018-04-24,1899852600
2018-04-25,1899196800
2018-04-26,1835584200
2018-04-27,1899196800
2018-04-30,1900508400
2018-05-01,1885425000
2018-05-02,1902475800
2018-05-03,1876899600
2018-05-04,1945102800
2018-05-07,1997566800
2018-05-08,2003469000
2018-05-09,2028389400
2018-05-10,2029701000
2018-05-11,2062491000
2018-05-14,2050686600
2018-05-15,2200209000
2018-05-16,2305792800
2018-05-17,2371044900
2018-05-18,2350387200
2018-05-21,2332680600
2018-05-22,2316285600
2018-05-23,2306448600
2018-05-24,2293332600
2018-05-25,2315629800
2018-05-29,2295300000
2018-05-30,2305792800
2018-05-31,2307760200
2018-06-01,2346452400
2018-06-04,2404818600
2018-06-05,2364814800
2018-06-06,2379898200
2018-06-07,2338582800
2018-06-08,2354977800
2018-06-11,2344485000
2018-06-12,2358912600
2018-06-13,2381865600
2018-06-14,2410065000
2018-06-15,2385144600
2018-06-18,2372028600
2018-06-19,2294644200
2018-06-20,2325466800
2018-06-21,2313662400
2018-06-22,2277593400
2018-06-25,2222506200
2018-06-26,2241524400
2018-06-27,2226441000
2018-06-28,2210046000
2018-06-29,2241524400
2018-07-02,2416434520
2018-07-03,2366033800
2018-07-05,2382834040
2018-07-06,2421334590
2018-07-09,2433934770
2018-07-10,2413634480
2018-07-11,2386334090
2018-07-12,2431134730
2018-07-13,2424134630
2018-07-16,2415734510
2018-07-17,2423434620
2018-07-18,2482935470
2018-07-19,2455635080
2018-07-20,2433934770
2018-07-23,2432534750
2018-07-24,2506035800
2018-07-25,2551536450
2018-07-26,2559936570
2018-07-27,2492035600
2018-07-30,2441634880
2018-07-31,2457035100
2018-08-01,2441634880
2018-08-02,2484335490
2018-08-03,2471035300
2018-08-06,2515135930
2018-08-07,2446534950
2018-08-08,2468235260
2018-08-09,2557836540
2018-08-10,2662838040
2018-08-13,2760139430
2018-08-14,2776239659
2018-08-15,2748239260
2018-08-16,2787439820
2018-08-17,2814040200
2018-08-20,2816140230
2018-08-21,2809840140
2018-08-22,2802140030
2018-08-23,2793039900
2018-08-24,2835740510
2018-08-27,2868640980
2018-08-28,2844840640
2018-08-29,2895241360
2018-08-30,2860940870
2018-08-31,2923941770
2018-09-04,2964542350
2018-09-05,2865140930
2018-09-06,2861640880
2018-09-07,2830840440
2018-09-10,2867240960
2018-09-11,2872841040
2018-09-12,2828040400
2018-09-13,2798639980
2018-09-14,2798639980
2018-09-17,2704138630
2018-09-18,2788139830
2018-09-19,2765039500
2018-09-20,2797239960
2018-09-21,2863040900
2018-09-24,2889641280
2018-09-25,2936541950
2018-09-26,2937941970
2018-09-27,2954742210
2018-09-28,3041543450
2018-10-01,3015927000
2018-10-02,2960194080
2018-10-03,2965837920
2018-10-04,2935502280
2018-10-05,2941146120
2018-10-08,2884002240
2018-10-09,2815570679
2018-10-10,2518563600
2018-10-11,2393693640
2018-10-12,2464947120
2018-10-15,2407097760
2018-10-16,2485406040
2018-10-17,2539728000
2018-10-18,2570063640
2018-10-19,2529851280
2018-10-22,2595460920
2018-10-23,2596166400
2018-10-24,2487522480
2018-10-25,2614508880
2018-10-26,2598282840
2018-10-29,2585584200
