,TSN
2000-01-03,3624741999
2000-01-04,3611200000
2000-01-05,3624741999
2000-01-06,3654083000
2000-01-07,3823358000
2000-01-10,3780475000
2000-01-11,3809816000
2000-01-12,3737591999
2000-01-13,3879783000
2000-01-14,3681166999
2000-01-18,3611200000
2000-01-19,3554775000
2000-01-20,3527691000
2000-01-21,3484808000
2000-01-24,3342617000
2000-01-25,3216225000
2000-01-26,3159800000
2000-01-27,3202683000
2000-01-28,3216225000
2000-01-31,3089833000
2000-02-01,3132716000
2000-02-02,3060492000
2000-02-03,2990525000
2000-02-04,2934100000
2000-02-07,2907016000
2000-02-08,2891217000
2000-02-09,2821250000
2000-02-10,2694858000
2000-02-11,2539125000
2000-02-14,2482700000
2000-02-15,2439817000
2000-02-16,2455616000
2000-02-17,2426275000
2000-02-18,2412733000
2000-02-22,2399191000
2000-02-23,2243458000
2000-02-24,2243458000
2000-02-25,2469158000
2000-02-28,2455616000
2000-02-29,2326967000
2000-03-01,2383392000
2000-03-02,2356308000
2000-03-03,2356308000
2000-03-06,2270542000
2000-03-07,2229916000
2000-03-08,2257000000
2000-03-09,2286341000
2000-03-10,2117066000
2000-03-13,2117066000
2000-03-14,2101267000
2000-03-15,2031300000
2000-03-16,2286341000
2000-03-17,2200575000
2000-03-20,2270542000
2000-03-21,2356308000
2000-03-22,2369850000
2000-03-23,2455616000
2000-03-24,2399191000
2000-03-27,2286341000
2000-03-28,2313425000
2000-03-29,2286341000
2000-03-30,2412733000
2000-03-31,2512041000
2000-04-03,2302150000
2000-04-04,2414450000
2000-04-05,2499798000
2000-04-06,2331348000
2000-04-07,2275198000
2000-04-10,2288674000
2000-04-11,2331348000
2000-04-12,2259476000
2000-04-13,2427926000
2000-04-14,2275198000
2000-04-17,2344824000
2000-04-18,2331348000
2000-04-19,2315626000
2000-04-20,2344824000
2000-04-24,2344824000
2000-04-25,2470600000
2000-04-26,2470600000
2000-04-27,2470600000
2000-04-28,2344824000
2000-05-01,2344824000
2000-05-02,2331348000
2000-05-03,2302150000
2000-05-04,2414450000
2000-05-05,2331348000
2000-05-08,2288674000
2000-05-09,2288674000
2000-05-10,2331348000
2000-05-11,2387498000
2000-05-12,2358300000
2000-05-15,2288674000
2000-05-16,2358300000
2000-05-17,2344824000
2000-05-18,2344824000
2000-05-19,2259476000
2000-05-22,2275198000
2000-05-23,2259476000
2000-05-24,2219048000
2000-05-25,2259476000
2000-05-26,2219048000
2000-05-30,2259476000
2000-05-31,2219048000
2000-06-01,2275198000
2000-06-02,2288674000
2000-06-05,2331348000
2000-06-06,2288674000
2000-06-07,2275198000
2000-06-08,2246000000
2000-06-09,2246000000
2000-06-12,2203326000
2000-06-13,2189850000
2000-06-14,2162898000
2000-06-15,2219048000
2000-06-16,2203326000
2000-06-19,2162898000
2000-06-20,2147176000
2000-06-21,2034876000
2000-06-22,2007924000
2000-06-23,1994448000
2000-06-26,2007924000
2000-06-27,1922576000
2000-06-28,2007924000
2000-06-29,2034876000
2000-06-30,1965250000
2000-07-03,1980240000
2000-07-05,1980240000
2000-07-06,2007000000
2000-07-07,1980240000
2000-07-10,1980240000
2000-07-11,1993620000
2000-07-12,1993620000
2000-07-13,2049370000
2000-07-14,2035990000
2000-07-17,2020380000
2000-07-18,2062750000
2000-07-19,2091740000
2000-07-20,2160870000
2000-07-21,2105120000
2000-07-24,2091740000
2000-07-25,2091740000
2000-07-26,2105120000
2000-07-27,2131880000
2000-07-28,2118500000
2000-07-31,2091740000
2000-08-01,2007000000
2000-08-02,1993620000
2000-08-03,2105120000
2000-08-04,2091740000
2000-08-07,2131880000
2000-08-08,2049370000
2000-08-09,2118500000
2000-08-10,2131880000
2000-08-11,2105120000
2000-08-14,2091740000
2000-08-15,2091740000
2000-08-16,2131880000
2000-08-17,2131880000
2000-08-18,2147490000
2000-08-21,2105120000
2000-08-22,2105120000
2000-08-23,2118500000
2000-08-24,2118500000
2000-08-25,2118500000
2000-08-28,2091740000
2000-08-29,2076130000
2000-08-30,2035990000
2000-08-31,2049370000
2000-09-01,2076130000
2000-09-05,2049370000
2000-09-06,2062750000
2000-09-07,2105120000
2000-09-08,2105120000
2000-09-11,2091740000
2000-09-12,2076130000
2000-09-13,2076130000
2000-09-14,2105120000
2000-09-15,2091740000
2000-09-18,2062750000
2000-09-19,2118500000
2000-09-20,2160870000
2000-09-21,2174250000
2000-09-22,2118500000
2000-09-25,2118500000
2000-09-26,2160870000
2000-09-27,2160870000
2000-09-28,2131880000
2000-09-29,2230000000
2000-10-02,2174250000
2000-10-03,2243380000
2000-10-04,2243380000
2000-10-05,2341500000
2000-10-06,2439620000
2000-10-09,2453000000
2000-10-10,2453000000
