,ONE
2018-12-11,1129151144.0
2018-12-12,1187304851.0
2018-12-13,1205074039.0
2018-12-14,1190535612.0
2018-12-17,1206689420.0
2018-12-18,1169535663.0
2018-12-19,1195381755.0
2018-12-20,1201843278.0
2018-12-21,1174381805.0
2018-12-24,1135612667.0
2018-12-26,1211535562.0
2018-12-27,1230920131.0
2018-12-28,1245458558.0
2018-12-31,1259996985.0
2019-01-02,1319766072.0
2019-01-03,1345612164.0
2019-01-04,1287458457.0
2019-01-07,1397304348.0
2019-01-08,1348842926.0
2019-01-09,1379535160.0
2019-01-10,1306843026.0
2019-01-11,1326227595.0
2019-01-14,1342381403.0
2019-01-15,1389227445.0
2019-01-16,1440919629.0
2019-01-17,1387612064.0
2019-01-18,1429611963.0
2019-01-22,1458688817.0
2019-01-23,1473227244.0
2019-01-24,1413458156.0
2019-01-25,1461919578.0
2019-01-28,1453842675.0
2019-01-29,1424765821.0
2019-01-30,1371458256.0
2019-01-31,1345612164.0
2019-02-01,1248689319.0
2019-02-04,1250304700.0
2019-02-05,1277766173.0
2019-02-06,1240612416.0
2019-02-07,1268073888.0
2019-02-08,1282612315.0
2019-02-11,1301996884.0
2019-02-12,1306843026.0
2019-02-13,1353689068.0
2019-02-14,1334304499.0
2019-02-15,1374689018.0
2019-02-19,1337535261.0
2019-02-20,1339150641.0
2019-02-21,1377919779.0
2019-02-22,1389227445.0
2019-02-25,1394073587.0
2019-02-26,1406996633.0
2019-02-27,1448996532.0
2019-02-28,1447381152.0
2019-03-01,1446425305.0
2019-03-04,1441609239.0
2019-03-05,1443214594.0
2019-03-06,1431977106.0
2019-03-07,1415923551.0
2019-03-08,1414318195.0
2019-03-11,1440003883.0
2019-03-12,1388632507.0
2019-03-13,1399869996.0
2019-03-14,1351709331.0
2019-03-15,1404686062.0
2019-03-18,1406291418.0
2019-03-19,1403080707.0
2019-03-20,1369368241.0
2019-03-21,1334050420.0
2019-03-22,1261809423.0
2019-03-25,1244150512.0
2019-03-26,1252177290.0
2019-03-27,1266625489.0
2019-03-28,1258598712.0
2019-03-29,1266625489.0
2019-04-01,1300337955.0
2019-04-02,1316391510.0
2019-04-03,1321207576.0
2019-04-04,1321207576.0
2019-04-05,1338866487.0
2019-04-08,1332445065.0
2019-04-09,1324418287.0
2019-04-10,1364552175.0
2019-04-11,1337261131.0
2019-04-12,1342077198.0
2019-04-15,1303548666.0
2019-04-16,1282679044.0
2019-04-17,1338866487.0
2019-04-18,1343682553.0
2019-04-22,1330839709.0
2019-04-23,1345287909.0
2019-04-24,1364552175.0
2019-04-25,1329234354.0
2019-04-26,1374184308.0
2019-04-29,1404686062.0
2019-04-30,1388632507.0
2019-05-01,1385421796.0
2019-05-02,1409502129.0
2019-05-03,1428766395.0
2019-05-06,1303548666.0
2019-05-07,1317996865.0
2019-05-08,1311575443.0
2019-05-09,1282679044.0
2019-05-10,1289100466.0
2019-05-13,1297127244.0
2019-05-14,1343682553.0
2019-05-15,1279468333.0
2019-05-16,1268230845.0
2019-05-17,1208832691.0
2019-05-20,1228096957.0
2019-05-21,1205621980.0
2019-05-22,1207227336.0
2019-05-23,1176725581.0
2019-05-24,1176725581.0
2019-05-28,1274652267.0
2019-05-29,1290705822.0
2019-05-30,1271441556.0
2019-05-31,1290705822.0
2019-06-03,1246858176.0
2019-06-04,1234003968.0
2019-06-05,1230790416.0
2019-06-06,1248464952.0
2019-06-07,1282207248.0
2019-06-10,1306308888.0
2019-06-11,1335230856.0
2019-06-12,1357725720.0
2019-06-13,1303095336.0
2019-06-14,1301488560.0
2019-06-17,1299881784.0
2019-06-18,1306308888.0
2019-06-19,1282207248.0
2019-06-20,1251678504.0
2019-06-21,1261319160.0
2019-06-24,1269353040.0
2019-06-25,1264532712.0
2019-06-26,1278993696.0
2019-06-27,1266139488.0
2019-06-28,1278993696.0
2019-07-01,1270959816.0
2019-07-02,1287027576.0
2019-07-03,1288634352.0
2019-07-05,1296668232.0
2019-07-08,1280600472.0
2019-07-09,1290241128.0
2019-07-10,1264532712.0
2019-07-11,1270959816.0
2019-07-12,1354512168.0
2019-07-15,1335230856.0
2019-07-16,1317556320.0
2019-07-17,1304702112.0
2019-07-18,1299881784.0
2019-07-19,1338444408.0
2019-07-22,1327196976.0
2019-07-23,1296668232.0
2019-07-24,1290241128.0
2019-07-25,1280600472.0
2019-07-26,1160092272.0
2019-07-29,1283814024.0
2019-07-30,1161699048.0
2019-07-31,1187407464.0
2019-08-01,1290241128.0
2019-08-02,1287027576.0
2019-08-05,1287027576.0
2019-08-06,1256498832.0
2019-08-07,1269353040.0
2019-08-08,1291847904.0
2019-08-09,1280600472.0
2019-08-12,1251678504.0
2019-08-13,1234003968.0
2019-08-14,1179373584.0
2019-08-15,1185800688.0
2019-08-16,1137597408.0
2019-08-19,1187407464.0
2019-08-20,1182587136.0
2019-08-21,1168126152.0
2019-08-22,1180980360.0
2019-08-23,1172946480.0
2019-08-26,1197048120.0
2019-08-27,1234003968.0
2019-08-28,1240431072.0
2019-08-29,1240431072.0
2019-08-30,1208295552.0
2019-09-03,1197342570.0
2019-09-04,1208668783.0
2019-09-05,1202196661.0
2019-09-06,1207050753.0
2019-09-09,1207050753.0
2019-09-10,1194106509.0
2019-09-11,1171454082.0
2019-09-12,1173072112.0
2019-09-13,1189252417.0
2019-09-16,1202196661.0
2019-09-17,1181162265.0
2019-09-18,1184398326.0
2019-09-19,1174690143.0
2019-09-20,1207050753.0
2019-09-23,1181162265.0
2019-09-24,1184398326.0
2019-09-25,1186016356.0
2019-09-26,1181162265.0
2019-09-27,1198960600.0
2019-09-30,1195724539.0
2019-10-01,1186016356.0
2019-10-02,1186016356.0
2019-10-03,1181162265.0
2019-10-04,1171454082.0
2019-10-07,1164981960.0
2019-10-08,1153655746.0
2019-10-09,1150419685.0
2019-10-10,1155273777.0
2019-10-11,1148801655.0
2019-10-14,1135857411.0
2019-10-15,1109968923.0
2019-10-16,1092170587.0
2019-10-17,1124531197.0
2019-10-18,1124531197.0
2019-10-21,1182780295.0
2019-10-22,1181162265.0
2019-10-23,1182780295.0
2019-10-24,1197342570.0
2019-10-25,1195724539.0
2019-10-28,1190870448.0
2019-10-29,1160127868.0
2019-10-30,1156891807.0
2019-10-31,1161745899.0
2019-11-01,1152037716.0
2019-11-04,1135857411.0
2019-11-05,1153655746.0
2019-11-06,1171454082.0
2019-11-07,1173072112.0
2019-11-08,1176308173.0
2019-11-11,1184398326.0
2019-11-12,1186016356.0
2019-11-13,1140711502.0
2019-11-14,1139093472.0
2019-11-15,1153655746.0
2019-11-18,1164981960.0
2019-11-19,1152037716.0
2019-11-20,1139093472.0
2019-11-21,1135857411.0
2019-11-22,1148801655.0
2019-11-25,1160127868.0
2019-11-26,1177926204.0
2019-11-27,1176308173.0
2019-11-29,1150419685.0
2019-12-02,1147534704.0
2019-12-03,1132926766.0
2019-12-04,1163765747.0
2019-12-05,1137796079.0
2019-12-06,1139419183.0
2019-12-09,1123188141.0
2019-12-10,1089102951.0
2019-12-11,1105333994.0
2019-12-12,1136172975.0
2019-12-13,1137796079.0
2019-12-16,1105333994.0
2019-12-17,1115072619.0
2019-12-18,1118318828.0
2019-12-19,1108580202.0
2019-12-20,1102087785.0
2019-12-23,1106957098.0
2019-12-24,1089102951.0
2019-12-26,1085856743.0
2019-12-27,1080987430.0
2019-12-30,1084233639.0
2019-12-31,1082610534.0
2020-01-02,1089102951.0
2020-01-03,1100464681.0
2020-01-06,1106957098.0
2020-01-07,1124811245.0
2020-01-08,1128057453.0
2020-01-09,1123188141.0
2020-01-10,1115072619.0
2020-01-13,1119941932.0
2020-01-14,1128057453.0
2020-01-15,1121565036.0
2020-01-16,1121565036.0
2020-01-17,1103710890.0
2020-01-21,1097218473.0
2020-01-22,1119941932.0
2020-01-23,1055017762.0
2020-01-24,1038786720.0
2020-01-27,998209113.0
2020-01-28,1007947739.0
2020-01-29,986847384.0
2020-01-30,981978071.0
2020-01-31,962500820.0
2020-02-03,972239445.0
2020-02-04,983601175.0
2020-02-05,973862550.0
2020-02-06,972239445.0
2020-02-07,949515986.0
2020-02-10,956008403.0
2020-02-11,947892882.0
2020-02-12,918677005.0
2020-02-13,886214920.0
2020-02-14,899199754.0
2020-02-18,889461129.0
2020-02-19,861868356.0
2020-02-20,861868356.0
2020-02-21,801813499.0
2020-02-24,774220727.0
2020-02-25,847260418.0
2020-02-26,822913854.0
2020-02-27,886214920.0
2020-02-28,882968712.0
2020-03-02,900822720.0
2020-03-03,879910764.0
2020-03-04,833261016.0
2020-03-05,862216032.0
2020-03-06,870259092.0
2020-03-09,839695464.0
2020-03-10,886345212.0
2020-03-11,884736600.0
2020-03-12,858998808.0
2020-03-13,834869628.0
2020-03-16,807523224.0
2020-03-17,796262940.0
2020-03-18,788219880.0
2020-03-19,796262940.0
2020-03-20,801088776.0
2020-03-23,764090700.0
2020-03-24,772133760.0
2020-03-25,760873476.0
2020-03-26,788219880.0
2020-03-27,820392120.0
2020-03-30,854172972.0
2020-03-31,820392120.0
2020-04-01,785002656.0
2020-04-02,804306000.0
2020-04-03,804306000.0
2020-04-06,796262940.0
2020-04-07,794654328.0
2020-04-08,773742372.0
2020-04-09,733527072.0
2020-04-13,720658176.0
2020-04-14,699746220.0
2020-04-15,649879248.0
2020-04-16,648270636.0
2020-04-17,620924232.0
2020-04-20,637010352.0
2020-04-21,624141456.0
2020-04-22,625750068.0
2020-04-23,606446724.0
2020-04-24,603229500.0
2020-04-27,683660100.0
2020-04-28,686877324.0
2020-04-29,781785432.0
2020-04-30,775350984.0
2020-05-01,776959596.0
2020-05-04,731918460.0
2020-05-05,756047640.0
2020-05-06,754439028.0
2020-05-07,791437104.0
2020-05-08,797871552.0
2020-05-11,797871552.0
2020-05-12,793045716.0
2020-05-13,804306000.0
2020-05-14,717440952.0
2020-05-15,711006504.0
2020-05-18,728701236.0
2020-05-19,659530920.0
2020-05-20,651487860.0
2020-05-21,635401740.0
2020-05-22,656313696.0
2020-05-26,661139532.0
2020-05-27,651487860.0
2020-05-28,637010352.0
2020-05-29,591969216.0
2020-06-01,599193885.0
2020-06-02,597583148.0
2020-06-03,602415357.0
2020-06-04,618522720.0
2020-06-05,631408610.0
2020-06-08,631408610.0
2020-06-09,708723950.0
2020-06-10,678119961.0
2020-06-11,647515972.0
2020-06-12,641073027.0
2020-06-15,639462291.0
2020-06-16,647515972.0
2020-06-17,639462291.0
2020-06-18,644294500.0
2020-06-19,650737445.0
2020-06-22,641073027.0
2020-06-23,644294500.0
2020-06-24,634630082.0
2020-06-25,636240818.0
2020-06-26,644294500.0
2020-06-29,647515972.0
2020-06-30,633019346.0
2020-07-01,629797873.0
2020-07-02,660401862.0
2020-07-06,662012598.0
2020-07-07,636240818.0
2020-07-08,649126708.0
2020-07-09,647515972.0
2020-07-10,676509225.0
2020-07-13,689395115.0
2020-07-14,679730697.0
2020-07-15,684562906.0
2020-07-16,678119961.0
2020-07-17,695838060.0
2020-07-20,694227323.0
2020-07-21,747381620.0
2020-07-22,687784378.0
2020-07-23,633019346.0
2020-07-24,620133456.0
2020-07-27,595972412.0
2020-07-28,578254313.0
2020-07-29,579865050.0
2020-07-30,584697258.0
2020-07-31,604026093.0
2020-08-03,579865050.0
2020-08-04,612079775.0
2020-08-05,607247566.0
2020-08-06,618522720.0
2020-08-07,634630082.0
2020-08-10,623354928.0
2020-08-11,616911983.0
2020-08-12,608858302.0
2020-08-13,579865050.0
2020-08-14,629797873.0
2020-08-17,668455543.0
2020-08-18,873019047.0
2020-08-19,882683465.0
2020-08-20,731274257.0
2020-08-21,708723950.0
2020-08-24,655569653.0
2020-08-25,691005851.0
2020-08-26,671677016.0
2020-08-27,678119961.0
2020-08-28,673287752.0
2020-08-31,682952170.0
2020-09-01,698926625.0
2020-09-02,668257789.0
2020-09-03,674714386.0
2020-09-04,674714386.0
2020-09-08,676328535.0
2020-09-09,686013431.0
2020-09-10,715068117.0
2020-09-11,739280356.0
2020-09-14,760264296.0
2020-09-15,731209610.0
2020-09-16,705383222.0
2020-09-17,697312476.0
2020-09-18,705383222.0
2020-09-21,719910565.0
2020-09-22,766720893.0
2020-09-23,700540774.0
2020-09-24,681170983.0
2020-09-25,694084177.0
2020-09-28,690855879.0
2020-09-29,689241729.0
2020-09-30,724753013.0
2020-10-01,703769073.0
2020-10-02,721524714.0
2020-10-05,716682267.0
2020-10-06,721524714.0
2020-10-07,719910565.0
2020-10-08,729595461.0
2020-10-09,747351102.0
2020-10-12,744122804.0
2020-10-13,723138864.0
2020-10-14,711839819.0
2020-10-15,716682267.0
2020-10-16,723138864.0
2020-10-19,715068117.0
2020-10-20,716682267.0
2020-10-21,695698326.0
2020-10-22,705383222.0
2020-10-23,690855879.0
2020-10-26,695698326.0
2020-10-27,687627580.0
2020-10-28,668257789.0
2020-10-29,674714386.0
2020-10-30,669871938.0
2020-11-02,684399282.0
2020-11-03,697312476.0
2020-11-04,708611520.0
2020-11-05,690855879.0
2020-11-06,668257789.0
2020-11-09,645659700.0
2020-11-10,645659700.0
2020-11-11,637588953.0
2020-11-12,632746506.0
2020-11-13,645659700.0
2020-11-16,645659700.0
2020-11-17,644045550.0
2020-11-18,652116297.0
2020-11-19,665029491.0
2020-11-20,686013431.0
2020-11-23,637588953.0
2020-11-24,645659700.0
2020-11-25,645659700.0
2020-11-27,613376715.0
2020-11-30,653730446.0
2020-12-01,651004588.0
2020-12-02,620312064.0
2020-12-03,641312212.0
2020-12-04,617081272.0
2020-12-07,615465876.0
2020-12-08,615465876.0
2020-12-09,612235084.0
2020-12-10,612235084.0
2020-12-11,623542856.0
2020-12-14,610619688.0
2020-12-15,609004292.0
2020-12-16,609004292.0
2020-12-17,605773500.0
2020-12-18,589619540.0
2020-12-21,588004144.0
2020-12-22,588004144.0
2020-12-23,597696520.0
2020-12-24,596081124.0
2020-12-28,589619540.0
2020-12-29,583157956.0
2020-12-30,597696520.0
2020-12-31,613850480.0
2021-01-04,589619540.0
2021-01-05,591234936.0
2021-01-06,597696520.0
2021-01-07,583157956.0
2021-01-08,592850332.0
2021-01-11,594465728.0
2021-01-12,586388748.0
2021-01-13,581542560.0
2021-01-14,584773352.0
2021-01-15,579927164.0
2021-01-19,584773352.0
2021-01-20,605773500.0
2021-01-21,644543004.0
2021-01-22,628389044.0
2021-01-25,620312064.0
2021-01-26,636466024.0
2021-01-27,625158252.0
2021-01-28,609004292.0
2021-01-29,604158104.0
2021-02-01,597696520.0
2021-02-02,602542708.0
2021-02-03,592850332.0
2021-02-04,604158104.0
2021-02-05,646158400.0
2021-02-08,613850480.0
2021-02-09,649389192.0
2021-02-10,681697112.0
2021-02-11,662312360.0
2021-02-12,717235824.0
2021-02-16,705928052.0
2021-02-17,678466320.0
2021-02-18,686543300.0
2021-02-19,680081716.0
2021-02-22,657466172.0
2021-02-23,591234936.0
2021-02-24,583157956.0
2021-02-25,602542708.0
2021-02-26,571850184.0
2021-03-01,553726525.0
2021-03-02,545461950.0
2021-03-03,517362395.0
2021-03-04,505791990.0
2021-03-05,525626970.0
2021-03-08,480998265.0
2021-03-09,492568670.0
2021-03-10,479345350.0
2021-03-11,489262840.0
2021-03-12,538850290.0
2021-03-15,533891545.0
2021-03-16,514056565.0
2021-03-17,533891545.0
2021-03-18,519015310.0
2021-03-19,520668225.0
2021-03-22,505791990.0
2021-03-23,476039520.0
2021-03-24,442981220.0
2021-03-25,429757900.0
2021-03-26,401658345.0
2021-03-29,353723810.0
2021-03-30,355376725.0
2021-03-31,383476280.0
2021-04-01,395046685.0
2021-04-05,380170450.0
2021-04-06,400005430.0
2021-04-07,393393770.0
2021-04-08,406617090.0
2021-04-09,413228750.0
2021-04-12,376864620.0
2021-04-13,375211705.0
2021-04-14,368600045.0
2021-04-15,386782110.0
2021-04-16,376864620.0
2021-04-19,406617090.0
2021-04-20,390087940.0
2021-04-21,414881665.0
2021-04-22,426452070.0
2021-04-23,454551625.0
2021-04-26,444634135.0
2021-04-27,414881665.0
2021-04-28,457857455.0
2021-04-29,474386605.0
2021-04-30,451245795.0
2021-05-03,461163285.0
2021-05-04,480998265.0
2021-05-05,476039520.0
2021-05-06,444634135.0
2021-05-07,464469115.0
2021-05-10,401658345.0
2021-05-11,398352515.0
2021-05-12,352070895.0
2021-05-13,335541745.0
