,ENPH
2012-03-30,12522040
2012-04-02,308190410
2012-04-03,301482040
2012-04-04,293984450
2012-04-05,293195230
2012-04-09,275437780
2012-04-10,278989270
2012-04-11,281356930
2012-04-12,288065300
2012-04-13,280173100
2012-04-16,282540760
2012-04-17,276227000
2012-04-18,287670690
2012-04-19,277805440
2012-04-20,277016220
2012-04-23,275437780
2012-04-24,272675510
2012-04-25,271491680
2012-04-26,270702460
2012-04-27,266361750
2012-04-30,287276080
2012-05-01,312531120
2012-05-02,315688000
2012-05-03,348046020
2012-05-04,329893960
2012-05-07,329104740
2012-05-08,334629280
2012-05-09,341337650
2012-05-10,339364600
2012-05-11,332656230
2012-05-14,324369420
2012-05-15,331472400
2012-05-16,328315520
2012-05-17,331867010
2012-05-18,315293390
2012-05-21,319634100
2012-05-22,315293390
2012-05-23,311741900
2012-05-24,309768850
2012-05-25,307401190
2012-05-29,307795800
2012-05-30,276621610
2012-05-31,272280900
2012-06-01,234792950
2012-06-04,195726560
2012-06-05,210327130
2012-06-06,263994090
2012-06-07,260442600
2012-06-08,275437780
2012-06-11,254523450
2012-06-12,279383880
2012-06-13,277016220
2012-06-14,285697640
2012-06-15,276621610
2012-06-18,274253950
2012-06-19,276227000
2012-06-20,268334800
2012-06-21,260442600
2012-06-22,260837210
2012-06-25,247815080
2012-06-26,236371390
2012-06-27,230846850
2012-06-28,248209690
2012-06-29,245447420
2012-07-02,252273450
2012-07-03,252273450
2012-07-05,252273450
2012-07-06,254311200
2012-07-09,252681000
2012-07-10,236786549
2012-07-11,233933700
2012-07-12,223744950
2012-07-13,246160200
2012-07-16,231080850
2012-07-17,230265750
2012-07-18,243307350
2012-07-19,239639400
2012-07-20,248605500
2012-07-23,253088550
2012-07-24,237601650
2012-07-25,234748800
2012-07-26,239231850
2012-07-27,238009200
2012-07-30,240454500
2012-07-31,236786549
2012-08-01,229858200
2012-08-02,235563900
2012-08-03,245752650
2012-08-06,257979150
2012-08-07,271835850
2012-08-08,206627850
2012-08-09,226597799
2012-08-10,229450650
2012-08-13,206627850
2012-08-14,210703350
2012-08-15,205405200
2012-08-16,206220299
2012-08-17,214371300
2012-08-20,213148650
2012-08-21,209480700
2012-08-22,203775000
2012-08-23,202552350
2012-08-24,201329700
2012-08-27,207850500
2012-08-28,204182550
2012-08-29,208258050
2012-08-30,199699500
2012-08-31,202144800
2012-09-04,202144800
2012-09-05,215186400
2012-09-06,202959900
2012-09-07,184620150
2012-09-10,187880550
2012-09-11,190733400
2012-09-12,197254200
2012-09-13,199699500
2012-09-14,212741100
2012-09-17,203367450
2012-09-18,202552350
2012-09-19,208258050
2012-09-20,208665600
2012-09-21,208258050
2012-09-24,198884400
2012-09-25,193586250
2012-09-26,193586250
2012-09-27,187473000
2012-09-28,168725700
2012-10-01,158785910
2012-10-02,156744960
2012-10-03,160826860
2012-10-04,157153150
2012-10-05,148989350
2012-10-08,148581160
2012-10-09,135927270
2012-10-10,128579850
2012-10-11,135519080
2012-10-12,148172970
2012-10-15,155112200
2012-10-16,147764780
2012-10-17,153479440
2012-10-18,151030300
2012-10-19,151030300
2012-10-22,143274690
2012-10-23,139600980
2012-10-24,142458310
2012-10-25,148581160
2012-10-26,143274690
2012-10-31,149805730
2012-11-01,142866500
2012-11-02,135927270
2012-11-05,140009170
2012-11-06,143682880
2012-11-07,133886319
2012-11-08,100006550
2012-11-09,108170350
2012-11-12,98781980
2012-11-13,90209990
2012-11-14,86128090
