,CMCSA
2000-01-03,39083142442
2000-01-04,36173229397
2000-01-05,35219982021
2000-01-06,36574596714
2000-01-07,35445751136
2000-01-10,39986218904
2000-01-11,36323742141
2000-01-12,37778698663
2000-01-13,39936047989
2000-01-14,40814038994
2000-01-18,40563184421
2000-01-19,43021559235
2000-01-20,41717115456
2000-01-21,41491346341
2000-01-24,40563184421
2000-01-25,38205151437
2000-01-26,38932629698
2000-01-27,38932629698
2000-01-28,35947460282
2000-01-31,36072887568
2000-02-01,37001049488
2000-02-02,39208569728
2000-02-03,40387586220
2000-02-04,40563184421
2000-02-07,39835706160
2000-02-08,39986218904
2000-02-09,37954296864
2000-02-10,38982800613
2000-02-11,38882458784
2000-02-14,37151562231
2000-02-15,38255322352
2000-02-16,36173229397
2000-02-17,35997631196
2000-02-18,33037547237
2000-02-22,33438914554
2000-02-23,35370494764
2000-02-24,33137889066
2000-02-25,34918956533
2000-02-28,34592845589
2000-02-29,33438914554
2000-03-01,33965709157
2000-03-02,32084299861
2000-03-03,32861949036
2000-03-06,32711436293
2000-03-07,32134470775
2000-03-08,32811778122
2000-03-09,33288401810
2000-03-10,31883616202
2000-03-13,30303232394
2000-03-14,30529001509
2000-03-15,31833445288
2000-03-16,34015880071
2000-03-17,32861949036
2000-03-20,32360239891
2000-03-21,32034128946
2000-03-22,31356821600
2000-03-23,31733103459
2000-03-24,31607676172
2000-03-27,31933787117
2000-03-28,30579172424
2000-03-29,30830026997
2000-03-30,31256479770
2000-03-31,34492503760
2000-04-03,37974260869
2000-04-04,37237691154
2000-04-05,35409907046
2000-04-06,35655430284
2000-04-07,35737271364
2000-04-10,34318692653
2000-04-11,32845553223
2000-04-12,35982794602
2000-04-13,33582122938
2000-04-14,31890740629
2000-04-17,33145637181
2000-04-18,32572749625
2000-04-19,32845553223
2000-04-20,33009235382
2000-04-24,34318692653
2000-04-25,36828485757
2000-04-26,35737271364
2000-04-27,36255598200
2000-04-28,35464467766
2000-05-01,34891580209
2000-05-02,32518188905
2000-05-03,29953835082
2000-05-04,32054422788
2000-05-05,31263292353
2000-05-08,30690404797
2000-05-09,30062956521
2000-05-10,28644377811
2000-05-11,29544629685
2000-05-12,29217265367
2000-05-15,29681031484
2000-05-16,29899274362
2000-05-17,28180611694
2000-05-18,27853247376
2000-05-19,27062116941
2000-05-22,27225799100
2000-05-23,27389481259
2000-05-24,28535256371
2000-05-25,28644377811
2000-05-26,28426134932
2000-05-30,31045049475
2000-05-31,34155010494
2000-06-01,33527562218
2000-06-02,34727898050
2000-06-05,33636683658
2000-06-06,31890740629
2000-06-07,31999862068
2000-06-08,31372413793
2000-06-09,32845553223
2000-06-12,32572749625
2000-06-13,32108983508
2000-06-14,32163544227
2000-06-15,33254758620
2000-06-16,32409067466
2000-06-19,33363880059
2000-06-20,31727058470
2000-06-21,32518188905
2000-06-22,32900113942
2000-06-23,31999862068
2000-06-26,32736431784
2000-06-27,33773085457
2000-06-28,34373253373
2000-06-29,33527562218
2000-06-30,35355346326
2000-07-03,35534488765
2000-07-05,34744227895
2000-07-06,34526224896
2000-07-07,34471724147
2000-07-10,32536947535
2000-07-11,32373445286
2000-07-12,31692185915
2000-07-13,33327208404
2000-07-14,33490710653
2000-07-17,33654212902
2000-07-18,32700449784
2000-07-19,32482446785
2000-07-20,32918452782
2000-07-21,31174428794
2000-07-24,30029913051
2000-07-25,31065427294
2000-07-26,30711172422
2000-07-27,30765673171
2000-07-28,27931634190
2000-07-31,30656671672
2000-08-01,29566656679
2000-08-02,29512155930
2000-08-03,30711172422
2000-08-04,30029913051
2000-08-07,29403154430
2000-08-08,28830896559
2000-08-09,29566656679
2000-08-10,29975412302
2000-08-11,29757409303
2000-08-14,29920911552
2000-08-15,31801187414
2000-08-16,32591448284
2000-08-17,34689727145
2000-08-18,34526224896
2000-08-21,33844965526
2000-08-22,33899466276
2000-08-23,33708713652
2000-08-24,33953967025
2000-08-25,34117469274
2000-08-28,33490710653
2000-08-29,33109205406
2000-08-30,33599712153
2000-08-31,33327208404
2000-09-01,33953967025
2000-09-05,32291694161
2000-09-06,32809451283
2000-09-07,32700449784
2000-09-08,32291694161
2000-09-11,32536947535
2000-09-12,32591448284
2000-09-13,33953967025
2000-09-14,34090218899
2000-09-15,32509697160
2000-09-18,32972953532
2000-09-19,32809451283
2000-09-20,31392431792
2000-09-21,31801187414
2000-09-22,32809451283
2000-09-25,33735964027
2000-09-26,34171970024
2000-09-27,34226470773
2000-09-28,35534488765
2000-09-29,36951508255
2000-10-02,39049787117
2000-10-03,38150524748
2000-10-04,37578266876
2000-10-05,39921799111
2000-10-06,38668281869
2000-10-09,37360263878
2000-10-10,38368527746
2000-10-11,37305763128
2000-10-12,35643490264
2000-10-13,36379250384
2000-10-16,34744227895
2000-10-17,34117469274
2000-10-18,34008467775
2000-10-19,36679004507
2000-10-20,38041523248
2000-10-23,38150524748
2000-10-24,37823520250
2000-10-25,36842506756
2000-10-26,36379250384
2000-10-27,37632767626
2000-10-30,37060509755
2000-10-31,36461001509
2000-11-01,36679004507
2000-11-02,35779742138
2000-11-03,35534488765
2000-11-06,34526224896
2000-11-07,35316485766
2000-11-08,35016731643
2000-11-09,34744227895
2000-11-10,33899466276
2000-11-13,33436209904
2000-11-14,34117469274
2000-11-15,33844965526
2000-11-16,33190956530
2000-11-17,33381709154
2000-11-20,32182692662
2000-11-21,32182692662
2000-11-22,32591448284
2000-11-24,33272707655
2000-11-27,33844965526
2000-11-28,34062968525
2000-11-29,34635226396
2000-11-30,34062968525
2000-12-01,33844965526
2000-12-04,33327208404
2000-12-05,33327208404
2000-12-06,30765673171
2000-12-07,31174428794
2000-12-08,31228929543
2000-12-11,33109205406
2000-12-12,32427946035
2000-12-13,34962230894
2000-12-14,34117469274
2000-12-15,34008467775
2000-12-18,34062968525
2000-12-19,34417223397
2000-12-20,32863952032
2000-12-21,33953967025
2000-12-22,36052245886
2000-12-26,35534488765
2000-12-27,36842506756
2000-12-28,37251262378
2000-12-29,37523766127
