,MAA
2000-01-03,396675000
2000-01-04,398966900
2000-01-05,394559400
2000-01-06,401082500
2000-01-07,404432200
2000-01-10,401082500
2000-01-11,396675000
2000-01-12,396675000
2000-01-13,396675000
2000-01-14,395617200
2000-01-18,405490000
2000-01-19,409897500
2000-01-20,392267500
2000-01-21,395617200
2000-01-24,390151900
2000-01-25,392267500
2000-01-26,388917800
2000-01-27,388917800
2000-01-28,388917800
2000-01-31,390151900
2000-02-01,391209700
2000-02-02,390151900
2000-02-03,391209700
2000-02-04,388917800
2000-02-07,392267500
2000-02-08,392267500
2000-02-09,392267500
2000-02-10,393325300
2000-02-11,394559400
2000-02-14,393325300
2000-02-15,396675000
2000-02-16,395617200
2000-02-17,395617200
2000-02-18,394559400
2000-02-22,391209700
2000-02-23,394559400
2000-02-24,392267500
2000-02-25,391209700
2000-02-28,394559400
2000-02-29,402140300
2000-03-01,396675000
2000-03-02,396675000
2000-03-03,396675000
2000-03-06,398966900
2000-03-07,390151900
2000-03-08,396675000
2000-03-09,392267500
2000-03-10,392267500
2000-03-13,391209700
2000-03-14,395617200
2000-03-15,392267500
2000-03-16,396675000
2000-03-17,398966900
2000-03-20,395617200
2000-03-21,394559400
2000-03-22,394559400
2000-03-23,394559400
2000-03-24,397732800
2000-03-27,395617200
2000-03-28,396675000
2000-03-29,396675000
2000-03-30,404432200
2000-03-31,400036000
2000-04-03,397925920
2000-04-04,397925920
2000-04-05,400036000
2000-04-06,401091040
2000-04-07,404432000
2000-04-10,404432000
2000-04-11,408828000
2000-04-12,420960960
2000-04-13,424301920
2000-04-14,430808000
2000-04-17,430808000
2000-04-18,409883040
2000-04-19,414279040
2000-04-20,417620000
2000-04-24,413224000
2000-04-25,412168960
2000-04-26,413224000
2000-04-27,416564960
2000-04-28,419905920
2000-05-01,422016000
2000-05-02,422016000
2000-05-03,414279040
2000-05-04,413224000
2000-05-05,417620000
2000-05-08,414279040
2000-05-09,408828000
2000-05-10,408828000
2000-05-11,409883040
2000-05-12,412168960
2000-05-15,420960960
2000-05-16,424301920
2000-05-17,425356960
2000-05-18,422016000
2000-05-19,422895200
2000-05-22,424301920
2000-05-23,420960960
2000-05-24,412168960
2000-05-25,408828000
2000-05-26,408828000
2000-05-30,413224000
2000-05-31,412168960
2000-06-01,413224000
2000-06-02,414279040
2000-06-05,415509920
2000-06-06,414279040
2000-06-07,415509920
2000-06-08,416564960
2000-06-09,422016000
2000-06-12,414279040
2000-06-13,406717920
2000-06-14,413224000
2000-06-15,415509920
2000-06-16,409883040
2000-06-19,414279040
2000-06-20,413224000
2000-06-21,417620000
2000-06-22,414279040
2000-06-23,413224000
2000-06-26,422016000
2000-06-27,424301920
2000-06-28,424301920
2000-06-29,424301920
2000-06-30,419592000
2000-07-03,425011730
2000-07-05,420640980
2000-07-06,421864790
2000-07-07,421864790
2000-07-10,421864790
2000-07-11,422913770
2000-07-12,423962750
2000-07-13,422913770
2000-07-14,425011730
2000-07-17,422913770
2000-07-18,418543020
2000-07-19,418543020
2000-07-20,413123290
2000-07-21,410850500
2000-07-24,408752540
2000-07-25,410850500
2000-07-26,413123290
2000-07-27,410850500
2000-07-28,410850500
2000-07-31,414172270
2000-08-01,417494040
2000-08-02,420640980
2000-08-03,419592000
2000-08-04,418543020
2000-08-07,417494040
2000-08-08,422913770
2000-08-09,421864790
2000-08-10,415221250
2000-08-11,420640980
2000-08-14,423962750
2000-08-15,425011730
2000-08-16,428333500
2000-08-17,426235540
2000-08-18,426235540
2000-08-21,426235540
2000-08-22,430606290
2000-08-23,426235540
2000-08-24,426235540
2000-08-25,426235540
2000-08-28,419592000
2000-08-29,418543020
2000-08-30,419592000
2000-08-31,422913770
2000-09-01,422913770
2000-09-05,419592000
2000-09-06,415221250
2000-09-07,414172270
2000-09-08,413123290
2000-09-11,415221250
2000-09-12,419592000
2000-09-13,420640980
2000-09-14,419592000
2000-09-15,419592000
2000-09-18,415221250
2000-09-19,417494040
2000-09-20,417494040
2000-09-21,415221250
2000-09-22,417494040
2000-09-25,415221250
2000-09-26,415221250
2000-09-27,418543020
2000-09-28,425011730
2000-09-29,418543020
2000-10-02,415126250
2000-10-03,413028770
2000-10-04,411805240
2000-10-05,409707760
2000-10-06,406386750
2000-10-09,406386750
2000-10-10,408659020
2000-10-11,403065740
2000-10-12,397647250
2000-10-13,397647250
2000-10-16,399919520
2000-10-17,397647250
2000-10-18,392228760
2000-10-19,391180020
2000-10-20,385586740
2000-10-23,384538000
2000-10-24,384538000
2000-10-25,380168250
2000-10-26,383489260
2000-10-27,385586740
2000-10-30,385586740
2000-10-31,384538000
2000-11-01,382440520
2000-11-02,382440520
2000-11-03,384538000
2000-11-06,378070770
2000-11-07,381216990
2000-11-08,379119510
2000-11-09,378070770
2000-11-10,378070770
2000-11-13,383489260
2000-11-14,379119510
2000-11-15,382440520
2000-11-16,384538000
2000-11-17,380168250
2000-11-20,379119510
2000-11-21,380168250
2000-11-22,380168250
2000-11-24,381216990
2000-11-27,378070770
2000-11-28,373701020
2000-11-29,372477490
2000-11-30,371428750
2000-12-01,375798500
2000-12-04,374749760
2000-12-05,372477490
2000-12-06,373701020
2000-12-07,374749760
2000-12-08,381216990
2000-12-11,384538000
2000-12-12,382440520
2000-12-13,378070770
2000-12-14,375798500
2000-12-15,376847240
2000-12-18,382440520
2000-12-19,384538000
2000-12-20,389956490
2000-12-21,392228760
2000-12-22,394326240
2000-12-26,395549770
2000-12-27,396598510
2000-12-28,395549770
2000-12-29,394326240
2001-01-02,394326240
2001-01-03,399919520
2001-01-04,402017000
2001-01-05,397647250
2001-01-08,395549770
2001-01-09,395549770
2001-01-10,398695990
2001-01-11,402017000
2001-01-12,400968260
2001-01-16,404289270
2001-01-17,400968260
2001-01-18,404289270
2001-01-19,407435490
2001-01-22,402017000
2001-01-23,403065740
2001-01-24,400968260
2001-01-25,400968260
2001-01-26,400968260
2001-01-29,398171620
2001-01-30,399569940
2001-01-31,398521200
2001-02-01,400094310
2001-02-02,396773300
2001-02-05,396773300
2001-02-06,396773300
2001-02-07,398870780
2001-02-08,396773300
2001-02-09,394326240
2001-02-12,397647250
2001-02-13,394151450
2001-02-14,394501030
2001-02-15,394326240
2001-02-16,394151450
2001-02-20,386985060
2001-02-21,384538000
2001-02-22,381916150
2001-02-23,385411950
2001-02-26,385586740
2001-02-27,383664050
2001-02-28,381042200
2001-03-01,384363210
2001-03-02,389781700
2001-03-05,392753130
2001-03-06,395899350
2001-03-07,396598510
2001-03-08,394850610
2001-03-09,396423720
2001-03-12,392403550
2001-03-13,392403550
2001-03-14,391529600
2001-03-15,390655650
2001-03-16,384013630
2001-03-19,385062370
2001-03-20,382440520
2001-03-21,386460690
2001-03-22,392403550
2001-03-23,394151450
2001-03-26,393277500
2001-03-27,395025400
2001-03-28,390131280
2001-03-29,389781700
2001-03-30,392927920
2001-04-02,392476320
2001-04-03,393172200
2001-04-04,392302350
2001-04-05,394911900
2001-04-06,392476320
2001-04-09,391084560
2001-04-10,391432500
2001-04-11,393172200
2001-04-12,392824260
2001-04-16,391432500
2001-04-17,392824260
2001-04-18,401870700
2001-04-19,391954410
2001-04-20,394911900
2001-04-23,394042050
2001-04-24,394911900
2001-04-25,397521450
2001-04-26,399261150
2001-04-27,396999540
2001-04-30,398391300
2001-05-01,400131000
2001-05-02,398391300
2001-05-03,400304970
2001-05-04,402218640
2001-05-07,399261150
2001-05-08,397521450
2001-05-09,397521450
2001-05-10,396651600
2001-05-11,399261150
2001-05-14,399957030
2001-05-15,403784370
2001-05-16,405350100
2001-05-17,410569200
2001-05-18,416310210
2001-05-21,421529310
2001-05-22,427270320
2001-05-23,423616950
2001-05-24,426226500
2001-05-25,427966200
2001-05-29,425356650
2001-05-30,423616950
2001-05-31,419267700
2001-06-01,424486800
2001-06-04,424834740
2001-06-05,427096350
2001-06-06,426226500
2001-06-07,426226500
2001-06-08,429010020
2001-06-11,428836050
2001-06-12,434925000
2001-06-13,434055150
2001-06-14,429705900
2001-06-15,436664700
2001-06-18,436664700
2001-06-19,436664700
2001-06-20,437534550
2001-06-21,439100280
2001-06-22,438404400
2001-06-25,435794850
2001-06-26,439622190
2001-06-27,442231740
2001-06-28,444319380
2001-06-29,445189230
2001-07-02,447334200
2001-07-03,448204500
2001-07-05,447334200
2001-07-06,445593600
2001-07-09,448204500
2001-07-10,447334200
2001-07-11,448204500
2001-07-12,451685700
2001-07-13,451337580
2001-07-16,447334200
2001-07-17,456907500
2001-07-18,452904120
2001-07-19,459344340
2001-07-20,448552620
2001-07-23,447334200
2001-07-24,445593600
2001-07-25,449074800
2001-07-26,454992840
2001-07-27,450815400
2001-07-30,451685700
2001-07-31,448204500
2001-08-01,451685700
2001-08-02,450815400
2001-08-03,450815400
2001-08-06,450467280
2001-08-07,446986080
2001-08-08,443853000
2001-08-09,443853000
2001-08-10,447334200
2001-08-13,449074800
2001-08-14,454296600
2001-08-15,452556000
2001-08-16,452904120
2001-08-17,454122540
2001-08-20,456559380
2001-08-21,454296600
2001-08-22,455166900
2001-08-23,454296600
2001-08-24,453426300
2001-08-27,453426300
2001-08-28,453774420
2001-08-29,444723300
2001-08-30,444723300
2001-08-31,449074800
2001-09-04,452207880
2001-09-05,450815400
2001-09-06,448552620
2001-09-07,444723300
2001-09-10,445941720
2001-09-17,440371800
2001-09-18,446463900
2001-09-19,447334200
2001-09-20,436020300
2001-09-21,426272940
2001-09-24,434279700
2001-09-25,436020300
2001-09-26,440371800
2001-09-27,441242100
2001-09-28,452556000
2001-10-01,449616600
2001-10-02,453450540
2001-10-03,453102000
2001-10-04,453973350
2001-10-05,450487950
2001-10-08,453450540
2001-10-09,453102000
2001-10-10,454844700
2001-10-11,454844700
2001-10-12,456935940
2001-10-15,456587400
2001-10-16,452404920
2001-10-17,449616600
2001-10-18,448745250
2001-10-19,450662220
2001-10-22,437417700
2001-10-23,433060950
2001-10-24,431492520
2001-10-25,431143980
2001-10-26,438289050
2001-10-29,433932300
2001-10-30,425218800
2001-10-31,428355660
2001-11-01,437417700
2001-11-02,432189600
2001-11-05,433932300
2001-11-06,439160400
2001-11-07,436894890
2001-11-08,440554560
2001-11-09,444388500
2001-11-12,443517150
2001-11-13,442820070
2001-11-14,449616600
2001-11-15,451359300
2001-11-16,450139410
2001-11-19,449616600
2001-11-20,449790870
2001-11-21,449965140
2001-11-23,451185030
2001-11-26,449268060
2001-11-27,447351090
2001-11-28,446479740
2001-11-29,451359300
2001-11-30,449616600
2001-12-03,446131200
2001-12-04,451185030
2001-12-05,452230650
2001-12-06,452927730
2001-12-07,454844700
2001-12-10,453102000
2001-12-11,450487950
2001-12-12,447873900
2001-12-13,440031750
2001-12-14,447002550
2001-12-17,455716050
2001-12-18,458155830
2001-12-19,453450540
2001-12-20,451359300
2001-12-21,457458750
2001-12-24,456064590
2001-12-26,462338310
2001-12-27,464952360
2001-12-28,462338310
2001-12-31,459066500
2002-01-02,458193750
2002-01-03,461684750
2002-01-04,460637450
2002-01-07,456448250
2002-01-08,461335650
2002-01-09,459066500
2002-01-10,458542850
2002-01-11,457321000
2002-01-14,466223050
2002-01-15,466048500
2002-01-16,463779350
2002-01-17,466048500
2002-01-18,463430250
2002-01-22,454528200
2002-01-23,455226400
2002-01-24,450513550
2002-01-25,449291700
2002-01-28,447895300
2002-01-29,446149800
2002-01-30,447720750
2002-01-31,448768050
2002-02-01,447371650
2002-02-04,445102500
2002-02-05,445102500
2002-02-06,441611500
2002-02-07,441786050
2002-02-08,443357000
2002-02-11,446498900
2002-02-12,446848000
2002-02-13,446498900
2002-02-14,439866000
2002-02-15,446498900
2002-02-19,445451600
2002-02-20,449466250
2002-02-21,446848000
2002-02-22,449466250
2002-02-25,449466250
2002-02-26,449466250
2002-02-27,449640800
2002-02-28,447720750
2002-03-01,443357000
2002-03-04,440738750
2002-03-05,443357000
2002-03-06,446324350
2002-03-07,446149800
2002-03-08,445975250
2002-03-11,444229750
2002-03-12,445102500
2002-03-13,445451600
2002-03-14,451037200
2002-03-15,451037200
2002-03-18,447720750
2002-03-19,449989900
2002-03-20,444927950
2002-03-21,452957250
2002-03-22,453830000
2002-03-25,454702750
2002-03-26,455575500
2002-03-27,453830000
2002-03-28,456448250
2002-04-01,453198200
2002-04-02,458447600
2002-04-03,455822900
2002-04-04,454948000
2002-04-05,458797560
2002-04-08,459497480
2002-04-09,463522020
2002-04-10,472446000
2002-04-11,472795960
2002-04-12,479795160
2002-04-15,472970940
2002-04-16,473320900
2002-04-17,467371580
2002-04-18,469821300
2002-04-19,455122980
2002-04-22,453898120
2002-04-23,451798360
2002-04-24,453023220
2002-04-25,450048560
2002-04-26,448998680
2002-04-29,459322500
2002-04-30,467896520
2002-05-01,464571900
2002-05-02,456697800
2002-05-03,459147520
2002-05-06,460197400
2002-05-07,458447600
2002-05-08,455472940
2002-05-09,451623380
2002-05-10,450573500
2002-05-13,451098440
2002-05-14,453023220
2002-05-15,450573500
2002-05-16,450573500
2002-05-17,454073100
2002-05-20,452323300
2002-05-21,449348640
2002-05-22,450573500
2002-05-23,452323300
2002-05-24,450573500
2002-05-28,449698600
2002-05-29,454773020
2002-05-30,463697000
2002-05-31,455297960
2002-06-03,463522020
2002-06-04,461947200
2002-06-05,453373180
2002-06-06,451798360
2002-06-07,453548160
2002-06-10,450573500
2002-06-11,450573500
2002-06-12,454073100
2002-06-13,451448400
2002-06-14,455122980
2002-06-17,454948000
2002-06-18,454598040
2002-06-19,461072300
2002-06-20,464571900
2002-06-21,464571900
2002-06-24,461947200
2002-06-25,465971740
2002-06-26,464571900
2002-06-27,468246480
2002-06-28,468071500
2002-07-01,470589830
2002-07-02,469886670
2002-07-03,467601400
2002-07-05,468480350
2002-07-08,467249819
2002-07-09,466722450
2002-07-10,464085600
2002-07-11,453538200
2002-07-12,453538200
2002-07-15,458811900
2002-07-16,462327700
2002-07-17,460569800
2002-07-18,451252930
2002-07-19,448264500
2002-07-22,431564450
2002-07-23,416446510
2002-07-24,418380200
2002-07-25,432091819
2002-07-26,439475000
2002-07-29,444572910
2002-07-30,445627650
2002-07-31,452659250
2002-08-01,450901350
2002-08-02,436838150
2002-08-05,426290750
2002-08-06,424357060
2002-08-07,431564450
