,MDLZ
2001-06-13,30879500000
2001-06-14,29792300000
2001-06-15,30230200000
2001-06-18,29958400000
2001-06-19,30033900000
2001-06-20,29928200000
2001-06-21,29641300000
2001-06-22,29641300000
2001-06-25,29792300000
2001-06-26,29671499999
2001-06-27,29580900000
2001-06-28,30048999999
2001-06-29,30622800000
2001-07-02,34595900000
2001-07-03,34682650000
2001-07-05,35116400000
2001-07-06,34786750000
2001-07-09,34491800000
2001-07-10,34457100000
2001-07-11,34387700000
2001-07-12,35081700000
2001-07-13,34890850000
2001-07-16,34856150000
2001-07-17,35706300000
2001-07-18,35741000000
2001-07-19,35550150000
2001-07-20,35411350000
2001-07-23,35185800000
2001-07-24,35272550000
2001-07-25,34856150000
2001-07-26,35324600000
2001-07-27,35081700000
2001-07-30,34734700000
2001-07-31,35133750000
2001-08-01,34942900000
2001-08-02,35133750000
2001-08-03,34856150000
2001-08-06,34457100000
2001-08-07,34630600000
2001-08-08,34058050000
2001-08-09,34474450000
2001-08-10,34960250000
2001-08-13,35307250000
2001-08-14,35307250000
2001-08-15,35168450000
2001-08-16,35359300000
2001-08-17,35584850000
2001-08-20,36001250000
2001-08-21,36417650000
2001-08-22,37354550000
2001-08-23,37337200000
2001-08-24,36729950000
2001-08-27,36660550000
2001-08-28,36209450000
2001-08-29,36660550000
2001-08-30,37059600000
2001-08-31,36608500000
2001-09-04,37510700000
2001-09-05,37857700000
2001-09-06,38603750000
2001-09-07,38603750000
2001-09-10,38308800000
2001-09-17,37354550000
2001-09-18,37354550000
2001-09-19,36782000000
2001-09-20,36920800000
2001-09-21,36330900000
2001-09-24,38031200000
2001-09-25,37805650000
2001-09-26,37805650000
2001-09-27,38031200000
2001-09-28,39020150000
2001-10-01,38392872474
2001-10-02,38652400679
2001-10-03,39275268371
2001-10-04,38496683756
2001-10-05,38185249910
2001-10-08,38375570594
2001-10-09,38427476235
2001-10-10,38462079995
2001-10-11,37354759654
2001-10-12,37804608542
2001-10-15,37752702901
2001-10-16,38029532987
2001-10-17,38496683756
2001-10-18,38496683756
2001-10-19,39084947688
2001-10-22,39915437944
2001-10-23,40053852987
2001-10-24,39742419140
2001-10-25,39500192816
2001-10-26,38825419482
2001-10-29,37960325465
2001-10-30,38150646149
2001-10-31,38202551790
2001-11-01,38202551790
2001-11-02,39050343927
2001-11-05,38721608200
2001-11-06,39257966491
2001-11-07,38877325123
2001-11-08,39655909739
2001-11-09,39015740166
2001-11-12,38963834525
2001-11-13,38375570594
2001-11-14,38427476235
2001-11-15,38548589397
2001-11-16,38496683756
2001-11-19,37700797260
2001-11-20,37666193500
2001-11-21,38375570594
2001-11-23,38167948030
2001-11-26,37631589739
2001-11-27,37199042731
2001-11-28,37302854013
2001-11-29,38271759312
2001-11-30,37493174696
2001-12-03,38029532987
2001-12-04,37337457773
2001-12-05,37354759654
2001-12-06,36558873158
2001-12-07,36230137431
2001-12-10,36230137431
2001-12-11,36472363756
2001-12-12,36593476919
2001-12-13,36783797602
2001-12-14,37129835209
2001-12-17,37666193500
2001-12-18,38254457431
2001-12-19,38462079995
2001-12-20,38548589397
2001-12-21,39604004098
2001-12-24,39257966491
2001-12-26,38548589397
2001-12-27,38098740508
2001-12-28,38254457431
2001-12-31,38582775000
2002-01-02,39397050000
2002-01-03,38634750000
2002-01-04,37422000000
2002-01-07,37577925000
2002-01-08,37959075000
2002-01-09,38080350000
2002-01-10,38201625000
2002-01-11,38478825000
2002-01-14,38530800000
2002-01-15,38894625000
2002-01-16,38773350000
2002-01-17,39223800000
2002-01-18,39206475000
2002-01-22,39275775000
2002-01-23,38998575000
2002-01-24,38218950000
2002-01-25,38548125000
2002-01-28,38218950000
2002-01-29,38582775000
2002-01-30,40245975000
2002-01-31,42013125000
2002-02-01,41770575000
2002-02-04,42515550000
2002-02-05,42047775000
2002-02-06,42307650000
2002-02-07,42221025000
2002-02-08,42203700000
2002-02-11,41597325000
2002-02-12,42515550000
2002-02-13,42810075000
2002-02-14,42844725000
2002-02-15,43243200000
2002-02-19,43485750000
2002-02-20,43069950000
2002-02-21,43173900000
2002-02-22,43693650000
2002-02-25,44525250000
2002-02-26,44352000000
2002-02-27,44005500000
2002-02-28,44317350000
2002-03-01,44178750000
