,PCAR
2000-01-03,3380896968
2000-01-04,3227488031
2000-01-05,3357295593
2000-01-06,3310092843
2000-01-07,3439900406
2000-01-10,3581508656
2000-01-11,3310092843
2000-01-12,3274690781
2000-01-13,3386797312
2000-01-14,3398598000
2000-01-18,3445800750
2000-01-19,3422199375
2000-01-20,3339594562
2000-01-21,3339594562
2000-01-24,3209787000
2000-01-25,3245189062
2000-01-26,3186185625
2000-01-27,3251089406
2000-01-28,3115381500
2000-01-31,3221587687
2000-02-01,3292391812
2000-02-02,3233388375
2000-02-03,3304192500
2000-02-04,3262890093
2000-02-07,3286491468
2000-02-08,3345494906
2000-02-09,3304192500
2000-02-10,3333694218
2000-02-11,3292391812
2000-02-14,3369096281
2000-02-15,3374996625
2000-02-16,3481202812
2000-02-17,3493003500
2000-02-18,3475302468
2000-02-22,3516604875
2000-02-23,3463501781
2000-02-24,3410398687
2000-02-25,3333694218
2000-02-28,3298292156
2000-02-29,3345494906
2000-03-01,3345494906
2000-03-02,3333694218
2000-03-03,3729017250
2000-03-06,3345494906
2000-03-07,3180285281
2000-03-08,3321893531
2000-03-09,3345494906
2000-03-10,3304192500
2000-03-13,3268790437
2000-03-14,3286491468
2000-03-15,3493003500
2000-03-16,3817522406
2000-03-17,3699515531
2000-03-20,3611010375
2000-03-21,3764419312
2000-03-22,3640512093
2000-03-23,3799821375
2000-03-24,3764419312
2000-03-27,3723116906
2000-03-28,3611010375
2000-03-29,3693615187
2000-03-30,3723116906
2000-03-31,3817469250
2000-04-03,3811667625
2000-04-04,4032129375
2000-04-05,3875485500
2000-04-06,3823270875
2000-04-07,3579602625
2000-04-10,3631817250
2000-04-11,3794262750
2000-04-12,3759453000
2000-04-13,3631817250
2000-04-14,3417157125
2000-04-17,3573801000
2000-04-18,3579602625
2000-04-19,3411355500
2000-04-20,3399752250
2000-04-24,3440363625
2000-04-25,3550594500
2000-04-26,3504181500
2000-04-27,3591205875
2000-04-28,3631817250
2000-05-01,3614412375
2000-05-02,3347537624
2000-05-03,3237306750
2000-05-04,3330132750
2000-05-05,3318529500
2000-05-08,3330132750
2000-05-09,3388149000
2000-05-10,3295323000
2000-05-11,3306926250
2000-05-12,3341736000
2000-05-15,3405553875
2000-05-16,3399752250
2000-05-17,3330132750
2000-05-18,3295323000
2000-05-19,3277918125
2000-05-22,3243108375
2000-05-23,3185092125
2000-05-24,3446165250
2000-05-25,3214100250
2000-05-26,3190893750
2000-05-30,3330132750
2000-05-31,3196695375
2000-06-01,3277918125
2000-06-02,3301124625
2000-06-05,3277918125
2000-06-06,3138679125
2000-06-07,3225703500
2000-06-08,3214100250
2000-06-09,3196695375
2000-06-12,3179290500
2000-06-13,3225703500
2000-06-14,3179290500
2000-06-15,3231505125
2000-06-16,3161885625
2000-06-19,3138679125
2000-06-20,3144480750
2000-06-21,3156084000
2000-06-22,3098067750
2000-06-23,3092266125
2000-06-26,3167687250
2000-06-27,3173488875
2000-06-28,3237306750
2000-06-29,3156084000
2000-06-30,3034249875
2000-07-03,3196695375
2000-07-05,3156084000
2000-07-06,3190893750
2000-07-07,3306926250
2000-07-10,3260513250
2000-07-11,3254711625
2000-07-12,3277918125
2000-07-13,3219901875
2000-07-14,3237306750
2000-07-17,3237306750
2000-07-18,3405553875
2000-07-19,3440363625
2000-07-20,3463570125
2000-07-21,3388149000
2000-07-24,3399752250
2000-07-25,3388149000
2000-07-26,3283719750
2000-07-27,3440363625
2000-07-28,3179290500
2000-07-31,3405553875
2000-08-01,3295323000
2000-08-02,3243108375
2000-08-03,3225703500
2000-08-04,3202496999
2000-08-07,3393950625
2000-08-08,3289521375
2000-08-09,3260513250
2000-08-10,3196695375
2000-08-11,3277918125
2000-08-14,3295323000
2000-08-15,3225703500
2000-08-16,3231505125
2000-08-17,3260513250
2000-08-18,3214100250
2000-08-21,3156084000
2000-08-22,3208298625
2000-08-23,3173488875
2000-08-24,3185092125
2000-08-25,3132877500
2000-08-28,3225703500
2000-08-29,3231505125
2000-08-30,3208298625
2000-08-31,3243108375
2000-09-01,3208298625
2000-09-05,3312727875
2000-09-06,3208298625
2000-09-07,3231505125
2000-09-08,3225703500
2000-09-11,3173488875
2000-09-12,3092266125
2000-09-13,3127075875
2000-09-14,3063258000
2000-09-15,3057456374
2000-09-18,3011043375
2000-09-19,2935622250
2000-09-20,2982035250
2000-09-21,2924019000
2000-09-22,2941423875
2000-09-25,2866002750
2000-09-26,2836994625
2000-09-27,2866002750
2000-09-28,2883407625
2000-09-29,2831193000
2000-10-02,2923851937
2000-10-03,3162652593
2000-10-04,3209247843
2000-10-05,3098584125
2000-10-06,2999569218
2000-10-09,3075286500
2000-10-10,3005393625
2000-10-11,2982096000
2000-10-12,3046164468
2000-10-13,3046164468
2000-10-16,3046164468
2000-10-17,2976271593
2000-10-18,3040340062
2000-10-19,3104408531
2000-10-20,2999569218
2000-10-23,2970447187
2000-10-24,3022866843
2000-10-25,3046164468
2000-10-26,3145179375
2000-10-27,3127706156
2000-10-30,3220896656
2000-10-31,3226721062
2000-11-01,3279140718
2000-11-02,3296613937
2000-11-03,3261667500
2000-11-06,3308262750
2000-11-07,3302438343
2000-11-08,3279140718
2000-11-09,3308262750
2000-11-10,3290789531
2000-11-13,3290789531
2000-11-14,3325735968
2000-11-15,3372331218
2000-11-16,3279140718
2000-11-17,3319911562
2000-11-20,3290789531
2000-11-21,3349033593
2000-11-22,3360682406
2000-11-24,3424750875
2000-11-27,3529590187
2000-11-28,3453872906
2000-11-29,3482994937
2000-11-30,3646078312
2000-12-01,3756742031
2000-12-04,3879054562
2000-12-05,3669375937
2000-12-06,3453872906
2000-12-07,3349033593
2000-12-08,3360682406
2000-12-11,3541239000
2000-12-12,3558712218
2000-12-13,3558712218
2000-12-14,3413102062
2000-12-15,3220896656
2000-12-18,3453872906
2000-12-19,3279140718
2000-12-20,3366506812
2000-12-21,3552887812
2000-12-22,3669375937
2000-12-26,3814986093
2000-12-27,3844108125
2000-12-28,3809161687
2000-12-29,3780039656
2001-01-02,3809843852
2001-01-03,4128295846
2001-01-04,4047235338
2001-01-05,4081975556
2001-01-08,4053025375
2001-01-09,3943014686
2001-01-10,3861954178
2001-01-11,3908274468
2001-01-12,3896694396
2001-01-16,4041445302
2001-01-17,3960384795
2001-01-18,4024075193
2001-01-19,3838794033
2001-01-22,3995125012
2001-01-23,4076185520
2001-01-24,3937224650
2001-01-25,3885114323
2001-01-26,3925644577
2001-01-29,3890904360
2001-01-30,3943014686
2001-01-31,3838794033
2001-02-01,3890904360
2001-02-02,3890904360
2001-02-05,3943014686
2001-02-06,3919854541
2001-02-07,4000915048
2001-02-08,4000915048
2001-02-09,3856164142
2001-02-12,3890904360
2001-02-13,3775103634
2001-02-14,3809843852
2001-02-15,3879324287
2001-02-16,3751943490
2001-02-20,3705623200
2001-02-21,3722993308
2001-02-22,3659302910
2001-02-23,3763523562
2001-02-26,3763523562
2001-02-27,3705623200
2001-02-28,3537712148
2001-03-01,3584032438
2001-03-02,3618772656
2001-03-05,3740363417
2001-03-06,3705623200
2001-03-07,3804053816
2001-03-08,3838794033
2001-03-09,3676673018
2001-03-12,3485601822
2001-03-13,3670882982
2001-03-14,3526132076
2001-03-15,3537712148
2001-03-16,3416121387
2001-03-19,3630352728
2001-03-20,3410331351
2001-03-21,3387171206
2001-03-22,3364011061
2001-03-23,3369801097
2001-03-26,3450861605
2001-03-27,3508761967
2001-03-28,3479811786
2001-03-29,3421911423
2001-03-30,3416121387
2001-04-02,3371485987
2001-04-03,3319349606
2001-04-04,3365693056
2001-04-05,3441001162
2001-04-06,3412036506
2001-04-09,3510516337
2001-04-10,3597410306
2001-04-11,3498930475
2001-04-12,3556859787
2001-04-16,3545273925
2001-04-17,3574238581
2001-04-18,3829127556
2001-04-19,3788577037
2001-04-20,3684304275
2001-04-23,3620582031
2001-04-24,3643753756
2001-04-25,3742233587
2001-04-26,3736440656
2001-04-27,3742233587
2001-04-30,3701683068
2001-05-01,3678511343
2001-05-02,3649546687
2001-05-03,3661132550
2001-05-04,3666925481
2001-05-07,3661132550
2001-05-08,3655339618
2001-05-09,3562652718
2001-05-10,3574238581
2001-05-11,3591617375
2001-05-14,3585824443
2001-05-15,3614789100
2001-05-16,3800162900
2001-05-17,3782784106
2001-05-18,3794369968
2001-05-21,3875471006
2001-05-22,3817541693
2001-05-23,3730647725
2001-05-24,3800162900
2001-05-25,3805955831
2001-05-29,3759612381
2001-05-30,3661132550
2001-05-31,3661132550
2001-06-01,3713268931
2001-06-04,3759612381
2001-06-05,3858092212
2001-06-06,3811748762
2001-06-07,3852299281
2001-06-08,3794369968
2001-06-11,3788577037
2001-06-12,3800162900
2001-06-13,3724854793
2001-06-14,3649546687
2001-06-15,3759612381
2001-06-18,3776991174
2001-06-19,3776991174
2001-06-20,3939193250
2001-06-21,3985536700
2001-06-22,3881263937
2001-06-25,3834920487
2001-06-26,3823334625
2001-06-27,3823334625
2001-06-28,3881263937
2001-06-29,3921814456
2001-07-02,4023801971
2001-07-03,4018003986
2001-07-05,3994812043
2001-07-06,4081781827
2001-07-09,4447054916
2001-07-10,4342691176
2001-07-11,4447054916
2001-07-12,4510832757
2001-07-13,4487640815
2001-07-16,4551418656
2001-07-17,4876105847
2001-07-18,4736954194
2001-07-19,4760146136
2001-07-20,4696368295
2001-07-23,4586206570
2001-07-24,4522428729
2001-07-25,4487640815
2001-07-26,4435458945
2001-07-27,4423862974
2001-07-30,4458650887
2001-07-31,4493438801
2001-08-01,4505034772
2001-08-02,4534024700
2001-08-03,4418064989
2001-08-06,4360085133
2001-08-07,4429660960
2001-08-08,4336893191
2001-08-09,4406469018
2001-08-10,4481842830
2001-08-13,4539822685
2001-08-14,4499236786
2001-08-15,4487640815
2001-08-16,4510832757
2001-08-17,4232529451
2001-08-20,4273115350
2001-08-21,4081781827
2001-08-22,4151357653
2001-08-23,4064387870
2001-08-24,4197741538
2001-08-27,4180347581
2001-08-28,4128165711
2001-08-29,4099175783
2001-08-30,4099175783
2001-08-31,4220933480
2001-09-04,4296307292
2001-09-05,4319499234
2001-09-06,4244125422
2001-09-07,4128165711
2001-09-10,4209337509
2001-09-17,3728104708
2001-09-18,3728104708
2001-09-19,3629538954
2001-09-20,3438205431
2001-09-21,3426609460
2001-09-24,3565761113
2001-09-25,3571559098
2001-09-26,3519377228
2001-09-27,3728104708
2001-09-28,3745498665
2001-10-01,3735327656
2001-10-02,3863130468
2001-10-03,4008360937
2001-10-04,3810847500
2001-10-05,3892176562
2001-10-08,3735327656
2001-10-09,3665617031
2001-10-10,3921222656
2001-10-11,4054834687
2001-10-12,3961887187
2001-10-15,4066453125
2001-10-16,4037407031
2001-10-17,3810847500
2001-10-18,3851512031
2001-10-19,3834084375
2001-10-22,3967696406
2001-10-23,4095499218
2001-10-24,4037407031
2001-10-25,4211683593
2001-10-26,4234920468
2001-10-29,4043216250
2001-10-30,3985124062
2001-10-31,4043216250
2001-11-01,4101308437
2001-11-02,4269775781
2001-11-05,4513762968
2001-11-06,4717085625
2001-11-07,4786796250
2001-11-08,4641565781
2001-11-09,4612519687
2001-11-12,4629947343
2001-11-13,4810033125
2001-11-14,4560236718
2001-11-15,4612519687
2001-11-16,4589282812
2001-11-19,4600901250
2001-11-20,4507953750
2001-11-21,4525381406
2001-11-23,4629947343
2001-11-26,4688039531
2001-11-27,4589282812
2001-11-28,4583473593
2001-11-29,4618328906
2001-11-30,4653184218
2001-12-03,4612519687
2001-12-04,4839079218
2001-12-05,4978500468
2001-12-06,5036592656
2001-12-07,4949454375
2001-12-10,4943645156
2001-12-11,4897171406
2001-12-12,4891362187
2001-12-13,4810033125
2001-12-14,4815842343
2001-12-17,4885552968
2001-12-18,5007546562
2001-12-19,5088875625
2001-12-20,4984309687
2001-12-21,4984309687
2001-12-24,5059829531
2001-12-26,5193441562
2001-12-27,5164395468
2001-12-28,5176013906
2001-12-31,5045409000
2002-01-02,5027890218
2002-01-03,5027890218
2002-01-04,5127163312
2002-01-07,5062927781
2002-01-08,4969494281
2002-01-09,4899419156
2002-01-10,4841023218
2002-01-11,4800146062
2002-01-14,4765108500
2002-01-15,4776787687
2002-01-16,4794306468
2002-01-17,4881900375
2002-01-18,4747589718
2002-01-22,4794306468
2002-01-23,4881900375
2002-01-24,4841023218
2002-01-25,4911098343
2002-01-28,4998692250
2002-01-29,4928617125
