,ALK
2001-02-27,768188420
2001-02-28,756541180
2001-03-01,722658300
2001-03-02,747541040
2001-03-05,737482060
2001-03-06,743835100
2001-03-07,747541040
2001-03-08,763688350
2001-03-09,753099950
2001-03-12,741188000
2001-03-13,751246980
2001-03-14,734570250
2001-03-15,730599600
2001-03-16,706510990
2001-03-19,681628250
2001-03-20,687187160
2001-03-21,674481080
2001-03-22,663098550
2001-03-23,676334050
2001-03-26,696187300
2001-03-27,692216650
2001-03-28,683481220
2001-03-29,673686950
2001-03-30,680304700
2001-04-02,668645250
2001-04-03,664937910
2001-04-04,675000690
2001-04-05,687181950
2001-04-06,664673100
2001-04-09,662554620
2001-04-10,694067010
2001-04-11,691154100
2001-04-12,689830050
2001-04-16,691683720
2001-04-17,703070550
2001-04-18,717635100
2001-04-19,741203190
2001-04-20,724784970
2001-04-23,714987000
2001-04-24,710220420
2001-04-25,714722190
2001-04-26,728227500
2001-04-27,749147490
2001-04-30,745440150
2001-05-01,739879140
2001-05-02,746499390
2001-05-03,752060400
2001-05-04,757886220
2001-05-07,767949000
2001-05-08,760004700
2001-05-09,758680650
2001-05-10,761858370
2001-05-11,753914070
2001-05-14,756562170
2001-05-15,727962690
2001-05-16,739879140
2001-05-17,760004700
2001-05-18,757356600
2001-05-21,762387990
2001-05-22,780395070
2001-05-23,764771280
2001-05-24,757356600
2001-05-25,761858370
2001-05-29,765300900
2001-05-30,752854830
2001-05-31,760799130
2001-06-01,741997620
2001-06-04,743851290
2001-06-05,748353060
2001-06-06,741997620
2001-06-07,740143950
2001-06-08,740938380
2001-06-11,738555090
2001-06-12,722931300
2001-06-13,733788510
2001-06-14,727962690
2001-06-15,710220420
2001-06-18,719223960
2001-06-19,705983460
2001-06-20,692742960
2001-06-21,696450300
2001-06-22,700157640
2001-06-25,684004230
2001-06-26,695391060
2001-06-27,727168260
2001-06-28,736701420
2001-06-29,765300900
2001-07-02,763603200
2001-07-03,760421520
2001-07-05,759626100
2001-07-06,747694800
2001-07-09,758300400
2001-07-10,776860200
2001-07-11,779511600
2001-07-12,794889720
2001-07-13,814775220
2001-07-16,830153340
2001-07-17,830418480
2001-07-18,811593540
2001-07-19,816631200
2001-07-20,836516700
2001-07-23,825911100
2001-07-24,816100920
2001-07-25,816631200
2001-07-26,818487180
2001-07-27,812388960
2001-07-30,810798120
2001-07-31,838902960
2001-08-01,852425100
2001-08-02,850038840
2001-08-03,843675480
2001-08-06,848448000
2001-08-07,844205760
2001-08-08,851099400
2001-08-09,851364540
2001-08-10,861174719
2001-08-13,859053600
2001-08-14,868863780
2001-08-15,874962000
2001-08-16,889544699
2001-08-17,874962000
2001-08-20,854281080
2001-08-21,847917720
2001-08-22,859583880
2001-08-23,859053600
2001-08-24,875227140
2001-08-27,861705000
2001-08-28,858258179
2001-08-29,850303980
2001-08-30,853485659
2001-08-31,865416960
