,AJG
2000-01-03,1246055290
2000-01-04,1189665610
2000-01-05,1194364750
2000-01-06,1192015180
2000-01-07,1238223390
2000-01-10,1192798370
2000-01-11,1185749660
2000-01-12,1176351380
2000-01-13,1173218620
2000-01-14,1167736290
2000-01-18,1176351380
2000-01-19,1174785000
2000-01-20,1173218620
2000-01-21,1118395320
2000-01-24,1107430660
2000-01-25,1091766860
2000-01-26,1114479370
2000-01-27,1083934960
2000-01-28,1058872880
2000-01-31,1052607360
2000-02-01,1068271160
2000-02-02,1072970300
2000-02-03,1152855680
2000-02-04,1148939730
2000-02-07,1096466000
2000-02-08,1090200480
2000-02-09,1098815570
2000-02-10,1106647470
2000-02-11,1062005640
2000-02-14,1046341840
2000-02-15,1033027610
2000-02-16,1036160370
2000-02-17,1011881480
2000-02-18,972721980
2000-02-22,953142230
2000-02-23,978987500
2000-02-24,975071550
2000-02-25,955491800
2000-02-28,985253020
2000-02-29,1000916820
2000-03-01,983686640
2000-03-02,1000133630
2000-03-03,978987500
2000-03-06,920248250
2000-03-07,927296960
2000-03-08,920248250
2000-03-09,928863340
2000-03-10,933562480
2000-03-13,957841370
2000-03-14,974288360
2000-03-15,1042425890
2000-03-16,1253104000
2000-03-17,1194364750
2000-03-20,1142674210
2000-03-21,1128576790
2000-03-22,1174785000
2000-03-23,1187316040
2000-03-24,1194364750
2000-03-27,1177134570
2000-03-28,1174785000
2000-03-29,1172435430
2000-03-30,1250754430
2000-03-31,1347515000
2000-04-03,1358295120
2000-04-04,1324296280
2000-04-05,1358295120
2000-04-06,1360782840
2000-04-07,1365758280
2000-04-10,1354978160
2000-04-11,1352490440
2000-04-12,1358295120
2000-04-13,1360782840
2000-04-14,1337564120
2000-04-17,1292785160
2000-04-18,1360782840
2000-04-19,1352490440
2000-04-20,1365758280
2000-04-24,1365758280
2000-04-25,1505899840
2000-04-26,1453657720
2000-04-27,1435414440
2000-04-28,1544874120
2000-05-01,1476876440
2000-05-02,1451170000
2000-05-03,1446194560
2000-05-04,1471901000
2000-05-05,1492632000
2000-05-08,1476876440
2000-05-09,1482681120
2000-05-10,1479364160
2000-05-11,1492632000
2000-05-12,1500095160
2000-05-15,1588823840
2000-05-16,1565605120
2000-05-17,1544874120
2000-05-18,1612042560
2000-05-19,1575556000
2000-05-22,1624481160
2000-05-23,1578043720
2000-05-24,1573068280
2000-05-25,1596287000
2000-05-26,1619505720
2000-05-30,1614530280
2000-05-31,1603750160
2000-06-01,1573068280
2000-06-02,1630285840
2000-06-05,1570580560
2000-06-06,1562288160
2000-06-07,1630285840
2000-06-08,1549849560
2000-06-09,1591311560
2000-06-12,1513363000
2000-06-13,1575556000
2000-06-14,1607067120
2000-06-15,1586336120
2000-06-16,1568092840
2000-06-19,1591311560
2000-06-20,1617018000
2000-06-21,1534094000
2000-06-22,1549849560
2000-06-23,1621993440
2000-06-26,1591311560
2000-06-27,1630285840
2000-06-28,1713209840
2000-06-29,1782866000
2000-06-30,1764021000
2000-07-03,1764021000
2000-07-05,1711940380
2000-07-06,1743020750
2000-07-07,1716980440
2000-07-10,1719500470
2000-07-11,1716980440
2000-07-12,1722020500
2000-07-13,1708580340
2000-07-14,1706060310
2000-07-17,1711940380
2000-07-18,1743020750
2000-07-19,1842981940
2000-07-20,1803501470
2000-07-21,1848022000
2000-07-24,1855582090
2000-07-25,1884982440
2000-07-26,1929502970
2000-07-27,1974023500
2000-07-28,2055504470
2000-07-31,2060544530
2000-08-01,2058024500
2000-08-02,2084064810
2000-08-03,2081544780
2000-08-04,2084064810
2000-08-07,2058024500
2000-08-08,2063064560
2000-08-09,2086584840
2000-08-10,2058024500
2000-08-11,2052984440
2000-08-14,2034504220
2000-08-15,1989983690
2000-08-16,1974023500
2000-08-17,1974023500
2000-08-18,1958063310
2000-08-21,1895062560
2000-08-22,1887502470
2000-08-23,1897582590
2000-08-24,1958063310
2000-08-25,2000063810
2000-08-28,1971503470
2000-08-29,1966463410
2000-08-30,2021064060
2000-08-31,2058024500
2000-09-01,2016024000
2000-09-05,2026944130
2000-09-06,2102545030
2000-09-07,2086584840
2000-09-08,2257946880
2000-09-11,2281467160
2000-09-12,2354548030
2000-09-13,2270547030
2000-09-14,2268027000
2000-09-15,2331027750
2000-09-18,2194946130
2000-09-19,2302467410
2000-09-20,2328507720
2000-09-21,2236946630
2000-09-22,2380588340
2000-09-25,2388988440
2000-09-26,2378068310
2000-09-27,2399068560
2000-09-28,2506589840
2000-09-29,2483069560
2000-10-02,2348627095
2000-10-03,2361571647
2000-10-04,2348627095
2000-10-05,2338918681
2000-10-06,2219990613
2000-10-09,2202191854
2000-10-10,2224844820
2000-10-11,2280668199
2000-10-12,2169021440
2000-10-13,2136660061
2000-10-16,2103489648
2000-10-17,2063037924
2000-10-18,2098635441
2000-10-19,2156885923
2000-10-20,2209473164
2000-10-23,2224844820
2000-10-24,2296039854
2000-10-25,2371280060
2000-10-26,2409304681
2000-10-27,2409304681
2000-10-30,2487781026
2000-10-31,2553312818
2000-11-01,2515288198
2000-11-02,2525805646
2000-11-03,2427103440
2000-11-06,2391505922
2000-11-07,2437620888
2000-11-08,2431957646
2000-11-09,2444902198
2000-11-10,2427103440
2000-11-13,2373707164
2000-11-14,2427103440
2000-11-15,2530659853
2000-11-16,2482926819
2000-11-17,2474836474
2000-11-20,2431957646
2000-11-21,2427103440
2000-11-22,2348627095
2000-11-24,2424676336
2000-11-27,2409304681
2000-11-28,2368852957
2000-11-29,2427103440
2000-11-30,2386651716
2000-12-01,2434384750
2000-12-04,2368852957
2000-12-05,2386651716
2000-12-06,2417395026
2000-12-07,2555739922
2000-12-08,2462700957
2000-12-11,2599427784
2000-12-12,2710265508
2000-12-13,2672240887
2000-12-14,2616417508
2000-12-15,2634216266
2000-12-18,2660105370
2000-12-19,2599427784
2000-12-20,2584056129
2000-12-21,2581629025
2000-12-22,2622080749
2000-12-26,2674667990
2000-12-27,2723210059
2000-12-28,2715119714
2000-12-29,2573538680
2001-01-02,2536704960
2001-01-03,2451179920
2001-01-04,2223651040
2001-01-05,2266413560
2001-01-08,2304335040
2001-01-09,2168785920
2001-01-10,2256731480
2001-01-11,2133284960
2001-01-12,1931574960
2001-01-16,1976758000
2001-01-17,1946904920
2001-01-18,1866220920
2001-01-19,1775048000
2001-01-22,1830719960
2001-01-23,1981599040
2001-01-24,2012258960
2001-01-25,2042112040
2001-01-26,2021941040
2001-01-29,2097784000
2001-01-30,2170399600
2001-01-31,2087295080
2001-02-01,2147001240
2001-02-02,2180081680
2001-02-05,2218003160
2001-02-06,2219616840
2001-02-07,2255924640
2001-02-08,2209127920
2001-02-09,2258345160
2001-02-12,2267220400
2001-02-13,2239787840
2001-02-14,2234139960
2001-02-15,2249469920
2001-02-16,2234946800
2001-02-20,2138126000
2001-02-21,2094556640
2001-02-22,2065510400
2001-02-23,2142967040
2001-02-26,2130864440
2001-02-27,2139739680
2001-02-28,2059862520
2001-03-01,2097784000
2001-03-02,2219616840
2001-03-05,2211548440
2001-03-06,2190570600
2001-03-07,2283357200
2001-03-08,2308369240
2001-03-09,2384212200
2001-03-12,2312403440
2001-03-13,2329347080
2001-03-14,2230912600
2001-03-15,2186536400
2001-03-16,2194604800
2001-03-19,2182502200
2001-03-20,2174433800
2001-03-21,2166365400
2001-03-22,2121989200
2001-03-23,2195411640
2001-03-26,2299494000
2001-03-27,2243015200
2001-03-28,2106659240
2001-03-29,2126023400
2001-03-30,2234946800
2001-04-02,2326148820
2001-04-03,2204298900
2001-04-04,2101911120
2001-04-05,2195837100
2001-04-06,2115450000
2001-04-09,2126450340
2001-04-10,2147604840
2001-04-11,2161989900
2001-04-12,2192452380
2001-04-16,2118834720
2001-04-17,2172990240
2001-04-18,2134912140
2001-04-19,2225453400
2001-04-20,2217837780
2001-04-23,2195837100
2001-04-24,2102757300
2001-04-25,2160297540
2001-04-26,2197529460
2001-04-27,2194144740
2001-04-30,2134065960
2001-05-01,2159451360
2001-05-02,2125604160
2001-05-03,2000369520
2001-05-04,2101911120
2001-05-07,2072294819
2001-05-08,2063833020
2001-05-09,2030832000
2001-05-10,2029985819
2001-05-11,2030832000
2001-05-14,2055371220
2001-05-15,2084141340
2001-05-16,2130681240
2001-05-17,2082448980
2001-05-18,2114603819
2001-05-21,2192452380
2001-05-22,2209375980
2001-05-23,2180605860
2001-05-24,2233915200
2001-05-25,2242377000
2001-05-29,2289763080
2001-05-30,2337995340
2001-05-31,2326995000
2001-06-01,2299071060
2001-06-04,2348149500
2001-06-05,2386227600
2001-06-06,2370996360
2001-06-07,2458999080
2001-06-08,2419228620
2001-06-11,2420074800
2001-06-12,2391304680
2001-06-13,2337995340
2001-06-14,2323610280
2001-06-15,2347303320
2001-06-18,2370996360
2001-06-19,2370996360
2001-06-20,2398920300
2001-06-21,2421767160
2001-06-22,2331225900
2001-06-25,2292301620
2001-06-26,2294840160
2001-06-27,2307532860
2001-06-28,2325302640
2001-06-29,2200068000
2001-07-02,2281564350
2001-07-03,2289195000
2001-07-05,2267998750
2001-07-06,2227301950
2001-07-09,2239171850
2001-07-10,2317174050
2001-07-11,2306152000
2001-07-12,2355327300
2001-07-13,2440112300
2001-07-16,2450286500
2001-07-17,2429090250
2001-07-18,2390089150
2001-07-19,2276477250
2001-07-20,2246802500
2001-07-23,2289195000
2001-07-24,2312086950
2001-07-25,2327348250
2001-07-26,2363805800
2001-07-27,2365501500
2001-07-30,2373132150
2001-07-31,2331587500
2001-08-01,2288347150
2001-08-02,2238324000
2001-08-03,2225606250
