,DISH
2000-01-03,22255163612
2000-01-04,21436851621
2000-01-05,21363788050
2000-01-06,19215719074
2000-01-07,19960967494
2000-01-10,20676990486
2000-01-11,19581036927
2000-01-12,19800227639
2000-01-13,20793892199
2000-01-14,21100759196
2000-01-18,21436851621
2000-01-19,21568366048
2000-01-20,22284389040
2000-01-21,22503579752
2000-01-24,22415903467
2000-01-25,22167487327
2000-01-26,21056921054
2000-01-27,21129984624
2000-01-28,19683325926
2000-01-31,19040366504
2000-02-01,20223996349
2000-02-02,20180158206
2000-02-03,19931742066
2000-02-04,19274169930
2000-02-07,20384736204
2000-02-08,21568366048
2000-02-09,21100759196
2000-02-10,21787556760
2000-02-11,20896181198
2000-02-14,20925406627
2000-02-15,20837730342
2000-02-16,21378400764
2000-02-17,22211325470
2000-02-18,22006747472
2000-02-22,23380342600
2000-02-23,28246376403
2000-02-24,26682815992
2000-02-25,25601475147
2000-02-28,26127532855
2000-02-29,26653590564
2000-03-01,26872781275
2000-03-02,26273659996
2000-03-03,28392503544
2000-03-06,27165035558
2000-03-07,28407116259
2000-03-08,29780711386
2000-03-09,30467508950
2000-03-10,32264872788
2000-03-13,30014514812
2000-03-14,29002584593
2000-03-15,27471902555
2000-03-16,28933173967
2000-03-17,28304827260
2000-03-20,28114861976
2000-03-21,28085636548
2000-03-22,29269266392
2000-03-23,34047623911
2000-03-24,35596571608
2000-03-27,35976502175
2000-03-28,33667693344
2000-03-29,32937057637
2000-03-30,32323323644
2000-03-31,37399919221
2000-04-03,35121601357
2000-04-04,32369866794
2000-04-05,30150726017
2000-04-06,32399455337
2000-04-07,34500241939
2000-04-10,30239491648
2000-04-11,28789653007
2000-04-12,24114663105
2000-04-13,25061496503
2000-04-14,20268152425
2000-04-17,24321782911
2000-04-18,27369402910
2000-04-19,24824788153
2000-04-20,23404538056
2000-04-24,24114663105
2000-04-25,27635699804
2000-04-26,27191871648
2000-04-27,29174304075
2000-04-28,30150726017
2000-05-01,29411012425
2000-05-02,27280637279
2000-05-03,26333803881
2000-05-04,25653267377
2000-05-05,25623678833
2000-05-08,24736022522
2000-05-09,23256595338
2000-05-10,20593626406
2000-05-11,22960709901
2000-05-12,21481282717
2000-05-15,23315772425
2000-05-16,23552480775
2000-05-17,22073053590
2000-05-18,21806756697
2000-05-19,20031444076
2000-05-22,22013876503
2000-05-23,19853912814
2000-05-24,18315308542
2000-05-25,17102178251
2000-05-26,18315308542
2000-05-30,20564037862
2000-05-31,18907079416
2000-06-01,18936667960
2000-06-02,22250584853
2000-06-05,20090621163
2000-06-06,18078600193
2000-06-07,17516417863
2000-06-08,18049011649
2000-06-09,18167365824
2000-06-12,16392053202
2000-06-13,16569584465
2000-06-14,17841891843
2000-06-15,17013412620
2000-06-16,16599173008
2000-06-19,19143787765
2000-06-20,18788725241
2000-06-21,19765147183
2000-06-22,17989834562
2000-06-23,18049011649
2000-06-26,17309298057
2000-06-27,15918636503
2000-06-28,14764683300
2000-06-29,15889047960
2000-06-30,15722995064
2000-07-03,15641374986
2000-07-05,15018094389
2000-07-06,17066016351
2000-07-07,17422176692
2000-07-10,17511216778
2000-07-11,18342257574
2000-07-12,19766898939
2000-07-13,19321698512
2000-07-14,20983780105
2000-07-17,20657299792
2000-07-18,19766898939
2000-07-19,19707538882
2000-07-20,21191540304
2000-07-21,21339940446
2000-07-24,19974659138
2000-07-25,20538579678
2000-07-26,19440418626
2000-07-27,18520337745
2000-07-28,17451856721
2000-07-31,18728097944
2000-08-01,19529458711
2000-08-02,19944979110
2000-08-03,20063699223
2000-08-04,19262338455
2000-08-07,19173298370
2000-08-08,19292018484
2000-08-09,18995218200
2000-08-10,18520337745
2000-08-11,18312577545
2000-08-14,18075137318
2000-08-15,18401617631
2000-08-16,18075137318
2000-08-17,19232658427
2000-08-18,19292018484
2000-08-21,19544298726
2000-08-22,20865059991
2000-08-23,21250900361
2000-08-24,21221220332
2000-08-25,21428980531
2000-08-28,21102500219
2000-08-29,20894740020
2000-08-30,21785140873
2000-08-31,23150422181
2000-09-01,25198344143
2000-09-05,24634423603
2000-09-06,23862742863
2000-09-07,23506582522
2000-09-08,22438101498
2000-09-11,21191540304
2000-09-12,21339940446
2000-09-13,23002022039
2000-09-14,21992901072
2000-09-15,21577380674
2000-09-18,21696100787
2000-09-19,22883301925
2000-09-20,22022581100
2000-09-21,22972342010
2000-09-22,24396983375
2000-09-25,23922102920
2000-09-26,24396983375
2000-09-27,24545383517
2000-09-28,25369004306
2000-09-29,25049944001
2000-10-02,25787129567
2000-10-03,24112157237
2000-10-04,23792051414
2000-10-05,22362741692
2000-10-06,21112095685
2000-10-09,20933431970
2000-10-10,19653008677
2000-10-11,18402362670
2000-10-12,17330380379
2000-10-13,18610803671
2000-10-16,20010336108
2000-10-17,19831672392
2000-10-18,19146794817
2000-10-19,20099667965
2000-10-20,20992986541
2000-10-23,21357758293
2000-10-24,20456995396
2000-10-25,19801895106
2000-10-26,21499200401
2000-10-27,21707641402
2000-10-30,21439645830
2000-10-31,21558754973
2000-11-01,22481850835
2000-11-02,22392518978
2000-11-03,21439645830
2000-11-06,20933431970
2000-11-07,21052541113
2000-11-08,20367663538
2000-11-09,20129445251
2000-11-10,18074812526
2000-11-13,19146794817
2000-11-14,17211271235
2000-11-15,16526393660
2000-11-16,16317952659
2000-11-17,16169066230
2000-11-20,15573520512
2000-11-21,15216193082
2000-11-22,15603297798
2000-11-24,16645502804
2000-11-27,15930847943
2000-11-28,14218654005
2000-11-29,13094561463
2000-11-30,13905992503
2000-12-01,12655346496
2000-12-04,13161560356
2000-12-05,13816660646
2000-12-06,12268241780
2000-12-07,11374923204
2000-12-08,12298019066
2000-12-11,12893564783
2000-12-12,11642918777
2000-12-13,11940691635
2000-12-14,11196259489
2000-12-15,11910914350
2000-12-18,11970468921
2000-12-19,11434477776
2000-12-20,10838932058
2000-12-21,10868709344
2000-12-22,12268241780
2000-12-26,11970468921
2000-12-27,11464255061
2000-12-28,11315368632
2000-12-29,10838932058
2001-01-02,10392272770
2001-01-03,12953119355
2001-01-04,12387350924
2001-01-05,11434477776
2001-01-08,11136704917
2001-01-09,11583364205
2001-01-10,12357573638
2001-01-11,13757106074
2001-01-12,13995324361
2001-01-16,15275747653
2001-01-17,15692629656
2001-01-18,15573520512
2001-01-19,15513965940
2001-01-22,15603297798
2001-01-23,16079734372
2001-01-24,16198843516
2001-01-25,14709979222
2001-01-26,14709979222
2001-01-29,15335302225
2001-01-30,15245970368
2001-01-31,14709979222
2001-02-01,14352651791
2001-02-02,13429555929
2001-02-05,14084656218
2001-02-06,14561092792
2001-02-07,13905992503
2001-02-08,14322874505
2001-02-09,13816660646
2001-02-12,13697551502
2001-02-13,13965547075
2001-02-14,13727328788
2001-02-15,13578442359
2001-02-16,12767011318
2001-02-20,12685123782
2001-02-21,12863787498
2001-02-22,12685123782
2001-02-23,13102005785
2001-02-26,13608219644
2001-02-27,13161560356
2001-02-28,12446905495
2001-03-01,12685123782
2001-03-02,12834010212
2001-03-05,13042451213
2001-03-06,14233542648
2001-03-07,14203765362
2001-03-08,14352651791
2001-03-09,13459333215
2001-03-12,12625569211
2001-03-13,13280669500
2001-03-14,13370001357
