,FDX
2000-01-03,12380100000
2000-01-04,12035000000
2000-01-05,12307600000
2000-01-06,13702500000
2000-01-07,13775000000
2000-01-10,13485000000
2000-01-11,13232700000
2000-01-12,13122500000
2000-01-13,13557500000
2000-01-14,13502400000
2000-01-18,12815100000
2000-01-19,12832500000
2000-01-20,12325000000
2000-01-21,12107500000
2000-01-24,11890000000
2000-01-25,11672500000
2000-01-26,12290200000
2000-01-27,11817500000
2000-01-28,11182400000
2000-01-31,11472400000
2000-02-01,11292600000
2000-02-02,11182400000
2000-02-03,11455000000
2000-02-04,11365100000
2000-02-07,11365100000
2000-02-08,11510100000
2000-02-09,11327400000
2000-02-10,11220100000
2000-02-11,10767700000
2000-02-14,10529900000
2000-02-15,10422600000
2000-02-16,10567600000
2000-02-17,10332700000
2000-02-18,10674900000
2000-02-22,10440000000
2000-02-23,10260200000
2000-02-24,9897700000
2000-02-25,9732400000
2000-02-28,10077500000
2000-02-29,9970940236
2000-03-01,9828253627
2000-03-02,9668444625
2000-03-03,9916719325
2000-03-06,9345972889
2000-03-07,8863692151
2000-03-08,9434438587
2000-03-09,9525758016
2000-03-10,9577125196
2000-03-13,9363095282
2000-03-14,9149065369
2000-03-15,9648468500
2000-03-16,10130749239
2000-03-17,9756910323
2000-03-20,10113626845
2000-03-21,10453220975
2000-03-22,10630152370
2000-03-23,11343585415
2000-03-24,11309340629
2000-03-27,11041089804
2000-03-28,10952624106
2000-03-29,10861304677
2000-03-30,11023967411
2000-03-31,11075334590
2000-04-03,11183776413
2000-04-04,10986868893
2000-04-05,11237997324
2000-04-06,11112433108
2000-04-07,10898403195
2000-04-10,11557615329
2000-04-11,11737400456
2000-04-12,11860110940
2000-04-13,11486272024
2000-04-14,10630152370
2000-04-17,10344779152
2000-04-18,10701495675
2000-04-19,10898403195
2000-04-20,10861304677
2000-04-24,10630152370
2000-04-25,11200898806
2000-04-26,10952624106
2000-04-27,10809937497
2000-04-28,10755716586
2000-05-01,10595907584
2000-05-02,10541686672
2000-05-03,10273435848
2000-05-04,10575931459
2000-05-05,11289364504
2000-05-08,11452027238
2000-05-09,11360707808
2000-05-10,10986868893
2000-05-11,11272242111
2000-05-12,11095310715
2000-05-15,10399000063
2000-05-16,10416122457
2000-05-17,10290558241
2000-05-18,10504588154
2000-05-19,10344779152
2000-05-22,10344779152
2000-05-23,10273435848
2000-05-24,10310534366
2000-05-25,10042283541
2000-05-26,9648468500
2000-05-30,10130749239
2000-05-31,10107382500
2000-06-01,10161478350
2000-06-02,10446193350
2000-06-05,10659729600
2000-06-06,10500289200
2000-06-07,10480359150
2000-06-08,10286752950
2000-06-09,10338001650
2000-06-12,10266822900
2000-06-13,10338001650
2000-06-14,10588550850
2000-06-15,10375014600
2000-06-16,10178561250
2000-06-19,10090299600
2000-06-20,10002037950
2000-06-21,9805584600
2000-06-22,9768571650
2000-06-23,9663227100
2000-06-26,9697392900
2000-06-27,10480359150
2000-06-28,10856182950
2000-06-29,11086802100
2000-06-30,10819170000
2000-07-03,11334504150
2000-07-05,11639149200
2000-07-06,11371517100
2000-07-07,11192146650
2000-07-10,11459778750
2000-07-11,11388600000
2000-07-12,11690397900
2000-07-13,11903934150
2000-07-14,12083304600
2000-07-17,11656232100
2000-07-18,11656232100
2000-07-19,11388600000
2000-07-20,11317421250
2000-07-21,11405682900
2000-07-24,11300338350
2000-07-25,11263325400
2000-07-26,11069719200
2000-07-27,11069719200
2000-07-28,11140897950
2000-07-31,11283255450
2000-08-01,11354434200
2000-08-02,11496791700
2000-08-03,11263325400
2000-08-04,11192146650
2000-08-07,11212076700
2000-08-08,11175063750
2000-08-09,10944444600
2000-08-10,11619219150
2000-08-11,11832755400
2000-08-14,11710327950
2000-08-15,11690397900
2000-08-16,11602136250
2000-08-17,11513874600
2000-08-18,11388600000
2000-08-21,11354434200
2000-08-22,11585053350
2000-08-23,11229159600
2000-08-24,11334504150
2000-08-25,11744493750
2000-08-28,11607830550
2000-08-29,11542346100
2000-08-30,11283255450
2000-08-31,11499987338
2000-09-01,11271982633
2000-09-05,11243482044
2000-09-06,11477186868
2000-09-07,11371734691
2000-09-08,11189330927
2000-09-11,10964176280
2000-09-12,11200731162
2000-09-13,11605439515
2000-09-14,11505687456
2000-09-15,11172230574
2000-09-18,11004077104
2000-09-19,11206431280
2000-09-20,11129479692
2000-09-21,11474336809
2000-09-22,11556988515
2000-09-25,11619689809
2000-09-26,12041498514
2000-09-27,12249552808
2000-09-28,12822414631
2000-09-29,12637160807
2000-10-02,12383505572
2000-10-03,12554509102
2000-10-04,12825264690
2000-10-05,12583009690
2000-10-06,12184001455
2000-10-09,11913245867
2000-10-10,12355004984
2000-10-11,12146950690
2000-10-12,11528487926
2000-10-13,11582639044
2000-10-16,11713741750
2000-10-17,11462936574
2000-10-18,11223531633
2000-10-19,12055748808
2000-10-20,12161200984
2000-10-23,11793543397
2000-10-24,12121300161
2000-10-25,11927496161
2000-10-26,12055748808
2000-10-27,12272353278
