,BMY
2000-01-03,120891680000
2000-01-04,111940400000
2000-01-05,110893120000
2000-01-06,112414640000
2000-01-07,128874720000
2000-01-10,127471760000
2000-01-11,125713120000
2000-01-12,125357440000
2000-01-13,123006000000
2000-01-14,126404720000
2000-01-18,122887440000
2000-01-19,120536000000
2000-01-20,116425920000
2000-01-21,115121760000
2000-01-24,110418880000
2000-01-25,112651760000
2000-01-26,115714560000
2000-01-27,117117520000
2000-01-28,120891680000
2000-01-31,124646080000
2000-02-01,121583280000
2000-02-02,121938960000
2000-02-03,123006000000
2000-02-04,121701840000
2000-02-07,120891680000
2000-02-08,119943200000
2000-02-09,117591760000
2000-02-10,115477440000
2000-02-11,112888880000
2000-02-14,115003200000
2000-02-15,116761840000
2000-02-16,119587520000
2000-02-17,119468960000
2000-02-18,112414640000
2000-02-22,112770320000
2000-02-23,112770320000
2000-02-24,108897360000
2000-02-25,106545920000
2000-02-28,105953120000
2000-02-29,107711760000
2000-03-01,96547360000
2000-03-02,99155680000
2000-03-03,96903040000
2000-03-06,88307440000
2000-03-07,80897440000
2000-03-08,89848720000
2000-03-09,101605920000
2000-03-10,98543120000
2000-03-13,95836000000
2000-03-14,90184640000
2000-03-15,95006080000
2000-03-16,104767520000
2000-03-17,100538880000
2000-03-20,99491600000
2000-03-21,100183200000
2000-03-22,102771760000
2000-03-23,105597440000
2000-03-24,103483120000
2000-03-27,102771760000
2000-03-28,103601680000
2000-03-29,108897360000
2000-03-30,107711760000
2000-03-31,108803100000
2000-04-03,115717800000
2000-04-04,123794800000
2000-04-05,120879200000
2000-04-06,113491700000
2000-04-07,111600500000
2000-04-10,115126800000
2000-04-11,120524600000
2000-04-12,121568700000
2000-04-13,124740400000
2000-04-14,118869800000
2000-04-17,121686900000
2000-04-18,122396100000
2000-04-19,116308800000
2000-04-20,92846100000
2000-04-24,92964300000
2000-04-25,96608800000
2000-04-26,96727000000
2000-04-27,98007500000
2000-04-28,98362100000
2000-05-01,96608800000
2000-05-02,96727000000
2000-05-03,95190400000
2000-05-04,97652900000
2000-05-05,99189500000
2000-05-08,101533800000
2000-05-09,100233600000
2000-05-10,100706400000
2000-05-11,100115400000
2000-05-12,102105100000
2000-05-15,104449400000
2000-05-16,105867800000
2000-05-17,106557300000
2000-05-18,106557300000
2000-05-19,107030100000
2000-05-22,108330300000
2000-05-23,107621100000
2000-05-24,106557300000
2000-05-25,104922200000
2000-05-26,105513200000
2000-05-30,105513200000
2000-05-31,103287100000
2000-06-01,99997200000
2000-06-02,95426800000
2000-06-05,96372400000
2000-06-06,98362100000
2000-06-07,98598500000
2000-06-08,96727000000
2000-06-09,96943700000
2000-06-12,97889300000
2000-06-13,99879000000
2000-06-14,102696100000
2000-06-15,103287100000
2000-06-16,99642600000
2000-06-19,103168900000
2000-06-20,99642600000
2000-06-21,101533800000
2000-06-22,100824600000
2000-06-23,101061000000
2000-06-26,101750500000
2000-06-27,105513200000
2000-06-28,101750500000
2000-06-29,108684900000
2000-06-30,108867980000
2000-07-03,107945370000
2000-07-05,110045780000
2000-07-06,108867980000
2000-07-07,108180930000
2000-07-10,109928000000
2000-07-11,109692440000
2000-07-12,104667160000
2000-07-13,98954830000
2000-07-14,98601490000
2000-07-17,102920090000
2000-07-18,98954830000
2000-07-19,97894810000
2000-07-20,94381040000
