,IDXX
2000-01-03,561070108
2000-01-04,510857608
2000-01-05,526139673
2000-01-06,523956521
2000-01-07,552337499
2000-01-10,571985869
2000-01-11,620015216
2000-01-12,611282608
2000-01-13,620015216
2000-01-14,617832064
2000-01-18,598183695
2000-01-19,589451086
2000-01-20,576352173
2000-01-21,571985869
2000-01-24,561070108
2000-01-25,528322825
2000-01-26,556703803
2000-01-27,545788042
2000-01-28,558886956
2000-01-31,526139673
2000-02-01,567619564
2000-02-02,574169021
2000-02-03,611282608
2000-02-04,617832064
2000-02-07,626564673
2000-02-08,659311955
2000-02-09,626564673
2000-02-10,628747825
2000-02-11,627656319
2000-02-14,639663586
2000-02-15,633114129
2000-02-16,707341303
2000-02-17,720440216
2000-02-18,694242390
2000-02-22,711707608
2000-02-23,803399999
2000-02-24,849246194
2000-02-25,984601629
2000-02-28,997700542
2000-02-29,1032630977
2000-03-01,1017348912
2000-03-02,1002066846
2000-03-03,1012982607
2000-03-06,991151086
2000-03-07,967136412
2000-03-08,978052173
2000-03-09,995517390
2000-03-10,975869020
2000-03-13,925656520
2000-03-14,892909238
2000-03-15,932205977
2000-03-16,984601629
2000-03-17,901641846
2000-03-20,921290216
2000-03-21,945304890
2000-03-22,945304890
2000-03-23,945304890
2000-03-24,938755433
2000-03-27,935480775
2000-03-28,914740760
2000-03-29,890726086
2000-03-30,768469564
2000-03-31,822672224
2000-04-03,809438891
2000-04-04,776355558
2000-04-05,782972224
2000-04-06,835905558
2000-04-07,809438891
2000-04-10,774150002
2000-04-11,752094446
2000-04-12,767533335
2000-04-13,785177780
2000-04-14,835905558
2000-04-17,895455558
2000-04-18,875605558
2000-04-19,868988891
2000-04-20,908688891
2000-04-24,877811113
2000-04-25,880016669
2000-04-26,891044447
2000-04-27,895455558
2000-04-28,926333336
2000-05-01,992500003
2000-05-02,937361114
2000-05-03,893250002
2000-05-04,899866669
2000-05-05,913100002
2000-05-08,952800003
2000-05-09,948388891
2000-05-10,910894447
2000-05-11,950594447
2000-05-12,943977780
2000-05-15,966033336
2000-05-16,974855558
2000-05-17,943977780
2000-05-18,915305558
2000-05-19,917511114
2000-05-22,891044447
2000-05-23,891044447
2000-05-24,899866669
2000-05-25,882222225
2000-05-26,855755558
2000-05-30,873400002
2000-05-31,875605558
2000-06-01,864577780
2000-06-02,895455558
2000-06-05,846933336
2000-06-06,904277780
2000-06-07,919716669
2000-06-08,875605558
2000-06-09,864577780
2000-06-12,794000002
2000-06-13,824877780
2000-06-14,840316669
2000-06-15,835905558
2000-06-16,831494447
2000-06-19,829288891
2000-06-20,813850002
2000-06-21,824877780
2000-06-22,791794446
2000-06-23,791794446
2000-06-26,816055558
2000-06-27,796205558
2000-06-28,774150002
2000-06-29,776355558
2000-06-30,785290280
2000-07-03,780999076
2000-07-05,750960650
2000-07-06,759543058
2000-07-07,755251854
2000-07-10,735941437
2000-07-11,738087039
2000-07-12,733795835
2000-07-13,727359030
2000-07-14,720922224
2000-07-17,727359030
2000-07-18,778853474
2000-07-19,759543058
