,UST
2010-01-22,5976825.85
2010-01-25,5936634.25
2010-01-26,5963428.65
2010-01-27,5934959.6
2010-01-28,5934959.6
2010-01-29,5973476.55
2010-02-01,5943332.85
2010-02-02,5953380.75
2010-02-03,5896442.65
2010-02-04,5988548.4
2010-02-05,6028740.0
2010-02-08,6017017.45
2010-02-09,5961754.0
2010-02-10,5926586.35
2010-02-11,5903141.25
2010-02-12,5950031.45
2010-02-16,5965103.3
2010-02-17,5896442.65
2010-02-18,5844528.5
2010-02-19,5844528.5
2010-02-22,5844528.5
2010-02-23,5945007.5
2010-02-24,5945007.5
2010-02-25,5991897.7
2010-02-26,6022041.4
2010-03-01,6018692.1
2010-03-02,6025390.7
2010-03-03,6020366.75
2010-03-04,6028740.0
2010-03-05,5975151.2
2010-03-08,5953380.75
2010-03-09,5971801.9
2010-03-10,5943332.85
2010-03-11,5938308.9
2010-03-12,5968452.6
2010-03-15,5970127.25
2010-03-16,6017017.45
2010-03-17,6030414.65
2010-03-18,6030414.65
2010-03-19,5993572.35
2010-03-22,6008644.2
2010-03-23,6001945.6
2010-03-24,5876346.85
2010-03-25,5837829.9
2010-03-26,5861275.0
2010-03-29,5849552.45
2010-03-30,5849552.45
2010-03-31,5886394.75
2010-04-01,5861275.0
2010-04-05,5754097.4
2010-04-06,5785915.75
2010-04-07,5864624.3
2010-04-08,5849552.45
2010-04-09,5857925.7
2010-04-12,5886394.75
2010-04-13,5914863.8
2010-04-14,5879696.15
2010-04-15,5909839.85
2010-04-16,5970127.25
2010-04-19,5946682.15
2010-04-20,5943332.85
2010-04-21,5990223.05
2010-04-22,5965103.3
2010-04-23,5929935.65
2010-04-26,5939983.55
2010-04-27,6055534.4
2010-04-28,5981849.8
2010-04-29,6011993.5
2010-04-30,6078979.5
2010-05-03,6047161.15
2010-05-04,6139266.9
2010-05-05,6157688.05
2010-05-06,6303382.6
2010-05-07,6271564.25
2010-05-10,6271564.25
2010-05-11,6271564.25
2010-05-12,6174434.55
2010-05-13,6202903.6
2010-05-14,6289985.4
2010-05-17,6303382.6
2010-05-18,6340224.9
2010-05-19,6338550.25
2010-05-20,6464149.0
2010-05-21,6485919.45
2010-05-24,6487594.1
2010-05-25,6524436.4
2010-05-26,6479220.85
2010-05-27,6387115.1
2010-05-28,6413909.5
2010-06-01,6469172.95
2010-06-02,6387115.1
2010-06-03,6370368.6
2010-06-04,6536158.95
2010-06-07,6584723.8
2010-06-08,6547881.5
2010-06-09,6561278.7
2010-06-10,6435679.95
2010-06-11,6527785.7
2010-06-14,6499316.65
2010-06-15,6506015.25
2010-06-16,6480895.5
2010-06-17,6566302.65
2010-06-18,6536158.95
2010-06-21,6470847.6
2010-06-22,6606494.25
2010-06-23,6660083.05
2010-06-24,6645011.2
2010-06-25,6690226.75
2010-06-28,6748839.5
2010-06-29,6817500.15
2010-06-30,6792380.4
2010-07-01,6835921.3
2010-07-02,6800753.65
2010-07-06,6845969.2
2010-07-07,6799079.0
2010-07-08,6770609.95
2010-07-09,6732093.0
2010-07-12,6762236.7
2010-07-13,6693576.05
2010-07-14,6708647.9
2010-07-15,6825873.4
2010-07-16,6899558.0
2010-07-19,6862715.7
2010-07-20,6881136.85
2010-07-21,6964869.35
2010-07-22,6912955.2
2010-07-23,6854342.45
2010-07-26,6820849.45
2010-07-27,6814150.85
2010-07-28,6807452.25
2010-07-29,6877787.55
2010-07-30,6964869.35
2010-08-02,6914629.85
2010-08-03,6984965.15
2010-08-04,6936400.3
2010-08-05,6993338.4
2010-08-06,7080420.2
2010-08-09,7080420.2
2010-08-10,7140707.6
2010-08-11,7231138.7
2010-08-12,7217741.5
2010-08-13,7254583.8
2010-08-16,7361761.4
2010-08-17,7296450.05
2010-08-18,7301474.0
2010-08-19,7346689.55
2010-08-20,7293100.75
2010-08-23,7291426.1
2010-08-24,7425398.1
2010-08-25,7375158.6
2010-08-26,7412000.9
2010-08-27,7242861.25
2010-08-30,7365110.7
2010-08-31,7428747.4
2010-09-01,7343340.25
2010-09-02,7269655.65
2010-09-03,7190947.1
2010-09-07,7299799.35
2010-09-08,7256258.45
