,VIAV
2000-01-03,39974061729
2000-01-04,36385964406
2000-01-05,33648379644
2000-01-06,31841039823
2000-01-07,38259746990
2000-01-10,42605331696
2000-01-11,40545498947
2000-01-12,38419220537
2000-01-13,39907616068
2000-01-14,40864440432
2000-01-18,41608638198
2000-01-19,45063844107
2000-01-20,50791512354
2000-01-21,49568899556
2000-01-24,45940933193
2000-01-25,49329690638
2000-01-26,46087117028
2000-01-27,45090423530
2000-01-28,41648507239
2000-01-31,43362819080
2000-02-01,43017298265
2000-02-02,44027281475
2000-02-03,45887777244
2000-02-04,44904373364
2000-02-07,42977432028
2000-02-08,44332936053
2000-02-09,43349529462
2000-02-10,44000704949
2000-02-11,43070457017
2000-02-14,43043877688
2000-02-15,42485730088
2000-02-16,45276470799
2000-02-17,45303050221
2000-02-18,43827944494
2000-02-22,45661860841
2000-02-23,50073891207
2000-02-24,54858019008
2000-02-25,54605525986
2000-02-28,53794882653
2000-02-29,56054052383
2000-03-01,59721884983
2000-03-02,58047439380
2000-03-03,59535834818
2000-03-06,62313291611
2000-03-07,61103968524
2000-03-08,58047439380
2000-03-09,57941127482
2000-03-10,58685322351
2000-03-13,56266681878
2000-03-14,53156993981
2000-03-15,50499144591
2000-03-16,55044069080
2000-03-17,55309857514
2000-03-20,51615445398
2000-03-21,54007506448
2000-03-22,55655372629
2000-03-23,57276665181
2000-03-24,56346414446
2000-03-27,54751707017
2000-03-28,54884598431
2000-03-29,50764932931
2000-03-30,49436008236
2000-03-31,64917215904
2000-04-03,60104792141
2000-04-04,57614449528
2000-04-05,59364419482
2000-04-06,60037486751
2000-04-07,65623930425
2000-04-10,59297114211
2000-04-11,55023143506
2000-04-12,51927038895
2000-04-13,49705924704
2000-04-14,42874302565
2000-04-17,52768374845
2000-04-18,50648216727
2000-04-19,49268431269
2000-04-20,45869447434
2000-04-24,43244490610
2000-04-25,50244374212
2000-04-26,49537656023
2000-04-27,52633760634
2000-04-28,55830825104
2000-05-01,56133704210
2000-05-02,50917441482
2000-05-03,51018401223
2000-05-04,49268431269
2000-05-05,50513602635
2000-05-08,47585766587
2000-05-09,46205981128
2000-05-10,43177181789
2000-05-11,46576165624
2000-05-12,46306940869
2000-05-15,48393444517
2000-05-16,50749176469
2000-05-17,49806884445
2000-05-18,46609820093
2000-05-19,44153128282
2000-05-22,45936752706
2000-05-23,42605077811
2000-05-24,44960806213
2000-05-25,42537768871
2000-05-26,43345450351
2000-05-30,49091749089
2000-05-31,47383847104
2000-06-01,52902985506
2000-06-02,59431724754
2000-06-05,58725006564
2000-06-06,57614449528
2000-06-07,58960580517
2000-06-08,59229805271
2000-06-09,59532684495
2000-06-12,62224953809
2000-06-13,65354709221
2000-06-14,62998977269
2000-06-15,64984517508
2000-06-16,64715296422
2000-06-19,68551773691
2000-06-20,67239293386
2000-06-21,69426753226
2000-06-22,67306595108
2000-06-23,66465262708
2000-06-26,67643132351
2000-06-27,64075883504
2000-06-28,65623930425
2000-06-29,62662440026
2000-06-30,64547031409
2000-07-03,69022914260
2000-07-05,64075883504
2000-07-06,61383614190
2000-07-07,62561483834
2000-07-10,54451039528
2000-07-11,51523199930
2000-07-12,53912586469
2000-07-13,56806767929
2000-07-14,60104792141
2000-07-17,62166058486
2000-07-18,59936527010
2000-07-19,57479835317
2000-07-20,68989259790
2000-07-21,72590163108
2000-07-24,70873851173
2000-07-25,70099820495
