,HIG
2000-01-03,9764950000
2000-01-04,9441250000
2000-01-05,9158552000
2000-01-06,9238398000
2000-01-07,9669998000
2000-01-10,9508148000
2000-01-11,9577204000
2000-01-12,9400248000
2000-01-13,9320402000
2000-01-14,9428302000
2000-01-18,9022598000
2000-01-19,8739900000
2000-01-20,8511151999
2000-01-21,8187451999
2000-01-24,8349301999
2000-01-25,8213348000
2000-01-26,8416200000
2000-01-27,8429148000
2000-01-28,8051498000
2000-01-31,8228454000
2000-02-01,8375198000
2000-02-02,8537048000
2000-02-03,8793850000
2000-02-04,9037704000
2000-02-07,8619052000
2000-02-08,8092500000
2000-02-09,7635004000
2000-02-10,7473154000
2000-02-11,7473154000
2000-02-14,7283250000
2000-02-15,7619898000
2000-02-16,7337200000
2000-02-17,7337200000
2000-02-18,7134348000
2000-02-22,7121400000
2000-02-23,7054501999
2000-02-24,7013500000
2000-02-25,6689800000
2000-02-28,6689800000
2000-02-29,6743750000
2000-03-01,6717854000
2000-03-02,6609954000
2000-03-03,6689800000
2000-03-06,6689800000
2000-03-07,6474000000
2000-03-08,6340204000
2000-03-09,6502054000
2000-03-10,6556004000
2000-03-13,6366100000
2000-03-14,6474000000
2000-03-15,7203404000
2000-03-16,8685950000
2000-03-17,7727798000
2000-03-20,7863751999
2000-03-21,8632000000
2000-03-22,8660054000
2000-03-23,8955700000
2000-03-24,9320402000
2000-03-27,9117550000
2000-03-28,9130498000
2000-03-29,9469304000
2000-03-30,10008804000
2000-03-31,11420375000
2000-04-03,11041500000
2000-04-04,10799020000
2000-04-05,10595510000
2000-04-06,10311895000
2000-04-07,10080240000
2000-04-10,10324885000
2000-04-11,10257770000
2000-04-12,10474270000
2000-04-13,10257770000
2000-04-14,9580125000
2000-04-17,10134365000
2000-04-18,10095395000
2000-04-19,9729510000
2000-04-20,10270760000
2000-04-24,11232020000
2000-04-25,11610895000
2000-04-26,11069645000
2000-04-27,10812010000
2000-04-28,11270990000
2000-05-01,11840385000
2000-05-02,11691000000
2000-05-03,11245010000
2000-05-04,11095625000
2000-05-05,11136760000
2000-05-08,11448520000
2000-05-09,11379240000
2000-05-10,11270990000
2000-05-11,11691000000
2000-05-12,11532955000
2000-05-15,12327510000
2000-05-16,12111010000
2000-05-17,11610895000
2000-05-18,12219260000
2000-05-19,12206270000
