,DVN
2000-01-03,2791415040
2000-01-04,2731069440
2000-01-05,2781070080
2000-01-06,2920727040
2000-01-07,2936244480
2000-01-10,2898312960
2000-01-11,2941416960
2000-01-12,2898312960
2000-01-13,2963831040
2000-01-14,2979348480
2000-01-18,3222455040
2000-01-19,3308663040
2000-01-20,3356939520
2000-01-21,3562114560
2000-01-24,3470734080
2000-01-25,3384526080
2000-01-26,3298318080
2000-01-27,3237972480
2000-01-28,3237972480
2000-01-31,3027624960
2000-02-01,3108660480
2000-02-02,3070728960
2000-02-03,3098315520
2000-02-04,3103488000
2000-02-07,3103488000
2000-02-08,3103488000
2000-02-09,3044866560
2000-02-10,3200040960
2000-02-11,3103488000
2000-02-14,3205213440
2000-02-15,3281076480
2000-02-16,3308663040
2000-02-17,3329352960
2000-02-18,3286248960
2000-02-22,3303490560
2000-02-23,3179351040
2000-02-24,3141419520
2000-02-25,3098315520
2000-02-28,3162109440
2000-02-29,3212110080
2000-03-01,3351767040
2000-03-02,3534528000
2000-03-03,3443147520
2000-03-06,3501768960
2000-03-07,3901774080
2000-03-08,3815566080
2000-03-09,3820738560
2000-03-10,3798324480
2000-03-13,3815566080
2000-03-14,3825911040
2000-03-15,3701771520
2000-03-16,3798324480
2000-03-17,3739703040
2000-03-20,3643150080
2000-03-21,3722461440
2000-03-22,3701771520
2000-03-23,3674184960
2000-03-24,3663840000
2000-03-27,3605218560
2000-03-28,3663840000
2000-03-29,3846600960
2000-03-30,4074190080
2000-03-31,6166828640
2000-04-03,6230325640
2000-04-04,6032215000
2000-04-05,6001736440
2000-04-06,6128730440
2000-04-07,6016975720
2000-04-10,5793466280
2000-04-11,5801085920
2000-04-12,5874742440
2000-04-13,6065233440
2000-04-14,5953478720
2000-04-17,5628374080
2000-04-18,5643613360
2000-04-19,5834104360
2000-04-20,5778227000
2000-04-24,5722349640
2000-04-25,5874742440
2000-04-26,5953478720
2000-04-27,6072853080
2000-04-28,6110951280
2000-05-01,6080472720
2000-05-02,5983957280
2000-05-03,5920460280
2000-05-04,6222706000
2000-05-05,6309061920
2000-05-08,6469074360
2000-05-09,6364939280
2000-05-10,6230325640
2000-05-11,6540191000
2000-05-12,6690043920
2000-05-15,7144682440
2000-05-16,7096424720
2000-05-17,7238658000
2000-05-18,7429149000
2000-05-19,7350412720
2000-05-22,7350412720
2000-05-23,7342793080
2000-05-24,7556143000
2000-05-25,7452007920
2000-05-26,7063406280
2000-05-30,7190400280
2000-05-31,7596781080
2000-06-01,7619640000
2000-06-02,7444388280
2000-06-05,7309774640
2000-06-06,7380891280
2000-06-07,7429149000
2000-06-08,7492646000
2000-06-09,7444388280
2000-06-12,7515504920
2000-06-13,7589161440
2000-06-14,7627259640
2000-06-15,7556143000
2000-06-16,7619640000
2000-06-19,7507885280
2000-06-20,7406290080
2000-06-21,7309774640
2000-06-22,7398670440
2000-06-23,7452007920
2000-06-26,7253897280
2000-06-27,7152302080
2000-06-28,6992289640
2000-06-29,7040547360
2000-06-30,7183006260
2000-07-03,7111406340
2000-07-05,6160150260
2000-07-06,6362164320
2000-07-07,6344264340
2000-07-10,6152478840
2000-07-11,6689478240
2000-07-12,6617878320
2000-07-13,6280335840
2000-07-14,6305907240
2000-07-17,6201064500
2000-07-18,6088550340
2000-07-19,5914664820
2000-07-20,6016950420
2000-07-21,5881422000
2000-07-24,5625708000
2000-07-25,5497851000
2000-07-26,5648722260
2000-07-27,5753565000
2000-07-28,5802150660
2000-07-31,5850736320
2000-08-01,5881422000
2000-08-02,6288007260
2000-08-03,6152478840
2000-08-04,6298235820
2000-08-07,6569292660
2000-08-08,6543721260
2000-08-09,6671578260
2000-08-10,6640892580
2000-08-11,6745735320
2000-08-14,7032135000
2000-08-15,6927292260
2000-08-16,7065377820
2000-08-17,7280177580
2000-08-18,7246934760
2000-08-21,7223920500
2000-08-22,7200906240
2000-08-23,7280177580
2000-08-24,7592148660
2000-08-25,7630505760
2000-08-28,7727677080
2000-08-29,7776262740
2000-08-30,7686762840
2000-08-31,7487305920
2000-09-01,7656077160
2000-09-05,7615162920
