,WEN
2000-01-03,144470760
2000-01-04,148297800
2000-01-05,151646460
2000-01-06,151168080
2000-01-07,155712690
2000-01-10,154516740
2000-01-11,148297800
2000-01-12,148297800
2000-01-13,145427520
2000-01-14,143992380
2000-01-18,142318050
2000-01-19,138969390
2000-01-20,137534250
2000-01-21,134663970
2000-01-24,135620730
2000-01-25,134185590
2000-01-26,135142350
2000-01-27,135620730
2000-01-28,133707210
2000-01-31,135620730
2000-02-01,136099110
2000-02-02,140882910
2000-02-03,142796430
2000-02-04,141361290
2000-02-07,139926150
2000-02-08,138491010
2000-02-09,141361290
2000-02-10,143514000
2000-02-11,142796430
2000-02-14,141839670
2000-02-15,141839670
2000-02-16,141361290
2000-02-17,139447770
2000-02-18,140404530
2000-02-22,140404530
2000-02-23,137534250
2000-02-24,138012630
2000-02-25,137534250
2000-02-28,146384280
2000-02-29,147819420
2000-03-01,171738420
2000-03-02,158104590
2000-03-03,156669450
2000-03-06,156669450
2000-03-07,155712690
2000-03-08,161931630
2000-03-09,156191070
2000-03-10,156191070
2000-03-13,157147830
2000-03-14,157147830
2000-03-15,160974870
2000-03-16,158104590
2000-03-17,158582970
2000-03-20,156191070
2000-03-21,157147830
2000-03-22,157626210
2000-03-23,157147830
2000-03-24,156669450
2000-03-27,157147830
2000-03-28,154995120
2000-03-29,158104590
2000-03-30,160018110
2000-03-31,156191070
2000-04-03,149007700
2000-04-04,143725300
2000-04-05,143725300
2000-04-06,145486100
2000-04-07,145045900
2000-04-10,144165500
2000-04-11,143285100
2000-04-12,139983600
2000-04-13,140423800
2000-04-14,140864000
2000-04-17,136902200
2000-04-18,136462000
2000-04-19,137782600
2000-04-20,137342400
2000-04-24,138663000
2000-04-25,145045900
2000-04-26,145926300
2000-04-27,145926300
2000-04-28,148127300
2000-05-01,149007700
2000-05-02,151648900
2000-05-03,150768500
2000-05-04,150768500
2000-05-05,153849900
2000-05-08,153849900
2000-05-09,155390600
2000-05-10,153849900
2000-05-11,160232800
2000-05-12,158912200
2000-05-15,155390600
2000-05-16,154950400
2000-05-17,153849900
2000-05-18,155830800
2000-05-19,155390600
2000-05-22,155390600
2000-05-23,153849900
2000-05-24,153849900
2000-05-25,154950400
2000-05-26,153849900
2000-05-30,153849900
2000-05-31,149007700
2000-06-01,150328300
2000-06-02,150768500
2000-06-05,150768500
2000-06-06,149447900
2000-06-07,150328300
2000-06-08,151208700
2000-06-09,153849900
2000-06-12,148567500
2000-06-13,147246900
2000-06-14,147246900
2000-06-15,146366500
2000-06-16,146366500
2000-06-19,146366500
2000-06-20,145486100
2000-06-21,145045900
2000-06-22,141744400
2000-06-23,139543400
2000-06-26,140864000
2000-06-27,146366500
2000-06-28,148567500
2000-06-29,149007700
2000-06-30,147246900
2000-07-03,155266930
2000-07-05,156638950
2000-07-06,159382990
2000-07-07,160297670
2000-07-10,163270380
2000-07-11,161441020
2000-07-12,162355700
2000-07-13,161898360
2000-07-14,160983680
2000-07-17,161898360
2000-07-18,158468310
2000-07-19,158468310
2000-07-20,159840330
2000-07-21,161898360
2000-07-24,163270380
2000-07-25,163727720
2000-07-26,162355700
2000-07-27,159382990
2000-07-28,159382990
2000-07-31,162813040
2000-08-01,163727720
2000-08-02,162355700
2000-08-03,162355700
2000-08-04,163270380
2000-08-07,166014420
2000-08-08,174475210
2000-08-09,176304570
2000-08-10,175389890
2000-08-11,174475210
2000-08-14,176304570
2000-08-15,174017870
2000-08-16,173560530
2000-08-17,170130480
2000-08-18,167843780
2000-08-21,167386440
2000-08-22,166471760
2000-08-23,167386440
2000-08-24,167843780
2000-08-25,166471760
2000-08-28,171045160
2000-08-29,169673140
2000-08-30,168301120
2000-08-31,169673140
2000-09-01,171045160
2000-09-05,170587820
2000-09-06,169215800
2000-09-07,169215800
2000-09-08,174475210
2000-09-11,178591270
2000-09-12,182707330
2000-09-13,181792650
2000-09-14,180877970
2000-09-15,180877970
2000-09-18,186594720
2000-09-19,188881420
2000-09-20,183622010
2000-09-21,182249990
2000-09-22,182707330
2000-09-25,179963290
2000-09-26,181792650
2000-09-27,178591270
2000-09-28,178133930
2000-09-29,183622010
2000-10-02,179844640
2000-10-03,178286580
2000-10-04,174280140
2000-10-05,175615620
2000-10-06,174725300
2000-10-09,176951100
2000-10-10,175170460
2000-10-11,173834980
2000-10-12,172944660
2000-10-13,168938220
2000-10-16,173834980
2000-10-17,173834980
2000-10-18,174280140
2000-10-19,172054340
2000-10-20,172499500
2000-10-23,173389820
2000-10-24,171609180
2000-10-25,172499500
2000-10-26,178731740
2000-10-27,178286580
2000-10-30,180734959
2000-10-31,181180120
2000-11-01,181180120
2000-11-02,179176900
2000-11-03,178286580
2000-11-06,177841420
2000-11-07,180734959
2000-11-08,180289800
2000-11-09,180289800
2000-11-10,182070440
2000-11-13,182960760
2000-11-14,182515599
2000-11-15,187857520
2000-11-16,186076880
2000-11-17,188302680
2000-11-20,186076880
2000-11-21,185631720
2000-11-22,182960760
2000-11-24,184741400
2000-11-27,183851080
2000-11-28,184296240
2000-11-29,184741400
2000-11-30,182515599
2000-12-01,183405920
